"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"DAL","RB","EMMITTSMITH",314.5,1,"Emmitt Smith*+",25,15,15,0,0,0,0,0,368,1484,4.03,21,50,341,6.82,1,315,187,1,1,0,0,0,148.4,126,34.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,2,1,220.9
"SFO","QB","STEVEYOUNG",350.06,2,"Steve Young*+",33,16,16,324,461,3969,35,10,58,293,5.05,7,0,0,NA,0,354,173,1,2,158.76,140,-20,29.3,42,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,1,1,190.88
"DET","RB","BARRYSANDERS",264.6,4,"Barry Sanders*+",26,16,16,0,0,0,0,0,331,1883,5.69,7,44,283,6.43,1,265,137,2,4,0,0,0,188.3,42,28.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,5,2,171
"SEA","RB","CHRISWARREN",252.8,5,"Chris Warren*",26,16,15,0,0,0,0,0,333,1545,4.64,9,41,323,7.88,2,255,127,3,5,0,0,0,154.5,54,32.3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,6,3,159.2
"IND","RB","MARSHALLFAULK",252.4,6,"Marshall Faulk*",21,16,16,0,0,0,0,0,314,1282,4.08,11,52,522,10.04,1,252,125,4,6,0,0,0,128.2,66,52.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,7,4,158.8
"SFO","WR","JERRYRICE",249.2,3,"Jerry Rice*+",32,16,16,0,0,0,0,0,7,93,13.29,2,112,1499,13.38,13,251,139,1,3,0,0,0,9.3,12,149.9,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,8,1,152.6
"SDG","RB","NATRONEMEANS",230.5,10,"Natrone Means*",22,16,16,0,1,0,0,0,343,1350,3.94,12,39,235,6.03,0,231,103,5,10,0,0,0,135,72,23.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,11,5,136.9
"GNB","QB","BRETTFAVRE",291.48,7,"Brett Favre",25,16,16,363,582,3882,33,14,42,202,4.81,2,0,0,NA,0,293,112,2,7,155.28,132,-28,20.2,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,3,2,132.3
"SFO","RB","RICKYWATTERS",225.6,11,"Ricky Watters*",25,16,16,0,0,0,0,0,239,877,3.67,6,66,719,10.89,5,226,98,6,11,0,0,0,87.7,36,71.9,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,12,6,132
"GNB","WR","STERLINGSHARPE",221.4,8,"Sterling Sharpe*",29,16,16,0,0,0,0,0,3,15,5,0,94,1119,11.9,18,221,109,2,8,0,0,0,1.5,0,111.9,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,13,2,124.8
