"pos","name","points","overall_rank","name_info","team","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","pts","ydsA","passYdsA","rushYdsA","ptsA","int","fumlRec","sack","safety","blockfg","td","ptsAPG","fumlRecoveryPts","intCaughtPts","fgBlockedPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"RB","PRIESTHOLMES",373,"1","Priest Holmes*+","KAN",30,16,16,0,1,0,0,0,320,1420,4.44,27,74,690,9.32,0,373,231,1,1,0,0,0,142,162,69,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,1,1,271.6
"RB","AHMANGREEN",345,"2","Ahman Green*","GNB",26,16,16,0,0,0,0,0,355,1883,5.3,15,50,367,7.34,5,345,203,2,2,0,0,0,188.3,90,36.7,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,2,2,243.6
"RB","LADAINIANTOMLINSON",343.84,"3","LaDainian Tomlinson","SDG",24,16,16,1,1,21,1,0,313,1645,5.26,13,100,725,7.25,4,344,202,3,3,0.84,4,0,164.5,78,72.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,3,3,242.44
"RB","JAMALLEWIS",311.1,"4","Jamal Lewis*+","BAL",24,16,16,0,0,0,0,0,387,2066,5.34,14,26,205,7.88,0,311,169,4,4,0,0,0,206.6,84,20.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,4,4,209.7
"RB","CLINTONPORTIS",274.5,"7","Clinton Portis*","DEN",22,13,13,0,0,0,0,0,290,1591,5.49,14,38,314,8.26,0,277,135,5,7,0,0,0,159.1,84,31.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,6,5,173.1
"WR","RANDYMOSS",267,"5","Randy Moss*+","MIN",26,16,16,0,1,0,0,0,6,18,3,0,111,1632,14.7,17,267,163,1,5,0,0,0,1.8,0,163.2,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,9,1,168.3
"RB","SHAUNALEXANDER",269,"8","Shaun Alexander*","SEA",26,16,15,0,0,0,0,0,326,1435,4.4,14,42,295,7.02,2,269,127,6,8,0,0,0,143.5,84,29.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,8,6,167.6
"RB","DEUCEMCALLISTER",263.7,"9","Deuce McAllister*","NOR",25,16,16,0,2,0,0,0,351,1641,4.68,8,69,516,7.48,0,264,122,7,9,0,0,0,164.1,48,51.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,10,7,162.3
"WR","TORRYHOLT",242.1,"6","Torry Holt*+","STL",27,16,15,0,0,0,0,0,1,5,5,0,117,1696,14.5,12,242,138,2,6,0,0,0,0.5,0,169.6,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,15,2,143.4
"RB","FREDTAYLOR",236.2,"10","Fred Taylor","JAX",27,16,16,0,0,0,0,0,345,1572,4.56,6,48,370,7.71,1,236,94,8,10,0,0,0,157.2,36,37,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,16,8,134.8
"RB","RICKYWILLIAMS",232.3,"12","Ricky Williams","MIA",26,16,16,0,0,0,0,0,392,1372,3.5,9,50,351,7.02,1,232,90,9,12,0,0,0,137.2,54,35.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,17,9,130.9
"RB","EDGERRINJAMES",221.1,"16","Edgerrin James","IND",25,13,13,0,0,0,0,0,310,1259,4.06,11,51,292,5.73,0,221,79,10,16,0,0,0,125.9,66,29.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,25,10,119.7
"RB","TRAVISHENRY",215.4,"19","Travis Henry","BUF",25,15,15,0,1,0,0,1,331,1356,4.1,10,28,158,5.64,1,215,73,11,19,0,0,-2,135.6,60,15.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,27,11,114
"RB","STEPHENDAVIS",208.3,"21","Stephen Davis*","CAR",29,14,14,0,0,0,0,0,318,1444,4.54,8,14,159,11.36,0,208,66,12,21,0,0,0,144.4,48,15.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,28,12,106.9
"QB","DAUNTECULPEPPER",283.36,"23","Daunte Culpepper*","MIN",26,14,14,295,454,3479,25,11,73,422,5.78,4,0,0,NA,0,285,62,1,23,139.16,100,-22,42.2,24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,5,1,100.7
"WR","CHADJOHNSON",195.5,"11","Chad Johnson*","CIN",25,16,14,0,0,0,0,0,0,0,NA,0,90,1355,15.06,10,196,91,3,11,0,0,0,0,0,135.5,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,32,3,96.8
"WR","ANQUANBOLDIN",187.7,"14","Anquan Boldin*","ARI",23,16,16,0,1,0,0,1,5,40,8,0,101,1377,13.63,8,188,83,4,14,0,0,-2,4,0,137.7,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003,34,4,89
