"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"WAS","RB","TERRYALLEN",280.7,2,"Terry Allen*",28,16,16,0,0,0,0,0,347,1353,3.9,21,32,194,6.06,0,281,152,1,2,0,0,0,135.3,126,19.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,3,1,183.7
"DEN","RB","TERRELLDAVIS",274.8,3,"Terrell Davis*+",24,16,16,0,0,0,0,0,345,1538,4.46,13,36,310,8.61,2,277,148,2,3,0,0,0,153.8,78,31,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,4,2,177.8
"PHI","RB","RICKYWATTERS",263.5,5,"Ricky Watters*",27,16,16,0,0,0,0,0,353,1411,4,13,51,444,8.71,0,264,135,3,5,0,0,0,141.1,78,44.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,6,3,166.5
"GNB","QB","BRETTFAVRE",311.56,1,"Brett Favre*+",27,16,16,325,543,3899,39,13,49,136,2.78,2,0,0,NA,0,318,155,1,1,155.96,156,-26,13.6,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,1,1,154.32
"NWE","RB","CURTISMARTIN",250.5,6,"Curtis Martin*",23,16,15,0,0,0,0,0,316,1152,3.65,14,46,333,7.24,3,253,124,4,6,0,0,0,115.2,84,33.3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,9,4,153.5
"DAL","RB","EMMITTSMITH",235.3,8,"Emmitt Smith",27,15,15,0,0,0,0,0,327,1204,3.68,12,47,249,5.3,3,235,107,5,8,0,0,0,120.4,72,24.9,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,11,5,138.3
"DET","RB","BARRYSANDERS",234,9,"Barry Sanders*",28,16,16,0,1,0,0,1,307,1553,5.06,11,24,147,6.13,0,234,105,6,9,0,0,-2,155.3,66,14.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,12,6,137
"BAL","QB","VINNYTESTAVERDE",291.88,4,"Vinny Testaverde*",33,16,16,325,549,4177,33,19,34,188,5.53,2,0,0,NA,0,300,138,2,4,167.08,132,-38,18.8,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,2,2,134.64
"PIT","RB","JEROMEBETTIS",221.3,13,"Jerome Bettis*+",24,16,12,0,0,0,0,0,320,1431,4.47,11,22,122,5.55,0,221,93,7,13,0,0,0,143.1,66,12.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,13,7,124.3
"JAX","QB","MARKBRUNELL",268.28,7,"Mark Brunell*",26,16,16,353,557,4367,19,20,80,396,4.95,3,0,0,NA,0,278,116,3,7,174.68,76,-40,39.6,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,5,3,111.04
