"pos","name","points","name_info","games","team","overall_rank","age","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","sack","fumlRec","int","defTD","ptsA","passYdsAPG","rushYdsAPG","safety","kickTD","pts","ptsPG","passYdsA","rushYdsA","ptsAPG","td","fumlRecoveryPts","intCaughtPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"WR","LESTARJEAN",3.5,"Lestar Jean","11","HOU",433,25,0,0,0,0,0,0,0,0,NA,0,4,35,8.75,0,4,NA,174,NA,0,0,0,0,0,3.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,512,174,-101.2
"RB","MICHAELROBINSON",2.7,"Michael Robinson","9","SEA",454,30,3,0,0,0,0,0,1,0,0,0,2,27,13.5,0,3,NA,140,NA,0,0,0,0,0,2.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,530,140,-101.4
"WR","JOEWEBB",3.3,"Joe Webb","16","MIN",465,27,1,0,0,0,0,0,0,0,NA,0,5,33,6.6,0,3,NA,176,NA,0,0,0,0,0,3.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,516,175,-101.4
"WR","JURONCRINER",3.2,"Juron Criner","1","OAK",449,24,0,0,0,0,0,0,0,0,NA,0,3,32,10.67,0,3,NA,177,NA,0,0,0,0,0,3.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,517,176,-101.5
"RB","ISAACREDMAN",2.6,"Isaac Redman","4","PIT",451,29,1,0,0,0,0,0,10,12,1.2,0,4,14,3.5,0,3,NA,141,NA,0,0,0,1.2,0,1.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,532,141,-101.5
"RB","LERONMCCLAIN",2.5,"Le'Ron McClain","16","SDG",455,29,4,0,0,0,0,0,11,32,2.91,0,2,-7,-3.5,0,3,NA,142,NA,0,0,0,3.2,0,-0.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,533,142,-101.6
"WR","LAMAARTHOMAS",3.1,"Lamaar Thomas","2","JAX",447,23,0,0,0,0,0,0,0,0,NA,0,2,31,15.5,0,3,NA,178,NA,0,0,0,0,0,3.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,519,177,-101.6
"RB","BERNARDSCOTT",2.4,"Bernard Scott","2","2TM",476,29,0,0,0,0,0,0,4,14,3.5,0,2,10,5,0,2,NA,143,NA,0,0,0,1.4,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,534,143,-101.7
"WR","BRADSMITH",2.9,"Brad Smith","8","2TM",467,30,0,0,1,0,0,0,2,2,1,0,2,27,13.5,0,3,NA,179,NA,0,0,0,0.2,0,2.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,527,178,-101.8
"WR","JONATHANBALDWIN",2.8,"Jonathan Baldwin","7","SFO",452,24,1,0,0,0,0,0,0,0,NA,0,3,28,9.33,0,3,NA,180,NA,0,0,0,0,0,2.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,529,179,-101.9
