"pos","name","points","overall_rank","name_info","team","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","pts","ydsA","passYdsA","rushYdsA","ptsA","int","fumlRec","sack","safety","blockfg","td","ptsAPG","fumlRecoveryPts","intCaughtPts","fgBlockedPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"RB","LADAINIANTOMLINSON",427.1,"1","LaDainian Tomlinson*+","SDG",27,16,16,2,3,20,2,0,348,1815,5.22,28,56,508,9.07,3,427,266,1,1,0.8,8,0,181.5,168,50.8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,1,1,315.8
"RB","LARRYJOHNSON",333.9,"2","Larry Johnson*+","KAN",27,16,16,0,1,0,0,0,416,1789,4.3,17,41,410,10,2,334,173,2,2,0,0,0,178.9,102,41,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,2,2,222.6
"RB","STEVENJACKSON",329.4,"3","Steven Jackson*","STL",23,16,16,0,0,0,0,0,346,1528,4.42,13,90,806,8.96,3,329,168,3,3,0,0,0,152.8,78,80.6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,3,3,218.1
"RB","FRANKGORE",272,"5","Frank Gore*","SFO",23,16,16,0,0,0,0,0,312,1695,5.43,8,61,485,7.95,1,272,111,4,5,0,0,0,169.5,48,48.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,5,4,160.7
"RB","WILLIEPARKER",267.6,"6","Willie Parker*","PIT",26,16,16,0,0,0,0,0,337,1494,4.43,13,31,222,7.16,3,268,107,5,6,0,0,0,149.4,78,22.2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,7,5,156.3
"RB","BRIANWESTBROOK",257.6,"7","Brian Westbrook","PHI",27,15,14,0,0,0,0,0,240,1217,5.07,7,77,699,9.08,4,258,97,6,7,0,0,0,121.7,42,69.9,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,9,6,146.3
"RB","TIKIBARBER",242.7,"9","Tiki Barber*","NYG",31,16,16,0,0,0,0,0,327,1662,5.08,5,58,465,8.02,0,243,82,7,9,0,0,0,166.2,30,46.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,13,7,131.4
"QB","PEYTONMANNING",309.48,"4","Peyton Manning*","IND",30,16,16,362,557,4397,31,9,23,36,1.57,4,0,0,NA,0,313,122,1,4,175.88,124,-18,3.6,24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,4,1,127.8
"RB","MAURICEJONESDREW",227.7,"14","Maurice Jones-Drew","JAX",21,16,1,0,0,0,0,0,166,941,5.67,13,46,436,9.48,2,228,67,8,14,0,0,0,94.1,78,43.6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,16,8,116.4
"WR","MARVINHARRISON",208.6,"8","Marvin Harrison*+","IND",34,16,16,0,0,0,0,0,0,0,NA,0,95,1366,14.38,12,211,94,1,8,0,0,0,0,0,136.6,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,20,1,108.1
