"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"DET","RB","BARRYSANDERS",287.5,1,"Barry Sanders*+",23,15,15,0,0,0,0,0,342,1548,4.53,16,41,307,7.49,1,288,167,1,1,0,0,0,154.8,96,30.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,1,1,195.9
"BUF","RB","THURMANTHOMAS",275.8,2,"Thurman Thomas*+",25,15,15,0,0,0,0,0,288,1407,4.89,7,62,631,10.18,5,276,155,2,2,0,0,0,140.7,42,63.1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,2,2,184.2
"DAL","RB","EMMITTSMITH",260.1,3,"Emmitt Smith*",22,16,16,0,0,0,0,0,365,1563,4.28,12,49,258,5.27,1,260,139,3,3,0,0,0,156.3,72,25.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,4,3,168.5
"BUF","QB","JIMKELLY",262.26,4,"Jim Kelly*+",31,15,15,304,474,3844,33,17,20,45,2.25,1,0,0,NA,0,262,105,1,4,153.76,132,-34,4.5,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,3,1,122.2
"HOU","QB","WARRENMOON",256.4,6,"Warren Moon*",35,16,16,404,655,4690,23,21,33,68,2.06,2,0,0,NA,0,256,99,2,6,187.6,92,-42,6.8,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,5,2,116.34
"SFO","WR","JERRYRICE",204.8,5,"Jerry Rice*",29,16,16,0,0,0,0,0,1,2,2,0,80,1206,15.08,14,205,102,1,5,0,0,0,0.2,0,120.6,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,11,1,114.1
"DAL","WR","MICHAELIRVIN",200.3,7,"Michael Irvin*+",25,16,16,0,0,0,0,0,0,0,NA,0,93,1523,16.38,8,200,97,2,7,0,0,0,0,0,152.3,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,13,2,109.6
"WAS","WR","GARYCLARK",194,8,"Gary Clark*",29,16,16,0,0,0,0,0,1,0,0,0,70,1340,19.14,10,194,91,3,8,0,0,0,0,0,134,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,16,3,103.3
"NYG","RB","RODNEYHAMPTON",194.2,15,"Rodney Hampton",22,14,14,0,0,0,0,0,256,1059,4.14,10,43,283,6.58,0,194,73,4,15,0,0,0,105.9,60,28.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,15,4,102.6
"MIA","QB","DANMARINO",242,9,"Dan Marino*",30,16,16,318,549,3970,25,13,27,32,1.19,1,0,0,NA,0,242,85,3,9,158.8,100,-26,3.2,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,6,3,101.94
"WAS","QB","MARKRYPIEN",239.16,10,"Mark Rypien*",29,16,16,249,421,3564,28,11,15,6,0.4,1,0,0,NA,0,239,82,4,10,142.56,112,-22,0.6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,7,4,99.1
"RAM","RB","ROBERTDELPINO",190.5,16,"Robert Delpino",26,16,15,0,0,0,0,0,214,688,3.21,9,55,617,11.22,1,191,70,5,16,0,0,0,68.8,54,61.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,17,5,98.9
"BUF","WR","ANDREREED",184.9,11,"Andre Reed*",27,16,16,0,0,0,0,0,12,136,11.33,0,81,1113,13.74,10,185,82,4,11,0,0,0,13.6,0,111.3,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,18,4,94.2
"ATL","WR","MICHAELHAYNES",178.2,13,"Michael Haynes",26,16,16,0,0,0,0,0,0,0,NA,0,50,1122,22.44,11,178,75,5,13,0,0,0,0,0,112.2,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,19,5,87.5
"MIA","WR","MARKCLAYTON",177.3,14,"Mark Clayton*",30,16,16,0,0,0,0,0,0,0,NA,0,70,1053,15.04,12,177,74,6,14,0,0,0,0,0,105.3,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,20,6,86.6
"DEN","QB","JOHNELWAY",222.02,18,"John Elway*",31,16,16,242,451,3253,13,12,55,255,4.64,6,1,24,24,0,222,65,5,18,130.12,52,-24,25.5,36,2.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,8,5,81.96
"WAS","RB","EARNESTBYNER",170.32,25,"Earnest Byner*",29,16,16,1,4,18,1,0,274,1048,3.82,5,34,308,9.06,0,170,49,6,25,0.72,4,0,104.8,30,30.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,21,6,78.72
"SFO","QB","STEVEYOUNG",218.18,19,"Steve Young",30,11,10,180,279,2517,17,8,66,415,6.29,4,0,0,NA,0,218,61,6,19,100.68,68,-16,41.5,24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,9,6,78.12
"ATL","WR","ANDRERISON",168.7,17,"Andre Rison*",24,16,15,0,0,0,0,0,1,-9,-9,0,81,976,12.05,12,169,66,7,17,0,0,0,-0.9,0,97.6,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,22,7,78
"ATL","QB","CHRISMILLER",215.02,20,"Chris Miller*",26,15,14,220,413,3103,26,18,32,229,7.16,0,0,0,NA,0,215,58,7,20,124.12,104,-36,22.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,10,7,74.96
"CHI","RB","NEALANDERSON",165.5,27,"Neal Anderson*",27,13,12,0,1,0,0,0,210,747,3.56,6,47,368,7.83,3,166,45,7,27,0,0,0,74.7,36,36.8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991,23,7,73.9
