Offense,,Owner,Fan Pts?,% Owned,Proj,Actual,Yds,TD,Int,Yds,TD,Yds,TD,Yds,TD,2PT,Lost,
,Rueben Randle NYG - WR,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,115.05,80%,67,91,0,0,0,773,7,62,0,0,0,0,4
,Stevan Ridley NE - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,114.91,48%,119,145,0,0,0,151,1,418,4,678,1,0,1
,Tavon Austin StL - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,114.6,78%,60,100,0,0,0,771,4,140,0,0,0,0,2
,Ben Tate Cle - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,114,50%,102,149,0,0,0,0,0,896,0,0,0,0,0
,Hakeem Nicks Ind - WR,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,113.9,8%,224,113,30,0,0,697,1,272,0,0,0,0,0
,Bilal Powell NYJ - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,113.58,23%,188,233,1687,14,4,31,0,0,0,0,0,1,1
,Sam Bradford StL - QB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,113.3,5%,236,147,0,0,0,-2,0,524,7,0,0,1,0
,Marlon Brown Bal - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,112.13,20%,134,150,0,0,0,10,0,641,5,0,0,0,0
,Kenny Stills NO - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Atl,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,111.88,13%,201,106,0,0,0,0,0,671,5,0,0,0,1
,Jared Cook StL - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,111.88,18%,176,140,0,0,0,15,0,627,5,0,0,0,0
,Brandon LaFell NE - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,110.83,15%,243,148,0,0,0,332,2,341,2,575,0,0,1
,Jacquizz Rodgers Atl - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,109.38,50%,149,101,0,0,0,0,0,571,6,0,0,0,0
,Delanie Walker Ten - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,106.13,18%,155,158,0,0,0,0,0,681,3,0,0,0,0
,Jarrett Boykin GB - WR,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,106,45%,163,107,0,0,0,0,0,608,4,0,0,2,0
,Coby Fleener Ind - TE,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,105.3,0%,2267,255,2015,11,8,107,0,0,0,0,0,0,2
,Jason Campbell Cin - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,104.1,10%,240,132,0,0,0,361,5,184,2,0,0,0,0
,Mike Tolbert Car - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,104.08,8%,178,126,0,0,0,2,0,571,5,0,0,0,0
,Tim Wright TB - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,103.88,83%,52,172,0,0,0,0,0,711,3,0,0,0,1
,Roddy White Atl - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,103.16,8%,1718,196,0,0,0,5,0,511,2,689,2,0,0
,Dexter McCluster Ten - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,103.15,23%,125,129,0,0,0,709,2,170,0,0,0,0,1
,Lamar Miller Mia - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,102.55,23%,114,120,0,0,0,833,3,10,0,0,0,0,0
,Chris Ivory NYJ - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,100.46,3%,275,213,0,0,0,0,0,455,2,1129,1,0,0
,Jacoby Jones Bal - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,99.59,13%,234,135,0,0,0,566,5,46,1,162,0,0,1
,Bobby Rainey TB - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,99.5,90%,49,166,0,0,0,208,1,427,3,66,0,0,0
,Shane Vereen NE - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,99,95%,58,123,0,0,0,0,0,592,4,0,0,0,0
,Rob Gronkowski NE - TE,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,98.98,0%,1895,1038,1807,11,9,57,1,0,0,0,0,0,1
,Matt Cassel Min - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,98.66,15%,150,173,0,0,0,16,0,587,3,9,0,1,0
,Robert Woods Buf - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,97.75,0%,1705,178,0,0,0,0,0,726,1,0,0,0,0
,Jerome Simpson Min - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,96.95,10%,177,1408,1215,5,3,306,2,-2,0,0,0,0,2
,Michael Vick NYJ - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,96.75,5%,222,133,0,0,0,0,0,502,6,0,0,0,1
,Brent Celek Phi - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,95.6,5%,1762,1392,1760,9,6,72,1,0,0,0,0,0,2
,Case Keenum Hou - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,95.13,10%,194,124,0,0,0,0,0,545,5,0,0,0,1
,Garrett Graham Hou - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,95.03,95%,9,154,0,0,0,559,4,145,0,0,0,0,3
,Montee Ball Den - RB,,,,,,,,,,,,,,,,,
,Sun 8:30 pm vs Ind,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,95.02,3%,1734,278,1648,7,9,151,4,0,0,0,0,0,4
,Christian Ponder Min - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,94.74,8%,248,1410,1256,8,4,155,2,0,0,0,0,0,1
,Jake Locker Ten - QB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,94.63,25%,144,177,0,0,0,10,0,597,3,0,0,1,1
,Stevie Johnson SF - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,92.88,5%,214,142,0,0,0,0,0,655,2,0,0,0,1
,Scott Chandler Buf - TE,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,91.59,100%,30,214,0,0,0,78,0,433,4,33,0,0,0
,Randall Cobb GB - WR,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,91.49,53%,113,185,0,0,0,1,0,633,2,13,0,0,0
,Danny Amendola NE - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,91.25,5%,206,139,0,0,0,0,0,522,4,0,0,0,0
,Brandon Myers TB - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,91.08,98%,23,156,0,0,0,542,1,183,1,0,0,1,0
,Arian Foster Hou - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,89.88,43%,124,184,0,0,0,0,0,519,4,0,0,0,0
,Aaron Dobson NE - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,89.8,3%,1765,262,2310,10,14,24,0,0,0,0,0,0,1
,Matt Schaub Oak - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,89.06,3%,1680,174,22,0,0,218,2,331,2,0,0,0,0
,Marcel Reece Oak - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,87.48,5%,261,160,0,0,0,406,4,63,2,0,0,0,0
,Daniel Thomas Mia - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,87.16,5%,228,192,0,0,0,11,0,523,3,134,0,0,0
,Jeremy Kerley NYJ - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,86.41,8%,1770,239,0,0,0,0,0,346,4,283,0,0,1
,Jermaine Kearse Sea - WR,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,85.28,15%,127,182,0,0,0,274,4,251,0,0,0,0,0
,Roy Helu Jr. Was - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,84.43,13%,165,163,0,0,0,493,3,89,1,0,0,0,0
,James Starks GB - RB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,84.1,3%,293,195,0,0,0,6,0,596,2,0,0,0,1
,Donnie Avery KC - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,83.2,100%,18,203,0,0,0,7,0,580,2,0,0,0,1
,Julio Jones Atl - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,83.04,30%,123,170,16,1,0,379,5,108,0,0,0,0,1
,Darren McFadden Oak - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,82.63,68%,101,153,0,0,0,0,0,469,4,0,0,0,0
,Zach Ertz Phi - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Jax,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,82.25,10%,237,193,0,0,0,0,0,466,4,0,0,0,0
,Kenbrell Thompkins NE - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,82.18,83%,105,155,0,0,0,18,0,499,3,0,0,0,0
,Jordan Reed Was - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,80,0%,1665,216,0,0,0,0,0,440,4,0,0,0,0
,Tiquan Underwood Car - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,79.88,5%,219,157,0,0,0,0,0,387,5,0,0,0,0
,Zach Miller Sea - TE,,,,,,,,,,,,,,,,,
,Thu 8:30 pm vs GB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,79.38,0%,1769,207,0,0,0,240,0,343,2,0,0,0,2
,Chris Ogbonnaya Cle - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,78.84,8%,1892,249,0,0,0,256,2,116,1,712,0,0,0
,Jordan Todman Jax - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,78.64,0%,1873,1434,1731,9,9,44,0,0,0,0,0,1,2
,Brandon Weeden Dal - QB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,78.04,5%,1741,225,21,1,0,4,0,484,1,215,0,0,0
,Ace Sanders Jax - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,77.44,0%,1463,161,0,0,0,0,0,407,4,3,0,0,0
,Mychal Rivera Oak - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,77.38,80%,77,211,0,0,0,5,0,503,2,0,0,1,0
,Reggie Wayne Ind - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,77.15,0%,1726,230,0,0,0,0,0,465,2,151,0,0,0
,Greg Little Oak - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,77.13,50%,153,171,0,0,0,0,0,593,1,0,0,0,1
,Heath Miller Pit - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,77,63%,121,205,0,0,0,0,0,376,3,0,0,0,0
,Ladarius Green SD - TE,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,76.62,0%,1700,212,0,0,0,0,0,399,4,37,0,0,0
,Austin Pettis StL - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,74.75,0%,226,168,0,0,0,0,0,398,4,0,0,0,0
,Jeff Cumberland NYJ - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,74.32,0%,2433,1483,1673,8,7,64,0,0,0,0,0,1,4
,Kellen Clemens SD - QB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,74.08,30%,140,188,0,0,0,492,3,103,0,0,0,1,3
,Andre Brown Hou - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,73.43,0%,1696,218,0,0,0,0,0,434,3,9,0,0,0
,Jarius Wright Min - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,73.25,10%,220,167,0,0,0,0,0,458,4,0,0,0,3
,Jermaine Gresham Cin - TE,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,72.63,58%,141,187,0,0,0,0,0,445,2,0,0,0,0
,Tyler Eifert Cin - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,72.5,0%,1745,238,0,0,0,0,0,448,2,0,0,0,0
,Rishard Matthews Mia - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,72.47,0%,2279,1404,0,0,0,0,0,253,2,1292,1,0,1
,Keshawn Martin Hou - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,72.25,0%,1735,228,0,0,0,0,0,490,2,0,0,0,1
,Kris Durham Det - WR,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,70.9,5%,1724,248,0,0,0,25,0,452,2,145,0,0,2
,Santana Moss Was - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,70.88,3%,1723,266,0,0,0,0,0,471,2,0,0,0,0
,Andre Roberts Was - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,70.48,5%,1698,232,25,0,0,16,0,455,2,0,0,0,1
,Mohamed Sanu Cin - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,69.93,5%,1729,247,0,0,0,8,0,569,0,0,0,0,1
,Chris Givens StL - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,69.88,5%,211,162,0,0,0,0,0,207,7,0,0,1,0
,Joseph Fauria Det - TE,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,69.6,23%,120,208,0,0,0,436,2,104,0,0,0,0,0
,Bernard Pierce Bal - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,69.58,0%,2261,1496,1547,8,8,27,0,0,0,0,0,0,1
,Matt McGloin Oak - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,68.25,20%,146,226,0,0,0,0,0,354,4,0,0,0,0
,Justin Hunter Ten - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,68.13,5%,1568,288,0,0,0,0,0,457,2,0,0,0,1
,Lance Moore Pit - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,68.13,10%,1771,264,0,0,0,358,3,13,0,81,0,0,1
,Kendall Hunter SF - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,68,10%,2124,1367,0,0,0,242,4,75,0,321,1,0,1
,Knile Davis KC - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Ten,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,67.88,5%,199,183,0,0,0,0,0,359,4,0,0,0,1
,Marcedes Lewis Jax - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,67.75,0%,2127,1395,0,0,0,57,1,329,2,246,0,0,1
,Jerrel Jernigan NYG - WR,,,,,,,,,,,,,,,,,
,Mon 7:10 pm @ Det,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,66.88,3%,1737,252,0,0,0,0,0,447,2,0,0,0,1
,Jason Avant Car - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ TB,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,66.88,0%,1717,257,0,0,0,0,0,423,2,0,0,0,0
,David Nelson NYJ - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,66,0%,1877,265,0,0,0,0,0,472,1,0,0,0,0
,Vincent Brown SD - WR,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,65.76,5%,1697,290,0,0,0,0,0,431,1,0,0,0,0
,Andre Holmes Oak - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ NYJ,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,65.75,0%,1694,254,0,0,0,0,0,446,2,0,0,0,1
,Mike Brown Jax - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,64.88,3%,250,250,0,0,0,0,0,375,3,0,0,0,0
,Leonard Hankerson Was - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,64.83,8%,227,277,0,0,0,-8,0,461,1,0,0,0,0
,Nate Burleson Cle - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,64.75,5%,274,198,0,0,0,0,0,454,1,0,0,0,0
,Rob Housler Ari - TE,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,64.6,5%,281,221,0,0,0,271,3,152,0,0,0,0,0
,Brandon Bolden NE - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,64,3%,238,274,0,0,0,0,0,456,1,0,0,0,0
,Santonio Holmes NYJ - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,63,5%,257,197,0,0,0,0,0,416,2,0,0,0,1
,Brandon Pettigrew Det - TE,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,62.88,0%,229,194,0,0,0,0,0,343,3,0,0,0,0
,Dallas Clark Bal - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,62.18,0%,2367,1562,1392,8,5,65,0,0,0,0,0,0,6
,Matt Flynn GB - QB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,61.5,0%,254,202,0,0,0,0,0,388,2,0,0,0,0
,Kellen Winslow NYJ - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,60.7,8%,1755,1390,0,0,0,13,0,283,3,351,0,0,1
,Marquise Goodwin Buf - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,60.58,3%,1888,294,0,0,0,0,0,368,2,79,0,0,0
,Cole Beasley Dal - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,58.91,0%,2251,1400,0,0,0,14,0,361,2,19,0,0,1
,T.J. Graham Buf - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,58.86,5%,2312,1478,0,0,0,6,0,80,2,1113,1,0,1
,Dwayne Harris Dal - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,58.78,25%,180,1373,0,0,0,-1,0,415,1,0,0,0,0
,Justin Blackmon Jax - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Phi,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,58.75,3%,198,280,0,0,0,0,0,326,3,0,0,0,0
,Brandon Gibson Mia - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,58.65,98%,15,240,0,0,0,456,1,66,0,40,0,0,1
,Doug Martin TB - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,58.63,73%,99,206,0,0,0,0,0,313,3,0,0,0,0
,Kyle Rudolph Min - TE,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,58.38,13%,109,234,0,0,0,295,4,39,0,0,0,0,0
,Shonn Greene Ten - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ KC,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,57.63,0%,1727,1364,0,0,0,0,0,362,2,19,0,1,1
,Davone Bess Cle - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,57.23,3%,1732,1366,0,0,0,-4,0,365,2,0,0,0,0
,Aldrick Robinson Was - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,56.5,20%,184,209,0,0,0,0,0,300,3,0,0,0,0
,Jermichael Finley GB - TE,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,56.38,0%,1749,285,0,0,0,0,0,243,4,0,0,1,0
,Earl Bennett Cle - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Pit,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,56.25,0%,270,204,0,0,0,0,0,258,4,0,0,0,0
,Lance Kendricks StL - TE,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Min,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,55.9,10%,1875,1365,0,0,0,314,2,84,0,0,0,1,0
,Bryce Brown Buf - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,54,0%,1706,220,0,0,0,0,0,312,2,0,0,0,0
,Andrew Quarless GB - TE,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
