Offense,,Owner,Fan Pts?,% Owned,Proj,Actual,Yds,TD,Int,Yds,TD,Yds,TD,Yds,TD,2PT,Lost,
?,New Player Note,?,FA,231.73,98%,12,29,0,0,0,1,0,1233,13,0,0,0,1
,Dez Bryant Dal - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,228.04,78%,82,35,0,0,0,0,0,1288,11,2,0,0,1
,Eric Decker NYJ - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,227.1,98%,59,31,4515,26,17,55,0,0,0,0,0,0,4
,Matt Ryan Atl - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NO,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,223.32,85%,48,34,0,0,0,2,0,1332,9,81,0,0,0
,DeSean Jackson Was - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,218.32,18%,160,36,3913,24,17,238,1,0,0,0,0,0,5
,Ryan Tannehill Mia - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs NE,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,214.93,100%,4,24,0,0,0,1178,11,257,0,0,0,0,1
,Eddie Lacy GB - RB,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,213.85,100%,20,19,0,0,0,1121,9,350,1,0,0,0,1
,DeMarco Murray Dal - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs SF,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,213.25,100%,25,40,0,0,0,0,0,1314,8,0,0,0,0
,Jordy Nelson GB - WR,,,,,,,,,,,,,,,,,
,Thu 8:30 pm @ Sea,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,211.88,100%,37,43,0,0,0,0,0,1407,5,0,0,0,0
,Andre Johnson Hou - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Was,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,206.98,100%,3,22,0,0,0,1266,10,171,1,0,0,0,3
,Adrian Peterson Min - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ StL,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,205.83,65%,70,30,0,0,0,1077,6,345,4,0,0,0,2
,Chris Johnson NYJ - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Oak,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,204.15,100%,38,49,0,0,0,19,0,1346,5,0,0,0,1
,Pierre Garcon Was - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,200,98%,33,50,0,0,0,0,0,1224,7,0,0,0,0
,Vincent Jackson TB - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm vs Car,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,199.38,30%,94,38,0,0,0,890,9,387,1,0,0,0,0
,Fred Jackson Buf - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Chi,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,199.02,90%,61,53,3203,16,12,489,0,0,0,0,0,2,4
,Robert Griffin III Was - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Hou,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,194.85,93%,36,39,0,0,0,1006,4,506,3,0,0,0,4
,Reggie Bush Det - RB,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,193.76,13%,137,47,4274,24,22,3,0,0,0,0,0,0,3
,Carson Palmer Ari - QB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,192.48,68%,104,55,0,0,0,11,0,1179,7,0,0,0,0
,Anquan Boldin SF - WR,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,189.13,90%,28,37,0,0,0,1255,6,189,1,0,0,0,1
,Ryan Mathews SD - RB,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,184.58,15%,159,52,3912,19,22,131,1,0,0,0,0,2,2
,Joe Flacco Bal - QB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cin,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,181.25,98%,45,42,0,0,0,0,0,850,13,0,0,0,1
,Vernon Davis SF - TE,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,181.05,100%,31,56,0,0,0,8,0,954,10,0,0,0,1
,Larry Fitzgerald Ari - WR,,,,,,,,,,,,,,,,,
,Mon 10:20 pm vs SD,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,180.88,100%,13,48,0,0,0,860,8,399,0,0,0,0,1
,Le'Veon Bell Pit - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm vs Cle,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,180.46,80%,51,51,0,0,0,650,8,547,0,4,0,1,3
,Joique Bell Det - RB,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Mon 7:10 pm vs NYG,,,,,,,,,,,,,,,,,
?,Player Note,?,FA,179.75,100%,19,46,0,0,0,695,5,514,3,0,0,0,1
,Giovani Bernard Cin - RB,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Bal,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,178.58,90%,57,62,0,0,0,11,0,1056,6,374,0,1,0
,Julian Edelman NE - WR,,,,,,,,,,,,,,,,,
,Sun 1:00 pm @ Mia,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,178.25,100%,29,60,0,0,0,0,0,1046,8,125,0,0,2
,Keenan Allen SD - WR,,,,,,,,,,,,,,,,,
,Mon 10:20 pm @ Ari,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,175.43,85%,44,41,0,0,0,1128,9,141,0,0,0,0,3
,Frank Gore SF - RB,,,,,,,,,,,,,,,,,
,Sun 4:25 pm @ Dal,,,,,,,,,,,,,,,,,
?,New Player Note,?,FA,171.16,88%,53,66,0,0,0,6,0,1083,5,159,0,0,0
,T.Y. Hilton Ind - WR,,,,,,,,,,,,,,,,,
,Out,,,,,,,,,,,,,,,,,
,Sun 8:30 pm @ Den,,,,,,,,,,,,,,,,,
?,No new player Notes,?,FA,170.5,100%,35,45,0,0,0,0,0,788,12,0,0,0,0
,Julius Thomas Den - TE,,,,,,,,,,,,,,,,,
,Sun 8:30 pm vs Ind,,,,,,,,,,,,,,,,,
