"pos","name","points","overall_rank","name_info","team","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","pts","ydsA","passYdsA","rushYdsA","ptsA","int","fumlRec","sack","safety","blockfg","td","ptsAPG","fumlRecoveryPts","intCaughtPts","fgBlockedPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"RB","SHAUNALEXANDER",363.8,"1","Shaun Alexander*+","SEA",28,16,16,0,0,0,0,0,370,1880,5.08,27,15,78,5.2,1,364,221,1,1,0,0,0,188,162,7.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1,1,269
"RB","LARRYJOHNSON",335.3,"2","Larry Johnson*","KAN",26,16,9,0,0,0,0,0,336,1750,5.21,20,33,343,10.39,1,335,192,2,2,0,0,0,175,120,34.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,2,2,240.5
"RB","LADAINIANTOMLINSON",317.08,"3","LaDainian Tomlinson*","SDG",26,16,16,3,4,47,3,0,339,1462,4.31,18,51,370,7.25,2,317,174,3,3,1.88,12,0,146.2,108,37,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,3,3,222.28
"RB","TIKIBARBER",305,"4","Tiki Barber*+","NYG",30,16,16,0,1,0,0,0,357,1860,5.21,9,54,530,9.81,2,307,164,4,4,0,0,0,186,54,53,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,4,4,210.2
"RB","EDGERRINJAMES",268.3,"5","Edgerrin James*","IND",27,15,15,0,0,0,0,0,360,1506,4.18,13,44,337,7.66,1,268,125,5,5,0,0,0,150.6,78,33.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,5,5,173.5
"RB","CLINTONPORTIS",243.88,"7","Clinton Portis","WAS",24,16,16,1,2,17,1,0,352,1516,4.31,11,30,216,7.2,0,246,103,6,7,0.68,4,0,151.6,66,21.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,9,6,149.08
"WR","STEVESMITH",236.8,"6","Steve Smith*+","CAR",26,16,16,0,0,0,0,0,4,25,6.25,1,103,1563,15.17,12,237,120,1,6,0,0,0,2.5,6,156.3,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,10,1,138.7
"RB","RUDIJOHNSON",226.8,"13","Rudi Johnson","CIN",26,16,14,0,0,0,0,0,337,1458,4.33,12,23,90,3.91,0,227,84,8,13,0,0,0,145.8,72,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,12,7,132
"RB","LAMONTJORDAN",224.8,"12","LaMont Jordan","OAK",27,14,14,0,0,0,0,0,272,1025,3.77,9,70,563,8.04,2,227,84,7,12,0,0,0,102.5,54,56.3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,14,8,130
"RB","THOMASJONES",201.8,"20","Thomas Jones","CHI",27,15,15,0,0,0,0,0,314,1335,4.25,9,26,143,5.5,0,202,59,9,20,0,0,0,133.5,54,14.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,26,9,107
