"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"STL","RB","MARSHALLFAULK",340.7,1,"Marshall Faulk*+",28,14,14,0,1,0,0,0,260,1382,5.32,12,83,765,9.22,9,343,208,1,1,0,0,0,138.2,72,76.5,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,1,1,249.1
"KAN","RB","PRIESTHOLMES",276.9,2,"Priest Holmes*+",28,16,16,0,0,0,0,0,327,1555,4.76,8,62,614,9.9,2,277,142,2,2,0,0,0,155.5,48,61.4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,5,2,185.3
"GNB","RB","AHMANGREEN",264.1,3,"Ahman Green*",24,16,16,0,0,0,0,0,304,1387,4.56,9,62,594,9.58,2,264,129,3,3,0,0,0,138.7,54,59.4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,9,3,172.5
"SEA","RB","SHAUNALEXANDER",262.1,4,"Shaun Alexander",24,16,12,0,0,0,0,0,309,1318,4.27,14,44,343,7.8,2,262,127,4,4,0,0,0,131.8,84,34.3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,11,4,170.5
"NYJ","RB","CURTISMARTIN",248.02,6,"Curtis Martin*",28,16,16,1,1,18,1,0,333,1513,4.54,10,53,320,6.04,0,248,113,5,6,0.72,4,0,151.3,60,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,13,5,156.42
"IND","WR","MARVINHARRISON",242.7,5,"Marvin Harrison*",29,16,16,0,0,0,0,0,1,3,3,0,109,1524,13.98,15,243,114,1,5,0,0,0,0.3,0,152.4,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,14,1,142.2
"SFO","WR","TERRELLOWENS",239.3,7,"Terrell Owens*+",28,16,16,0,0,0,0,0,4,21,5.25,0,93,1412,15.18,16,239,110,2,7,0,0,0,2.1,0,141.2,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,16,2,138.8
"CIN","RB","COREYDILLON",230.3,8,"Corey Dillon*",27,16,16,0,1,0,0,1,340,1315,3.87,10,34,228,6.71,3,230,95,6,8,0,0,-2,131.5,60,22.8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,17,6,138.7
"SDG","RB","LADAINIANTOMLINSON",220.3,11,"LaDainian Tomlinson",22,16,16,0,0,0,0,0,339,1236,3.65,10,59,367,6.22,0,220,85,7,11,0,0,0,123.6,60,36.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,19,7,128.7
"NOR","RB","RICKYWILLIAMS",217.6,12,"Ricky Williams",24,16,16,0,0,0,0,0,313,1245,3.98,6,60,511,8.52,1,218,83,8,12,0,0,0,124.5,36,51.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,20,8,126
"NWE","RB","ANTOWAINSMITH",212.9,14,"Antowain Smith",29,16,15,0,0,0,0,0,287,1157,4.03,12,19,192,10.11,1,213,78,9,14,0,0,0,115.7,72,19.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,21,9,121.3
"ARI","WR","DAVIDBOSTON",211.3,13,"David Boston*+",23,16,15,0,0,0,0,0,5,35,7,0,98,1598,16.31,8,211,82,3,13,0,0,0,3.5,0,159.8,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,22,3,110.8
