"pos","name","points","overall_rank","name_info","team","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","pts","ydsA","passYdsA","rushYdsA","ptsA","int","fumlRec","sack","safety","blockfg","td","ptsAPG","fumlRecoveryPts","intCaughtPts","fgBlockedPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"QB","TOMBRADY",398.04,"1","Tom Brady*+","NWE",30,16,16,398,578,4806,50,8,37,98,2.65,2,0,0,NA,0,398,180,1,1,192.24,200,-16,9.8,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,207.18
"RB","LADAINIANTOMLINSON",307.58,"3","LaDainian Tomlinson*+","SDG",28,16,16,1,1,17,1,0,315,1474,4.68,15,60,475,7.92,3,308,166,1,3,0.68,4,0,147.4,90,47.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,203.88
"WR","RANDYMOSS",287.3,"2","Randy Moss*+","NWE",30,16,16,0,0,0,0,0,0,0,NA,0,98,1493,15.23,23,287,170,1,2,0,0,0,0,0,149.3,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,4,1,186.7
"RB","BRIANWESTBROOK",282.4,"4","Brian Westbrook*+","PHI",28,15,15,0,0,0,0,0,278,1333,4.79,7,90,771,8.57,5,282,141,2,4,0,0,0,133.3,42,77.1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,5,2,178.7
"RB","ADRIANPETERSON",238.9,"7","Adrian Peterson*","MIN",22,14,9,0,0,0,0,0,238,1341,5.63,12,19,268,14.11,1,239,97,3,7,0,0,0,134.1,72,26.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,12,3,135.2
"RB","CLINTONPORTIS",235.7,"9","Clinton Portis","WAS",26,16,16,1,1,15,1,0,325,1262,3.88,11,47,389,8.28,0,236,94,4,9,0.6,4,0,126.2,66,38.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,13,4,132
"RB","JOSEPHADDAI",233.6,"10","Joseph Addai*","IND",24,15,15,0,0,0,0,0,261,1072,4.11,12,41,364,8.88,3,236,94,5,10,0,0,0,107.2,72,36.4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,14,5,129.9
"WR","TERRELLOWENS",226,"5","Terrell Owens*+","DAL",34,15,15,0,0,0,0,0,1,5,5,0,81,1355,16.73,15,226,109,2,5,0,0,0,0.5,0,135.5,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,16,2,125.4
"WR","BRAYLONEDWARDS",224.9,"6","Braylon Edwards*","CLE",24,16,16,0,0,0,0,0,0,0,NA,0,80,1289,16.11,16,225,108,3,6,0,0,0,0,0,128.9,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,17,3,124.3
"RB","JAMALLEWIS",221.2,"14","Jamal Lewis","CLE",28,15,15,0,0,0,0,0,298,1304,4.38,9,30,248,8.27,2,221,79,6,14,0,0,0,130.4,54,24.8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,19,6,117.5
