"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"SFO","WR","JERRYRICE",253.2,1,"Jerry Rice*+",31,16,16,0,0,0,0,0,3,69,23,1,98,1503,15.34,15,253,149,1,1,0,0,0,6.9,6,150.3,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,3,1,163.3
"SFO","QB","STEVEYOUNG",297.82,3,"Steve Young*+",32,16,16,314,462,4023,29,16,69,407,5.9,2,2,2,1,0,298,129,1,3,160.92,116,-32,40.7,12,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,1,1,158.54
"DAL","RB","EMMITTSMITH",250,2,"Emmitt Smith*+",24,14,13,0,0,0,0,0,283,1486,5.25,9,57,414,7.26,1,250,136,1,2,0,0,0,148.6,54,41.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,4,1,155.5
"ATL","WR","ANDRERISON",214.2,4,"Andre Rison*",26,16,16,0,0,0,0,0,0,0,NA,0,86,1242,14.44,15,214,110,2,4,0,0,0,0,0,124.2,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,6,2,124.3
"DEN","QB","JOHNELWAY",256.5,9,"John Elway*",33,16,16,348,551,4030,25,10,44,153,3.48,0,0,0,NA,0,257,87,2,9,161.2,100,-20,15.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,2,2,117.22
"RAM","RB","JEROMEBETTIS",209.3,5,"Jerome Bettis*+",21,16,12,0,0,0,0,0,294,1429,4.86,7,26,244,9.38,0,209,96,2,5,0,0,0,142.9,42,24.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,7,2,114.8
"BUF","RB","THURMANTHOMAS",206.2,7,"Thurman Thomas*",27,16,16,0,1,0,0,0,355,1315,3.7,6,48,387,8.06,0,206,93,3,7,0,0,0,131.5,36,38.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,8,3,111.7
"GNB","WR","STERLINGSHARPE",194.24,8,"Sterling Sharpe*+",28,16,16,1,1,1,0,0,4,8,2,0,112,1274,11.38,11,194,90,3,8,0.04,0,0,0.8,0,127.4,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,11,3,104.34
"SFO","RB","RICKYWATTERS",193.6,10,"Ricky Watters*",24,13,13,0,0,0,0,0,208,950,4.57,10,31,326,10.52,1,194,80,4,10,0,0,0,95,60,32.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,12,4,99.1
"KAN","RB","MARCUSALLEN",190.2,11,"Marcus Allen*",33,16,10,0,0,0,0,0,206,764,3.71,12,34,238,7,3,190,77,5,11,0,0,0,76.4,72,23.8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,13,5,95.7
"DAL","WR","MICHAELIRVIN",175.6,12,"Michael Irvin*",27,16,16,0,0,0,0,0,2,6,3,0,88,1330,15.11,7,176,71,4,12,0,0,0,0.6,0,133,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,20,4,85.7
"NWE","RB","LEONARDRUSSELL",175.3,14,"Leonard Russell",24,16,15,0,0,0,0,0,300,1088,3.63,7,26,245,9.42,0,175,62,6,14,0,0,0,108.8,42,24.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,21,6,80.8
"HOU","RB","GARYBROWN",172.2,15,"Gary Brown",24,16,8,0,0,0,0,0,195,1002,5.14,6,21,240,11.43,2,172,59,7,15,0,0,0,100.2,36,24,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,22,7,77.7
"RAI","QB","JEFFHOSTETLER",215.88,25,"Jeff Hostetler",32,15,15,236,419,3242,14,10,55,202,3.67,5,0,0,NA,0,216,47,3,25,129.68,56,-20,20.2,30,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,5,3,76.6
"NYJ","RB","JOHNNYJOHNSON",170.2,17,"Johnny Johnson",25,15,9,0,0,0,0,0,198,821,4.15,3,67,641,9.57,1,170,57,8,17,0,0,0,82.1,18,64.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,23,8,75.7
"ATL","RB","ERRICPEGRAM",166.7,22,"Erric Pegram",24,16,14,0,0,0,0,0,292,1185,4.06,3,33,302,9.15,0,167,53,9,22,0,0,0,118.5,18,30.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,25,9,72.2
"MIN","WR","CRISCARTER",161.1,16,"Cris Carter*",28,16,16,0,0,0,0,0,0,0,NA,0,86,1071,12.45,9,161,57,5,16,0,0,0,0,0,107.1,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,29,5,71.2
"RAI","WR","TIMBROWN",160.7,19,"Tim Brown*",27,16,16,0,0,0,0,0,2,7,3.5,0,80,1180,14.75,7,161,56,6,19,0,0,0,0.7,0,118,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,30,6,70.8
"DEN","TE","SHANNONSHARPE",153.5,6,"Shannon Sharpe*+",25,16,12,0,0,0,0,0,0,0,NA,0,81,995,12.28,9,154,95,1,6,0,0,0,0,0,99.5,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,37,1,68.6
"SDG","WR","ANTHONYMILLER",158.2,21,"Anthony Miller*",28,16,16,0,0,0,0,0,1,0,0,0,84,1162,13.83,7,158,54,7,21,0,0,0,0,0,116.2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,35,7,68.3
"MIA","RB","TERRYKIRBY",162.4,23,"Terry Kirby",23,16,8,0,0,0,0,0,119,390,3.28,3,75,874,11.65,3,162,49,10,23,0,0,0,39,18,87.4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,27,10,67.9
"GNB","RB","EDGARBENNETT",160.7,24,"Edgar Bennett",24,16,14,0,0,0,0,0,159,550,3.46,9,59,457,7.75,1,161,47,11,24,0,0,0,55,54,45.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,30,11,66.2
"PHI","RB","HERSCHELWALKER",159.6,26,"Herschel Walker",31,16,16,0,0,0,0,0,174,746,4.29,1,75,610,8.13,3,160,46,12,26,0,0,0,74.6,6,61,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,32,12,65.1
"SEA","RB","CHRISWARREN",159.1,27,"Chris Warren*",25,14,14,0,0,0,0,0,273,1072,3.93,7,15,99,6.6,0,159,45,13,27,0,0,0,107.2,42,9.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,33,13,64.6
"NYG","RB","RODNEYHAMPTON",158.7,28,"Rodney Hampton*",24,12,10,0,0,0,0,0,292,1077,3.69,5,18,210,11.67,0,159,45,14,28,0,0,0,107.7,30,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,34,14,64.2
"PHO","RB","RONALDMOORE",157.4,29,"Ronald Moore",23,16,11,0,0,0,0,0,263,1018,3.87,9,3,16,5.33,0,157,44,15,29,0,0,0,101.8,54,1.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,36,15,62.9
"HOU","QB","WARRENMOON",201.9,35,"Warren Moon*",37,15,14,303,520,3485,21,21,48,145,3.02,1,0,0,NA,0,202,33,4,35,139.4,84,-42,14.5,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,9,4,62.62
"NYJ","QB","BOOMERESIASON",195.84,41,"Boomer Esiason*",32,16,16,288,473,3421,16,11,45,118,2.62,1,1,-8,-8,0,196,27,5,41,136.84,64,-22,11.8,6,-0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,10,5,56.56
"DET","RB","BARRYSANDERS",150,32,"Barry Sanders*",25,11,11,0,0,0,0,0,243,1115,4.59,3,36,205,5.69,0,150,36,16,32,0,0,0,111.5,18,20.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,38,16,55.5
"PIT","RB","BARRYFOSTER",146.8,34,"Barry Foster*",25,9,9,0,0,0,0,0,177,711,4.02,8,27,217,8.04,1,147,33,17,34,0,0,0,71.1,48,21.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,39,17,52.3
"GNB","QB","BRETTFAVRE",187.72,52,"Brett Favre*",24,16,16,318,522,3303,19,24,58,216,3.72,1,0,0,NA,0,188,19,6,52,132.12,76,-48,21.6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,14,6,48.44
"WAS","RB","REGGIEBROOKS",142.9,37,"Reggie Brooks",22,16,11,0,0,0,0,0,223,1063,4.77,3,21,186,8.86,0,143,29,18,37,0,0,0,106.3,18,18.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,40,18,48.4
"DEN","RB","RODBERNSTINE",142.8,38,"Rod Bernstine",28,15,14,0,0,0,0,0,223,816,3.66,4,44,372,8.45,0,143,29,19,38,0,0,0,81.6,24,37.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,41,19,48.3
"ATL","QB","BOBBYHEBERT",186.02,54,"Bobby Hebert*",33,14,12,263,430,2978,24,17,24,49,2.04,0,0,0,NA,0,186,17,7,54,119.12,96,-34,4.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,15,7,46.74
"DAL","QB","TROYAIKMAN",184.5,56,"Troy Aikman*",27,14,14,271,392,3100,15,6,32,125,3.91,0,0,0,NA,0,185,15,8,56,124,60,-12,12.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,16,8,45.22
"PHO","WR","RICKYPROEHL",134.4,36,"Ricky Proehl",25,16,16,0,0,0,0,0,8,47,5.88,0,65,877,13.49,7,134,30,8,36,0,0,0,4.7,0,87.7,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,47,8,44.5
"KAN","WR","WILLIEDAVIS",132.9,39,"Willie Davis",26,16,15,0,0,0,0,0,0,0,NA,0,52,909,17.48,7,133,29,9,39,0,0,0,0,0,90.9,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,50,9,43
