"pos","name","points","overall_rank","name_info","team","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","pts","ydsA","passYdsA","rushYdsA","ptsA","int","fumlRec","sack","safety","blockfg","td","ptsAPG","fumlRecoveryPts","intCaughtPts","fgBlockedPts","sackPts","safetyPts","tdPts","paPts","year","overallRank","positionRank","vor"
"RB","DEANGELOWILLIAMS",283.6,"1","DeAngelo Williams","CAR",25,16,16,0,0,0,0,0,273,1515,5.55,18,22,121,5.5,2,286,137,1,1,0,0,0,151.5,108,12.1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,3,1,165.8
"RB","MICHAELTURNER",276,"2","Michael Turner*+","ATL",26,16,16,0,0,0,0,0,376,1699,4.52,17,6,41,6.83,0,276,128,2,2,0,0,0,169.9,102,4.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,6,2,158.2
"RB","ADRIANPETERSON",248.5,"3","Adrian Peterson*+","MIN",23,16,15,0,0,0,0,0,363,1760,4.85,10,21,125,5.95,0,249,100,3,3,0,0,0,176,60,12.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,11,3,130.7
"RB","MATTFORTE",243.5,"5","Matt Forte","CHI",23,16,16,0,0,0,0,0,316,1238,3.92,8,63,477,7.57,4,244,95,4,5,0,0,0,123.8,48,47.7,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,12,4,125.7
"RB","THOMASJONES",241.9,"6","Thomas Jones*","NYJ",30,16,14,0,0,0,0,0,290,1312,4.52,13,36,207,5.75,2,242,94,5,6,0,0,0,131.2,78,20.7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,13,5,124.1
"WR","LARRYFITZGERALD",215.1,"4","Larry Fitzgerald*+","ARI",25,16,16,0,0,0,0,0,0,0,NA,0,96,1431,14.91,12,215,98,1,4,0,0,0,0,0,143.1,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,23,1,114.5
"QB","DREWBREES",304.66,"9","Drew Brees*","NOR",29,16,16,413,635,5069,34,17,22,-1,-0.05,0,0,0,NA,0,305,87,1,9,202.76,136,-34,-0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1,1,108.66
"RB","STEVESLATON",225.9,"12","Steve Slaton","HOU",22,16,15,0,0,0,0,0,268,1282,4.78,9,50,377,7.54,1,226,78,6,12,0,0,0,128.2,54,37.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,14,6,108.1
"RB","LADAINIANTOMLINSON",225.6,"13","LaDainian Tomlinson","SDG",29,16,16,0,0,0,0,0,292,1110,3.8,11,52,426,8.19,1,226,77,7,13,0,0,0,111,66,42.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,15,7,107.8
"RB","CLINTONPORTIS",224.5,"14","Clinton Portis*","WAS",27,16,16,0,0,0,0,0,342,1487,4.35,9,28,218,7.79,0,225,76,8,14,0,0,0,148.7,54,21.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,16,8,106.7
"RB","MAURICEJONESDREW",222.9,"15","Maurice Jones-Drew","JAX",23,16,3,0,0,0,0,0,197,824,4.18,12,62,565,9.11,2,223,75,9,15,0,0,0,82.4,72,56.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,17,9,105.1
"WR","ANDREJOHNSON",205.5,"7","Andre Johnson*+","HOU",27,16,16,0,0,0,0,0,0,0,NA,0,115,1575,13.7,8,208,91,2,7,0,0,0,0,0,157.5,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,25,2,104.9
"WR","CALVINJOHNSON",205,"8","Calvin Johnson","DET",23,16,16,0,0,0,0,0,3,-1,-0.33,0,78,1331,17.06,12,207,90,3,8,0,0,0,-0.1,0,133.1,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,26,3,104.4
"RB","BRIANWESTBROOK",217.8,"16","Brian Westbrook","PHI",29,14,14,0,0,0,0,0,233,936,4.02,9,54,402,7.44,5,218,70,10,16,0,0,0,93.6,54,40.2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,22,10,100
"QB","AARONRODGERS",292.22,"11","Aaron Rodgers","GNB",25,16,16,341,536,4038,28,13,56,207,3.7,4,0,0,NA,0,296,78,2,11,161.52,112,-26,20.7,24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,2,2,96.22
