"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"DET","RB","BARRYSANDERS",319.8,1,"Barry Sanders*+",29,16,16,0,0,0,0,0,335,2053,6.13,11,33,305,9.24,3,320,186,1,1,0,0,0,205.3,66,30.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,1,1,223.5
"DEN","RB","TERRELLDAVIS",293.7,2,"Terrell Davis*+",25,15,15,0,0,0,0,0,369,1750,4.74,15,42,287,6.83,0,300,166,2,2,0,0,0,175,90,28.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,2,2,197.4
"GNB","RB","DORSEYLEVENS",252.5,3,"Dorsey Levens*",27,16,16,0,0,0,0,0,329,1435,4.36,7,53,370,6.98,5,255,121,3,3,0,0,0,143.5,42,37,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,7,3,156.2
"PIT","RB","JEROMEBETTIS",231.5,4,"Jerome Bettis*",25,15,15,0,0,0,0,0,375,1665,4.44,7,15,110,7.33,2,232,98,4,4,0,0,0,166.5,42,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,10,4,135.2
"OAK","RB","NAPOLEONKAUFMAN",217.7,8,"Napoleon Kaufman",24,16,16,0,1,0,0,0,272,1294,4.76,6,40,403,10.08,2,218,84,5,8,0,0,0,129.4,36,40.3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,14,5,121.4
"MIA","RB","KARIMABDULJABBAR",211.3,10,"Karim Abdul-Jabbar",23,16,14,0,0,0,0,0,283,892,3.15,15,29,261,9,1,211,78,6,10,0,0,0,89.2,90,26.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,15,6,115
"ARI","WR","ROBMOORE",206.4,6,"Rob Moore*+",29,16,16,0,0,0,0,0,0,0,NA,0,97,1584,16.33,8,208,93,1,6,0,0,0,0,0,158.4,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,16,1,107.5
"IND","RB","MARSHALLFAULK",200.5,17,"Marshall Faulk",24,16,16,0,0,0,0,0,264,1054,3.99,7,47,471,10.02,1,201,67,7,17,0,0,0,105.4,42,47.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,18,7,104.2
"GNB","QB","BRETTFAVRE",287.38,5,"Brett Favre*+",28,16,16,304,513,3867,35,16,58,187,3.22,1,0,0,NA,0,291,96,1,5,154.68,140,-32,18.7,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,3,1,102.62
"CIN","RB","COREYDILLON",198.8,19,"Corey Dillon",23,16,6,0,0,0,0,0,233,1129,4.85,10,27,259,9.59,0,199,65,8,19,0,0,0,112.9,60,25.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,19,8,102.5
