"name","name_yahoo","pos","team_yahoo","actualPts"
"GREGOLSEN","Greg Olsen","TE","CAR",111.6
"BENTATE","Ben Tate","RB","CLE",111.1
"NATEWASHINGTON","Nate Washington","WR","TEN",109.9
"CASEKEENUM","Case Keenum","QB","HOU",109.6
"DOUGBALDWIN","Doug Baldwin","WR","SEA",108.4
"LEGARRETTEBLOUNT","LeGarrette Blount","RB","PIT",107
"RODSTREATER","Rod Streater","WR","OAK",106.5
"EDDIEROYAL","Eddie Royal","WR","SD",105.2
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",104.7
"GREGJENNINGS","Greg Jennings","WR","MIN",104.4
"BILALPOWELL","Bilal Powell","RB","NYJ",104.1
"MICHAELVICK","Michael Vick","QB","NYJ",104
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",103.9
"TRENTRICHARDSON","Trent Richardson","RB","IND",103.9
"JAKELOCKER","Jake Locker","QB","TEN",103.74
"DARRENSPROLES","Darren Sproles","RB","PHI",102.4
"CHRISIVORY","Chris Ivory","RB","NYJ",102.3
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",102
"ANTONIOGATES","Antonio Gates","TE","SD",101.2
"DENARIUSMOORE","Denarius Moore","WR","OAK",99.5
"BRANDONWEEDEN","Brandon Weeden","QB","DAL",98.64
"STEVESMITHSR","Steve Smith Sr.","WR","BAL",98.5
"LAMARMILLER","Lamar Miller","RB","MIA",97.9
"JAMESJONES","James Jones","WR","OAK",97.7
"DWAYNEBOWE","Dwayne Bowe","WR","KC",97.3
"MIKETOLBERT","Mike Tolbert","RB","CAR",96.5
"CECILSHORTSIII","Cecil Shorts III","WR","JAX",95.7
"BOBBYRAINEY","Bobby Rainey","RB","TB",95.2
"RUEBENRANDLE","Rueben Randle","WR","NYG",95.1
"BRANDONLAFELL","Brandon LaFell","WR","NE",94.2
"DELANIEWALKER","Delanie Walker","TE","TEN",93.1
"TAVONAUSTIN","Tavon Austin","WR","STL",90.9
"DEANDREHOPKINS","DeAndre Hopkins","WR","HOU",90.2
"MARLONBROWN","Marlon Brown","WR","BAL",90.2
"HAKEEMNICKS","Hakeem Nicks","WR","IND",89.6
"JACQUIZZRODGERS","Jacquizz Rodgers","RB","ATL",89.3
"KENNYSTILLS","Kenny Stills","WR","NO",89.1
"JAREDCOOK","Jared Cook","TE","STL",89.1
"COBYFLEENER","Coby Fleener","TE","IND",88.8
"MONTEEBALL","Montee Ball","RB","DEN",88.4
"KELLENCLEMENS","Kellen Clemens","QB","SD",88.32
"MATTMCGLOIN","Matt McGloin","QB","OAK",86.58
"ARIANFOSTER","Arian Foster","RB","HOU",86.5
"JARRETTBOYKIN","Jarrett Boykin","WR","GB",86.1
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",83.2
"DANIELTHOMAS","Daniel Thomas","RB","MIA",82.9
"GARRETTGRAHAM","Garrett Graham","TE","HOU",82.5
"TEDGINNJR","Ted Ginn Jr.","WR","ARI",82.5
"JAMESSTARKS","James Starks","RB","GB",82.2
"SHANEVEREEN","Shane Vereen","RB","NE",81.5
"DARRENMCFADDEN","Darren McFadden","RB","OAK",81.34
"TIMWRIGHT","Tim Wright","TE","TB",81.3
"RODDYWHITE","Roddy White","WR","ATL",81.1
"ROBERTWOODS","Robert Woods","WR","BUF",80.3
"MARCELREECE","Marcel Reece","RB","OAK",79.78
"STEVIEJOHNSON","Stevie Johnson","WR","SF",78.7
"JEROMESIMPSON","Jerome Simpson","WR","MIN",78.6
"BRENTCELEK","Brent Celek","TE","PHI",78.2
"MATTFLYNN","Matt Flynn","QB","GB",77.18
"ROYHELUJR","Roy Helu Jr.","RB","WAS",76.5
"BRANDONMYERS","Brandon Myers","TE","TB",76.2
"AARONDOBSON","Aaron Dobson","WR","NE",75.9
"SCOTTCHANDLER","Scott Chandler","TE","BUF",75.5
"DANNYAMENDOLA","Danny Amendola","WR","NE",75.4
"ANDREBROWN","Andre Brown","RB","HOU",73.5
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",71.4
"ZACHERTZ","Zach Ertz","TE","PHI",70.9
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR","NE",70.6
"DONNIEAVERY","Donnie Avery","WR","KC",70.2
"JORDANREED","Jordan Reed","TE","WAS",69.7
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",69.6
"JULIOJONES","Julio Jones","WR","ATL",68.7
"ZACHMILLER","Zach Miller","TE","SEA",68.7
"CHRISOGBONNAYA","Chris Ogbonnaya","RB","CLE",66.3
"BERNARDPIERCE","Bernard Pierce","RB","BAL",66
"REGGIEWAYNE","Reggie Wayne","WR","IND",64.8
"JOSEPHFAURIA","Joseph Fauria","TE","DET",64.7
"MYCHALRIVERA","Mychal Rivera","TE","OAK",64.7
"AUSTINPETTIS","Austin Pettis","WR","STL",63.9
"JERMAINEGRESHAM","Jermaine Gresham","TE","CIN",63.8
"JEFFCUMBERLAND","Jeff Cumberland","TE","NYJ",63.8
"JACOBYJONES","Jacoby Jones","WR","BAL",63.5
"HEATHMILLER","Heath Miller","TE","PIT",63.3
"RANDALLCOBB","Randall Cobb","WR","GB",63.1
"TIQUANUNDERWOOD","Tiquan Underwood","WR","CAR",62
"JARIUSWRIGHT","Jarius Wright","WR","MIN",61.4
"BRANDONBOLDEN","Brandon Bolden","RB","NE",60.3
"ACESANDERS","Ace Sanders","WR","JAX",59.64
"JUSTINHUNTER","Justin Hunter","WR","TEN",59.4
"KRISDURHAM","Kris Durham","WR","DET",59
"GREGLITTLE","Greg Little","WR","OAK",58.5
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",58.1
"MARCEDESLEWIS","Marcedes Lewis","TE","JAX",57.9
"THADLEWIS","Thad Lewis","QB","BUF",57.88
"SHONNGREENE","Shonn Greene","RB","TEN",57.4
"RISHARDMATTHEWS","Rishard Matthews","WR","MIA",56.8
"JERMAINEKEARSE","Jermaine Kearse","WR","SEA",56.6
"TYLEREIFERT","Tyler Eifert","TE","CIN",56.5
"DOUGMARTIN","Doug Martin","RB","TB",56.2
"SANTANAMOSS","Santana Moss","WR","WAS",55.7
"CHRISGIVENS","Chris Givens","WR","STL",55.7
"LEONARDHANKERSON","Leonard Hankerson","WR","WAS",55.5
"JORDANTODMAN","Jordan Todman","RB","JAX",55.2
"JASONAVANT","Jason Avant","WR","CAR",54.7
"MIKEBROWN","Mike Brown","WR","JAX",54.6
"DAVIDNELSON","David Nelson","WR","NYJ",54.3
"VINCENTBROWN","Vincent Brown","WR","SD",53.2
"KENDALLHUNTER","Kendall Hunter","RB","SF",53.1
"ANDREROBERTS","Andre Roberts","WR","WAS",53.1
"DALLASCLARK","Dallas Clark","TE","BAL",52.3
"BRANDONPETTIGREW","Brandon Pettigrew","TE","DET",51.6
"SANTONIOHOLMES","Santonio Holmes","WR","NYJ",51.6
"MARKINGRAM","Mark Ingram","RB","NO",51.4
"ROBHOUSLER","Rob Housler","TE","ARI",51.4
"NATEBURLESON","Nate Burleson","WR","CLE",51.3
"KELLENWINSLOW","Kellen Winslow","TE","NYJ",50.8
"BRANDONGIBSON","Brandon Gibson","WR","MIA",50.6
"EARLBENNETT","Earl Bennett","WR","CLE",50.3
"LANCEKENDRICKS","Lance Kendricks","TE","STL",49.8
"WILLISMCGAHEE","Willis McGahee","RB","CLE",49.7
"LANCEMOORE","Lance Moore","WR","PIT",49.7
"LADARIUSGREEN","Ladarius Green","TE","SD",49.6
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",49.3
"ANDREHOLMES","Andre Holmes","WR","OAK",49.1
"COLEBEASLEY","Cole Beasley","WR","DAL",48.8
"MICHAELBUSH","Michael Bush","RB","CHI",48.5
"DAVONEBESS","Davone Bess","WR","CLE",48.2
"ALDRICKROBINSON","Aldrick Robinson","WR","WAS",48.1
"JERMICHAELFINLEY","Jermichael Finley","TE","GB",48
"BRYCEBROWN","Bryce Brown","RB","BUF",47.8
"KNILEDAVIS","Knile Davis","RB","KC",47.7
"JUSTINBLACKMON","Justin Blackmon","WR","JAX",47.4
"TOBYGERHART","Toby Gerhart","RB","JAX",47.1
"MARQUISEGOODWIN","Marquise Goodwin","WR","BUF",45.6
"PEYTONHILLIS","Peyton Hillis","RB","NYG",44.3
"BRIANHOYER","Brian Hoyer","QB","CLE",43.2
"OWENDANIELS","Owen Daniels","TE","BAL",43.2
"ANDREWQUARLESS","Andrew Quarless","TE","GB",43.2
"JERRELJERNIGAN","Jerrel Jernigan","WR","NYG",42.6
"BRIANQUICK","Brian Quick","WR","STL",42.2
"SEANMCGRATH","Sean McGrath","TE","KC",42.2
"DARRIUSHEY","Darrius Hey","WR","WAR",41.5
"TJGRAHAM","T.J. Graham","WR","BUF",41.5
"KESHAWNMARTIN","Keshawn Martin","WR","HOU",41.3
"LOGANPAULSEN","Logan Paulsen","TE","WAS",40.7
"KIRKCOUSINS","Kirk Cousins","QB","WAS",40.56
"CLAYHARBOR","Clay Harbor","TE","JAX",39.2
"SCOTTTOLZIEN","Scott Tolzien","QB","GB",39.18
"SIDNEYRICE","Sidney Rice","WR","SEA",39.1
"KEVINOGLETREE","Kevin Ogletree","WR","DET",38.9
"ANDRECALDWELL","Andre Caldwell","WR","DEN",38.7
"JOHNCARLSON","John Carlson","TE","ARI",38.4
"ROBERTMEACHEM","Robert Meachem","WR","NO",38.3
"STEPHENHILL","Stephen Hill","WR","NYJ",38.2
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",38
"ANTHONYFASANO","Anthony Fasano","TE","KC",38
"MIKEJAMES","Mike James","RB","TB",37.88
"RONNIEHILLMAN","Ronnie Hillman","RB","DEN",37.7
"DARRELYOUNG","Darrel Young","RB","WAS",35.2
"EDWINBAKER","Edwin Baker","RB","CLE",34.8
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",34.8
"BENJAMINWATSON","Benjamin Watson","TE","NO",34.6
"TANDONDOSS","Tandon Doss","WR","JAX",34.5
"JOSEPHRANDLE","Joseph Randle","RB","DAL",34.5
"JOSHFREEMAN","Josh Freeman","QB","NYG",34.44
"MICHAELCRABTREE","Michael Crabtree","WR","SF",34.4
"MATTASIATA","Matt Asiata","RB","MIN",33.9
"CHRISPOLK","Chris Polk","RB","PHI",33.9
"DREWDAVIS","Drew Davis","WR","ATL",33.6
"DARYLRICHARDSON","Daryl Richardson","RB","NYJ",33.6
"MIKEWILLIAMS","Mike Williams","WR","BUF",33.6
"EDDICKSON","Ed Dickson","TE","CAR",33.3
"LUKEWILLSON","Luke Willson","TE","SEA",33.2
"GRIFFWHALEN","Griff Whalen","WR","IND",31.9
"STEDMANBAILEY","Stedman Bailey","WR","STL",31.9
"JIMDRAY","Jim Dray","TE","CLE",31.5
"DARICKROGERS","Da'Rick Rogers","WR","IND",31.2
"RYANGRIFFIN","Ryan Griffin","TE","HOU",30.4
"ROBERTTURBIN","Robert Turbin","RB","SEA",30.4
"FOZZYWHITTAKER","Fozzy Whittaker","RB","CLE",29.4
"KHIRYROBINSON","Khiry Robinson","RB","NO",28.4
"LAVONBRAZILL","LaVon Brazill","WR","IND",28.1
"RONNIEBROWN","Ronnie Brown","RB","SD",27.7
"ANTONESMITH","Antone Smith","RB","ATL",27.5
"JEREMYROSS","Jeremy Ross","WR","DET",26.7
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",26.1
"BRUCEMILLER","Bruce Miller","RB","SF",25.6
"DARIUSJOHNSON","Darius Johnson","WR","ATL",25
"GARYBARNIDGE","Gary Barnidge","TE","CLE",24.7
"DWAYNEHARRIS","Dwayne Harris","WR","DAL",24.6
"FRANKSUMMERS","Frank Summers","RB","BUF",24.5
"JACOBTAMME","Jacob Tamme","TE","DEN",24.4
"MILESAUSTIN","Miles Austin","WR","CLE",24.4
"JACKIEBATTLE","Jackie Battle","RB","TEN",23.8
"CORYHARKEY","Cory Harkey","TE","STL",23.3
"DENNISJOHNSON","Dennis Johnson","RB","HOU",22.9
"DENNISPITTA","Dennis Pitta","TE","BAL",22.9
"KERRYTAYLOR","Kerry Taylor","WR","JAX",22.9
"FELIXJONES","Felix Jones","RB","PIT",22.7
"JOSHMORGAN","Josh Morgan","WR","CHI",22.7
"JUNIORHEMINGWAY","Junior Hemingway","WR","KC",22.5
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",22.4
"ANTHONYDIXON","Anthony Dixon","RB","BUF",20.6
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",20.2
"JARONBROWN","Jaron Brown","WR","ARI",20
"ANTHONYSHERMAN","Anthony Sherman","RB","KC",19.8
"MICHAELHOOMANAWANUI","Michael Hoomanawanui","TE","NE",19.6
"STANLEYHAVILI","Stanley Havili","RB","IND",19.5
"BLAINEGABBERT","Blaine Gabbert","QB","SF",19.44
"GAVINESCOBAR","Gavin Escobar","TE","DAL",19.4
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",19
"LANCEDUNBAR","Lance Dunbar","RB","DAL",18.9
"STEPFANTAYLOR","Stepfan Taylor","RB","ARI",18.6
"BRANDONBOSTICK","Brandon Bostick","TE","GB",18
"JOHNATHANFRANKLIN","Johnathan Franklin","RB","GB",17.7
"LEVINETOILOLO","Levine Toilolo","TE","ATL",17.5
"MARCUSTHIGPEN","Marcus Thigpen","RB","MIA",17.5
"DAVIDWILSON","David Wilson","RB","NYG",17.4
"TARVARISJACKSON","Tarvaris Jackson","QB","SEA",16.14
"JOHNKUHN","John Kuhn","RB","GB",15.9
"JEDCOLLINS","Jed Collins","RB","DET",15.9
"DAMIANWILLIAMS","Damian Williams","WR","MIA",15.8
"MICHAELPRESTON","Michael Preston","WR","TEN",15.7
"DEVIERPOSEY","DeVier Posey","WR","HOU",15.5
"JEFFTUEL","Jeff Tuel","QB","BUF",15.06
"MALCOMFLOYD","Malcom Floyd","WR","SD",14.9
"KYLEORTON","Kyle Orton","QB","DAL",14.72
"GREGSALAS","Greg Salas","WR","NYJ",14.3
"CHASEDANIEL","Chase Daniel","QB","KC",14.12
"BRITTANGOLDEN","Brittan Golden","WR","ARI",13.6
"KYLEWILLIAMS","Kyle Williams","WR","KC",13.6
"AJJENKINS","A.J. Jenkins","WR","KC",13.6
"JAKEBALLARD","Jake Ballard","TE","ARI",13.5
"CHASEFORD","Chase Ford","TE","MIN",13.3
"JAMESDEVELIN","James Develin","RB","NE",13.2
"TOMMYBOHANON","Tommy Bohanon","RB","NYJ",13.1
"FREDDAVIS","Fred Davis","TE","WAS",13
"VONTALEACH","Vonta Leach","RB","BAL",13
"JONATHANGRIMES","Jonathan Grimes","RB","HOU",12.9
"JEFFMAEHL","Jeff Maehl","WR","PHI",12.7
"DERRICKCOLEMAN","Derrick Coleman","RB","SEA",12.5
"SEYIAJIROTUTU","Seyi Ajirotutu","WR","SD",12.4
"CLYDEGATES","Clyde Gates","WR","NYJ",12.2
"JOSHBOYCE","Josh Boyce","WR","NE",12.1
"RHETTELLISON","Rhett Ellison","TE","MIN",12.1
"VANCEMCDONALD","Vance McDonald","TE","SF",11.9
"ISAIAHPEAD","Isaiah Pead","RB","STL",11.9
"DOMENIKHIXON","Domenik Hixon","WR","CHI",11.5
"CHRISOWUSU","Chris Owusu","WR","TB",11.4
"CHRISGRAGG","Chris Gragg","TE","BUF",11.3
"JUSTINFORSETT","Justin Forsett","RB","BAL",11.3
"THEORIDDICK","Theo Riddick","RB","DET",11.1
"MATTSIMMS","Matt Simms","QB","NYJ",10.94
"JOELDREESSEN","Joel Dreessen","TE","DEN",10.7
"PHILLIPTANNER","Phillip Tanner","RB","DAL",10.5
"BRICEBUTLER","Brice Butler","WR","OAK",10.3
"WILLJOHNSON","Will Johnson","RB","PIT",10.1
"JOSHHILL","Josh Hill","TE","NO",9.6
"KENNYBRITT","Kenny Britt","WR","STL",9.6
"DEONTETHOMPSON","Deonte Thompson","WR","BAL",9.6
"JACOBYFORD","Jacoby Ford","WR","NYJ",9.4
"KELLENDAVIS","Kellen Davis","TE","NYG",9.2
"DIONSIMS","Dion Sims","TE","MIA",9.2
"DANIELHERRON","Daniel Herron","RB","IND",9
"JERONMASTRUD","Jeron Mastrud","TE","OAK",8.8
"TRINDONHOLLIDAY","Trindon Holliday","WR","NYG",8.7
"MARIOMANNINGHAM","Mario Manningham","WR","NYG",8.5
"RYANBROYLES","Ryan Broyles","WR","DET",8.5
"CHRISHOGAN","Chris Hogan","WR","BUF",8.3
"BEARPASCOE","Bear Pascoe","TE","ATL",8.3
