"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushAtt","rushYds","rushTds","recTgts","rec","recYds","recTds","returnTDs","twoPts","fumbles","pts"
"DANIELFELLS","Daniel Fells","TE","NYG",0,0,0,0,0,0,20,16,188,4,0,0,1,40.8
"DIONSIMS","Dion Sims","TE","MIA",0,0,0,0,0,0,36,24,284,2,0,0,0,40.4
"DARRELYOUNG","Darrel Young","RB","WAS",0,0,0,9,22,3,14,11,81,2,0,0,0,40.3
"BRICEBUTLER","Brice Butler","WR","OAK",0,0,0,0,0,0,35,21,280,2,0,0,0,40
"VICTORCRUZ","Victor Cruz","WR","NYG",0,0,0,0,0,0,41,23,337,1,0,0,0,39.7
"MARCELREECE","Marcel Reece","RB","OAK",0,0,0,21,85,0,59,37,265,1,0,0,1,39
"DEANTHONYTHOMAS","De'Anthony Thomas","RB","KC",0,0,0,14,113,1,31,23,156,0,1,0,0,38.9
"BRENTCELEK","Brent Celek","TE","PHI",0,0,0,0,0,0,51,32,340,1,0,0,1,38
"VERNONDAVIS","Vernon Davis","TE","SF",0,0,0,1,4,0,50,26,245,2,0,0,0,36.9
"DAMIENWILLIAMS","Damien Williams","RB","MIA",0,0,0,36,122,0,27,21,187,1,0,0,0,36.9
"DEXTERMCCLUSTER","Dexter McCluster","RB","TEN",0,0,0,40,131,0,36,26,197,1,0,0,1,36.8
"BRANDONGIBSON","Brandon Gibson","WR","MIA",0,0,0,0,0,0,51,29,295,1,0,0,0,35.5
"BRANDONLLOYD","Brandon Lloyd","WR","SF",0,0,0,0,0,0,35,14,294,1,0,0,0,35.4
"KYLERUDOLPH","Kyle Rudolph","TE","MIN",0,0,0,0,0,0,34,24,231,2,0,0,0,35.1
"JARONBROWN","Jaron Brown","WR","ARI",0,0,0,0,0,0,32,22,229,2,0,0,0,34.9
"CLAYHARBOR","Clay Harbor","TE","JAX",0,0,0,0,0,0,35,26,289,1,0,0,0,34.9
"TRAVARISCADET","Travaris Cadet","RB","NO",0,0,0,10,32,0,51,38,296,1,0,0,2,34.8
"RICHARDRODGERS","Richard Rodgers","TE","GB",0,0,0,0,0,0,30,20,225,2,0,0,0,34.5
"GAVINESCOBAR","Gavin Escobar","TE","DAL",0,0,0,0,0,0,13,9,105,4,0,0,0,34.5
"LEVINETOILOLO","Levine Toilolo","TE","ATL",0,0,0,0,0,0,53,31,238,2,0,0,1,33.8
"LANCEMOORE","Lance Moore","WR","PIT",0,0,0,0,0,0,26,14,198,2,0,1,0,33.8
"JEREMYROSS","Jeremy Ross","WR","DET",0,0,0,2,-1,0,35,24,314,1,0,0,2,33.3
"PAULRICHARDSON","Paul Richardson","WR","SEA",0,0,0,0,0,0,44,29,271,1,0,0,0,33.1
"MARCEDESLEWIS","Marcedes Lewis","TE","JAX",0,0,0,0,0,0,31,18,206,2,0,0,0,32.6
"FOZZYWHITTAKER","Fozzy Whittaker","RB","CAR",0,0,0,32,145,1,6,5,60,1,0,0,0,32.5
"AUSTINSEFE","Austin Sefe","TE","RIA",0,0,0,0,0,0,38,21,221,2,0,0,1,32.1
"CHASEFORD","Chase Ford","TE","MIN",0,0,0,0,0,0,35,23,258,1,0,0,0,31.8
"RICARDOLOCKETTE","Ricardo Lockette","WR","SEA",0,0,0,1,2,0,15,11,195,2,0,0,0,31.7
"LEONWASHINGTON","Leon Washington","RB","TEN",0,0,0,13,57,0,31,22,159,2,0,0,1,31.6
"LANCEDUNBAR","Lance Dunbar","RB","DAL",0,0,0,29,99,0,22,18,217,0,0,0,0,31.6
"DEREKHAGAN","Derek Hagan","WR","TEN",0,0,0,0,0,0,34,19,254,1,0,0,0,31.4
"CHADHENNE","Chad Henne","QB","JAX",492,3,1,4,25,0,0,0,0,0,0,0,1,31.18
"ERICEBRON","Eric Ebron","TE","DET",0,0,0,0,0,0,47,25,248,1,0,0,0,30.8
"COOPERHELFET","Cooper Helfet","TE","SEA",0,0,0,0,0,0,24,12,185,2,0,0,0,30.5
"JOSHGORDON","Josh Gordon","WR","CLE",0,0,0,0,0,0,47,24,303,0,0,0,0,30.3
"JIMDRAY","Jim Dray","TE","CLE",0,0,0,0,0,0,28,17,242,1,0,0,0,30.2
"BRUCEMILLER","Bruce Miller","RB","SF",0,0,0,6,9,0,25,18,189,2,0,0,1,29.8
"BILALPOWELL","Bilal Powell","RB","NYJ",0,0,0,33,141,1,16,11,92,0,0,0,0,29.3
"RHETTELLISON","Rhett Ellison","TE","MIN",0,0,0,0,0,0,26,19,208,1,0,1,0,28.8
"BRYCEBROWN","Bryce Brown","RB","BUF",0,0,0,36,126,0,25,16,176,0,0,0,1,28.2
"MONTEEBALL","Montee Ball","RB","DEN",0,0,0,55,172,1,13,9,62,0,0,0,1,27.4
"BRUCEELLINGTON","Bruce Ellington","WR","SF",0,0,0,6,28,1,12,6,62,2,0,0,0,27
"MATTCASSEL","Matt Cassel","QB","MIN",425,3,4,9,18,0,0,0,0,0,0,0,0,26.8
"KENBRELLTHOMPKINS","Kenbrell Thompkins","WR","OAK",0,0,0,2,5,0,48,21,262,0,0,0,0,26.7
"RYANLINDLEY","Ryan Lindley","QB","ARI",562,2,4,0,0,0,0,0,0,0,0,0,0,26.48
"ALBERTWILSON","Albert Wilson","WR","KC",0,0,0,0,0,0,28,16,260,0,0,0,0,26
"DANNYAMENDOLA","Danny Amendola","WR","NE",0,0,0,0,0,0,42,27,200,1,0,0,0,26
"TEDGINN","Ted Ginn Jr.","WR","ARI",10,0,0,3,6,0,26,14,190,0,1,0,0,26
"NICKTOON","Nick Toon","WR","NO",0,0,0,1,4,0,23,17,215,1,0,0,1,25.9
"RISHARDMATTHEWS","Rishard Matthews","WR","MIA",0,0,0,1,3,0,22,12,135,2,0,0,0,25.8
"KERWYNNWILLIAMS","Kerwynn Williams","RB","ARI",0,0,0,53,246,0,6,2,11,0,0,0,0,25.7
"GARRETTGRAHAM","Garrett Graham","TE","HOU",0,0,0,0,0,0,28,18,197,1,0,0,0,25.7
"BENJAMINWATSON","Benjamin Watson","TE","NO",0,0,0,0,0,0,31,20,136,2,0,0,0,25.6
"MARLONBROWN","Marlon Brown","WR","BAL",0,0,0,0,0,0,31,24,255,0,0,0,0,25.5
"BRANDONTATE","Brandon Tate","WR","CIN",0,0,0,3,21,0,26,17,193,1,0,0,1,25.4
"COREYFULLER","Corey Fuller","WR","DET",0,0,0,0,0,0,31,14,212,1,0,0,1,25.2
"CASEKEENUM","Case Keenum","QB","HOU",435,2,2,10,35,0,0,0,0,0,0,0,1,24.9
"GREGSALAS","Greg Salas","WR","NYJ",0,0,0,1,20,1,23,8,167,0,0,0,0,24.7
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",0,0,0,62,219,0,6,5,44,0,0,0,1,24.3
"SILASREDD","Silas Redd Jr.","RB","WAS",0,0,0,16,75,1,10,8,107,0,0,0,0,24.2
"JONATHANGRIMES","Jonathan Grimes","RB","HOU",0,0,0,39,153,0,8,6,86,0,0,0,0,23.9
"JACKDOYLE","Jack Doyle","TE","IND",0,0,0,0,0,0,22,18,118,2,0,0,0,23.8
"LADARIUSGREEN","Ladarius Green","TE","SD",0,0,0,0,0,0,25,19,226,0,0,0,0,22.6
"CHRISGIVENS","Chris Givens","WR","STL",0,0,0,1,4,0,20,11,159,1,0,0,0,22.3
"ERICWEEMS","Eric Weems","WR","ATL",0,0,0,0,0,0,11,10,102,2,0,0,0,22.2
"CHRISOWUSU","Chris Owusu","WR","NYJ",0,0,0,1,23,1,6,6,78,1,0,0,0,22.1
"BRANDONWEEDEN","Brandon Weeden","QB","DAL",303,3,2,6,-1,0,0,0,0,0,0,0,0,22.02
"RYANMALLETT","Ryan Mallett","QB","HOU",400,2,2,6,-2,0,0,0,0,0,0,0,0,21.8
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",0,0,0,31,148,1,1,1,8,0,0,0,0,21.6
"KADEEMCAREY","Ka'Deem Carey","RB","CHI",0,0,0,36,158,0,6,5,57,0,0,0,0,21.5
"BRENTONBERSIN","Brenton Bersin","WR","CAR",0,0,0,0,0,0,20,13,151,1,0,0,0,21.1
"JACOBTAMME","Jacob Tamme","TE","DEN",0,0,0,0,0,0,28,14,109,2,0,0,1,20.9
"KYLEJUSZCZYK","Kyle Juszczyk","RB","BAL",0,0,0,0,0,0,27,19,182,1,0,0,2,20.2
"STORMJOHNSON","Storm Johnson","RB","JAX",0,0,0,29,86,2,1,1,-4,0,0,0,0,20.2
"MIKEWILLIAMS","Mike Williams","WR","BUF",0,0,0,0,0,0,19,8,142,1,0,0,0,20.2
"PEYTONHILLIS","Peyton Hillis","RB","NYG",0,0,0,26,115,0,16,10,87,0,0,0,0,20.2
"MARQUESSWILSON","Marquess Wilson","WR","CHI",0,0,0,0,0,0,32,17,140,1,0,0,0,20
"ADAMTHIELEN","Adam Thielen","WR","MIN",0,0,0,0,0,0,13,8,137,1,0,0,0,19.7
"TONYMOEAKI","Tony Moeaki","TE","SEA",0,0,0,0,0,0,13,8,134,1,0,0,0,19.4
"BRANDONMYERS","Brandon Myers","TE","TB",0,0,0,0,0,0,32,22,190,0,0,0,0,19
"JOEMCKNIGHT","Joe McKnight","RB","KC",0,0,0,1,3,0,7,6,64,2,0,0,0,18.7
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",0,0,0,34,175,0,2,1,12,0,0,0,0,18.7
"CROCKETTGILLMORE","Crockett Gillmore","TE","BAL",0,0,0,0,0,0,15,10,121,1,0,0,0,18.1
"JAMESCASEY","James Casey","TE","PHI",0,0,0,0,0,0,3,3,59,2,0,0,0,17.9
"AUSTINPETTIS","Austin Pettis","WR","SD",0,0,0,0,0,0,18,12,118,1,0,0,0,17.8
"EDDICKSON","Ed Dickson","TE","CAR",0,0,0,0,0,0,17,10,115,1,0,0,0,17.5
"MIKETOLBERT","Mike Tolbert","RB","CAR",0,0,0,37,78,0,17,12,93,0,0,0,0,17.1
"MATTHASSELBECK","Matt Hasselbeck","QB","IND",301,2,0,8,-11,0,0,0,0,0,0,0,1,16.94
"JIMMYCLAUSEN","Jimmy Clausen","QB","CHI",223,2,1,3,9,0,0,0,0,0,0,0,0,16.82
"JOHNKUHN","John Kuhn","RB","GB",0,0,0,24,85,1,4,4,23,0,0,0,0,16.8
"JACOBYJONES","Jacoby Jones","WR","BAL",0,0,0,3,16,0,18,9,131,0,1,0,2,16.7
"MAURICEJ","Maurice J","RB","ONE",0,0,0,43,96,0,16,11,71,0,0,0,0,16.7
"MICHAELCAMPANARO","Michael Campanaro","WR","BAL",0,0,0,0,0,0,9,7,102,1,0,0,0,16.2
"JOSHMORGAN","Josh Morgan","WR","CHI",0,0,0,2,30,0,19,10,70,1,0,0,0,16
"JOSEPHMORGAN","Joseph Morgan","WR","NO",0,0,0,1,67,0,10,4,92,0,0,0,0,15.9
"DONTRELLEINMAN","Dontrelle Inman","WR","SD",0,0,0,0,0,0,17,12,158,0,0,0,0,15.8
"BRANDONBOLDEN","Brandon Bolden","RB","NE",0,0,0,28,89,1,6,2,8,0,0,0,0,15.7
"GARYBARNIDGE","Gary Barnidge","TE","CLE",0,0,0,0,0,0,25,13,156,0,0,0,0,15.6
"DONNIEAVERY","Donnie Avery","WR","KC",0,0,0,0,0,0,26,15,176,0,0,0,1,15.6
"JOSEPHFAURIA","Joseph Fauria","TE","DET",0,0,0,0,0,0,12,6,74,1,0,1,0,15.4
"RYANGRIFFIN","Ryan Griffin","TE","HOU",0,0,0,0,0,0,16,10,91,1,0,0,0,15.1
"ROBERTHUGHES","Robert Hughes","RB","ARI",0,0,0,7,11,0,12,8,140,0,0,0,0,15.1
"JOEBANYARD","Joe Banyard","RB","MIN",0,0,0,21,88,0,11,9,62,0,0,0,0,15
"TJGRAHAM","T.J. Graham","WR","NYJ",0,0,0,0,0,0,8,3,87,1,0,0,0,14.7
"ZURLONTIPTON","Zurlon Tipton","RB","IND",0,0,0,10,18,0,6,6,68,1,0,0,0,14.6
"JOSHHUFF","Josh Huff","WR","PHI",0,0,0,1,7,0,18,8,98,0,1,0,1,14.5
"CHRISTIANPONDER","Christian Ponder","QB","MIN",222,0,2,4,16,1,0,0,0,0,0,0,0,14.48
"RODSTREATER","Rod Streater","WR","OAK",0,0,0,0,0,0,13,9,84,1,0,0,0,14.4
"BRIANTYMS","Brian Tyms","WR","NE",0,0,0,0,0,0,11,5,82,1,0,0,0,14.2
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",175,0,2,9,29,1,0,0,0,0,0,0,0,13.9
"ANTHONYSHERMAN","Anthony Sherman","RB","KC",0,0,0,2,8,0,14,10,71,1,0,0,0,13.9
"JAMIZEOLAWALE","Jamize Olawale","RB","OAK",0,0,0,2,0,0,6,5,18,2,0,0,0,13.8
"VIRGILGREEN","Virgil Green","TE","DEN",0,0,0,2,3,0,6,6,74,1,0,0,0,13.7
"REXBURKHEAD","Rex Burkhead","RB","CIN",0,0,0,9,27,1,10,7,49,0,0,0,0,13.6
"CORYHARKEY","Cory Harkey","TE","STL",0,0,0,0,0,0,11,8,55,1,0,1,0,13.5
"MARQUEISGRAY","MarQueis Gray","TE","BUF",0,0,0,0,0,0,11,9,134,0,0,0,0,13.4
"ORLEANSDARKWA","Orleans Darkwa","RB","NYG",0,0,0,9,23,1,6,5,48,0,0,0,0,13.1
"MARIONGRICE","Marion Grice","RB","ARI",0,0,0,15,41,1,11,7,29,0,0,0,0,13
"ROBHOUSLER","Rob Housler","TE","ARI",0,0,0,1,1,0,17,9,129,0,0,0,0,13
"MATTSPAETH","Matt Spaeth","TE","PIT",0,0,0,0,0,0,4,3,46,1,0,1,0,12.6
"DENNISPITTA","Dennis Pitta","TE","BAL",0,0,0,0,0,0,21,16,125,0,0,0,0,12.5
"CHASECOFFMAN","Chase Coffman","TE","TEN",0,0,0,0,0,0,14,6,64,1,0,0,0,12.4
"PATRICKDIMARCO","Patrick DiMarco","RB","ATL",0,0,0,0,0,0,14,9,62,1,0,0,0,12.2
"JIMMYGAROPPOLO","Jimmy Garoppolo","QB","NE",182,1,0,10,9,0,0,0,0,0,0,0,0,12.18
"JAMESWRIGHT","James Wright","WR","CIN",0,0,0,3,30,0,16,5,91,0,0,0,0,12.1
"JONATHANDWYER","Jonathan Dwyer","RB","ARI",0,0,0,16,51,1,3,2,8,0,0,0,0,11.9
"ROBERTHERRON","Robert Herron","WR","TB",0,0,0,1,0,0,12,6,58,1,0,0,0,11.8
"JEDCOLLINS","Jed Collins","RB","DET",0,0,0,8,19,0,6,5,39,1,0,0,0,11.8
