"name","name_yahoo","pos","team_yahoo","passYds","passTds","passInt","rushAtt","rushYds","rushTds","recTgts","rec","recYds","recTds","returnTDs","twoPts","fumbles","pts"
"CHRISIVORY","Chris Ivory","RB","NYJ",0,0,0,198,821,6,27,18,123,1,0,0,1,134.3
"SAMMYWATKINS","Sammy Watkins","WR","BUF",0,0,0,2,8,0,128,65,982,6,0,0,1,133
"RODDYWHITE","Roddy White","WR","ATL",0,0,0,0,0,0,125,80,921,7,0,0,1,132.1
"MARTELLUSBENNETT","Martellus Bennett","TE","CHI",0,0,0,0,0,0,128,90,916,6,0,2,0,131.6
"ANDREELLINGTON","Andre Ellington","RB","ARI",0,0,0,201,660,3,64,46,395,2,0,0,2,131.5
"NICKFOLES","Nick Foles","QB","PHI",2163,13,10,16,68,0,0,0,0,0,0,0,3,129.32
"ANDREWILLIAMS","Andre Williams","RB","NYG",0,0,0,217,721,7,37,18,130,0,0,0,0,127.1
"ERICDECKER","Eric Decker","WR","NYJ",0,0,0,0,0,0,113,74,962,5,0,0,0,126.2
"COBYFLEENER","Coby Fleener","TE","IND",0,0,0,0,0,0,92,51,774,8,0,0,0,125.4
"MOHAMEDSANU","Mohamed Sanu","WR","CIN",79,1,0,7,51,0,98,56,790,5,0,1,0,123.26
"FREDJACKSON","Fred Jackson","RB","BUF",0,0,0,141,525,2,90,66,501,1,0,1,0,122.6
"MALCOMFLOYD","Malcom Floyd","WR","SD",0,0,0,0,0,0,92,52,856,6,0,0,0,121.6
"STEVENJACKSON","Steven Jackson","RB","ATL",0,0,0,190,707,6,27,20,148,0,0,0,0,121.5
"JONATHANSTEWART","Jonathan Stewart","RB","CAR",0,0,0,175,809,3,31,25,181,1,0,0,1,121
"JULIUSTHOMAS","Julius Thomas","TE","DEN",0,0,0,0,0,0,62,43,489,12,0,0,0,120.9
"TREMASON","Tre Mason","RB","STL",0,0,0,179,765,4,26,16,148,1,0,0,1,119.3
"EDDIEROYAL","Eddie Royal","WR","SD",0,0,0,3,14,0,91,62,778,7,0,0,1,119.2
"MICHAELFLOYD","Michael Floyd","WR","ARI",0,0,0,1,2,0,99,47,841,6,0,0,1,118.3
"MARQUESCOLSTON","Marques Colston","WR","NO",0,0,0,0,0,0,99,59,902,5,0,0,1,118.2
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",0,0,0,0,0,0,106,61,721,8,0,0,1,118.1
"DARRENSPROLES","Darren Sproles","RB","PHI",0,0,0,57,329,6,62,40,387,0,2,0,1,117.6
"AUSTINDAVIS","Austin Davis","QB","STL",2001,12,9,16,36,0,0,0,0,0,0,0,3,116.64
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",0,0,0,90,425,2,47,38,300,6,0,0,2,116.5
"TRAVISKELCE","Travis Kelce","TE","KC",0,0,0,0,0,0,87,67,862,5,0,0,3,116.2
"SHANEVEREEN","Shane Vereen","RB","NE",0,0,0,96,391,2,77,52,447,3,0,0,0,113.8
"ISAIAHCROWELL","Isaiah Crowell","RB","CLE",0,0,0,148,607,8,14,9,87,0,0,0,2,113.4
"DELANIEWALKER","Delanie Walker","TE","TEN",0,0,0,0,0,0,106,63,890,4,0,0,0,113
"RUEBENRANDLE","Rueben Randle","WR","NYG",0,0,0,0,0,0,127,71,938,3,0,0,0,111.8
"KENNYSTILLS","Kenny Stills","WR","NO",0,0,0,1,-2,0,83,63,931,3,0,0,0,110.9
"KENDALLWRIGHT","Kendall Wright","WR","TEN",0,0,0,4,54,0,93,57,715,6,0,0,1,110.9
"GREGJENNINGS","Greg Jennings","WR","MIN",0,0,0,0,0,0,92,59,742,6,0,0,0,110.2
"VINCENTJACKSON","Vincent Jackson","WR","TB",0,0,0,0,0,0,142,70,1002,2,0,0,1,110.2
"TERRANCEWILLIAMS","Terrance Williams","WR","DAL",0,0,0,0,0,0,65,37,621,8,0,0,0,110.1
"BRANDENOLIVER","Branden Oliver","RB","SD",0,0,0,160,582,3,45,36,271,1,0,0,0,109.3
"RASHADJENNINGS","Rashad Jennings","RB","NYG",0,0,0,167,639,4,41,30,226,0,0,0,1,108.5
"CARSONPALMER","Carson Palmer","QB","ARI",1626,11,3,8,25,0,0,0,0,0,0,0,1,106.54
"ANDREJOHNSON","Andre Johnson","WR","HOU",0,0,0,0,0,0,147,85,936,3,0,0,3,105.6
"KNILEDAVIS","Knile Davis","RB","KC",0,0,0,134,463,6,25,16,147,1,1,0,2,105
"MARTAVISBRYANT","Martavis Bryant","WR","PIT",0,0,0,3,12,0,48,26,549,8,0,0,0,104.1
