"name","name_yahoo","pos","actualPts"
"DEVERYHENDERSON","Devery Henderson","WR",48.8
"COBYFLEENER","Coby Fleener","TE",48.13
"JONBALDWIN","Jon Baldwin","WR",47.63
"JOEMCKNIGHT","Joe McKnight","RB",46.59
"CEDRICBENSON","Cedric Benson","RB",45.93
"BRANDONBOLDEN","Brandon Bolden","RB",45.78
"CRAIGSTEVENS","Craig Stevens","TE",45.24
"KYLEWILLIAMS","Kyle Williams","WR",44.7
"LOGANPAULSEN","Logan Paulsen","TE",44.5
"JOSHUACRIBBS","Joshua Cribbs","WR",44.28
"MICHAELROBINSON","Michael Robinson","RB",44.15
"KESHAWNMARTIN","Keshawn Martin","WR",44.09
"LEONWASHINGTON","Leon Washington","RB",43.98
"TOMCRABTREE","Tom Crabtree","TE",43.88
"RONNIEHILLMAN","Ronnie Hillman","RB",43.45
"BENTATE","Ben Tate","RB",43.03
"MARCUSTHIGPEN","Marcus Thigpen","RB",42.3
"JASONSNELLING","Jason Snelling","RB",42
"DAMARISJOHNSON","Damaris Johnson","WR",41.02
"FREDDAVIS","Fred Davis","TE",40.73
"DAMIANWILLIAMS","Damian Williams","WR",40.62
"EDDIEROYAL","Eddie Royal","WR",39.73
"KELLENDAVIS","Kellen Davis","TE",39.63
"CHARLESCLAY","Charles Clay","RB",39.5
"ROBERTMEACHEM","Robert Meachem","WR",39.28
"DANTEROSARIO","Dante Rosario","TE",38.88
"PEYTONHILLIS","Peyton Hillis","RB",38.65
"ARMONBINNS","Armon Binns","WR",38.63
"NILESPAUL","Niles Paul","WR",38.06
"MARVINJONES","Marvin Jones","WR",37.83
"JORDANSHIPLEY","Jordan Shipley","WR",37.54
"KEVINSMITH","Kevin Smith","RB",37.28
"TOBYGERHART","Toby Gerhart","RB",37.28
"SANTONIOHOLMES","Santonio Holmes","WR",37
"LAMARMILLER","Lamar Miller","RB",36.63
"CHRISIVORY","Chris Ivory","RB",36.58
"BRADYQUINN","Brady Quinn","QB",36.24
"LANCEBALL","Lance Ball","RB",35.43
"JAMESSTARKS","James Starks","RB",35.38
"JORDANCAMERON","Jordan Cameron","TE",35.25
"EVANROYSTER","Evan Royster","RB",35.21
"MONTARIOHARDESTY","Montario Hardesty","RB",35.1
"DAVIDTHOMAS","David Thomas","TE",34.75
"DARRELYOUNG","Darrel Young","RB",34.63
"CLAYHARBOR","Clay Harbor","TE",34.25
"CLYDEGATES","Clyde Gates","WR",33.08
"JOHNKUHN","John Kuhn","RB",32.8
"DEREKHAGAN","Derek Hagan","WR",32.38
"DELONECARTER","Delone Carter","RB",32.33
"JALENPARMELE","Jalen Parmele","RB",31.96
"BRAYLONEDWARDS","Braylon Edwards","WR",31.88
"TRINDONHOLLIDAY","Trindon Holliday","WR",31.79
"MOHAMEDMASSAQUOI","Mohamed Massaquoi","WR",31.75
"BRIANQUICK","Brian Quick","WR",31.5
"LAVONBRAZILL","LaVon Brazill","WR",31.49
"JEROMESIMPSON","Jerome Simpson","WR",31.25
"KIRKCOUSINS","Kirk Cousins","QB",30.84
"DUJUANHARRIS","DuJuan Harris","RB",29.83
"JORVORSKIELANE","Jorvorskie Lane","RB",29.52
"LAURENTROBINSON","Laurent Robinson","WR",29.5
"EDDICKSON","Ed Dickson","TE",29.13
"RASHARDMENDENHALL","Rashard Mendenhall","RB",28.95
"LUKESTOCKER","Luke Stocker","TE",28.63
"RAMSESBARDEN","Ramses Barden","WR",28.5
"CHRISOGBONNAYA","Chris Ogbonnaya","RB",28.38
"ANTHONYDIXON","Anthony Dixon","RB",28.3
"MARLONMOORE","Marlon Moore","WR",27.9
"JURONCRINER","Juron Criner","WR",27.88
"WILLHELLER","Will Heller","TE",27.77
"EARLYDOUCET","Early Doucet","WR",27.64
"TASHARDCHOICE","Tashard Choice","RB",27.43
"LEGARRETTEBLOUNT","LeGarrette Blount","RB",27.35
"MIKETHOMAS","Mike Thomas","WR",27.24
"VONTALEACH","Vonta Leach","RB",27.08
"RYANGRANT","Ryan Grant","RB",26.45
"ANTHONYALLEN","Anthony Allen","RB",26.22
"JERRICHOCOTCHERY","Jerricho Cotchery","WR",25.63
"TERRELLEPRYOR","Terrelle Pryor","QB",25.05
"LESTARJEAN","Lestar Jean","WR",24.88
"LANCEDUNBAR","Lance Dunbar","RB",24.85
"ARMANDOALLEN","Armando Allen","RB",24.6
"LAMICHAELJAMES","LaMichael James","RB",24.47
"JAMIEHARPER","Jamie Harper","RB",24
"WILLJOHNSON","Will Johnson","RB",23.99
"CURTISBRINKLEY","Curtis Brinkley","RB",23.85
"JOHNSKELTON","John Skelton","QB",23.78
"ERIKLORIG","Erik Lorig","RB",23.38
"GARYBARNIDGE","Gary Barnidge","TE",23.25
"DEVINAROMASHODU","Devin Aromashodu","WR",22.75
"DONALDDRIVER","Donald Driver","WR",22.63
"KRISDURHAM","Kris Durham","WR",22.63
"MATTHEWMULLIGAN","Matthew Mulligan","TE",22.5
"BRIANLEONARD","Brian Leonard","RB",22.48
"TANDONDOSS","Tandon Doss","WR",22.44
"BRUCEMILLER","Bruce Miller","RB",22.3
"STEFANLOGAN","Stefan Logan","WR",22.14
"ARMANTIEDWARDS","Armanti Edwards","WR",21.87
"KEALOHAPILARES","Kealoha Pilares","WR",21.27
"DJWARE","D.J. Ware","RB",21.1
"JACOBHESTER","Jacob Hester","RB",20.98
"RISHARDMATTHEWS","Rishard Matthews","WR",20.88
"TRAVARISCADET","Travaris Cadet","RB",20.84
"DEVIERPOSEY","DeVier Posey","WR",20.58
"STANLEYHAVILI","Stanley Havili","RB",20.44
"PHILLIPTANNER","Phillip Tanner","RB",20.23
"JEDCOLLINS","Jed Collins","RB",19.75
"BRANDONBANKS","Brandon Banks","WR",19.58
"RICHARDGORDON","Richard Gordon","TE",19.13
"DEIONBRANCH","Deion Branch","WR",19.13
"ARRELIOUSBENN","Arrelious Benn","WR",18.97
"BARONBATCH","Baron Batch","RB",18.78
"JOHNPHILLIPS","John Phillips","TE",18.78
"JEREMYSTEWART","Jeremy Stewart","RB",18.71
"TERRANCECOPPER","Terrance Copper","WR",18.3
"MATTHEWWILLIS","Matthew Willis","WR",18.25
"MATTHEWSLATER","Matthew Slater","WR",17.78
"TYRODTAYLOR","Tyrod Taylor","QB",17.46
"JORDANNORWOOD","Jordan Norwood","WR",17.23
"MEWELDEMOORE","Mewelde Moore","RB",17.13
"JEFFKING","Jeff King","TE",17.13
"COLEBEASLEY","Cole Beasley","WR",17
"BYRONLEFTWICH","Byron Leftwich","QB",16.98
"LAWRENCEVICKERS","Lawrence Vickers","RB",16.88
"RHETTELLISON","Rhett Ellison","RB",16.63
"DIONLEWIS","Dion Lewis","RB",16.56
"ERICWEEMS","Eric Weems","WR",16.5
"STEVESMITH","Steve Smith","WR",16.38
"LEXHILLIARD","Lex Hilliard","RB",16.18
"COURTNEYROBY","Courtney Roby","WR",16.13
"DAVIDAUSBERRY","David Ausberry","TE",16
"RYANWILLIAMS","Ryan Williams","RB",15.9
"JAMESHANNA","James Hanna","TE",15.75
"DREWDAVIS","Drew Davis","WR",15.5
"TAIWANJONES","Taiwan Jones","RB",15.42
"JASONCAMPBELL","Jason Campbell","QB",15.4
"HENRYHYNOSKI","Henry Hynoski","RB",15.25
"MICHAELHOOMANAWANUI","Michael Hoomanawanui","TE",15.13
"KEVINELLIOTT","Kevin Elliott","WR",15
"ANTHONYSHERMAN","Anthony Sherman","RB",14.88
"SHAUNHILL","Shaun Hill","QB",14.78
"LEESMITH","Lee Smith","TE",14.63
"TAYLORTHOMPSON","Taylor Thompson","TE",14.25
"JOSHCOOPER","Josh Cooper","WR",14.25
"KEVINBOSS","Kevin Boss","TE",14.13
"DONTESTALLWORTH","Donte' Stallworth","WR",13.88
"KEITHTOSTON","Keith Toston","RB",13.83
"TIMTEBOW","Tim Tebow","QB",13.26
"LEONARDPOPE","Leonard Pope","TE",13.13
"ORSONCHARLES","Orson Charles","TE",12.97
"DEJIKARIM","Deji Karim","RB",12.56
"RICHARDGOODMAN","Richard Goodman","WR",11.94
"LAVELLEHAWKINS","Lavelle Hawkins","WR",11.85
"BRIANHOYER","Brian Hoyer","QB",11.8
"DAVIDREED","David Reed","WR",11.75
"TODDHEAP","Todd Heap","TE",11.75
"KONRADREULAND","Konrad Reuland","TE",11.66
"RUVELLMARTIN","Ruvell Martin","WR",11.63
"DANIELFELLS","Daniel Fells","TE",11.63
"RICHARDMURPHY","Richard Murphy","RB",11.56
"BRIANROBISKIE","Brian Robiskie","WR",11.5
"BEARPASCOE","Bear Pascoe","TE",11.38
"PLAXICOBURRESS","Plaxico Burress","WR",11.25
"DEONTETHOMPSON","Deonte Thompson","WR",11.16
"CHARLIEBATCH","Charlie Batch","QB",11
"DEVONWYLIE","Devon Wylie","WR",10.97
"VIRGILGREEN","Virgil Green","TE",10.88
"BENOBOMANU","Ben Obomanu","WR",10.85
"DORINDICKERSON","Dorin Dickerson","WR",10.83
"MATTSPAETH","Matt Spaeth","TE",10.5
"TEDGINNJR","Ted Ginn Jr.","WR",10.41
"STEPHENBURTON","Stephen Burton","WR",10.38
"DAVIDPAULSON","David Paulson","TE",10.2
"JAMARNEWSOME","Jamar Newsome","WR",10.13
"CYRUSGRAY","Cyrus Gray","RB",9.81
"STEVEBREASTON","Steve Breaston","WR",9.67
"ISAIAHPEAD","Isaiah Pead","RB",9.64
"RYANWHALEN","Ryan Whalen","WR",9.63
"GREGMCELROY","Greg McElroy","QB",9.56
"KYLEORTON","Kyle Orton","QB",9.56
"THADDEUSLEWIS","Thaddeus Lewis","QB",9.46
"DJWILLIAMS","D.J. Williams","TE",9.11
"KASSIMOSGOOD","Kassim Osgood","WR",9
"DANIELHERRON","Daniel Herron","RB",9
"MARCUSEASLEY","Marcus Easley","WR",9
"MATTMOORE","Matt Moore","QB",8.94
"GREGJONES","Greg Jones","RB",8.8
"MICHAELPALMER","Michael Palmer","TE",8.75
"COLTMCCOY","Colt McCoy","QB",8.66
"JABARGAFFNEY","Jabar Gaffney","WR",8.5
"MICHAELPRESTON","Michael Preston","WR",8.38
"RANDYMCMICHAEL","Randy McMichael","TE",8.38
"RYANTAYLOR","Ryan Taylor","TE",8.38
"NATEBYHAM","Nate Byham","TE",8.25
"BRANDONJACKSON","Brandon Jackson","RB",7.9
"JASONHILL","Jason Hill","WR",7.88
"LERONMCCLAIN","Le'Ron McClain","RB",7.83
"ROSCOEPARRISH","Roscoe Parrish","WR",7.68
"STEVEMANERI","Steve Maneri","TE",7.38
"SEYIAJIROTUTU","Seyi Ajirotutu","WR",7.13
"LADARIUSGREEN","Ladarius Green","TE",7
"MIKEMCNEILL","Mike McNeill","TE",6.88
"ROYHELU","Roy Helu","RB",6.83
"KYLEADAMS","Kyle Adams","TE",6.76
"JERRELJERNIGAN","Jerrel Jernigan","WR",6.55
"QUINNJOHNSON","Quinn Johnson","RB",6.5
"CHRISPRESSLEY","Chris Pressley","RB",6.43
"GARRETTCELEK","Garrett Celek","TE",6.38
"JERMAINEKEARSE","Jermaine Kearse","WR",6.38
"CHARLYMARTIN","Charly Martin","WR",6.25
"KAHLILBELL","Kahlil Bell","RB",6.23
"NATEEACHUS","Nate Eachus","RB",6.18
"MIKELEACH","Mike Leach","TE",6
"JARRETTBOYKIN","Jarrett Boykin","WR",5.88
"ALEXSMITH","Alex Smith","TE",5.88
"MATTASIATA","Matt Asiata","RB",5.75
"CORYHARKEY","Cory Harkey","TE",5.63
"COREYMCINTYRE","Corey McIntyre","RB",5.63
"ALFONSOSMITH","Alfonso Smith","RB",5.63
"GREGCAMARILLO","Greg Camarillo","WR",5.5
"JOEANDERSON","Joe Anderson","WR",5.5
"JOHNCARLSON","John Carlson","TE",5.38
"KREGGLUMPKIN","Kregg Lumpkin","RB",5.2
"MARDYGILYARD","Mardy Gilyard","WR",5.18
"TONEYCLEMONS","Toney Clemons","WR",5.13
"CHRISGRONKOWSKI","Chris Gronkowski","RB",4.88
"JEREMYROSS","Jeremy Ross","WR",4.78
"RYANLINDLEY","Ryan Lindley","QB",4.78
"JEROMEFELTON","Jerome Felton","RB",4.7
"ANDRECALDWELL","Andre Caldwell","WR",4.65
"ARMONDSMITH","Armond Smith","RB",4.62
