"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"SFO","WR","JERRYRICE",250.9,1,"Jerry Rice*+",25,12,12,0,0,0,0,0,8,51,6.38,1,65,1078,16.58,22,251,215,1,1,0,0,0,5.1,6,107.8,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,1,1,172.1
"RAM","RB","CHARLESWHITE",215.5,2,"Charles White*+",29,15,12,0,0,0,0,0,324,1374,4.24,11,23,121,5.26,0,216,146,1,2,0,0,0,137.4,66,12.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,6,1,134.7
"DAL","RB","HERSCHELWALKER",208.6,3,"Herschel Walker*",25,12,11,0,0,0,0,0,209,891,4.26,7,60,715,11.92,1,209,136,2,3,0,0,0,89.1,42,71.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,8,2,127.8
"PHI","QB","RANDALLCUNNINGHAM",247.64,4,"Randall Cunningham",24,12,12,223,406,2786,23,12,76,505,6.64,3,1,-3,-3,0,248,130,1,4,111.44,92,-24,50.5,18,-0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,2,1,114.52
"SFO","QB","JOEMONTANA",240.26,5,"Joe Montana*+",31,13,11,266,398,3054,31,13,35,141,4.03,1,0,0,NA,0,240,120,2,5,122.16,124,-26,14.1,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,3,2,107.14
"DEN","QB","JOHNELWAY",234.32,7,"John Elway*",27,12,12,224,410,3198,19,12,66,304,4.61,4,0,0,NA,0,234,113,3,7,127.92,76,-24,30.4,24,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,4,3,101.2
"SEA","RB","CURTWARNER",175.2,9,"Curt Warner*",26,12,12,0,0,0,0,0,234,985,4.21,8,17,167,9.82,2,175,92,3,9,0,0,0,98.5,48,16.7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,13,3,94.4
"STL","QB","NEILLOMAX",218.18,10,"Neil Lomax*",28,12,12,275,463,3387,24,12,29,107,3.69,0,0,0,NA,0,218,91,4,10,135.48,96,-24,10.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,5,4,85.06
"STL","WR","JTSMITH",159.7,8,"J.T. Smith",32,15,14,0,0,0,0,0,0,0,NA,0,91,1117,12.27,8,160,94,2,8,0,0,0,0,0,111.7,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,16,2,80.9
"MIA","QB","DANMARINO",213.3,11,"Dan Marino*",26,12,12,263,444,3245,26,13,12,-5,-0.42,1,0,0,NA,0,213,84,5,11,129.8,104,-26,-0.5,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,7,5,80.18
"CLE","RB","EARNESTBYNER",158.4,16,"Earnest Byner",25,12,12,0,0,0,0,0,105,432,4.11,8,52,552,10.62,2,158,69,4,16,0,0,0,43.2,48,55.2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,17,4,77.6
"NYG","TE","MARKBAVARO",134.7,6,"Mark Bavaro*+",24,12,12,0,0,0,0,0,0,0,NA,0,55,867,15.76,8,135,117,1,6,0,0,0,0,0,86.7,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,31,1,75.1
"SFO","RB","ROGERCRAIG",154.7,18,"Roger Craig*",27,14,14,0,0,0,0,0,215,815,3.79,3,66,492,7.45,1,155,65,5,18,0,0,0,81.5,18,49.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,18,5,73.9
"WAS","WR","GARYCLARK",148.6,12,"Gary Clark*+",25,12,11,0,0,0,0,0,1,0,0,0,56,1066,19.04,7,149,79,3,12,0,0,0,0,0,106.6,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,21,3,69.8
"MIA","RB","TROYSTRADFORD",149.84,21,"Troy Stradford",23,12,5,1,1,6,0,0,145,619,4.27,6,48,457,9.52,1,150,58,6,21,0.24,0,0,61.9,36,45.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987,20,6,69.04
