"team","pos","name","points","overall_rank","name_info","age","games","games_start","pass_comp","pass_att","pass_yds","pass_td","pass_int","rush_att","rush_yds","rush_yds_att","rush_td","receptions","rec_yds","yds_rec","rec_td","fant_points","vbd","pos_rank","ovrank","passYdsPts","passTdsPts","passIntPts","rushYdsPts","rushTdsPts","recYdsPts","recTdsPts","fg30","fg40","fg50","fgMissed","pat","patMissed","fg30Pts","fg40Pts","fg50Pts","fgMissedPts","patPts","patMissedPts","year","overallRank","positionRank","vor"
"IND","RB","ERICDICKERSON",293.6,1,"Eric Dickerson*+",28,16,16,0,0,0,0,0,388,1659,4.28,14,36,377,10.47,1,294,154,1,1,0,0,0,165.9,84,37.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,2,1,193.5
"SFO","RB","ROGERCRAIG",263.6,3,"Roger Craig*+",28,16,15,0,0,0,0,0,310,1502,4.85,9,76,534,7.03,1,264,124,2,3,0,0,0,150.2,54,53.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,3,2,163.5
"PHI","QB","RANDALLCUNNINGHAM",314.72,2,"Randall Cunningham*",25,16,16,301,560,3808,24,16,93,624,6.71,6,0,0,NA,0,315,136,1,2,152.32,96,-32,62.4,36,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,1,1,156.32
"DAL","RB","HERSCHELWALKER",243.9,4,"Herschel Walker*",26,16,16,0,0,0,0,0,361,1514,4.19,5,53,505,9.53,2,244,104,3,4,0,0,0,151.4,30,50.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,6,3,143.8
"RAM","RB","GREGBELL",241.6,5,"Greg Bell",26,16,13,0,0,0,0,0,288,1212,4.21,16,24,124,5.17,2,242,102,4,5,0,0,0,121.2,96,12.4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,8,4,141.5
"CHI","RB","NEALANDERSON",219.7,9,"Neal Anderson*",24,16,16,0,1,0,0,0,249,1106,4.44,12,39,371,9.51,0,220,80,5,9,0,0,0,110.6,72,37.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,9,5,119.6
"CIN","RB","ICKEYWOODS",216.5,13,"Ickey Woods",22,16,10,0,0,0,0,0,203,1066,5.25,15,21,199,9.48,0,217,77,6,13,0,0,0,106.6,90,19.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,10,6,116.4
"ATL","RB","JOHNSETTLE",207.4,15,"John Settle*",23,16,13,0,0,0,0,0,232,1024,4.41,7,68,570,8.38,1,207,68,7,15,0,0,0,102.4,42,57,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,12,7,107.3
"RAM","WR","HENRYELLARD",202.1,6,"Henry Ellard*+",27,16,15,0,0,0,0,0,1,7,7,0,86,1414,16.44,10,202,94,1,6,0,0,0,0.7,0,141.4,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,16,1,106.5
"CIN","RB","JAMESBROOKS",205.8,17,"James Brooks*",30,15,15,0,0,0,0,0,182,931,5.12,8,29,287,9.9,6,206,66,8,17,0,0,0,93.1,48,28.7,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,13,8,105.7
"SFO","WR","JERRYRICE",199.86,7,"Jerry Rice*+",26,16,16,1,3,14,0,1,13,107,8.23,1,64,1306,20.41,9,200,91,2,7,0.56,0,-2,10.7,6,130.6,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,17,2,104.26
"MIA","WR","MARKCLAYTON",197.3,8,"Mark Clayton*",27,16,16,0,0,0,0,0,1,4,4,0,86,1129,13.13,14,197,89,3,8,0,0,0,0.4,0,112.9,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,19,3,101.7
"CIN","QB","BOOMERESIASON",257.68,11,"Boomer Esiason*+",27,16,16,223,388,3572,28,14,43,248,5.77,1,0,0,NA,0,258,79,2,11,142.88,112,-28,24.8,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,4,2,99.28
"RAM","QB","JIMEVERETT",256.96,12,"Jim Everett",25,16,16,308,517,3964,31,18,34,104,3.06,0,0,0,NA,0,257,79,3,12,158.56,124,-36,10.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,5,3,98.56
"SEA","RB","JOHNWILLIAMS",194.8,20,"John Williams",24,16,16,0,0,0,0,0,189,877,4.64,4,58,651,11.22,3,195,55,9,20,0,0,0,87.7,24,65.1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,20,9,94.7
"WAS","WR","RICKYSANDERS",188.2,10,"Ricky Sanders",28,16,4,0,0,0,0,0,2,14,7,0,73,1148,15.73,12,188,80,4,10,0,0,0,1.4,0,114.8,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,23,4,92.6
"SEA","RB","CURTWARNER",189.9,23,"Curt Warner",27,16,16,0,0,0,0,0,266,1025,3.85,10,22,154,7,2,190,50,10,23,0,0,0,102.5,60,15.4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,22,10,89.8
"CIN","WR","EDDIEBROWN",180.8,14,"Eddie Brown*",26,16,16,0,0,0,0,0,1,-5,-5,0,53,1273,24.02,9,181,72,5,14,0,0,0,-0.5,0,127.3,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,27,5,85.2
"MIA","QB","DANMARINO",241.66,19,"Dan Marino",27,16,16,354,606,4434,28,23,20,-17,-0.85,0,0,0,NA,0,242,63,4,19,177.36,112,-46,-1.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,7,4,83.26
"PHI","RB","KEITHBYARS",182.2,28,"Keith Byars",25,16,16,0,2,0,0,0,152,517,3.4,6,72,705,9.79,4,182,42,11,28,0,0,0,51.7,36,70.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,26,11,82.1
"HOU","WR","DREWHILL",174.1,18,"Drew Hill*",32,16,16,0,0,0,0,0,0,0,NA,0,72,1141,15.85,10,174,66,6,18,0,0,0,0,0,114.1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,33,6,78.5
"PHO","RB","EARLFERRELL",177.9,30,"Earl Ferrell",30,16,16,0,0,0,0,0,202,924,4.57,7,38,315,8.29,2,178,38,12,30,0,0,0,92.4,42,31.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,29,12,77.8
"HOU","RB","MIKEROZIER",176.1,31,"Mike Rozier*",27,15,14,0,0,0,0,0,251,1002,3.99,10,11,99,9,1,176,36,13,31,0,0,0,100.2,60,9.9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,32,13,76
"MIN","WR","ANTHONYCARTER",162.6,22,"Anthony Carter*",28,16,16,0,0,0,0,0,4,41,10.25,0,72,1225,17.01,6,163,54,7,22,0,0,0,4.1,0,122.5,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,35,7,67
"NYJ","RB","FREEMANMCNEIL",165.2,39,"Freeman McNeil",29,16,16,0,0,0,0,0,219,944,4.31,6,34,288,8.47,1,165,25,14,39,0,0,0,94.4,36,28.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,34,14,65.1
"RAI","RB","MARCUSALLEN",162.24,43,"Marcus Allen",28,15,15,1,2,21,0,0,223,831,3.73,7,34,303,8.91,1,162,22,15,43,0.84,0,0,83.1,42,30.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,36,15,62.14
"TAM","WR","BRUCEHILL",156.9,25,"Bruce Hill",24,14,14,0,0,0,0,0,2,-11,-5.5,0,58,1040,17.93,9,157,48,8,25,0,0,0,-1.1,0,104,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,38,8,61.3
"NOR","RB","DALTONHILLIARD",156.88,52,"Dalton Hilliard",24,16,8,1,2,27,1,0,204,823,4.03,5,34,335,9.85,1,157,17,16,52,1.08,4,0,82.3,30,33.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,39,16,56.78
"PHO","WR","ROYGREEN",151.8,26,"Roy Green",31,16,16,0,0,0,0,0,4,1,0.25,0,68,1097,16.13,7,152,43,9,26,0,0,0,0.1,0,109.7,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,42,9,56.2
"NOR","WR","ERICMARTIN",151.5,27,"Eric Martin*",27,16,16,0,0,0,0,0,2,12,6,0,85,1083,12.74,7,152,43,10,27,0,0,0,1.2,0,108.3,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,43,10,55.9
"PIT","RB","MERRILHOGE",155.2,54,"Merril Hoge",23,16,8,0,0,0,0,0,170,705,4.15,3,50,487,9.74,3,155,15,17,54,0,0,0,70.5,18,48.7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,40,17,55.1
"NYG","RB","JOEMORRIS",154.9,56,"Joe Morris",28,16,15,0,0,0,0,0,307,1083,3.53,5,22,166,7.55,0,155,15,18,56,0,0,0,108.3,30,16.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,41,18,54.8
"NYG","QB","PHILSIMMS",211.56,33,"Phil Simms",33,15,15,263,479,3359,21,11,33,152,4.61,0,0,0,NA,0,212,33,5,33,134.36,84,-22,15.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,11,5,53.16
"PIT","WR","LOUISLIPPS",148.72,29,"Louis Lipps",26,16,16,1,2,13,1,1,6,129,21.5,1,50,973,19.46,5,149,40,11,29,0.52,4,-2,12.9,6,97.3,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,47,11,53.12
"PHI","TE","KEITHJACKSON",122.9,16,"Keith Jackson*+",23,16,15,0,0,0,0,0,0,0,NA,0,81,869,10.73,6,123,67,1,16,0,0,0,0,0,86.9,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,74,1,51.9
"BUF","RB","ROBBRIDDICK",151.24,60,"Robb Riddick",31,15,0,2,2,31,0,0,111,438,3.95,12,30,282,9.4,1,151,11,19,60,1.24,0,0,43.8,72,28.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,44,19,51.14
"NWE","RB","JOHNSTEPHENS",150.6,62,"John Stephens*",22,16,14,0,0,0,0,0,297,1168,3.93,4,14,98,7,0,151,11,20,62,0,0,0,116.8,24,9.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,46,20,50.5
"SDG","RB","GARYANDERSON",148.1,64,"Gary Anderson",27,14,13,0,0,0,0,0,225,1119,4.97,3,32,182,5.69,0,148,8,21,64,0,0,0,111.9,18,18.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,48,21,48
"PHO","QB","NEILLOMAX",205.3,36,"Neil Lomax",29,14,14,255,443,3395,20,11,17,55,3.24,1,0,0,NA,0,205,27,6,36,135.8,80,-22,5.5,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,14,6,46.9
