Year, Name,Year in League,Team,G,Rush ,Yds ,Y/G ,Avg ,TD ,Rec ,Tgt ,Yds ,Y/G ,Avg ,Lng ,YAC ,1stD ,TD ,Fum ,FumL ,TD,Year Since 300 Yard Season,G Deviation,Rush  Deviation,Yds  Deviation,Y/G  Deviation,Avg  Deviation,TD  Deviation
2006, Ahman Green,4,GNB,14,266,1059,75.6,4,5,46,63,373,26.6,8.1,20,9.3,14,1,4,2,6,3,9,189,804,24.6,0.7,5
2013, Maurice Jones-Drew,8,JAC,15,234,803,53.5,3.4,5,43,60,314,20.9,7.3,17,7.7,13,0,1,1,5,4,9,148,389,-15.5,-1.4,4
2013, Rashard Mendenhall,6,ARI,15,217,687,45.8,3.2,8,18,21,134,8.9,7.4,24,9,5,0,4,3,8,3,9,166,505,15.5,-0.4,8
2010, Arian Foster,2,HOU,16,327,1616,101,4.9,16,66,84,604,37.8,9.2,50,9.6,34,2,3,2,18,0,10,273,1359,58.2,0.1,13
2006, Deuce McAllister,4,NOR,15,244,1057,70.5,4.3,10,30,36,198,13.2,6.6,24,6.9,8,0,3,1,10,3,10,151,722,3.5,0.7,7
2008, Deuce McAllister,6,NOR,13,107,418,32.2,3.9,5,18,23,128,9.8,7.1,20,9,5,1,0,0,6,5,10,83,326,1.5,0.1,5
2011, Marshawn Lynch,5,SEA,15,285,1204,80.3,4.2,12,28,41,212,14.1,7.6,26,8.1,8,1,3,2,13,-1,11,83,467,34.2,0.6,6
2005, Stephen Davis,3,CAR,13,180,549,42.2,3.1,12,5,12,45,3.5,9,21,6.6,3,0,2,0,12,2,11,156,457,-3.8,-0.7,12
2009, Rashard Mendenhall,2,PIT,16,242,1108,69.3,4.6,7,25,32,261,16.3,10.4,26,8.4,13,1,3,3,8,-1,12,223,1050,54.8,1.5,7
2011, Ryan Grant,5,GNB,15,134,559,37.3,4.2,2,19,24,268,17.9,14.1,80,14.6,10,1,1,1,3,3,14,126,514,-7.7,-1.4,2
2008, Ricky Williams,6,MIA,16,160,659,41.2,4.1,4,29,39,219,13.7,7.6,47,5.6,9,1,5,2,5,5,15,154,644,26.2,1.6,4
