"name","name_fbg2","pos","team_fbg2","overallRank_fbg2","passAtt_fbg2","passComp_fbg2","passYds_fbg2","passTds_fbg2","passInt_fbg2","rushYds_fbg2","rushTds_fbg2","rec_fbg2","recYds_fbg2","recTds_fbg2","twoPts_fbg2","fumbles_fbg2","pts_fbg2"
"BENOBOMANU","Ben Obomanu","WR","NYJ",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"DANARIOALEXANDER","Danario Alexander","WR","SD",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"AARONMELLETTE","Aaron Mellette","WR","BAL",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"JEFFMAEHL","Jeff Maehl","WR","PHI",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"KEVINDORSEY","Kevin Dorsey","WR","GB",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"ARMANTIEDWARDS","Armanti Edwards","WR","",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"ALDRICKROBINSON","Aldrick Robinson","WR","WAS",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"QUINCYENUNWA","Quincy Enunwa","WR","NYJ",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"COBIHAMILTON","Cobi Hamilton","WR","CIN",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"RICARDOLOCKETTE","Ricardo Lockette","WR","SEA",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"SHAQEVANS","Shaq Evans","WR","NYJ",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"LESTARJEAN","Lestar Jean","WR","MIN",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"JORDANSHIPLEY","Jordan Shipley","WR","JAX",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"MARCUSEASLEY","Marcus Easley","WR","BUF",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"ARRELIOUSBENN","Arrelious Benn","WR","PHI",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"ALANBONNER","Alan Bonner","WR","HOU",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"BRIANTYMS","Brian Tyms","WR","CLE",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"DANESANZENBACHER","Dane Sanzenbacher","WR","CIN",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"TORIGURLEY","Tori Gurley","WR","CLE",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"LOUISMURPHY","Louis Murphy","WR","TB",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"MARKHARRISON","Mark Harrison","WR","KC",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"JOEANDERSON","Joe Anderson","WR","",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"MARVINMCNUTT","Marvin McNutt","WR","CAR",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"JUSTINBROWN","Justin Brown","WR","PIT",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"GRIFFWHALEN","Griff Whalen","WR","IND",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"CHADHALL","Chad Hall","WR","",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"GREGSALAS","Greg Salas","WR","NYJ",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"KEVINOGLETREE","Kevin Ogletree","WR","DET",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"RUSSELLSHEPARD","Russell Shepard","WR","TB",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"EARLBENNETT","Earl Bennett","WR","CLE",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"ROBERTMEACHEM","Robert Meachem","WR","NO",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"CHADBUMPHIS","Chad Bumphis","WR","JAX",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"ERICWEEMS","Eric Weems","WR","CHI",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"SEYIAJIROTUTU","Seyi Ajirotutu","WR","SD",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"TJGRAHAM","T.J. Graham","WR","BUF",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"STEPHENBURTON","Stephen Burton","WR","JAX",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"DEZMONBRISCOE","Dezmon Briscoe","WR","",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"WALTPOWELL","Walt Powell","WR","ARI",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"BRICEBUTLER","Brice Butler","WR","OAK",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"DARRIUSHEYWARDBEY","Darrius Heyward-Bey","WR","PIT",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"COREYFULLER","Corey Fuller","WR","DET",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"ISAIAHWILLIAMS","Isaiah Williams","WR","TEN",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"JEREMYEBERT","Jeremy Ebert","WR","JAX",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"DEONTETHOMPSON","Deonte Thompson","WR","BAL",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"ANDYTANNER","Andy Tanner","WR","NO",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"BRANDONTATE","Brandon Tate","WR","CIN",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"JONBALDWIN","Jon Baldwin","WR","SF",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"JUSTINBLACKMON","Justin Blackmon","WR","JAX",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"JOEWEBB","Joe Webb","WR","CAR",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"MARLONMOORE","Marlon Moore","WR","MIA",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"DEVINHESTER","Devin Hester","WR","ATL",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"BRUCEELLINGTON","Bruce Ellington","WR","SF",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"MYLESWHITE","Myles White","WR","GB",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"MARCMARIANI","Marc Mariani","WR","TEN",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"JOSHCRIBBS","Josh Cribbs","WR","NYJ",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"DOMENIKHIXON","Domenik Hixon","WR","CHI",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"TRINDONHOLLIDAY","Trindon Holliday","WR","NYG",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"JAMESWRIGHT","James Wright","WR","CIN",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"DEVONWYLIE","Devon Wylie","WR","SF",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"KYLEWILLIAMS","Kyle Williams","WR","KC",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"KENNETHMOORE","Kenneth Moore","WR","",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"DAVONEBESS","Davone Bess","WR","CLE",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"KEVINCONE","Kevin Cone","WR","MIA",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"DAMARISJOHNSON","Damaris Johnson","WR","PHI",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"CHRISHARPER","Chris Harper","WR","GB",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"SANTANAMOSS","Santana Moss","WR","WAS",481,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,0
"LUKESTOCKER","Luke Stocker","TE","TB",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"LEESMITH","Lee Smith","TE","BUF",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"DAVIDTHOMAS","David Thomas","TE","NO",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"DORINDICKERSON","Dorin Dickerson","TE","DET",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"TONYSCHEFFLER","Tony Scheffler","TE","",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"FENDIONOBUN","Fendi Onobun","TE","CHI",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"NATEBYHAM","Nate Byham","TE","TB",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"BRETTBRACKETT","Brett Brackett","TE","ARI",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"WESLYESAUNDERS","Weslye Saunders","TE","IND",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"TOMCRABTREE","Tom Crabtree","TE","TB",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"KEVINBROCK","Kevin Brock","TE","CIN",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"JACKDOYLE","Jack Doyle","TE","IND",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"KYLEADAMS","Kyle Adams","TE","TB",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"KEVINBOSS","Kevin Boss","TE","KC",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"RICHARDGORDON","Richard Gordon","TE","KC",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"FREDDAVIS","Fred Davis","TE","WAS",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"KEAVONMILTON","Keavon Milton","TE","CLE",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"ARTHURLYNCH","Arthur Lynch","TE","MIA",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"JEFFKING","Jeff King","TE","ARI",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"MATTFURSTENBURG","Matt Furstenburg","TE","BAL",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"CHASEFORD","Chase Ford","TE","MIN",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"KORYSPERRY","Kory Sperry","TE","ARI",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"JIMDRAY","Jim Dray","TE","CLE",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"KELLENWINSLOW","Kellen Winslow Jr","TE","NYJ",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"NATHANOVERBAY","Nathan Overbay","TE","DET",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"MICHAELPALMER","Michael Palmer","TE","PIT",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"RYANTAYLOR","Ryan Taylor","TE","GB",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"CAMERONMORRAH","Cameron Morrah","TE","DEN",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"BEARPASCOE","Bear Pascoe","TE","NYG",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"RICHIEBROCKEL","Richie Brockel","TE","CAR",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"GARRETTCELEK","Garrett Celek","TE","SF",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"ORSONCHARLES","Orson Charles","TE","CIN",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"BENHARTSOCK","Ben Hartsock","TE","CAR",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"MICHAELWILLIAMS","Michael Williams","TE","DET",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"JERONMASTRUD","Jeron Mastrud","TE","OAK",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
"DANTEROSARIO","Dante Rosario","TE","CHI",481,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0
