"name","name_fp","pos","team_fp","overallRank_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushAtt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","twoPts_fp","fumbles_fp","pts_fp"
"MARIOMANNINGHAM","Mario Manningham","WR","NYG",321,NA,NA,NA,NA,NA,0,0,0,17.5,239,1,NA,0,29.9
"DEVIERPOSEY","DeVier Posey","WR","HOU",323,NA,NA,NA,NA,NA,0,0,0,20,243.4,0.9,NA,0,29.7
"DARRELYOUNG","Darrel Young","RB","WAS",324,NA,NA,NA,NA,NA,13.5,53,2,8.5,92,0.5,NA,0,29.5
"JONBALDWIN","Jon Baldwin","WR","SF",325,NA,NA,NA,NA,NA,0,0,0,18,249,0.8,NA,0,29.4
"KYLEWILLIAMS","Kyle Williams","WR","KC",325,NA,NA,NA,NA,NA,0,0,0,16.5,249,0.8,NA,0,29.4
"LEONARDHANKERSON","Leonard Hankerson","WR","WAS",325,NA,NA,NA,NA,NA,0,0,0,18.5,248.5,0.8,NA,0,29.4
"DREWDAVIS","Drew Davis","WR","ATL",328,NA,NA,NA,NA,NA,0,0,0,16.5,240.9,0.8,NA,0,28.6
"DAVIDAUSBERRY","David Ausberry","TE","OAK",329,NA,NA,NA,NA,NA,NA,NA,NA,17.4,208.5,1.3,NA,0,28.4
"JEREMYROSS","Jeremy Ross","WR","DET",330,NA,NA,NA,NA,NA,0,0,0,13.5,221.5,1,NA,0,28.2
"JOSEPHFAURIA","Joseph Fauria","TE","DET",331,NA,NA,NA,NA,NA,NA,NA,NA,13.4,157.9,2.2,NA,0.5,28
"JEFFJANIS","Jeff Janis","WR","GB",332,NA,NA,NA,NA,NA,0,0,0,13.5,233.3,0.8,NA,0,27.8
"JOSHMORGAN","Josh Morgan","WR","CHI",332,NA,NA,NA,NA,NA,0,0,0,16.2,205.5,1.2,NA,0,27.8
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",334,NA,NA,NA,NA,NA,47,210.4,0.7,5.7,44.5,0,NA,1,27.7
"TJGRAHAM","T.J. Graham","WR","BUF",335,NA,NA,NA,NA,NA,1,11,0,15,219.9,0.8,NA,0,27.6
"DUJUANHARRIS","DuJuan Harris","RB","GB",336,NA,NA,NA,NA,NA,44.3,187.5,0.8,6,40.9,0,NA,0,27.3
"DANHERRON","Dan Herron","RB","IND",337,NA,NA,NA,NA,NA,57.8,221.3,0.8,2.3,18.8,0,NA,0.8,27
"THEORIDDICK","Theo Riddick","RB","DET",338,NA,NA,NA,NA,NA,35,142.9,1,9.6,63.1,0,NA,0,26.6
"ALDRICKROBINSON","Aldrick Robinson","WR","WAS",339,NA,NA,NA,NA,NA,0,0,0,13.5,205,1,NA,0,26.5
"JACKIEBATTLE","Jackie Battle","RB","TEN",340,NA,NA,NA,NA,NA,45.5,182.5,1,2.5,19.5,0,NA,0,26.2
"GRIFFWHALEN","Griff Whalen","WR","IND",341,NA,NA,NA,NA,NA,0,0,0,17,200,1,NA,0,26
"DARICKROGERS","Da'Rick Rogers","WR","IND",342,NA,NA,NA,NA,NA,0,0,0,13.7,178,1.3,NA,0,25.8
"ANDRECALDWELL","Andre Caldwell","WR","DEN",343,NA,NA,NA,NA,NA,0,0,0,17,208.4,0.8,NA,0,25.6
"BOBBYRAINEY","Bobby Rainey","RB","TB",343,NA,NA,NA,NA,NA,38,157.1,0.8,7.7,51.3,0,NA,0,25.6
"CLAYHARBOR","Clay Harbor","TE","JAC",345,NA,NA,NA,NA,NA,NA,NA,NA,17.2,189.1,1.1,NA,0,25.5
"ANTHONYDIXON","Anthony Dixon","RB","BUF",346,NA,NA,NA,NA,NA,21,86,2.5,2,16.5,0,NA,0,25.3
"DAVIDNELSON","David Nelson","WR","NYJ",347,NA,NA,NA,NA,NA,0,0,0,17.6,206.6,0.8,NA,0,25.2
"JOSEPHRANDLE","Joseph Randle","RB","DAL",348,NA,NA,NA,NA,NA,41.5,167.6,0.5,8,51.4,0,NA,0,24.9
"RYANBROYLES","Ryan Broyles","WR","DET",348,NA,NA,NA,NA,NA,0,0,0,15.4,204.4,0.8,NA,0,24.9
"DONTEMONCRIEF","Donte Moncrief","WR","IND",350,NA,NA,NA,NA,NA,0,0,0,11.9,194,0.9,NA,0,24.8
"WESTONDRESSLER","Weston Dressler","WR","KC",350,NA,NA,NA,NA,NA,0,0,0,15.8,203.3,0.8,NA,0,24.8
"TONYMOEAKI","Tony Moeaki","TE","BUF",352,NA,NA,NA,NA,NA,NA,NA,NA,14.4,177.9,1.1,NA,0,24.5
"JURONCRINER","Juron Criner","WR","OAK",353,NA,NA,NA,NA,NA,0,0,0,14,183.5,1,NA,0,24.4
"LOUISMURPHY","Louis Murphy","WR","TB",354,NA,NA,NA,NA,NA,0,0,0,13.9,198,0.8,NA,0,24.3
"DEANTHONYTHOMAS","De'Anthony Thomas","RB","KC",355,NA,NA,NA,NA,NA,10.8,38.7,0.3,18.8,142.1,0.7,NA,0,24.1
"SHAUNHILL","Shaun Hill","QB","STL",355,55,33.7,380.2,3.1,1.9,4,12.5,0,NA,NA,NA,NA,0.5,24.1
"ZACHMETTENBERGER","Zach Mettenberger","QB","TEN",357,71.7,41.8,479.3,3.5,4.3,5,5.2,0,NA,NA,NA,NA,0.8,23.5
"TROYNIKLAS","Troy Niklas","TE","ARI",358,NA,NA,NA,NA,NA,NA,NA,NA,13.6,174.4,1,NA,0,23.4
"JARONBROWN","Jaron Brown","WR","ARI",359,NA,NA,NA,NA,NA,0,0,0,12,182.3,0.8,NA,0,22.7
"DEMETRIUSHARRIS","Demetrius Harris","TE","KC",360,NA,NA,NA,NA,NA,NA,NA,NA,11,104,2,NA,0,22.4
"RISHARDMATTHEWS","Rishard Matthews","WR","MIA",361,NA,NA,NA,NA,NA,0,0,0,14.4,175.6,0.8,NA,0,22.1
"JUSTINFORSETT","Justin Forsett","RB","BAL",362,NA,NA,NA,NA,NA,41.1,177.5,0.3,4.1,24.8,0,NA,0,22
"TAVARRESKING","Tavarres King","WR","CAR",363,NA,NA,NA,NA,NA,0,0,0,11.3,174,0.8,NA,0,21.9
"JACOBYFORD","Jacoby Ford","WR","NYJ",364,NA,NA,NA,NA,NA,0,0,0,15.6,200.3,0.6,NA,1,21.8
"JOHNKUHN","John Kuhn","RB","GB",365,NA,NA,NA,NA,NA,15.4,53.8,1.1,10.3,72.6,0.4,NA,0,21.6
"JORDANPALMER","Jordan Palmer","QB","CHI",366,79.1,45.6,518.6,1.3,2.1,3,7.1,0,NA,NA,NA,NA,0.5,21.2
"MICHAELHOOMANAWANUI","Michael Hoomanawanui","TE","NE",366,NA,NA,NA,NA,NA,NA,NA,NA,14.9,174.5,0.6,NA,0,21.2
"BRICEBUTLER","Brice Butler","WR","OAK",368,NA,NA,NA,NA,NA,0,0,0,10.5,165.8,0.8,NA,0,21.1
"BRUCEELLINGTON","Bruce Ellington","WR","SF",368,NA,NA,NA,NA,NA,0,0,0,12,180.5,0.5,NA,0,21.1
"DARIUSJOHNSON","Darius Johnson","WR","ATL",368,NA,NA,NA,NA,NA,0,0,0,12.8,165.8,0.8,NA,0,21.1
"QUINTONPATTON","Quinton Patton","WR","SF",371,NA,NA,NA,NA,NA,0,0,0,13.5,174,0.8,NA,0.5,20.9
"JACOBTAMME","Jacob Tamme","TE","DEN",372,NA,NA,NA,NA,NA,NA,NA,NA,13.9,146.5,1,NA,0,20.7
"VANCEMCDONALD","Vance McDonald","TE","SF",372,NA,NA,NA,NA,NA,NA,NA,NA,12.4,171.1,0.6,NA,0,20.7
"MARCUSHARRIS","Marcus Harris","WR","NYG",374,NA,NA,NA,NA,NA,0,0,0,8.3,115.5,1.5,NA,0,20.6
"CHRISOGBONNAYA","Chris Ogbonnaya","RB","CLE",375,NA,NA,NA,NA,NA,22.5,91.5,0,16.5,115.3,0.3,NA,1,20.5
"DEREKMOYE","Derek Moye","WR","PIT",376,NA,NA,NA,NA,NA,0,0,0,11.3,159,0.8,NA,0,20.4
"RICARDOLOCKETTE","Ricardo Lockette","WR","SEA",377,NA,NA,NA,NA,NA,0,0,0,13,173,0.5,NA,0,20.3
"LOGANPAULSEN","Logan Paulsen","TE","WAS",378,NA,NA,NA,NA,NA,NA,NA,NA,13.8,153.6,0.8,NA,0,20.2
"TJJONES","TJ Jones","WR","DET",379,NA,NA,NA,NA,NA,0,0,0,13,169,0.5,NA,0,19.9
"ZACHSUDFELD","Zach Sudfeld","TE","NYJ",380,NA,NA,NA,NA,NA,NA,NA,NA,12.8,159.6,0.6,NA,0,19.7
"VIRGILGREEN","Virgil Green","TE","DEN",381,NA,NA,NA,NA,NA,NA,NA,NA,12,165.5,0.5,NA,0,19.6
"JEDCOLLINS","Jed Collins","RB","DET",382,NA,NA,NA,NA,NA,7,43.5,1,10,56.5,0.5,NA,0,19
"TERRELLEPRYOR","Terrelle Pryor","QB","SEA",382,12,7,87,1,0,11,55,1,NA,NA,NA,NA,0,19
"MIKETHOMAS","Mike Thomas","WR","HOU",384,NA,NA,NA,NA,NA,0,0,0,12.8,143.3,0.8,NA,0,18.8
"ANTHONYSHERMAN","Anthony Sherman","RB","KC",385,NA,NA,NA,NA,NA,6.5,20.5,0.5,13,106,0.5,NA,0,18.7
"CHARLESJOHNSON","Charles Johnson","WR","CLE",386,NA,NA,NA,NA,NA,0,0,0,11.8,163.4,0.4,NA,0,18.6
"DENNISJOHNSON","Dennis Johnson","RB","HOU",387,NA,NA,NA,NA,NA,30.8,126.8,0.2,6.8,46.4,0,NA,0,18.5
"CORYHARKEY","Cory Harkey","TE","STL",388,NA,NA,NA,NA,NA,NA,NA,NA,12.5,121.5,1,NA,0,18.2
"NICKTOON","Nick Toon","WR","NO",389,NA,NA,NA,NA,NA,0,0,0,9.3,150.8,0.5,NA,0,18.1
"RHETTELLISON","Rhett Ellison","TE","MIN",390,NA,NA,NA,NA,NA,NA,NA,NA,13,150,0.5,NA,0,18
"DERRICKCOLEMAN","Derrick Coleman","RB","SEA",391,NA,NA,NA,NA,NA,5.5,20.5,0.5,9.5,66,1,NA,0,17.7
"FRANKSUMMERS","Frank Summers","RB","BUF",391,NA,NA,NA,NA,NA,12,44.5,0.5,9,72.5,0.5,NA,0,17.7
"BRUCEMILLER","Bruce Miller","RB","SF",393,NA,NA,NA,NA,NA,6,21.5,0.5,15.5,124,0,NA,0,17.6
"MIKELLESHOURE","Mikel Leshoure","RB","DET",393,NA,NA,NA,NA,NA,22.8,100.3,0.8,6.1,45.5,0,NA,0.8,17.6
"GARYBARNIDGE","Gary Barnidge","TE","CLE",395,NA,NA,NA,NA,NA,NA,NA,NA,13.8,130.3,0.8,NA,0,17.5
"MYLESWHITE","Myles White","WR","GB",395,NA,NA,NA,NA,NA,0,0,0,10.6,137.9,0.6,NA,0,17.5
"KELLENDAVIS","Kellen Davis","TE","NYG",397,NA,NA,NA,NA,NA,NA,NA,NA,11.4,121.6,0.9,NA,0,17.4
"JIMDRAY","Jim Dray","TE","CLE",398,NA,NA,NA,NA,NA,NA,NA,NA,12.8,128.3,0.8,NA,0,17.3
"BRUCEGRADKOWSKI","Bruce Gradkowski","QB","PIT",399,48.5,28,297,2,2,3.5,13.5,0,NA,NA,NA,NA,0,17.2
"DIONSIMS","Dion Sims","TE","MIA",400,NA,NA,NA,NA,NA,NA,NA,NA,9.8,125.6,0.8,NA,0,17.1
"SHAUNDRAUGHN","Shaun Draughn","RB","CHI",401,NA,NA,NA,NA,NA,21.5,91.5,0.5,6,48,0,NA,0,17
"RICHARDRODGERS","Richard Rodgers","TE","GB",402,NA,NA,NA,NA,NA,NA,NA,NA,10,107.5,1,NA,0,16.8
"JAMESHANNA","James Hanna","TE","DAL",403,NA,NA,NA,NA,NA,NA,NA,NA,13,137,0.5,NA,0,16.7
"STORMJOHNSON","Storm Johnson","RB","JAC",403,NA,NA,NA,NA,NA,24.4,105.4,0.4,5.3,38.6,0,NA,0,16.7
"CROCKETTGILLMORE","Crockett Gillmore","TE","BAL",405,NA,NA,NA,NA,NA,NA,NA,NA,9,115.5,0.8,NA,0,16.1
"DANESANZENBACHER","Dane Sanzenbacher","WR","CIN",406,NA,NA,NA,NA,NA,0,0,0,11,129.5,0.5,NA,0,16
"DEVINHESTER","Devin Hester","WR","ATL",406,NA,NA,NA,NA,NA,0,0,0,7,129.5,0.5,NA,0,16
"ALANBONNER","Alan Bonner","WR","HOU",408,NA,NA,NA,NA,NA,0,0,0,10.5,158.3,0,NA,0,15.8
"BEARPASCOE","Bear Pascoe","TE","ATL",408,NA,NA,NA,NA,NA,NA,NA,NA,13,128,0.5,NA,0,15.8
"GREGSALAS","Greg Salas","WR","NYJ",408,NA,NA,NA,NA,NA,0,0,0,11.3,158.3,0,NA,0,15.8
"ERIKLORIG","Erik Lorig","RB","NO",411,NA,NA,NA,NA,NA,5,19.5,0,10.5,75.5,1,NA,0,15.5
"MICHAELFORD","Michael Ford","RB","CHI",412,NA,NA,NA,NA,NA,21.5,94,0.5,3,24,0,NA,0,14.8
"ANTHONYMCCOY","Anthony McCoy","TE","SEA",413,NA,NA,NA,NA,NA,NA,NA,NA,10,113.5,0.5,NA,0,14.4
"DWAYNEHARRIS","Dwayne Harris","WR","DAL",414,NA,NA,NA,NA,NA,0,0,0,10.5,113,0.5,NA,0,14.3
"JUSTINBROWN","Justin Brown","WR","PIT",414,NA,NA,NA,NA,NA,0,0,0,9.8,98.3,0.8,NA,0,14.3
"ARTHURLYNCH","Arthur Lynch","TE","MIA",416,NA,NA,NA,NA,NA,NA,NA,NA,9.5,111,0.5,NA,0,14.1
"RYANWHALEN","Ryan Whalen","WR","CIN",416,NA,NA,NA,NA,NA,0,0,0,9,110.5,0.5,NA,0,14.1
"LARRYDONNELL","Larry Donnell","TE","NYG",418,NA,NA,NA,NA,NA,NA,NA,NA,9.5,107.5,0.5,NA,0,13.8
"WILLJOHNSON","Will Johnson","RB","PIT",418,NA,NA,NA,NA,NA,2,7.5,0,11,70,1,NA,0,13.8
"LAVELLEHAWKINS","Lavelle Hawkins","WR","TB",420,NA,NA,NA,NA,NA,0,0,0,11.3,137,0,NA,0,13.7
"MATTFLYNN","Matt Flynn","QB","GB",421,29.8,18.3,217.1,1.3,1,3.1,18.8,0,NA,NA,NA,NA,0,13.6
"DIONLEWIS","Dion Lewis","RB","CLE",422,NA,NA,NA,NA,NA,20.6,94.1,0.4,2.3,18.3,0,NA,0,13.5
"CYRUSGRAY","Cyrus Gray","RB","KC",423,NA,NA,NA,NA,NA,12,55,0.5,7,48,0,NA,0,13.3
"MATTSPAETH","Matt Spaeth","TE","PIT",423,NA,NA,NA,NA,NA,NA,NA,NA,6.5,73,1,NA,0,13.3
"BRANDONWEEDEN","Brandon Weeden","QB","DAL",425,42.1,25,293.8,1.2,1.3,1,2,0,NA,NA,NA,NA,0.5,13.2
"JAKEBALLARD","Jake Ballard","TE","ARI",425,NA,NA,NA,NA,NA,NA,NA,NA,7.5,87.4,0.8,NA,0,13.2
"JAMESCASEY","James Casey","TE","PHI",427,NA,NA,NA,NA,NA,NA,NA,NA,9.3,108,0.4,NA,0,13.1
"JOSHHILL","Josh Hill","TE",NA,427,NA,NA,NA,NA,NA,NA,NA,NA,8.3,86.3,0.8,NA,0,13.1
"KENJONBARNER","Kenjon Barner","RB","CAR",427,NA,NA,NA,NA,NA,21,92.5,0,5.7,38.2,0,NA,0,13.1
"KEALOHAPILARES","Kealoha Pilares","WR","CAR",430,NA,NA,NA,NA,NA,0,0,0,8.3,129.8,0,NA,0,13
"TOMMYBOHANON","Tommy Bohanon","RB","NYJ",430,NA,NA,NA,NA,NA,8,29,0.5,10.5,70.5,0,NA,0,13
"SEYIAJIROTUTU","Seyi Ajirotutu","WR","SD",432,NA,NA,NA,NA,NA,0,0,0,6,84,0.8,NA,0,12.9
"KYLEJUSZCZYK","Kyle Juszczyk","RB","BAL",433,NA,NA,NA,NA,NA,11.8,42.8,0.4,6.4,40.3,0.4,NA,0,12.8
"CEDRICPEERMAN","Cedric Peerman","RB","CIN",434,NA,NA,NA,NA,NA,15,70,0,7,56.5,0,NA,0,12.7
"CHRISTHOMPSON","Chris Thompson","RB","WAS",435,NA,NA,NA,NA,NA,13.5,65.3,0,6,57.8,0,NA,0,12.3
"NICKKASA","Nick Kasa","TE","OAK",435,NA,NA,NA,NA,NA,NA,NA,NA,8.5,93,0.5,NA,0,12.3
"DARYLRICHARDSON","Daryl Richardson","RB","NYJ",437,NA,NA,NA,NA,NA,15.8,67.4,0,7.5,62.7,0,NA,0.5,12
"JOSHBOYCE","Josh Boyce","WR","NE",438,NA,NA,NA,NA,NA,0,0,0,7.5,88.5,0.5,NA,0,11.9
"JOELDREESSEN","Joel Dreessen","TE","DEN",439,NA,NA,NA,NA,NA,NA,NA,NA,8.3,72.8,0.8,NA,0,11.8
"MARKSANCHEZ","Mark Sanchez","QB","PHI",439,27.6,16.8,183.8,1.3,0.6,3.5,4.6,0,NA,NA,NA,NA,0,11.8
"RYANWILLIAMS","Ryan Williams","RB","DAL",439,NA,NA,NA,NA,NA,26,109,0,3,23.5,0,NA,0.8,11.8
"ARMONBINNS","Armon Binns","WR","MIA",442,NA,NA,NA,NA,NA,0,0,0,9,115.5,0,NA,0,11.6
"DAMARISJOHNSON","Damaris Johnson","WR","PHI",443,NA,NA,NA,NA,NA,0,0,0,9.4,111.3,0.4,NA,1,11.4
"SEANMCGRATH","Sean McGrath","TE","KC",444,NA,NA,NA,NA,NA,NA,NA,NA,7.9,90.8,0.4,NA,0,11.3
"MIKEGILLISLEE","Mike Gillislee","RB","MIA",445,NA,NA,NA,NA,NA,23,95.2,0,2.2,16.1,0,NA,0,11.1
"ANTHONYARMSTRONG","Anthony Armstrong","WR","CLE",446,NA,NA,NA,NA,NA,0,0,0,4.5,64.5,0.8,NA,0,11
"CHRISRAINEY","Chris Rainey","RB","IND",446,NA,NA,NA,NA,NA,11.3,50.3,0,6.8,59.3,0,NA,0,11
"DAVIDPAULSON","David Paulson","TE","PIT",446,NA,NA,NA,NA,NA,NA,NA,NA,10.4,110.1,0,NA,0,11
"JOSHFREEMAN","Josh Freeman","QB",NA,449,24.2,14,161.5,1,0.3,3.3,11,0,NA,NA,NA,NA,0,10.9
"TANDONDOSS","Tandon Doss","WR","JAC",449,NA,NA,NA,NA,NA,0,0,0,8.3,108.8,0,NA,0,10.9
"HENRYHYNOSKI","Henry Hynoski","RB","NYG",451,NA,NA,NA,NA,NA,4,14.5,0.5,8.5,61.5,0,NA,0,10.6
"STANLEYHAVILI","Stanley Havili","RB","IND",451,NA,NA,NA,NA,NA,6.5,24,0,11,81.5,0,NA,0,10.6
"MARIONGRICE","Marion Grice","RB","SD",453,NA,NA,NA,NA,NA,11,51,0.5,3,22,0,NA,0,10.3
"EDWINBAKER","Edwin Baker","RB","CLE",454,NA,NA,NA,NA,NA,14.9,64.1,0.3,3.4,23.1,0,NA,0,10.2
"RODNEYSMITH","Rodney Smith","WR","MIN",455,NA,NA,NA,NA,NA,0,0,0,6.8,99.8,0,NA,0,10
"JAMESDEVELIN","James Develin","RB","NE",456,NA,NA,NA,NA,NA,4.5,16,0.5,7.5,51,0,NA,0,9.7
"JORVORSKIELANE","Jorvorskie Lane","RB","TB",456,NA,NA,NA,NA,NA,8.5,28.5,0.5,5.5,38.5,0,NA,0,9.7
"ANTONESMITH","Antone Smith","RB","ATL",458,NA,NA,NA,NA,NA,13.5,57.5,0.5,1,8.5,0,NA,0,9.6
"ORSONCHARLES","Orson Charles","RB","CIN",458,NA,NA,NA,NA,NA,2.3,10.5,0.8,3,40.5,0,NA,0,9.6
"JOEMCKNIGHT","Joe McKnight","RB","KC",460,NA,NA,NA,NA,NA,16.5,69,0,4.5,41.3,0,NA,0.8,9.5
"JEROMEFELTON","Jerome Felton","RB","MIN",461,NA,NA,NA,NA,NA,5,16.5,0.5,6,47.5,0,NA,0,9.4
"LESTARJEAN","Lestar Jean","WR","MIN",462,NA,NA,NA,NA,NA,0,0,0,6,92.3,0,NA,0,9.2
"MICHAELEGNEW","Michael Egnew","TE","MIA",462,NA,NA,NA,NA,NA,NA,NA,NA,8.3,91.5,0,NA,0,9.2
"TONYFIAMMETTA","Tony Fiammetta","RB","CHI",464,NA,NA,NA,NA,NA,5.5,21.5,0.5,5,39.5,0,NA,0,9.1
"BRENTONBERSIN","Brenton Bersin","WR","CAR",465,NA,NA,NA,NA,NA,0,0,0,6.5,89,0,NA,0,8.9
"FENDIONOBUN","Fendi Onobun","TE","JAC",465,NA,NA,NA,NA,NA,NA,NA,NA,6.5,89,0,NA,0,8.9
"JEREMYSTEWART","Jeremy Stewart","RB","OAK",465,NA,NA,NA,NA,NA,11.3,50.3,0,5.3,38.3,0,NA,0,8.9
