"name","name_fp","pos","team_fp","overallRank_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushAtt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","twoPts_fp","fumbles_fp","pts_fp"
"THADDEUSLEWIS","Thaddeus Lewis","QB","BUF",465,24,14,165,1,1,1,3,0,NA,NA,NA,NA,0,8.9
"BRITTANGOLDEN","Brittan Golden","WR","ARI",469,NA,NA,NA,NA,NA,0,0,0,6,85.5,0,NA,0,8.6
"DEONTETHOMPSON","Deonte Thompson","WR","BAL",469,NA,NA,NA,NA,NA,0,0,0,9,86.3,0,NA,0,8.6
"CHASEFORD","Chase Ford","TE","MIN",471,NA,NA,NA,NA,NA,NA,NA,NA,6.5,85,0,NA,0,8.5
"CHRISGRAGG","Chris Gragg","TE","BUF",472,NA,NA,NA,NA,NA,NA,NA,NA,5.6,61.9,0.4,NA,0,8.4
"CLYDEGATES","Clyde Gates","WR","NYJ",472,NA,NA,NA,NA,NA,0,0,0,8.3,84,0,NA,0,8.4
"KEVINDORSEY","Kevin Dorsey","WR","GB",472,NA,NA,NA,NA,NA,0,0,0,6,84,0,NA,0,8.4
"ADAMTHIELEN","Adam Thielen","WR","MIN",475,NA,NA,NA,NA,NA,0,0,0,6.8,82.5,0,NA,0,8.3
"NAAMANROOSEVELT","Naaman Roosevelt","WR","BUF",475,NA,NA,NA,NA,NA,0,0,0,6,83.3,0,NA,0,8.3
"DEREKANDERSON","Derek Anderson","QB","CAR",477,13.8,9,99.3,1.1,0.4,1.1,4.1,0,NA,NA,NA,NA,0,8.1
"LEONWASHINGTON","Leon Washington","RB","TEN",477,NA,NA,NA,NA,NA,6,29.5,0,5.5,51.5,0,NA,0,8.1
"CHRISHOGAN","Chris Hogan","WR","BUF",479,NA,NA,NA,NA,NA,0,0,0,6,78.8,0,NA,0,7.9
"DJWILLIAMS","D.J. Williams","TE","NE",480,NA,NA,NA,NA,NA,NA,NA,NA,5.8,60.5,0.3,NA,0,7.6
"MICHAELCAMPANARO","Michael Campanaro","WR","BAL",481,NA,NA,NA,NA,NA,0,0,0,6,73.5,0,NA,0,7.4
"MICKEYSHULER","Mickey Shuler","TE","ATL",481,NA,NA,NA,NA,NA,NA,NA,NA,6.8,73.5,0,NA,0,7.4
"BLAINEGABBERT","Blaine Gabbert","QB","SF",483,13.6,8.6,99,0.8,0,1.9,3.4,0,NA,NA,NA,NA,0,7.3
"DANTEROSARIO","Dante Rosario","TE","CHI",483,NA,NA,NA,NA,NA,NA,NA,NA,4,42.5,0.5,NA,0,7.3
"GERELLROBINSON","Gerell Robinson","TE","DEN",483,NA,NA,NA,NA,NA,NA,NA,NA,6,72.8,0,NA,0,7.3
"JOHNPHILLIPS","John Phillips","TE","SD",483,NA,NA,NA,NA,NA,NA,NA,NA,8,72.5,0,NA,0,7.3
"NICKWILLIAMS","Nick Williams","WR","PIT",483,NA,NA,NA,NA,NA,0,0,0,6,72.8,0,NA,0,7.3
"JALENPARMELE","Jalen Parmele","RB","ARI",488,NA,NA,NA,NA,NA,6,31.5,0,5.3,40.5,0,NA,0,7.2
"CRAIGSTEVENS","Craig Stevens","TE","TEN",489,NA,NA,NA,NA,NA,NA,NA,NA,6.5,71,0,NA,0,7.1
"MATTMOORE","Matt Moore","QB","MIA",489,34.6,20.1,220.6,0.8,1,2,3.1,0,NA,NA,NA,NA,1.5,7.1
"CHASEDANIEL","Chase Daniel","QB","KC",491,21,12.5,138.5,0.5,0.5,2.5,3,0,NA,NA,NA,NA,0,6.8
"TAYLORTHOMPSON","Taylor Thompson","TE","TEN",491,NA,NA,NA,NA,NA,NA,NA,NA,6,67.9,0,NA,0,6.8
"TYLERCLUTTS","Tyler Clutts","RB","DAL",491,NA,NA,NA,NA,NA,3,11.5,0.5,4.5,26.5,0,NA,0,6.8
"WESLYESAUNDERS","Weslye Saunders","TE","IND",491,NA,NA,NA,NA,NA,NA,NA,NA,6,68.3,0,NA,0,6.8
"JASONCAMPBELL","Jason Campbell","QB","CIN",495,24.6,13.9,170.5,0.3,0.6,0.6,1.8,0,NA,NA,NA,NA,0,6.7
"JEFFMAEHL","Jeff Maehl","WR","PHI",495,NA,NA,NA,NA,NA,0,0,0,6,66.8,0,NA,0,6.7
"RYANTAYLOR","Ryan Taylor","TE","GB",495,NA,NA,NA,NA,NA,NA,NA,NA,5.5,67,0,NA,0,6.7
"ALVESTERALEXANDER","Alvester Alexander","RB","PIT",498,NA,NA,NA,NA,NA,11.3,48.8,0,3,16.5,0,NA,0,6.5
"LEESMITH","Lee Smith","TE","BUF",498,NA,NA,NA,NA,NA,NA,NA,NA,6.5,64.5,0,NA,0,6.5
"RYANGRANT","Ryan Grant","WR","WAS",498,NA,NA,NA,NA,NA,0,0,0,5.3,65.3,0,NA,0,6.5
"TERRENCETOLIVER","Terrence Toliver","WR","CHI",498,NA,NA,NA,NA,NA,0,0,0,5.3,65.3,0,NA,0,6.5
"PATRICKDIMARCO","Patrick DiMarco","RB","ATL",502,NA,NA,NA,NA,NA,3,11.5,0,8,51,0,NA,0,6.3
"COLLINMOONEY","Collin Mooney","RB","TEN",503,NA,NA,NA,NA,NA,3.5,12,0.5,3.5,20,0,NA,0,6.2
"LAMICHAELJAMES","LaMichael James","RB","SF",503,NA,NA,NA,NA,NA,8.6,36,0,3.4,26.3,0,NA,0,6.2
"MARVINMCNUTT","Marvin McNutt","WR","CAR",503,NA,NA,NA,NA,NA,0,0,0,3.8,61.5,0,NA,0,6.2
"MICHAELPRESTON","Michael Preston","WR","TEN",506,NA,NA,NA,NA,NA,0,0,0,5.5,60.5,0,NA,0,6.1
"ERICWEEMS","Eric Weems","WR","CHI",507,NA,NA,NA,NA,NA,0,0,0,6,58.5,0,NA,0,5.9
"GARRETTCELEK","Garrett Celek","TE","SF",507,NA,NA,NA,NA,NA,NA,NA,NA,5.3,58.5,0,NA,0,5.9
"ANDYTANNER","Andy Tanner","WR","NO",509,NA,NA,NA,NA,NA,0,0,0,3.8,57,0,NA,0,5.7
"JONATHANGRIMES","Jonathan Grimes","RB","HOU",509,NA,NA,NA,NA,NA,5.3,24.8,0,3.8,32.3,0,NA,0,5.7
"NILESPAUL","Niles Paul","TE","WAS",509,NA,NA,NA,NA,NA,NA,NA,NA,6,57,0,NA,0,5.7
"TOMMYSTREETER","Tommy Streeter","WR","TB",509,NA,NA,NA,NA,NA,0,0,0,3.8,57,0,NA,0,5.7
"TYRODTAYLOR","Tyrod Taylor","QB","BAL",509,9.5,6,57,0,0,5.5,34,0,NA,NA,NA,NA,0,5.7
"ALLENREISNER","Allen Reisner","TE","MIN",514,NA,NA,NA,NA,NA,NA,NA,NA,4.5,56.3,0,NA,0,5.6
"KEVINBROCK","Kevin Brock","TE","CIN",514,NA,NA,NA,NA,NA,NA,NA,NA,5,55.5,0,NA,0,5.6
"WILLTAUFOOU","Will Ta'ufo'ou","RB","JAC",514,NA,NA,NA,NA,NA,4,14,0,7.5,41.5,0,NA,0,5.6
"EVANROYSTER","Evan Royster","RB","WAS",517,NA,NA,NA,NA,NA,9,38.3,0,2.3,16.5,0,NA,0,5.5
"KAMARAIKEN","Kamar Aiken","WR","BAL",517,NA,NA,NA,NA,NA,0,0,0,3.8,54.8,0,NA,0,5.5
"RUSSELLSHEPARD","Russell Shepard","WR","TB",519,NA,NA,NA,NA,NA,0,0,0,4.5,54,0,NA,0,5.4
"MICHAELPALMER","Michael Palmer","TE","PIT",520,NA,NA,NA,NA,NA,NA,NA,NA,6,53.3,0,NA,0,5.3
"ISAIAHPEAD","Isaiah Pead","RB","STL",521,NA,NA,NA,NA,NA,7.5,33.5,0,2.5,18,0,NA,0,5.2
"DAVIDJOHNSON","David Johnson","TE","SD",522,NA,NA,NA,NA,NA,NA,NA,NA,5.3,50.3,0,NA,0,5
"JACKDOYLE","Jack Doyle","TE","IND",522,NA,NA,NA,NA,NA,NA,NA,NA,5,49.5,0,NA,0,5
"TEVINREESE","Tevin Reese","WR","SD",522,NA,NA,NA,NA,NA,0,0,0,3.8,49.5,0,NA,0,5
"JAYPROSCH","Jay Prosch","RB","HOU",525,NA,NA,NA,NA,NA,7,28,0,3,21,0,NA,0,4.9
"DANIELFELLS","Daniel Fells","TE","NYG",526,NA,NA,NA,NA,NA,NA,NA,NA,4.5,47.5,0,NA,0,4.8
"MICHAELCOX","Michael Cox","RB","NYG",526,NA,NA,NA,NA,NA,6.9,31.3,0,2.1,16.9,0,NA,0,4.8
"KONRADREULAND","Konrad Reuland","TE",NA,528,NA,NA,NA,NA,NA,NA,NA,NA,5,47,0,NA,0,4.7
"DOMENIKHIXON","Domenik Hixon","WR","CHI",529,NA,NA,NA,NA,NA,0,0,0,3.8,45.8,0,NA,0,4.6
"BRANDONTATE","Brandon Tate","WR","CIN",530,NA,NA,NA,NA,NA,0,0,0,5.3,65.3,0,NA,1,4.5
"LUKESTOCKER","Luke Stocker","TE","TB",531,NA,NA,NA,NA,NA,NA,NA,NA,3.5,43.5,0,NA,0,4.4
"BRADSMITH","Brad Smith","WR","PHI",532,NA,NA,NA,NA,NA,0,0,0,3,40.5,0,NA,0,4.1
"DARRENFELLS","Darren Fells","TE","ARI",532,NA,NA,NA,NA,NA,NA,NA,NA,3.8,40.5,0,NA,0,4.1
"MARQUEISGRAY","MarQueis Gray","TE","CLE",532,NA,NA,NA,NA,NA,NA,NA,NA,5.3,41.3,0,NA,0,4.1
"MATTHEWMULLIGAN","Matthew Mulligan","TE","CHI",532,NA,NA,NA,NA,NA,NA,NA,NA,3.8,40.5,0,NA,0,4.1
"MIKEMCNEILL","Mike McNeill","TE","CAR",536,NA,NA,NA,NA,NA,NA,NA,NA,3,39.8,0,NA,0,4
"PATEDWARDS","Pat Edwards","WR","DET",536,NA,NA,NA,NA,NA,0,0,0,3,39.8,0,NA,0,4
"ERICPAGE","Eric Page","WR","TB",538,NA,NA,NA,NA,NA,0,0,0,3,51,0,NA,0.8,3.6
"TARVARISJACKSON","Tarvaris Jackson","QB","SEA",538,10,6,67,0,0,4,9,0,NA,NA,NA,NA,0,3.6
"ANDREWSZCZERBA","Andrew Szczerba","TE","ATL",540,NA,NA,NA,NA,NA,NA,NA,NA,3,32.3,0,NA,0,3.2
"COREYFULLER","Corey Fuller","WR","DET",540,NA,NA,NA,NA,NA,0,0,0,2.3,32.3,0,NA,0,3.2
"KASSIMOSGOOD","Kassim Osgood","WR","SF",540,NA,NA,NA,NA,NA,0,0,0,2.3,32.3,0,NA,0,3.2
"MIGUELMAYSONET","Miguel Maysonet","RB","PIT",540,NA,NA,NA,NA,NA,6.8,28.5,0,0.8,3,0,NA,0,3.2
"BRANDONBARDEN","Brandon Barden","TE","JAC",544,NA,NA,NA,NA,NA,NA,NA,NA,2.3,30.8,0,NA,0,3.1
"BROCKOSWEILER","Brock Osweiler","QB","DEN",545,10.5,6.3,72.5,0,0,1.3,0.3,0,NA,NA,NA,NA,0,2.9
"MARCMARIANI","Marc Mariani","WR","TEN",546,NA,NA,NA,NA,NA,0,0,0,2.3,27.8,0,NA,0,2.8
"ROBERTHUGHES","Robert Hughes","RB","ARI",547,NA,NA,NA,NA,NA,3.8,12.8,0,2.3,14.3,0,NA,0,2.7
"EMILIGWENAGU","Emil Igwenagu","TE","PHI",548,NA,NA,NA,NA,NA,NA,NA,NA,3,24.8,0,NA,0,2.5
"LONNIEPRYOR","Lonnie Pryor","RB","TB",549,NA,NA,NA,NA,NA,2.3,6.8,0,3,15.8,0,NA,0,2.3
"RICHARDGORDON","Richard Gordon","TE","KC",549,NA,NA,NA,NA,NA,NA,NA,NA,2.3,23.3,0,NA,0,2.3
"CHRISTIANPONDER","Christian Ponder","QB","MIN",551,10,5,55,0,0,3,0,0,NA,NA,NA,NA,0,2.2
"MATTHASSELBECK","Matt Hasselbeck","QB","IND",552,8,4.5,51.5,0,0,1,0,0,NA,NA,NA,NA,0,2.1
"TEDBOLSER","Ted Bolser","TE","WAS",553,NA,NA,NA,NA,NA,NA,NA,NA,2.3,12,0,NA,0,1.2
"DOMINIQUEDAVIS","Domanique Davis","QB","ATL",554,6,4,27,0,0,0,0,0,NA,NA,NA,NA,0,1.1
"RICHIEBROCKEL","Richie Brockel","TE","CAR",554,NA,NA,NA,NA,NA,NA,NA,NA,2.3,10.5,0,NA,0,1.1
"TAYLORYATES","Taylor Yates","QB","ATL",554,3,2,22,0,0,1,2,0,NA,NA,NA,NA,0,1.1
"BRADSMELLEY","Brad Smelley","TE","HOU",557,NA,NA,NA,NA,NA,NA,NA,NA,1.5,9,0,NA,0,0.9
"BRANDONWILLIAMS","Brandon Williams","TE","ARI",557,NA,NA,NA,NA,NA,NA,NA,NA,1.5,9,0,NA,0,0.9
"DREWSTANTON","Drew Stanton","QB","ARI",559,2.5,1.5,21,0,0,0,0,0,NA,NA,NA,NA,0,0.8
"SPENCERWARE","Spencer Ware","RB","SEA",559,NA,NA,NA,NA,NA,2.3,7.5,0,0,0,0,NA,0,0.8
"RYANMALLETT","Ryan Mallett","QB","NE",561,2.5,1.5,15.5,0,0,1,-1.5,0,NA,NA,NA,NA,0,0.5
"AARONMURRAY","Aaron Murray","QB","KC",562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"AJMCCARRON","AJ McCarron","QB","CIN",562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"BRADSORENSEN","Brad Sorensen","QB","SD",562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"CIERREWOOD","Cierre Wood","RB","BAL",562,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0
"COLTMCCOY","Colt McCoy","QB","WAS",562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"DANORLOVSKY","Dan Orlovsky","QB","DET",562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"JIMMYGAROPPOLO","Jimmy Garoppolo","QB","NE",562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"LANDRYJONES","Landry Jones","QB","PIT",562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"LOGANTHOMAS","Logan Thomas","QB","ARI",562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"LUKEMCCOWN","Luke McCown","QB","NO",562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"MATTBARKLEY","Matt Barkley","QB","PHI",562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"MATTMCGLOIN","Matt McGloin","QB","OAK",562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"RYANNASSIB","Ryan Nassib","QB","NYG",562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
"TYLERBRAY","Tyler Bray","QB","KC",562,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0
