"name","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"Keiland Williams","RB","DET",90,271,NA,NA,NA,NA,NA,NA,NA,32.7,135.7,4.1,1.3,6.7,51.3,7.7,0.3,NA,0,17.6
"Le'Ron McClain","RB","SD",91,273,NA,NA,NA,NA,NA,NA,NA,30.3,124.7,4.1,2,7.7,47.7,6.2,0,NA,0.7,16.6
"Brian Leonard","RB","CIN",92,274,NA,NA,NA,NA,NA,NA,NA,30.3,140.3,4.6,1,14,95.3,6.8,0,NA,0,16
"Colt McCoy","QB","CLE",38,275,62,37,419.7,1.7,2.7,59.7,6.8,6.3,28.3,4.5,0,NA,NA,NA,NA,NA,0,15.8
"Da'Rel Scott","RB","NYG",93,275,NA,NA,NA,NA,NA,NA,NA,43,188,4.4,0.3,7.7,69,9,0,NA,0,15.8
"James Casey","TE","HOU",94,277,NA,NA,NA,NA,NA,NA,NA,7.7,34,4.4,0,15.7,150.7,9.6,1,NA,0,14
"LaRod Stephens-Howling","RB","ARI",95,278,NA,NA,NA,NA,NA,NA,NA,27,118.3,4.4,0.3,15,127,8.5,0.3,NA,0,13.6
"Joe Webb","QB","MIN",39,279,47.3,28.3,272.7,0.7,2,59.8,5.8,11,65.7,6,1,NA,NA,NA,NA,NA,0,13.2
"Justin Forsett","RB","HOU",97,280,NA,NA,NA,NA,NA,NA,NA,34.7,159.3,4.6,0.7,6.7,44.3,6.6,0,NA,0,12.2
"Shaun Hill","QB","DET",40,280,38,23,247.7,1,1,60.5,6.5,4,16.3,4.1,0.7,NA,NA,NA,NA,NA,0,12.2
"Tashard Choice","RB","BUF",96,280,NA,NA,NA,NA,NA,NA,NA,36,153.3,4.3,0.7,5.7,43,7.5,0,NA,0,12.2
"Nick Foles","QB","PHI",41,283,51.3,32,382.3,1.3,1.3,62.4,7.5,5,11.7,2.3,0,NA,NA,NA,NA,NA,0,11.2
"Brock Osweiler","QB","DEN",42,284,19,11.7,144,1.3,0.3,61.6,7.6,1.7,5,2.9,0,NA,NA,NA,NA,NA,0,9.2
"Kyle Orton","QB","DAL",43,285,43.7,27.3,293,1,0.7,62.5,6.7,1.7,4.3,2.5,0,NA,NA,NA,NA,NA,0,8.6
"Jason Campbell","QB","CHI",44,286,32,20.7,232.7,0.7,0.3,64.7,7.3,4.3,14.7,3.4,0.3,NA,NA,NA,NA,NA,0,8.4
"Colin Kaepernick","QB","SF",45,287,15.7,8.7,110,0.3,0.3,55.4,7,4.3,29,6.7,0.3,NA,NA,NA,NA,NA,0,6
"Mike Kafka","QB","PHI",46,288,23.3,13.7,147.3,0.7,0.3,58.8,6.3,1,2.7,2.7,0,NA,NA,NA,NA,NA,0,5.6
"Brady Quinn","QB","KC",47,289,18,10.3,125,0.7,1,57.2,6.9,1,6.7,6.7,0,NA,NA,NA,NA,NA,0,4.2
"Chris Redman","QB","ATL",51,290,14,8,89,0.3,0.3,57.1,6.4,0.7,0.3,0.4,0,NA,NA,NA,NA,NA,0,2.2
"Graham Harrell","QB","GB",50,290,10,6.7,61,0.3,0.3,67,6.1,0,0,0,0,NA,NA,NA,NA,NA,0,2.2
"Rex Grossman","QB","WAS",48,290,11.7,6.3,84,0.3,0.3,53.8,7.2,0,0,0,0,NA,NA,NA,NA,NA,0,2.2
"Tyler Thigpen","QB","BUF",49,290,7.7,4,57.7,0.3,0.3,51.9,7.5,1.7,8.3,4.9,0,NA,NA,NA,NA,NA,0,2.2
"T.J. Yates","QB","HOU",52,294,17,10.3,128,0,0.3,60.6,7.5,0,0,0,0,NA,NA,NA,NA,NA,0,1.4
"Matt Leinart","QB","OAK",53,295,8.3,5,58.7,0.3,0.7,60.2,7.1,1,3.7,3.7,0,NA,NA,NA,NA,NA,0.3,0.8
"Byron Leftwich","QB","PIT",54,296,16.7,10,130.7,0,0.7,59.9,7.8,0,0,0,0,NA,NA,NA,NA,NA,0,0.6
"Brian Hoyer","QB","NE",57,297,7.3,4.7,48.3,0,0.3,64.4,6.6,0.3,1,3.3,0,NA,NA,NA,NA,NA,0,0.4
"Caleb Hanie","QB","DEN",56,297,7.3,3.3,42.7,0,0.3,45.2,5.8,0.7,3.7,5.3,0,NA,NA,NA,NA,NA,0,0.4
"Ryan Lindley","QB","ARI",58,297,11.3,6.3,50,0,0.3,55.8,4.4,0.7,2,2.9,0,NA,NA,NA,NA,NA,0,0.4
"Tyrod Taylor","QB","BAL",55,297,10.7,6.7,67,0,0.3,62.6,6.3,2.7,14.7,5.4,0,NA,NA,NA,NA,NA,0,0.4
"Ryan Mallett","QB","NE",60,301,4.7,3,29.7,0,0,63.8,6.3,0,0,0,0,NA,NA,NA,NA,NA,0,0
"Terrelle Pryor","QB","OAK",59,301,0,0,0,0,0,0,0,2,15.7,7.8,0,NA,NA,NA,NA,NA,0,0
