"name","pos","name_nfl","team_nfl","positionRank_nfl","overallRank_nfl","pts_nfl","passAtt_nfl","passComp_nfl","passYds_nfl","passTds_nfl","passInt_nfl","rushAtt_nfl","rushYds_nfl","rushTds_nfl","rec_nfl","recYds_nfl","recTds_nfl","returnTds_nfl","twoPts_nfl","fumbles_nfl"
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",39,112,136,NA,NA,0,0,0,NA,40,0,NA,920,7,NA,0,1
"DARRENSPROLES","RB","Darren Sproles","PHI",36,113,134,NA,NA,0,0,0,NA,340,2,NA,620,5,NA,0,2
"VERNONDAVIS","TE","Vernon Davis","SF",4,114,133.9,NA,NA,0,0,0,NA,0,0,NA,819,9,NA,0,1
"BERNARDPIERCE","RB","Bernard Pierce","BAL",37,115,132.5,NA,NA,0,0,0,NA,715,6,NA,190,1,NA,0,0
"JASONWITTEN","TE","Jason Witten","DAL",5,116,131.8,NA,NA,0,0,0,NA,0,0,NA,978,6,NA,0,1
"TERRANCEWEST","RB","Terrance West","CLE",38,117,130.9,NA,NA,0,0,0,NA,750,5,NA,199,1,NA,0,0
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",40,118,130.7,NA,NA,0,0,0,NA,7,0,NA,960,6,NA,0,1
"STEVANRIDLEY","RB","Stevan Ridley","NE",39,119,130.4,NA,NA,0,0,0,NA,800,8,NA,84,0,NA,0,3
"JORDANCAMERON","TE","Jordan Cameron","CLE",6,120,130,NA,NA,0,0,0,NA,0,0,NA,880,7,NA,1,1
"MARKINGRAM","RB","Mark Ingram","NO",40,121,129.2,NA,NA,0,0,0,NA,732,6,NA,200,0,NA,0,0
"DENNISPITTA","TE","Dennis Pitta","BAL",7,121,129.2,NA,NA,0,0,0,NA,0,0,NA,872,7,NA,0,0
"JORDANREED","TE","Jordan Reed","WAS",8,123,129,NA,NA,0,0,0,NA,0,0,NA,850,7,NA,1,0
"JUSTINHUNTER","WR","Justin Hunter","TEN",41,124,128.3,NA,NA,0,0,0,NA,0,0,NA,943,6,NA,0,1
"TAVONAUSTIN","WR","Tavon Austin","STL",42,125,127.8,NA,NA,0,0,0,NA,131,2,NA,767,5,NA,0,2
"BRIANHARTLINE","WR","Brian Hartline","MIA",42,125,127.8,NA,NA,0,0,0,NA,0,0,NA,978,5,NA,0,0
"DARRENMCFADDEN","RB","Darren McFadden","OAK",41,127,127.7,NA,NA,0,0,0,NA,702,4,NA,315,1,NA,0,2
"RUEBENRANDLE","WR","Rueben Randle","NYG",44,128,127,NA,NA,0,0,0,NA,0,0,NA,950,6,NA,0,2
"MIKEEVANS","WR","Mike Evans","TB",45,129,126.6,NA,NA,0,0,0,NA,0,0,NA,806,8,NA,0,1
"ANDREWILLIAMS","RB","Andre Williams","NYG",42,130,126,NA,NA,0,0,0,NA,500,9,NA,120,2,NA,0,1
"ANQUANBOLDIN","WR","Anquan Boldin","SF",46,131,125.7,NA,NA,0,0,0,NA,7,0,NA,910,6,NA,0,1
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",43,132,125.1,NA,NA,0,0,0,NA,670,3,NA,301,2,NA,0,1
