"name","player","pos","team","overallRank","projections","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_nfl","projectedPts_yahoo","passYdsMedian","passTdsMedian","passIntMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian","weeklySD","weeklyVariability","ydsPerRec","totalTds"
"MONTEEBALL","Montee Ball","RB","DEN",38,212.47516260919,241.1,199.75,195.925,222.375,212.66,231.375,221.1,201.75,237,211.275,210.625,206.8,204.05,0,0,0,1136.49998776819,9.00003618593059,44.999959513177,333,1.49999418585948,0.1,2.00000613278996,212.401043956044,212.47516260919,4.50432405581869,3.06150649989371,7.4000066578391,10.5000303717901
"SAMBRADFORD","Sam Bradford","QB","STL",39,206.666651989696,231.54,243.26,169.94,NA,211.728,228.2,191.5,198.42,227.4,203.34,197.5,226.18,193.64,3586.75,23.9999626484412,13.7343502833344,84,1,0,0,0,0.75,2.50004925135507,207.970666666667,206.666651989696,5.90414087268337,7.30191339145573,NA,24.9999626484412
"JOEFLACCO","Joe Flacco","QB","BAL",40,206.086355839781,226.22,204.76,202.3,NA,208.346,200.1,210.96,210.54,219.6,207.24,206.4,222.78,209.36,3910,23.0401993881296,16.4999504869423,84.25,1.00006829134822,0,0,0,0.8,3,207.8505,206.086355839781,5.8434310962654,7.16271472855354,NA,24.0402676794778
"LEVEONBELL","Le'Veon Bell","RB","PIT",41,204.48139394145,241.075,193.475,206.05,NA,213.675,193.425,216.5,191.4,206.625,207.85,208.75,214.75,190.95,0,0,0,1060,8.00000509857727,47.1999719077833,384.25,1.00001610499451,0.1,1.24999442666014,205.335416666667,204.48139394145,4.361687599131,3.0906504786589,8.14089467575799,9.00002120357178
"DOUGMARTIN","Doug Martin","RB","TB",42,203.64965125989,219.975,181.7,212.7,222.25,205.2175,208.125,222.875,195.7,186.125,208.625,205.875,210.15,182.65,0,0,0,1152.00003761158,7.99997921403642,36.9999746104415,298,1.49996203575231,0.1,2,202.186510989011,203.64965125989,4.28184718513876,2.91127253257374,8.05405958078425,9.49994124978873
"CARSONPALMER","Carson Palmer","QB","ARI",43,199.358915705819,234.84,222.08,210.94,NA,216.804,201.62,208.7,197.24,207,210.34,198.5,219.7,181.04,4168.25,25.0000323299231,19.6737251437158,16.500034805399,0,0,0,0,0.25,3.50001388775525,205.033666666667,199.358915705819,5.56192972656394,6.73412770239491,NA,25.0000323299231
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",44,199.346347019692,243.4,196.75,194.45,NA,207.7,173.975,198.825,198.75,210.25,193.9,229,213.55,207.375,0,0,0,938.125,5.5,60,507.868546625395,2.50007067054356,0.1,2.05004844391462,202.677083333333,199.346347019692,4.49276534524804,3.7343584033727,8.46447577708992,8.00007067054356
"ELIMANNING","Eli Manning","QB","NYG",45,199.159625514271,213.34,211.98,211.18,NA,208.26,174.3,201.74,188.4,204.8,200.92,199.5,219.02,190.46,3949,23.9999385468649,17.5000416882937,30.999963916922,0,0,0,0,0.3,2,199.266666666667,199.159625514271,5.57952272290866,6.79420574179644,NA,23.9999385468649
"VINCENTJACKSON","Vincent Jackson","WR","TB",46,198.500056908817,201.375,188.75,203.575,221.75,196.2375,210.375,190.625,195.75,189.375,199.525,198,201.075,170.475,0,0,0,8.00004981641552,0,73.9999065553766,1212,7.50000865452924,0.6,0,198.404133366633,198.500056908817,3.87021036312354,2.0327174470802,16.3783990604504,7.50000865452924
"ANDREJOHNSON","Andre Johnson","WR","HOU",47,195.731309593746,198,194.625,212.875,NA,194.7875,219.875,172.125,182.75,181.25,176.5,201.625,210.125,184.825,0,0,0,0,0,95.0000319936825,1268.25,6.00000993229098,0.6,0,194.788541666667,195.731309593746,3.79391469928218,1.96734460881334,13.3499955040472,6.00000993229098
