"name","pos","name_accu","team_accu","positionRank_accu","overallRank_accu","pts_accu","passAtt_accu","passComp_accu","passYds_accu","passTds_accu","passInt_accu","rushAtt_accu","rushYds_accu","rushTds_accu","rec_accu","recYds_accu","recTds_accu","returnTds_accu","twoPts_accu","fumbles_accu"
"JORDANCAMERON","TE","Jordan Cameron","CLE",8,171,122.5,NA,NA,NA,NA,NA,NA,NA,NA,83,964,4.6,NA,NA,0.75
"DERRICKJOHNSON","LB","Derrick Johnson","KC",10,172,122.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRIANCUSHING","LB","Brian Cushing","HOU",11,173,121.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","BAL",34,174,121.6,NA,NA,NA,NA,NA,NA,NA,NA,60.9,1023,3.38,NA,NA,0.55
"DANCARPENTER","K","Dan Carpenter","BUF",21,174,121.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DWAYNEBOWE","WR","Dwayne Bowe","KC",35,176,121.4,NA,NA,NA,NA,NA,NA,NA,NA,72.1,899,5.45,NA,NA,0.61
"CALEBSTURGIS","K","Caleb Sturgis","MIA",22,177,121.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEPHENTULLOCH","LB","Stephen Tulloch","DET",12,178,121.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAVIDAKERS","K","David Akers","DET",23,179,120.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VONMILLER","LB","Von Miller","DEN",13,180,120.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OAKLANDRAIDERS","DST","Oakland Raiders","OAK",32,181,120.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOBBYWAGNER","LB","Bobby Wagner","SEA",14,182,119.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",9,183,119.4,NA,NA,NA,NA,NA,NA,NA,NA,69,844,6.04,NA,NA,0.6
"DARYLSMITH","LB","Daryl Smith","BAL",15,184,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PATRICKWILLIS","LB","Patrick Willis","SF",16,185,118.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RILEYCOOPER","WR","Riley Cooper","PHI",36,186,118.2,NA,NA,NA,NA,NA,NA,NA,NA,44.7,792,6.65,NA,NA,0.43
"MICHAELCRABTREE","WR","Michael Crabtree","SF",37,187,118.1,NA,NA,NA,NA,NA,NA,NA,NA,68.7,932,4.37,NA,NA,0.81
"BLAIRWALSH","K","Blair Walsh","MIN",24,188,117.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RASHARDMENDENHALL","RB","Rashard Mendenhall","ARI",35,189,117.3,NA,NA,NA,NA,NA,209.5,666,5.56,21.3,171,0.93,NA,NA,2.68
"DONALDBUTLER","LB","Donald Butler","SD",17,190,116.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISGIVENS","WR","Chris Givens","STL",38,191,116.3,NA,NA,NA,NA,NA,NA,NA,NA,61,997,2.82,NA,NA,0.66
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",39,192,115.8,NA,NA,NA,NA,NA,NA,NA,NA,62.2,808,6.05,NA,NA,0.63
"MIKEWALLACE","WR","Mike Wallace","MIA",39,192,115.8,NA,NA,NA,NA,NA,NA,NA,NA,74.7,901,4.48,NA,NA,0.65
"RANDYBULLOCK","K","Randy Bullock","HOU",25,194,115.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VONTAZEBURFICT","LB","Vontaze Burfict","CIN",18,195,115.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","SF",41,196,115,NA,NA,NA,NA,NA,NA,NA,NA,66.7,881,4.54,NA,NA,0.64
"JANORISJENKINS","DB","Janoris Jenkins","STL",3,197,113.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LARDARIUSWEBB","DB","Lardarius Webb","BAL",3,197,113.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MUHAMMADWILKERSON","DL","Muhammad Wilkerson","NYJ",3,199,112.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HAKEEMNICKS","WR","Hakeem Nicks","IND",42,200,112.4,NA,NA,NA,NA,NA,NA,NA,NA,63.6,929,3.42,NA,NA,0.56
"NICKFOLK","K","Nick Folk","NYJ",26,201,111.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JERRELLFREEMAN","LB","Jerrell Freeman","IND",19,202,110.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOSHBROWN","K","Josh Brown","NYG",27,203,109.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDDIEROYAL","WR","Eddie Royal","SD",43,204,108.7,NA,NA,NA,NA,NA,NA,NA,NA,42.8,639,5.86,NA,NA,1.5
"GREGZUERLEIN","K","Greg Zuerlein","STL",28,204,108.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDWINBAKER","RB","Edwin Baker","CLE",36,206,107.4,NA,NA,NA,NA,NA,133.3,582,4.19,27.6,210,0.99,NA,NA,1.42
"CHARLESCLAY","TE","Charles Clay","MIA",10,207,107.1,NA,NA,NA,NA,NA,NA,NA,NA,73.1,807,4.58,NA,NA,0.65
"GRAHAMGANO","K","Graham Gano","CAR",29,208,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",44,209,106.8,NA,NA,NA,NA,NA,NA,NA,NA,64.9,857,3.28,NA,NA,1.02
"ALDONSMITH","LB","Aldon Smith","SF",20,209,106.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERICWEDDLE","DB","Eric Weddle","SD",5,211,106.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DWAYNEALLEN","TE","Dwayne Allen","IND",11,212,106.4,NA,NA,NA,NA,NA,NA,NA,NA,52.1,709,6.13,NA,NA,0.64
"SEBASTIANJANIKOWSKI","K","Sebastian Janikowski","OAK",30,213,106.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",45,214,105.7,NA,NA,NA,NA,NA,NA,NA,NA,74.1,796,4.47,NA,NA,0.65
"RODDYWHITE","WR","Roddy White","ATL",46,215,105.6,NA,NA,NA,NA,NA,NA,NA,NA,73.9,815,4.36,NA,NA,1.01
"KENNYSTILLS","WR","Kenny Stills","NO",47,216,105.5,NA,NA,NA,NA,NA,NA,NA,NA,40.8,714,5.8,NA,NA,0.36
"RUEBENRANDLE","WR","Rueben Randle","NYG",48,217,104.8,NA,NA,NA,NA,NA,NA,NA,NA,56.2,868,3.34,NA,NA,2.8
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",49,218,104.5,NA,NA,NA,NA,NA,NA,NA,NA,42.5,744,5.28,NA,NA,0.94
"MARKINGRAM","RB","Mark Ingram","NO",37,219,103.9,NA,NA,NA,NA,NA,164.5,685,4.29,12,97,0.52,NA,NA,1.54
"ROBBIRONAS","K","Rob Bironas","TEN",31,220,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BILLYCUNDIFF","K","Billy Cundiff","CLE",31,220,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANNELLELLERBE","LB","Dannell Ellerbe","MIA",21,222,102.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RESHADJONES","DB","Reshad Jones","MIA",6,223,102.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANNYAMENDOLA","WR","Danny Amendola","NE",50,224,101.7,NA,NA,NA,NA,NA,NA,NA,NA,71.9,813,3.47,NA,NA,0.63
"COBYFLEENER","TE","Coby Fleener","IND",12,225,101.4,NA,NA,NA,NA,NA,NA,NA,NA,61.9,718,5.12,NA,NA,0.54
"NICKROACH","LB","Nick Roach","OAK",22,226,100.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KARLOSDANSBY","LB","Karlos Dansby","CLE",23,227,99.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLAYMATTHEWS","LB","Clay Matthews","GB",24,228,98.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LUKEKUECHLY","LB","Luke Kuechly","CAR",25,229,98.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKEWILLIAMS","WR","Mike Williams","BUF",51,230,97.5,NA,NA,NA,NA,NA,NA,NA,NA,61.7,764,3.71,NA,NA,0.56
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",52,231,97.4,NA,NA,NA,NA,NA,NA,NA,NA,55.6,830,2.63,NA,NA,0.67
"ZACHBROWN","LB","Zach Brown","TEN",26,231,97.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",38,233,97.3,NA,NA,NA,NA,NA,139.1,470,2.19,33.9,307,1.62,NA,NA,1.59
"DANNYWOODHEAD","RB","Danny Woodhead","SD",39,234,97.1,NA,NA,NA,NA,NA,49.5,176,1.17,57.2,499,4.03,NA,NA,0.97
"DARYLWASHINGTON","LB","Daryl Washington","ARI",27,234,97.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MALCOLMJENKINS","DB","Malcolm Jenkins","PHI",7,234,97.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TJWARD","DB","T.J. Ward","DEN",8,237,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHILIPWHEELER","LB","Philip Wheeler","MIA",28,238,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMERONJORDAN","DL","Cameron Jordan","NO",4,239,95.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENTATE","RB","Ben Tate","CLE",40,240,95.3,NA,NA,NA,NA,NA,145.4,571,2.88,35.2,177,1.28,NA,NA,2.3
"DEXTERMCCLUSTER","WR","Dexter McCluster","TEN",53,241,95,NA,NA,NA,NA,NA,NA,NA,NA,59.9,577,2.49,NA,NA,2.09
"STEVESMITH","WR","Steve Smith","BAL",54,242,94.9,NA,NA,NA,NA,NA,NA,NA,NA,64.1,752,3.4,NA,NA,0.55
"TRUMAINEJOHNSON","DB","Trumaine Johnson","STL",9,243,94.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUSTINPETTIS","WR","Austin Pettis","STL",55,244,94,NA,NA,NA,NA,NA,NA,NA,NA,49.1,592,5.77,NA,NA,0.71
"SEANWEATHERSPOON","LB","Sean Weatherspoon","ATL",29,244,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TERRELLSUGGS","DL","Terrell Suggs","BAL",5,246,93.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DANNYTREVATHAN","LB","Danny Trevathan","DEN",30,247,93.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CURTISLOFTON","LB","Curtis Lofton","NO",31,248,93.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",13,249,92.2,NA,NA,NA,NA,NA,NA,NA,NA,68.4,726,3.47,NA,NA,0.6
"DEMECORYANS","LB","DeMeco Ryans","PHI",32,250,92.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JERODMAYO","LB","Jerod Mayo","NE",33,251,91.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEVEJOHNSON","WR","Steve Johnson","SF",56,252,91,NA,NA,NA,NA,NA,NA,NA,NA,57.8,700,3.51,NA,NA,0.58
"HARRISONSMITH","DB","Harrison Smith","MIN",10,253,90.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MASONFOSTER","LB","Mason Foster","TB",34,254,90.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISCONTE","DB","Chris Conte","CHI",11,255,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MALCOMFLOYD","WR","Malcom Floyd","SD",57,256,89.9,NA,NA,NA,NA,NA,NA,NA,NA,45.9,721,3.09,NA,NA,0.39
"EARLTHOMAS","DB","Earl Thomas","SEA",12,256,89.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDONMYERS","TE","Brandon Myers","TB",14,258,89.8,NA,NA,NA,NA,NA,NA,NA,NA,65.6,650,4.33,NA,NA,0.6
"SAMSHIELDS","DB","Sam Shields","GB",13,259,89.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TYVONBRANCH","DB","Tyvon Branch","OAK",14,260,89.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEONARDHANKERSON","WR","Leonard Hankerson","WAS",58,261,88.8,NA,NA,NA,NA,NA,NA,NA,NA,46.9,651,4.1,NA,NA,0.44
"BERNARDPOLLARD","DB","Bernard Pollard","TEN",15,262,88.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAVIDHARRIS","LB","David Harris","NYJ",35,263,88.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TASHAUNGIPSON","DB","Tashaun Gipson","CLE",16,263,88.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MORGANBURNETT","DB","Morgan Burnett","GB",17,265,88.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","PHI",41,266,88.1,NA,NA,NA,NA,NA,42,161,1.14,51.6,432,2.37,NA,NA,1.74
"TROYPOLAMALU","DB","Troy Polamalu","PIT",18,267,87.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARLOSDUNLAP","DL","Carlos Dunlap","CIN",6,268,87.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AJHAWK","LB","A.J. Hawk","GB",36,269,87.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLOVERQUIN","DB","Glover Quin","DET",19,270,86.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHARLESTILLMAN","DB","Charles Tillman","CHI",19,270,86.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",42,272,86.6,NA,NA,NA,NA,NA,143.2,523,2.78,20.2,172,0.88,NA,NA,2.44
"MARKBARRON","DB","Mark Barron","TB",21,273,86.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBERTMATHIS","DL","Robert Mathis","IND",7,274,85.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",43,275,85.5,NA,NA,NA,NA,NA,133.2,442,1.83,34,267,1.24,NA,NA,1.87
"ROBHOUSLER","TE","Rob Housler","ARI",15,275,85.5,NA,NA,NA,NA,NA,NA,NA,NA,64,694,2.92,NA,NA,0.71
"STEVIEBROWN","DB","Stevie Brown","NYG",22,275,85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOSHWILSON","DB","Josh Wilson","ATL",22,275,85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAMBAHALI","LB","Tamba Hali","KC",37,279,85.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOUISDELMAS","DB","Louis Delmas","MIA",24,279,85.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISIVORY","RB","Christopher Ivory","NYJ",44,281,85,NA,NA,NA,NA,NA,152.4,609,3.22,8.1,55,0.35,NA,NA,1.44
"RUSSELLALLEN","LB","Russell Allen","JAC",38,282,84.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DONALDBROWN","RB","Donald Brown","SD",45,283,84.5,NA,NA,NA,NA,NA,106.2,497,4.16,8.1,76,0.71,NA,NA,0.99
"LAMARRHOUSTON","DL","Lamarr Houston","CHI",8,283,84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTHONYSPENCER","LB","Anthony Spencer","DAL",39,285,84.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RODNEYMCLEOD","DB","Rodney McLeod","STL",25,285,84.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAMARMILLER","RB","Lamar Miller","MIA",46,287,84,NA,NA,NA,NA,NA,133,479,2.4,23.4,175,1.17,NA,NA,1.43
"BRANDONCARR","DB","Brandon Carr","DAL",26,287,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NATEWASHINGTON","WR","Nate Washington","TEN",59,289,83.5,NA,NA,NA,NA,NA,NA,NA,NA,47.8,694,2.49,NA,NA,0.41
"CALAISCAMPBELL","DL","Calais Campbell","ARI",9,289,83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRAIGROBERTSON","LB","Craig Robertson","CLE",40,291,83.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKEMITCHELL","DB","Mike Mitchell","PIT",27,291,83.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NICKFAIRLEY","DL","Nick Fairley","DET",10,293,82.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRIANORAKPO","LB","Brian Orakpo","WAS",41,294,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAJORWRIGHT","DB","Major Wright","TB",28,294,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JIMMYSMITH","DB","Jimmy Smith","BAL",28,294,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERINHENDERSON","LB","Erin Henderson","MIN",42,297,82.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JASONWORILDS","LB","Jason Worilds","PIT",43,298,82.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAVONEBESS","WR","Davone Bess","CLE",60,299,82,NA,NA,NA,NA,NA,NA,NA,NA,59,664,2.19,NA,NA,1.95
"JORDANREED","TE","Jordan Reed","WAS",16,300,81.9,NA,NA,NA,NA,NA,NA,NA,NA,46.1,534,4.29,NA,NA,0.38
"KEVINBURNETT","LB","Kevin Burnett","OAK",44,301,81.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LANCEBRIGGS","LB","Lance Briggs","CHI",44,301,81.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",47,303,81.3,NA,NA,NA,NA,NA,84.6,280,1.54,40.5,290,1.94,NA,NA,1.35
"DEMARIODAVIS","LB","Demario Davis","NYJ",46,304,81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",17,305,80.9,NA,NA,NA,NA,NA,NA,NA,NA,52.2,565,4.57,NA,NA,1.5
"AARONWILLIAMS","DB","Aaron Williams","BUF",30,305,80.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENJARVUSGREENELLIS","RB","BenJarvus Green-Ellis","CIN",48,307,80.3,NA,NA,NA,NA,NA,185.3,548,3.52,9.8,55,0.42,NA,NA,1.8
"ERICDECKER","WR","Eric Decker","NYJ",61,308,80.1,NA,NA,NA,NA,NA,NA,NA,NA,49.6,650,2.65,NA,NA,0.49
"GREGHARDY","DL","Greg Hardy","CAR",11,309,79.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GARRETTGRAHAM","TE","Garrett Graham","HOU",18,310,79.1,NA,NA,NA,NA,NA,NA,NA,NA,50.6,552,4.33,NA,NA,1.01
"ROBERTMCCLAIN","DB","Robert McClain","ATL",31,310,79.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AQIBTALIB","DB","Aqib Talib","DEN",32,312,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROLANDOMCCLAIN","LB","Rolando McClain","DAL",47,313,78.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MICHAELGRIFFIN","DB","Michael Griffin","TEN",33,313,78.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRAMONWILLIAMS","DB","Tramon Williams","GB",33,313,78.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREGJENNINGS","WR","Greg Jennings","MIN",62,316,78.7,NA,NA,NA,NA,NA,NA,NA,NA,59.7,617,3,NA,NA,0.51
"CHRISLONG","DL","Chris Long","STL",12,316,78.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAREEMJACKSON","DB","Kareem Jackson","HOU",35,316,78.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",19,319,78.6,NA,NA,NA,NA,NA,NA,NA,NA,54.7,571,3.8,NA,NA,0.69
"NICKPERRY","LB","Nick Perry","GB",48,319,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILLIAMGAY","DB","William Gay","PIT",36,321,78.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JEROMESIMPSON","WR","Jerome Simpson","MIN",63,322,78.2,NA,NA,NA,NA,NA,NA,NA,NA,47.1,677,2.04,NA,NA,0.84
"BRANDONFLOWERS","DB","Brandon Flowers","SD",37,323,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZACHERTZ","TE","Zach Ertz","PHI",20,324,77.7,NA,NA,NA,NA,NA,NA,NA,NA,36.8,511,4.54,NA,NA,0.32
"MARCUSGILCHRIST","DB","Marcus Gilchrist","SD",38,324,77.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOEHADEN","DB","Joe Haden","CLE",39,326,77.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",64,327,77.5,NA,NA,NA,NA,NA,NA,NA,NA,34,506,4.62,NA,NA,0.31
"ANTRELROLLE","DB","Antrel Rolle","NYG",40,327,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISHARRIS","DB","Chris Harris","DEN",41,329,77.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORTEZALLEN","DB","Cortez Allen","PIT",42,330,77.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRINCEAMUKAMARA","DB","Prince Amukamara","NYG",43,331,77.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LARRYFOOTE","LB","Larry Foote","ARI",49,332,76.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAIRUSBYRD","DB","Jairus Byrd","NO",44,333,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDANTODMAN","RB","Jordan Todman","JAC",49,334,75.8,NA,NA,NA,NA,NA,133.8,469,3.16,4.6,36,0.23,NA,NA,1.52
"MARIOWILLIAMS","DL","Mario Williams","BUF",13,334,75.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANTOINEBETHEA","DB","Antoine Bethea","SF",45,336,75.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MICHAELBROCKERS","DL","Michael Brockers","STL",14,337,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHMADBROOKS","LB","Ahmad Brooks","SF",50,338,75.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENOHAYES","LB","Geno Hayes","JAC",51,339,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEANSMITH","DB","Sean Smith","KC",46,340,74.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISTOPHEROWENS","DB","Christopher Owens","KC",46,340,74.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISHOUSTON","DB","Chris Houston","DET",46,340,74.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIMJENNINGS","DB","Tim Jennings","CHI",46,340,74.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHANDLERJONES","DL","Chandler Jones","NE",15,344,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORLANDOSCANDRICK","DB","Orlando Scandrick","DAL",50,345,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KENDALLHUNTER","RB","Kendall Hunter","SF",50,346,74.4,NA,NA,NA,NA,NA,106.2,516,4.02,0.5,4,0.01,NA,NA,0.96
"KAMCHANCELLOR","DB","Kam Chancellor","SEA",51,346,74.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LARONLANDRY","DB","LaRon Landry","IND",52,348,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KNILEDAVIS","RB","Knile Davis","KC",51,349,73.9,NA,NA,NA,NA,NA,100.1,399,3.78,14.9,97,0.71,NA,NA,1.84
