"name","pos","name_accu","team_accu","positionRank_accu","overallRank_accu","pts_accu","passAtt_accu","passComp_accu","passYds_accu","passTds_accu","passInt_accu","rushAtt_accu","rushYds_accu","rushTds_accu","rec_accu","recYds_accu","recTds_accu","returnTds_accu","twoPts_accu","fumbles_accu"
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",20,34,233.1,615.3,368.4,3976,20.39,18.74,NA,291,2.3,NA,NA,NA,NA,NA,6.46
"DOUGMARTIN","RB","Doug Martin","TB",7,35,231.2,NA,NA,NA,NA,NA,322.3,1256,7.68,67.1,476,3.09,NA,NA,3.53
"ALFREDMORRIS","RB","Alfred Morris","WAS",8,36,229.8,NA,NA,NA,NA,NA,333.8,1569,11.73,8.1,65,0.39,NA,NA,3.16
"MIAMIDOLPHINS","DST","Miami Dolphins","MIA",4,37,229.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",5,38,227.8,NA,NA,NA,NA,NA,NA,NA,NA,102.2,1495,13.16,NA,NA,0.95
"PITTSBURGHSTEELERS","DST","Pittsburgh Steelers","PIT",5,39,225.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",21,40,224.1,644.3,366.3,4232,20.72,16.26,NA,101,1.09,NA,NA,NA,NA,NA,6.1
"ADRIANPETERSON","RB","Adrian Peterson","MIN",9,41,223.7,NA,NA,NA,NA,NA,305.1,1353,10.05,36.9,249,1.54,NA,NA,3.01
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",22,42,220,568.4,352.9,3891,20.58,11.34,NA,107,0.57,NA,NA,NA,NA,NA,4.7
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",23,43,219.1,620.4,351.9,3963,19.67,15.35,NA,168,1.05,NA,NA,NA,NA,NA,5.22
"TOMBRADY","QB","Tom Brady","NE",24,44,216,629.6,355.5,4090,20.22,13.85,NA,42,0.84,NA,NA,NA,NA,NA,4.99
"CHICAGOBEARS","DST","Chicago Bears","CHI",6,45,212.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",6,46,212.5,NA,NA,NA,NA,NA,NA,NA,NA,125.7,1672,7.8,NA,NA,1.83
"EJMANUEL","QB","EJ Manuel","BUF",25,47,211,524.9,300.9,3423,15.74,11.86,NA,326,2.2,NA,NA,NA,NA,NA,5.47
"CHRISTIANPONDER","QB","Christian Ponder","MIN",26,48,208.6,532.5,323.1,3516,15.49,15.62,NA,317,3.15,NA,NA,NA,NA,NA,6.72
"LEVEONBELL","RB","Le'Veon Bell","PIT",10,49,206.7,NA,NA,NA,NA,NA,303.6,1108,7.45,52.2,445,2.19,NA,NA,3.26
"CARSONPALMER","QB","Carson Palmer","ARI",27,50,206,621.6,379.3,4317,20.07,20.78,NA,7,0.26,NA,NA,NA,NA,NA,3.86
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",7,51,200.3,NA,NA,NA,NA,NA,NA,NA,NA,95.4,1296,12.08,NA,NA,0.91
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",8,52,195.9,NA,NA,NA,NA,NA,NA,NA,NA,89.7,1388,8.19,NA,NA,1.69
"KEENANALLEN","WR","Keenan Allen","SD",9,53,194.9,NA,NA,NA,NA,NA,NA,NA,NA,79.5,1309,10.68,NA,NA,1.52
"GENOSMITH","QB","Geno Smith","NYJ",28,54,193.8,488.6,261.3,3124,12.76,20.32,NA,431,4.11,NA,NA,NA,NA,NA,4.67
"GREENBAYPACKERS","DST","Green Bay Packers","GB",7,55,192.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SANFRANCISCO49ERS","DST","San Francisco 49ers","SF",8,56,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTSCHAUB","QB","Matt Schaub","OAK",29,57,189.1,573,339.6,3902,17.24,16.8,NA,7,0.05,NA,NA,NA,NA,NA,1.65
"JOEFLACCO","QB","Joe Flacco","BAL",30,58,188.7,584.5,334.5,3603,17.4,15.27,NA,93,0.84,NA,NA,NA,NA,NA,4.46
"JORDYNELSON","WR","Jordy Nelson","GB",10,59,187.8,NA,NA,NA,NA,NA,NA,NA,NA,87,1279,10.23,NA,NA,0.74
"ARIANFOSTER","RB","Arian Foster","HOU",11,60,187.2,NA,NA,NA,NA,NA,252.8,1053,7.22,44.8,302,2.23,NA,NA,2.52
