"name","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"Drew Brees","QB","NO",1,1,663.3,445.3,5120.7,42.7,16,67.1,7.7,16.7,21.3,1.3,1,NA,NA,NA,NA,NA,1.7,423.8
"Aaron Rodgers","QB","GB",2,2,554,371,4571,38.7,11,67,8.3,58.3,261,4.5,3,NA,NA,NA,NA,NA,2.7,415.8
"Peyton Manning","QB","DEN",3,3,603.7,413,4878.3,40,12.7,68.4,8.1,18.3,10.7,0.6,0,NA,NA,NA,NA,NA,1.3,400
"Tom Brady","QB","NE",4,4,597.7,392,4557.3,34,11.3,65.6,7.6,33,57,1.7,2.3,NA,NA,NA,NA,NA,1.3,369.6
"Cam Newton","QB","CAR",5,5,509.7,308.7,4040.3,22.7,12.7,60.6,7.9,125,729.7,5.8,7.3,NA,NA,NA,NA,NA,3,368.6
"Matt Ryan","QB","ATL",6,6,611,408.7,4762,33.3,12,66.9,7.8,34.3,96.7,2.8,1,NA,NA,NA,NA,NA,2.3,362.2
"Matthew Stafford","QB","DET",7,7,678.7,418.7,4932,31,15.7,61.7,7.3,23.3,83,3.6,1.7,NA,NA,NA,NA,NA,1.3,356.2
"Robert Griffin III","QB","WAS",8,8,462,308.3,3712,25.3,10.7,66.7,8,91.3,557.7,6.1,5.7,NA,NA,NA,NA,NA,3.3,347
"Andrew Luck","QB","IND",9,9,578,368.7,4473.7,28.7,15.3,63.8,7.7,61.3,266.7,4.4,3,NA,NA,NA,NA,NA,3,343.6
"Tony Romo","QB","DAL",10,10,625.3,409,4870.3,30,13.7,65.4,7.8,22,46.7,2.1,0.7,NA,NA,NA,NA,NA,2,341.8
"Colin Kaepernick","QB","SF",11,11,512,330.7,3943,22,13.7,64.6,7.7,114,638,5.6,5,NA,NA,NA,NA,NA,3.7,330.2
"Eli Manning","QB","NYG",12,12,566.3,357.7,4333.7,29.3,13.3,63.2,7.7,28,35.7,1.3,1,NA,NA,NA,NA,NA,1.7,316.8
"Russell Wilson","QB","SEA",13,13,480.3,305,3775.7,24.7,13.3,63.5,7.9,90,410.7,4.6,3.7,NA,NA,NA,NA,NA,2,315.8
"Andy Dalton","QB","CIN",14,14,550,340.3,4126,27,16.7,61.9,7.5,41.7,127.3,3.1,1,NA,NA,NA,NA,NA,3.3,291
"Carson Palmer","QB","ARI",15,15,584.3,359,4208,26.7,15.7,61.4,7.2,21.7,29.7,1.4,0.3,NA,NA,NA,NA,NA,2.3,288
"Sam Bradford","QB","STL",16,16,553.3,342.7,4113.3,25,13.3,61.9,7.4,28.7,66,2.3,1,NA,NA,NA,NA,NA,3,284.4
"Jay Cutler","QB","CHI",17,17,525,335,3934.7,26.3,14.7,63.8,7.5,34.3,160.3,4.7,1,NA,NA,NA,NA,NA,3.7,284
"Michael Vick","QB","PHI",18,18,433.3,273,3223.7,21.3,11,63,7.4,78.7,487,6.2,3.3,NA,NA,NA,NA,NA,3.3,282
"Josh Freeman","QB","TB",19,19,547.7,332.7,4080.3,25.3,17,60.7,7.4,44.3,163.7,3.7,0.7,NA,NA,NA,NA,NA,3.3,281.4
"Ben Roethlisberger","QB","PIT",20,20,518.3,328.3,3869,24,10.3,63.3,7.5,27.7,94.7,3.4,2.3,NA,NA,NA,NA,NA,3,281.2
"Matt Schaub","QB","HOU",21,21,534,339.3,4093.7,24.7,12.7,63.5,7.7,20.7,12.3,0.6,0.3,NA,NA,NA,NA,NA,2.3,277
"Brandon Weeden","QB","CLE",22,22,545.7,333,4092.7,24,16.3,61,7.5,24,83.3,3.5,0,NA,NA,NA,NA,NA,1.7,269
