"name","name_fftoday","pos","team_fftoday","positionRank_fftoday","overallRank_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","twoPts_fftoday","fumbles_fftoday","pts_fftoday"
"VINCENTJACKSON","Vincent Jackson","WR","TB",13,68,NA,NA,NA,0,0,71,1189,7,NA,NA,160.9
"RYANMATHEWS","Ryan Mathews","RB","SD",24,70,NA,NA,NA,1133,5,21,167,0,NA,NA,160
"RODDYWHITE","Roddy White","WR","ATL",15,71,NA,NA,NA,0,0,90,1179,7,NA,NA,159.9
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",16,72,NA,NA,NA,127,1,79,989,7,NA,NA,159.6
"BRIANHOYER","Brian Hoyer","QB","CLE",32,73,2125,11,7,88,0,NA,NA,NA,NA,NA,159.1
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",17,74,NA,NA,NA,0,0,78,1140,7,NA,NA,156
"JULIUSTHOMAS","Julius Thomas","TE","DEN",2,75,NA,NA,NA,NA,NA,78,895,11,NA,NA,155.5
"VICTORCRUZ","Victor Cruz","WR","NYG",18,76,NA,NA,NA,0,0,83,1126,7,NA,NA,154.6
"MICHAELFLOYD","Michael Floyd","WR","ARI",19,77,NA,NA,NA,0,0,77,1177,6,NA,NA,153.7
"CJSPILLER","C.J. Spiller","RB","BUF",25,78,NA,NA,NA,956,6,30,214,0,NA,NA,153
"MICHAELCRABTREE","Michael Crabtree","WR","SF",20,79,NA,NA,NA,0,0,77,1096,7,NA,NA,151.6
"JOHNNYMANZIEL","Johnny Manziel","QB","CLE",33,80,1644,8,7,313,1,NA,NA,NA,NA,NA,151.5
"TYHILTON","T.Y. Hilton","WR","IND",21,81,NA,NA,NA,33,0,76,1095,6,NA,NA,148.8
"MARQUESCOLSTON","Marques Colston","WR","NO",22,82,NA,NA,NA,0,0,81,1067,7,NA,NA,148.7
"TORREYSMITH","Torrey Smith","WR","BAL",23,83,NA,NA,NA,21,0,76,1097,6,NA,NA,147.8
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",24,84,NA,NA,NA,0,0,85,1044,7,NA,NA,146.4
"SHANEVEREEN","Shane Vereen","RB","NE",26,85,NA,NA,NA,614,2,65,545,3,NA,NA,145.9
"ANDREJOHNSON","Andre Johnson","WR","HOU",25,86,NA,NA,NA,0,0,81,1089,6,NA,NA,144.9
"REGGIEBUSH","Reggie Bush","RB","DET",27,87,NA,NA,NA,667,4,51,419,2,NA,NA,144.6
"BENTATE","Ben Tate","RB","CLE",28,88,NA,NA,NA,845,5,29,217,1,NA,NA,142.2
"PIERREGARCON","Pierre Garcon","WR","WAS",26,89,NA,NA,NA,0,0,85,1120,5,NA,NA,142
"STEVANRIDLEY","Stevan Ridley","RB","NE",29,90,NA,NA,NA,878,8,9,57,0,NA,NA,141.5
"MAURICEJONESDREW","Maurice Jones-Drew","RB","OAK",30,91,NA,NA,NA,789,5,36,245,1,NA,NA,139.4
"PIERRETHOMAS","Pierre Thomas","RB","NO",31,92,NA,NA,NA,533,4,70,478,2,NA,NA,137.1
"MIKEWALLACE","Mike Wallace","WR","MIA",27,93,NA,NA,NA,46,0,70,960,6,NA,NA,136.6
"FREDJACKSON","Fred Jackson","RB","BUF",32,94,NA,NA,NA,735,5,33,229,1,NA,NA,132.4
"DESEANJACKSON","DeSean Jackson","WR","WAS",28,95,NA,NA,NA,22,0,61,940,6,NA,NA,132.2
"MICHAELVICK","Michael Vick","QB","NYJ",34,96,1475,6,4,276,1,NA,NA,NA,NA,NA,131.4
"JULIANEDELMAN","Julian Edelman","WR","NE",29,97,NA,NA,NA,0,0,84,946,6,NA,NA,130.6
"STEVENJACKSON","Steven Jackson","RB","ATL",33,98,NA,NA,NA,715,4,43,275,1,NA,NA,129
"KHIRYROBINSON","Khiry Robinson","RB","NO",34,99,NA,NA,NA,845,6,12,84,0,NA,NA,128.9
"BRIANHARTLINE","Brian Hartline","WR","MIA",30,99,NA,NA,NA,0,0,72,989,5,NA,NA,128.9
"KENDALLWRIGHT","Kendall Wright","WR","TEN",31,101,NA,NA,NA,0,0,83,1025,4,NA,NA,126.5
"VERNONDAVIS","Vernon Davis","TE","SF",3,102,NA,NA,NA,NA,NA,58,777,8,NA,NA,125.7
"DEANGELOWILLIAMS","DeAngelo Williams","RB","CAR",35,103,NA,NA,NA,767,3,26,235,1,NA,NA,124.2
"JAMESJONES","James Jones","WR","OAK",32,104,NA,NA,NA,0,0,64,876,6,NA,NA,123.6
"LAMARMILLER","Lamar Miller","RB","MIA",36,105,NA,NA,NA,740,5,28,187,0,NA,NA,122.7
"CECILSHORTS","Cecil Shorts","WR","JAC",33,106,NA,NA,NA,0,0,67,915,5,NA,NA,121.5
"JORDANCAMERON","Jordan Cameron","TE","CLE",4,107,NA,NA,NA,NA,NA,75,845,6,NA,NA,120.5
"JORDANREED","Jordan Reed","TE","WAS",4,107,NA,NA,NA,NA,NA,68,785,7,NA,NA,120.5
"KNOWSHONMORENO","Knowshon Moreno","RB","MIA",37,109,NA,NA,NA,647,4,33,255,1,NA,NA,120.2
"TAVONAUSTIN","Tavon Austin","WR","STL",34,110,NA,NA,NA,139,1,61,682,5,NA,NA,118.1
"DANNYAMENDOLA","Danny Amendola","WR","NE",35,111,NA,NA,NA,0,0,74,878,5,NA,NA,117.8
"GREGOLSEN","Greg Olsen","TE","CAR",6,112,NA,NA,NA,NA,NA,71,814,6,NA,NA,117.4
"KENNYSTILLS","Kenny Stills","WR","NO",36,113,NA,NA,NA,0,0,55,797,6,NA,NA,115.7
