"name","pos","name_fbg4","team_fbg4","positionRank_fbg4","overallRank_fbg4","pts_fbg4","passAtt_fbg4","passComp_fbg4","passYds_fbg4","passTds_fbg4","passInt_fbg4","rushAtt_fbg4","rushYds_fbg4","rushTds_fbg4","rec_fbg4","recYds_fbg4","recTds_fbg4","returnTds_fbg4","twoPts_fbg4","fumbles_fbg4"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,435.5,640,440,5390,44,11,20,10,0,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",2,2,406.5,650,435,5000,40,15,20,55,1,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",3,3,402,550,371,4510,38,10,40,225,2,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",4,4,367,600,375,4500,30,12,50,220,2,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",5,5,352.25,630,405,4755,31,15,15,55,0,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",6,6,351,625,376,4660,29,14,30,100,1,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",7,7,350.5,450,295,3750,26,10,85,450,4,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",8,8,347.75,625,395,4465,32,9,30,55,0,NA,NA,NA,NA,NA,NA
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",9,9,347,467,286,3610,25,11,85,475,5,NA,NA,NA,NA,NA,NA
"NICKFOLES","QB","Nick Foles","PHI",10,10,346.25,540,341,4125,29,13,55,250,2,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",11,11,344,620,400,4510,30,15,25,75,1,NA,NA,NA,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",12,12,341,530,330,3800,22,16,90,550,4,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",13,13,330.5,570,380,4420,30,15,25,45,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",14,14,326.5,462,290,3150,23,11,100,580,5,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",15,15,323.5,550,342,4200,28,16,25,115,1,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",16,16,318.75,555,355,4175,27,14,30,100,1,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",17,17,311.5,550,346,4050,28,19,40,100,1,NA,NA,NA,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",18,18,305.75,545,341,3795,25,14,35,180,2,NA,NA,NA,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",1,19,301,NA,NA,NA,NA,NA,285,1400,11,75,650,5,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","KC",19,20,299.25,555,340,3605,22,9,65,280,2,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",20,21,286.75,592,352,3915,23,15,30,80,1,NA,NA,NA,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","ARI",21,22,284,555,350,3950,26,20,10,25,0,NA,NA,NA,NA,NA,NA
"GENOSMITH","QB","Geno Smith","NYJ",22,23,283.25,460,267,3205,19,13,65,300,5,NA,NA,NA,NA,NA,NA
"SHAUNHILL","QB","Shaun Hill","STL",23,24,276,550,332,3700,25,14,25,50,0,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",24,25,268.5,555,330,3700,25,20,20,35,0,NA,NA,NA,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",2,26,256.5,NA,NA,NA,NA,NA,295,1420,10,46,425,2,NA,NA,NA
"JOSHMCCOWN","QB","Josh McCown","TB",25,27,244.5,490,282,3280,18,16,30,125,2,NA,NA,NA,NA,NA,NA
"JAKELOCKER","QB","Jake Locker","TEN",26,28,242,450,260,2950,18,18,45,285,2,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",3,29,241,NA,NA,NA,NA,NA,310,1400,12,35,230,1,NA,NA,NA
"EJMANUEL","QB","EJ Manuel","BUF",27,30,240.75,455,257,2875,15,13,85,320,3,NA,NA,NA,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",4,31,237,NA,NA,NA,NA,NA,275,1250,8,65,520,2,NA,NA,NA
"EDDIELACY","RB","Eddie Lacy","GB",5,32,235.5,NA,NA,NA,NA,NA,300,1300,12,38,275,1,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",1,33,233,NA,NA,NA,NA,NA,0,0,0,95,1550,13,NA,NA,NA
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",28,34,229.5,358,202,2350,15,16,80,440,4,NA,NA,NA,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",2,35,227,NA,NA,NA,NA,NA,0,0,0,95,1550,12,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",3,36,223,NA,NA,NA,NA,NA,0,0,0,98,1450,13,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",6,37,214.5,NA,NA,NA,NA,NA,280,1200,11,28,225,1,NA,NA,NA
"MONTEEBALL","RB","Montee Ball","DEN",7,38,205,NA,NA,NA,NA,NA,245,1085,10,42,305,1,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",8,39,204.5,NA,NA,NA,NA,NA,288,1175,7,48,330,2,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",9,40,203.5,NA,NA,NA,NA,NA,240,1110,8,45,325,2,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,41,201.5,NA,NA,NA,NA,NA,NA,NA,NA,90,1175,14,NA,NA,NA
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",10,42,197,NA,NA,NA,NA,NA,220,940,7,57,490,2,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",4,42,197,NA,NA,NA,NA,NA,2,20,0,92,1350,10,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",5,44,196,NA,NA,NA,NA,NA,0,0,0,85,1300,11,NA,NA,NA
"ALFREDMORRIS","RB","Alfred Morris","WAS",11,45,193.5,NA,NA,NA,NA,NA,270,1210,9,19,125,1,NA,NA,NA
