"name","pos","name_cbs2","team_cbs2","positionRank_cbs2","overallRank_cbs2","pts_cbs2","passAtt_cbs2","passComp_cbs2","passYds_cbs2","passTds_cbs2","passInt_cbs2","rushAtt_cbs2","rushYds_cbs2","rushTds_cbs2","rec_cbs2","recYds_cbs2","recTds_cbs2","returnTds_cbs2","twoPts_cbs2","fumbles_cbs2"
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",32,143,120,NA,NA,NA,NA,NA,NA,NA,NA,70,927,6,NA,NA,0
"REGGIEWAYNE","WR","Reggie Wayne","IND",32,143,120,NA,NA,NA,NA,NA,NA,NA,NA,73,918,6,NA,NA,0
"BRANDINCOOKS","WR","Brandin Cooks","NO",32,143,120,NA,NA,NA,NA,NA,NA,NA,NA,64,923,6,NA,NA,1
"JAGUARS","DST","Jaguars","JAC",31,143,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TYHILTON","WR","T.Y. Hilton","IND",35,148,119,NA,NA,NA,NA,NA,NA,NA,NA,61,909,6,NA,NA,0
"WESWELKER","WR","Wes Welker","DEN",35,148,119,NA,NA,NA,NA,NA,NA,NA,NA,69,798,8,NA,NA,0
"SHAUNSUISHAM","K","Shaun Suisham","PIT",17,148,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NE",29,151,118,NA,NA,NA,NA,NA,203,868,7,7,40,0,NA,NA,2
"RUEBENRANDLE","WR","Rueben Randle","NYG",37,151,118,NA,NA,NA,NA,NA,NA,NA,NA,66,850,7,NA,NA,1
"NICKFOLK","K","Nick Folk","NYJ",18,153,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLAIRWALSH","K","Blair Walsh","MIN",18,153,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CODYPARKEY","K","Cody Parkey","PHI",20,155,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKENUGENT","K","Mike Nugent","CIN",20,155,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOSHBROWN","K","Josh Brown","NYG",20,155,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIKEEVANS","WR","Mike Evans","TB",38,158,115,NA,NA,NA,NA,NA,NA,NA,NA,63,820,7,NA,NA,1
"SAMMYWATKINS","WR","Sammy Watkins","BUF",38,158,115,NA,NA,NA,NA,NA,NA,NA,NA,66,899,6,NA,NA,2
"PERCYHARVIN","WR","Percy Harvin","SEA",38,158,115,NA,NA,NA,NA,NA,NA,NA,NA,62,718,7,NA,NA,0
"RANDYBULLOCK","K","Randy Bullock","HOU",23,158,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUSTINHUNTER","WR","Justin Hunter","TEN",41,162,114,NA,NA,NA,NA,NA,NA,NA,NA,57,854,6,NA,NA,0
"DENNISPITTA","TE","Dennis Pitta","BAL",7,162,114,NA,NA,NA,NA,NA,NA,NA,NA,66,848,6,NA,NA,0
"PIERRETHOMAS","RB","Pierre Thomas","NO",30,164,113,NA,NA,NA,NA,NA,146,601,2,51,345,4,NA,NA,1
"CHANDLERCATANZARO","K","Chandler Catanzaro","ARI",24,164,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOUGBALDWIN","WR","Doug Baldwin","SEA",42,166,112,NA,NA,NA,NA,NA,NA,NA,NA,64,905,5,NA,NA,0
"KAIFORBATH","K","Kai Forbath","WAS",25,166,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDREWILLIAMS","RB","Andre Williams","NYG",31,168,111,NA,NA,NA,NA,NA,179,774,7,9,63,0,NA,NA,1
"ZACHERTZ","TE","Zach Ertz","PHI",8,168,111,NA,NA,NA,NA,NA,NA,NA,NA,64,792,7,NA,NA,1
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",9,170,110,NA,NA,NA,NA,NA,NA,NA,NA,66,767,7,NA,NA,0
"RYANSUCCOP","K","Ryan Succop","KC",26,170,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",32,172,109,NA,NA,NA,NA,NA,184,744,5,32,240,0,NA,NA,2
"GREGOLSEN","TE","Greg Olsen","CAR",10,172,109,NA,NA,NA,NA,NA,NA,NA,NA,65,801,6,NA,NA,0
"BILLYCUNDIFF","K","Billy Cundiff","CLE",27,172,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRAHAMGANO","K","Graham Gano","CAR",27,172,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAIROSANTOS","K","Cairo Santos","KC",29,176,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTPRATER","K","Matt Prater","DEN",29,176,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RILEYCOOPER","WR","Riley Cooper","PHI",43,178,107,NA,NA,NA,NA,NA,NA,NA,NA,60,786,6,NA,NA,0
"HARRYDOUGLAS","WR","Harry Douglas","ATL",43,178,107,NA,NA,NA,NA,NA,NA,NA,NA,68,794,6,NA,NA,0
"JORDANREED","TE","Jordan Reed","WAS",11,178,107,NA,NA,NA,NA,NA,NA,NA,NA,64,795,6,NA,NA,0
"JOSHSCOBEE","K","Josh Scobee","JAC",31,178,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",33,182,106,230,142,1620,9,7,23,95,1,NA,NA,NA,NA,NA,1
"LAMARMILLER","RB","Lamar Miller","MIA",33,182,106,NA,NA,NA,NA,NA,177,785,5,24,158,0,NA,NA,1
"PATRICKMURRAY","K","Patrick Murray","TB",32,182,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",34,185,104,NA,NA,NA,NA,NA,166,695,4,31,221,1,NA,NA,1
"EJMANUEL","QB","EJ Manuel","BUF",34,186,101,267,156,1751,8,8,37,105,1,NA,NA,NA,NA,NA,2
"JEREMYHILL","RB","Jeremy Hill","CIN",35,186,101,NA,NA,NA,NA,NA,171,719,6,17,109,0,NA,NA,1
"HAKEEMNICKS","WR","Hakeem Nicks","IND",45,186,101,NA,NA,NA,NA,NA,NA,NA,NA,51,721,6,NA,NA,0
"LADARIUSGREEN","TE","Ladarius Green","SD",12,186,101,NA,NA,NA,NA,NA,NA,NA,NA,50,795,5,NA,NA,0
"TRENTRICHARDSON","RB","Trent Richardson","IND",36,190,100,NA,NA,NA,NA,NA,159,617,5,29,247,1,NA,NA,3
"TERRANCEWEST","RB","Terrance West","CLE",37,191,99,NA,NA,NA,NA,NA,165,728,5,15,110,0,NA,NA,0
"DWAYNEBOWE","WR","Dwayne Bowe","KC",46,191,99,NA,NA,NA,NA,NA,NA,NA,NA,62,777,5,NA,NA,0
"JORDANMATTHEWS","WR","Jordan Matthews","PHI",46,191,99,NA,NA,NA,NA,NA,NA,NA,NA,54,785,5,NA,NA,1
"ANTONIOGATES","TE","Antonio Gates","SD",13,191,99,NA,NA,NA,NA,NA,NA,NA,NA,69,768,5,NA,NA,0
"BERNARDPIERCE","RB","Bernard Pierce","BAL",38,195,98,NA,NA,NA,NA,NA,186,768,4,15,112,0,NA,NA,0
"BRIANHARTLINE","WR","Brian Hartline","MIA",48,196,97,NA,NA,NA,NA,NA,NA,NA,NA,74,936,2,NA,NA,0
"CARLOSHYDE","RB","Carlos Hyde","SF",39,197,96,NA,NA,NA,NA,NA,168,727,5,11,70,0,NA,NA,1
"JARRETTBOYKIN","WR","Jarrett Boykin","GB",49,197,96,NA,NA,NA,NA,NA,NA,NA,NA,48,681,6,NA,NA,0
"MARKUSWHEATON","WR","Markus Wheaton","PIT",50,199,95,NA,NA,NA,NA,NA,NA,NA,NA,59,732,5,NA,NA,0
"ANQUANBOLDIN","WR","Anquan Boldin","SF",50,199,95,NA,NA,NA,NA,NA,NA,NA,NA,57,722,5,NA,NA,0
"HEATHMILLER","TE","Heath Miller","PIT",14,199,95,NA,NA,NA,NA,NA,NA,NA,NA,60,665,6,NA,NA,0
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",40,202,94,NA,NA,NA,NA,NA,155,668,3,26,231,1,NA,NA,2
"DEVONTAFREEMAN","RB","Devonta Freeman","ATL",40,202,94,NA,NA,NA,NA,NA,133,603,4,29,223,1,NA,NA,1
"CHARLESCLAY","TE","Charles Clay","MIA",15,202,94,NA,NA,NA,NA,NA,NA,NA,NA,57,658,6,NA,NA,1
"RODSTREATER","WR","Rod Streater","OAK",52,205,93,NA,NA,NA,NA,NA,NA,NA,NA,60,721,5,NA,NA,1
"DANNYWOODHEAD","RB","Danny Woodhead","SD",42,206,92,NA,NA,NA,NA,NA,65,270,0,57,519,5,NA,NA,0
"KENBRELLTHOMPKINS","WR","Kenbrell Thompkins","NE",53,206,92,NA,NA,NA,NA,NA,NA,NA,NA,49,692,5,NA,NA,0
"ANDREWHAWKINS","WR","Andrew Hawkins","CLE",53,206,92,NA,NA,NA,NA,NA,NA,NA,NA,57,685,5,NA,NA,0
"DEANDREHOPKINS","WR","DeAndre Hopkins","HOU",53,206,92,NA,NA,NA,NA,NA,NA,NA,NA,55,702,5,NA,NA,0
"STEVENJACKSON","RB","Steven Jackson","ATL",43,210,90,NA,NA,NA,NA,NA,148,567,5,22,127,1,NA,NA,0
"STEVESMITH","WR","Steve Smith","BAL",56,210,90,NA,NA,NA,NA,NA,NA,NA,NA,51,674,5,NA,NA,0
"GREGJENNINGS","WR","Greg Jennings","MIN",56,210,90,NA,NA,NA,NA,NA,NA,NA,NA,52,685,5,NA,NA,0
"MARTELLUSBENNETT","TE","Martellus Bennett","CHI",16,210,90,NA,NA,NA,NA,NA,NA,NA,NA,60,702,5,NA,NA,1
"CECILSHORTS","WR","Cecil Shorts","JAC",58,214,89,NA,NA,NA,NA,NA,NA,NA,NA,58,722,4,NA,NA,0
"DELANIEWALKER","TE","Delanie Walker","TEN",17,214,89,NA,NA,NA,NA,NA,NA,NA,NA,59,624,6,NA,NA,1
"DWAYNEALLEN","TE","Dwayne Allen","IND",17,214,89,NA,NA,NA,NA,NA,NA,NA,NA,52,618,6,NA,NA,0
"MARQISELEE","WR","Marqise Lee","JAC",59,217,88,NA,NA,NA,NA,NA,NA,NA,NA,46,668,5,NA,NA,1
"MARVINJONES","WR","Marvin Jones","CIN",59,217,88,NA,NA,NA,NA,NA,NA,NA,NA,47,659,5,NA,NA,1
"ERICEBRON","TE","Eric Ebron","DET",19,217,88,NA,NA,NA,NA,NA,NA,NA,NA,47,606,6,NA,NA,0
"KENNYSTILLS","WR","Kenny Stills","NO",61,220,84,NA,NA,NA,NA,NA,NA,NA,NA,40,625,5,NA,NA,1
"BRIANHOYER","QB","Brian Hoyer","CLE",35,221,83,221,137,1557,9,10,8,15,0,NA,NA,NA,NA,NA,2
"ANDREHOLMES","WR","Andre Holmes","OAK",62,221,83,NA,NA,NA,NA,NA,NA,NA,NA,45,608,5,NA,NA,0
"KENNYBRITT","WR","Kenny Britt","STL",62,221,83,NA,NA,NA,NA,NA,NA,NA,NA,52,656,4,NA,NA,0
"SHONNGREENE","RB","Shonn Greene","TEN",44,224,82,NA,NA,NA,NA,NA,151,594,5,8,51,0,NA,NA,1
"RICHARDRODGERS","TE","Richard Rodgers","GB",20,224,82,NA,NA,NA,NA,NA,NA,NA,NA,46,592,5,NA,NA,0
"DARRENSPROLES","RB","Darren Sproles","PHI",45,226,81,NA,NA,NA,NA,NA,71,285,1,57,455,3,NA,NA,0
"TRAVISKELCE","TE","Travis Kelce","KC",21,227,80,NA,NA,NA,NA,NA,NA,NA,NA,40,577,5,NA,NA,0
"MILESAUSTIN","WR","Miles Austin","CLE",64,228,79,NA,NA,NA,NA,NA,NA,NA,NA,55,632,4,NA,NA,0
"CHRISTINEMICHAEL","RB","Christine Michael","SEA",46,229,78,NA,NA,NA,NA,NA,118,595,4,14,108,0,NA,NA,1
"MICHAELVICK","QB","Michael Vick","NYJ",36,230,77,173,102,1115,7,6,22,109,2,NA,NA,NA,NA,NA,2
"JEREMYKERLEY","WR","Jeremy Kerley","NYJ",65,230,77,NA,NA,NA,NA,NA,NA,NA,NA,49,628,4,NA,NA,1
"MALCOMFLOYD","WR","Malcom Floyd","SD",66,232,76,NA,NA,NA,NA,NA,NA,NA,NA,46,606,4,NA,NA,0
"MOHAMEDSANU","WR","Mohamed Sanu","CIN",66,232,76,NA,NA,NA,NA,NA,NA,NA,NA,58,602,4,NA,NA,0
"AUSTINSEFERIANJENKINS","TE","Austin Seferian-Jenkins","TB",22,232,76,NA,NA,NA,NA,NA,NA,NA,NA,44,531,5,NA,NA,0
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","CAR",68,235,74,NA,NA,NA,NA,NA,NA,NA,NA,46,595,4,NA,NA,1
"JAMESJONES","WR","James Jones","OAK",68,235,74,NA,NA,NA,NA,NA,NA,NA,NA,50,583,4,NA,NA,0
"MARCEDESLEWIS","TE","Marcedes Lewis","JAC",23,235,74,NA,NA,NA,NA,NA,NA,NA,NA,42,527,5,NA,NA,0
"BRIANQUICK","WR","Brian Quick","STL",70,238,73,NA,NA,NA,NA,NA,NA,NA,NA,45,563,4,NA,NA,0
"JERMAINEKEARSE","WR","Jermaine Kearse","SEA",70,238,73,NA,NA,NA,NA,NA,NA,NA,NA,36,560,4,NA,NA,0
"LANCEMOORE","WR","Lance Moore","PIT",70,238,73,NA,NA,NA,NA,NA,NA,NA,NA,54,627,3,NA,NA,0
"MARKINGRAM","RB","Mark Ingram","NO",47,241,72,NA,NA,NA,NA,NA,134,546,4,12,77,0,NA,NA,1
"DENARIUSMOORE","WR","Denarius Moore","OAK",73,241,72,NA,NA,NA,NA,NA,NA,NA,NA,48,647,3,NA,NA,2
"BENNYCUNNINGHAM","RB","Benny Cunningham","STL",48,243,71,NA,NA,NA,NA,NA,134,542,4,12,75,0,NA,NA,1
"SCOTTCHANDLER","TE","Scott Chandler","BUF",24,243,71,NA,NA,NA,NA,NA,NA,NA,NA,46,561,4,NA,NA,1
"CHADHENNE","QB","Chad Henne","JAC",37,245,70,191,112,1335,7,8,18,50,0,NA,NA,NA,NA,NA,2
"CHRISIVORY","RB","Chris Ivory","NYJ",49,246,69,NA,NA,NA,NA,NA,141,535,4,4,21,0,NA,NA,1
"DANNYAMENDOLA","WR","Danny Amendola","NE",74,246,69,NA,NA,NA,NA,NA,NA,NA,NA,48,554,4,NA,NA,1
"NATEWASHINGTON","WR","Nate Washington","TEN",75,248,68,NA,NA,NA,NA,NA,NA,NA,NA,40,524,4,NA,NA,0
"ROBERTWOODS","WR","Robert Woods","BUF",75,248,68,NA,NA,NA,NA,NA,NA,NA,NA,52,583,3,NA,NA,0
"JACEAMARO","TE","Jace Amaro","NYJ",25,248,68,NA,NA,NA,NA,NA,NA,NA,NA,38,512,4,NA,NA,0
"LEGARRETTEBLOUNT","RB","LeGarrette Blount","PIT",50,251,67,NA,NA,NA,NA,NA,127,503,4,8,54,0,NA,NA,1
"MYCHALRIVERA","TE","Mychal Rivera","OAK",26,251,67,NA,NA,NA,NA,NA,NA,NA,NA,44,510,4,NA,NA,0
"TAVONAUSTIN","WR","Tavon Austin","STL",77,253,66,NA,NA,NA,NA,NA,NA,NA,NA,41,506,2,NA,NA,2
"DONNIEAVERY","WR","Donnie Avery","KC",78,254,65,NA,NA,NA,NA,NA,NA,NA,NA,44,553,3,NA,NA,0
"JAREDCOOK","TE","Jared Cook","STL",27,254,65,NA,NA,NA,NA,NA,NA,NA,NA,41,502,4,NA,NA,1
"GARRETTGRAHAM","TE","Garrett Graham","HOU",27,254,65,NA,NA,NA,NA,NA,NA,NA,NA,45,491,4,NA,NA,0
"DARRENMCFADDEN","RB","Darren McFadden","OAK",51,257,63,NA,NA,NA,NA,NA,99,382,4,20,147,1,NA,NA,2
"DEXTERMCCLUSTER","RB","Dexter McCluster","TEN",52,258,62,NA,NA,NA,NA,NA,69,288,0,48,390,2,NA,NA,1
"KHIRYROBINSON","RB","Khiry Robinson","NO",52,258,62,NA,NA,NA,NA,NA,105,459,4,7,39,0,NA,NA,0
"CJFIEDOROWICZ","TE","C.J. Fiedorowicz","HOU",29,260,61,NA,NA,NA,NA,NA,NA,NA,NA,36,452,4,NA,NA,0
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",54,261,60,NA,NA,NA,NA,NA,106,421,3,13,94,1,NA,NA,1
"KNILEDAVIS","RB","Knile Davis","KC",54,261,60,NA,NA,NA,NA,NA,99,462,3,13,126,0,NA,NA,0
"LEVINETOILOLO","TE","Levine Toilolo","ATL",30,261,60,NA,NA,NA,NA,NA,NA,NA,NA,34,434,4,NA,NA,0
"MIKEWILLIAMS","WR","Mike Williams","BUF",79,264,59,NA,NA,NA,NA,NA,NA,NA,NA,41,556,2,NA,NA,0
"AHMADBRADSHAW","RB","Ahmad Bradshaw","IND",56,265,58,NA,NA,NA,NA,NA,111,455,3,14,125,0,NA,NA,1
"JEROMESIMPSON","WR","Jerome Simpson","MIN",80,265,58,NA,NA,NA,NA,NA,NA,NA,NA,38,528,2,NA,NA,0
"ALLENHURNS","WR","Allen Hurns","JAC",81,267,55,NA,NA,NA,NA,NA,NA,NA,NA,40,509,2,NA,NA,0
"JARVISLANDRY","WR","Jarvis Landry","MIA",81,267,55,NA,NA,NA,NA,NA,NA,NA,NA,33,401,4,NA,NA,1
"ANDREROBERTS","WR","Andre Roberts","WAS",81,267,55,NA,NA,NA,NA,NA,NA,NA,NA,39,451,3,NA,NA,0
"TYLEREIFERT","TE","Tyler Eifert","CIN",31,267,55,NA,NA,NA,NA,NA,NA,NA,NA,31,391,4,NA,NA,0
"LANCEDUNBAR","RB","Lance Dunbar","DAL",57,271,54,NA,NA,NA,NA,NA,82,333,1,37,315,0,NA,NA,0
"ROBERTTURBIN","RB","Robert Turbin","SEA",58,272,53,NA,NA,NA,NA,NA,90,399,3,11,88,0,NA,NA,0
"ODELLBECKHAM","WR","Odell Beckham","NYG",84,272,53,NA,NA,NA,NA,NA,NA,NA,NA,31,444,3,NA,NA,1
"JAMESSTARKS","RB","James Starks","GB",59,274,52,NA,NA,NA,NA,NA,96,401,3,8,70,0,NA,NA,1
"RONNIEHILLMAN","RB","Ronnie Hillman","DEN",59,274,52,NA,NA,NA,NA,NA,97,382,3,14,98,0,NA,NA,0
"COBYFLEENER","TE","Coby Fleener","IND",32,274,52,NA,NA,NA,NA,NA,NA,NA,NA,36,420,3,NA,NA,0
"STEPFANTAYLOR","RB","Stepfan Taylor","ARI",61,277,51,NA,NA,NA,NA,NA,98,385,3,11,80,0,NA,NA,1
"JOHNCARLSON","TE","John Carlson","ARI",33,277,51,NA,NA,NA,NA,NA,NA,NA,NA,33,340,4,NA,NA,0
"BRENTCELEK","TE","Brent Celek","PHI",33,277,51,NA,NA,NA,NA,NA,NA,NA,NA,32,407,3,NA,NA,0
"BOBBYRAINEY","RB","Bobby Rainey","TB",62,280,50,NA,NA,NA,NA,NA,98,405,1,16,122,1,NA,NA,0
"AARONDOBSON","WR","Aaron Dobson","NE",85,281,49,NA,NA,NA,NA,NA,NA,NA,NA,32,397,3,NA,NA,0
"MIKETOLBERT","RB","Mike Tolbert","CAR",63,282,48,NA,NA,NA,NA,NA,72,266,3,21,137,1,NA,NA,0
"DRIARCHER","RB","Dri Archer","PIT",63,282,48,NA,NA,NA,NA,NA,31,171,1,25,290,2,NA,NA,0
"LUKEWILLSON","TE","Luke Willson","SEA",35,282,48,NA,NA,NA,NA,NA,NA,NA,NA,27,377,3,NA,NA,0
"DAVIDNELSON","WR","David Nelson","NYJ",86,285,46,NA,NA,NA,NA,NA,NA,NA,NA,38,430,2,NA,NA,0
"ROYHELU","RB","Roy Helu","WAS",65,286,44,NA,NA,NA,NA,NA,75,311,1,29,225,0,NA,NA,0
"JERMAINEGRESHAM","TE","Jermaine Gresham","CIN",36,286,44,NA,NA,NA,NA,NA,NA,NA,NA,33,354,3,NA,NA,1
"RYANMALLETT","QB","Ryan Mallett","HOU",38,288,43,122,71,804,6,7,5,11,0,NA,NA,NA,NA,NA,2
"KIRKCOUSINS","QB","Kirk Cousins","WAS",38,288,43,128,79,894,3,2,1,2,0,NA,NA,NA,NA,NA,0
"DONALDBROWN","RB","Donald Brown","SD",66,288,43,NA,NA,NA,NA,NA,78,338,2,12,97,0,NA,NA,0
"JERICKMCKINNON","RB","Jerick McKinnon","MIN",67,291,42,NA,NA,NA,NA,NA,67,308,1,28,224,0,NA,NA,1
"KEVINOGLETREE","WR","Kevin Ogletree","DET",87,291,42,NA,NA,NA,NA,NA,NA,NA,NA,22,378,2,NA,NA,0
"DEVINSTREET","WR","Devin Street","DAL",87,291,42,NA,NA,NA,NA,NA,NA,NA,NA,26,374,2,NA,NA,0
"OWENDANIELS","TE","Owen Daniels","BAL",37,291,42,NA,NA,NA,NA,NA,NA,NA,NA,32,379,2,NA,NA,0
"JAMESWHITE","RB","James White","NE",68,295,41,NA,NA,NA,NA,NA,86,361,2,6,45,0,NA,NA,0
"CODYLATIMER","WR","Cody Latimer","DEN",89,295,41,NA,NA,NA,NA,NA,NA,NA,NA,25,313,3,NA,NA,0
"DAVANTEADAMS","WR","Davante Adams","GB",89,295,41,NA,NA,NA,NA,NA,NA,NA,NA,25,385,2,NA,NA,1
"STEVEJOHNSON","WR","Steve Johnson","SF",89,295,41,NA,NA,NA,NA,NA,NA,NA,NA,34,394,2,NA,NA,1
"EDDIEROYAL","WR","Eddie Royal","SD",89,295,41,NA,NA,NA,NA,NA,NA,NA,NA,39,486,0,NA,NA,0
"LANCEKENDRICKS","TE","Lance Kendricks","STL",38,295,41,NA,NA,NA,NA,NA,NA,NA,NA,31,308,3,NA,NA,0
"AUSTINDAVIS","QB","Austin Davis","STL",40,301,40,143,84,643,5,4,6,21,0,NA,NA,NA,NA,NA,0
"CHRISOWUSU","WR","Chris Owusu","TB",93,301,40,NA,NA,NA,NA,NA,NA,NA,NA,31,353,2,NA,NA,0
"JACOBYJONES","WR","Jacoby Jones","BAL",93,301,40,NA,NA,NA,NA,NA,NA,NA,NA,24,358,2,NA,NA,0
"BRANDONGIBSON","WR","Brandon Gibson","MIA",93,301,40,NA,NA,NA,NA,NA,NA,NA,NA,34,431,1,NA,NA,0
"JEFFCUMBERLAND","TE","Jeff Cumberland","NYJ",39,301,40,NA,NA,NA,NA,NA,NA,NA,NA,30,367,2,NA,NA,0
"ALFREDBLUE","RB","Alfred Blue","HOU",69,306,39,NA,NA,NA,NA,NA,74,321,2,7,55,0,NA,NA,0
"MARCELREECE","RB","Marcel Reece","OAK",69,306,39,NA,NA,NA,NA,NA,38,167,3,21,206,0,NA,NA,0
"COREYWASHINGTON","WR","Corey Washington","NYG",96,306,39,NA,NA,NA,NA,NA,NA,NA,NA,21,294,3,NA,NA,0
"SANTONIOHOLMES","WR","Santonio Holmes","CHI",97,309,38,NA,NA,NA,NA,NA,NA,NA,NA,20,277,3,NA,NA,0
"TRAVISBENJAMIN","WR","Travis Benjamin","CLE",97,309,38,NA,NA,NA,NA,NA,NA,NA,NA,23,340,2,NA,NA,1
"ANTHONYFASANO","TE","Anthony Fasano","KC",40,309,38,NA,NA,NA,NA,NA,NA,NA,NA,25,278,3,NA,NA,0
"JACQUIZZRODGERS","RB","Jacquizz Rodgers","ATL",71,312,37,NA,NA,NA,NA,NA,68,256,0,23,171,2,NA,NA,1
"CHRISGIVENS","WR","Chris Givens","STL",99,312,37,NA,NA,NA,NA,NA,NA,NA,NA,27,334,2,NA,NA,0
"TEDGINN","WR","Ted Ginn","ARI",99,312,37,NA,NA,NA,NA,NA,NA,NA,NA,21,324,2,NA,NA,0
"ZACHMILLER","TE","Zach Miller","SEA",41,315,36,NA,NA,NA,NA,NA,NA,NA,NA,26,271,3,NA,NA,0
"MATTSCHAUB","QB","Matt Schaub","OAK",41,316,35,120,70,798,5,7,8,15,0,NA,NA,NA,NA,NA,2
"STEDMANBAILEY","WR","Stedman Bailey","STL",101,316,35,NA,NA,NA,NA,NA,NA,NA,NA,25,354,1,NA,NA,0
"JUNIORHEMINGWAY","WR","Junior Hemingway","KC",101,316,35,NA,NA,NA,NA,NA,NA,NA,NA,23,316,2,NA,NA,0
"EDDICKSON","TE","Ed Dickson","CAR",42,316,35,NA,NA,NA,NA,NA,NA,NA,NA,30,316,2,NA,NA,0
"BILALPOWELL","RB","Bilal Powell","NYJ",72,320,34,NA,NA,NA,NA,NA,64,250,0,24,178,1,NA,NA,0
"PAULRICHARDSON","WR","Paul Richardson","SEA",103,320,34,NA,NA,NA,NA,NA,NA,NA,NA,19,365,1,NA,NA,0
"CHRISHOGAN","WR","Chris Hogan","BUF",104,322,33,NA,NA,NA,NA,NA,NA,NA,NA,22,296,2,NA,NA,0
"MIKEBROWN","WR","Mike Brown","JAC",104,322,33,NA,NA,NA,NA,NA,NA,NA,NA,26,349,1,NA,NA,0
"COLEBEASLEY","WR","Cole Beasley","DAL",104,322,33,NA,NA,NA,NA,NA,NA,NA,NA,26,302,2,NA,NA,0
"JUSTINBROWN","WR","Justin Brown","PIT",104,322,33,NA,NA,NA,NA,NA,NA,NA,NA,22,291,2,NA,NA,0
"BRANDONMYERS","TE","Brandon Myers","TB",43,322,33,NA,NA,NA,NA,NA,NA,NA,NA,28,300,2,NA,NA,0
"ADRIENROBINSON","TE","Adrien Robinson","NYG",43,322,33,NA,NA,NA,NA,NA,NA,NA,NA,23,288,2,NA,NA,0
"BRANDONBOSTICK","TE","Brandon Bostick","GB",43,322,33,NA,NA,NA,NA,NA,NA,NA,NA,20,313,2,NA,NA,1
"LARRYDONNELL","TE","Larry Donnell","NYG",43,322,33,NA,NA,NA,NA,NA,NA,NA,NA,27,302,2,NA,NA,0
"MIKEJAMES","RB","Mike James","TB",73,330,32,NA,NA,NA,NA,NA,62,275,2,10,62,0,NA,NA,1
"CHARLESJOHNSON","WR","Charles Johnson","CLE",108,330,32,NA,NA,NA,NA,NA,NA,NA,NA,20,281,2,NA,NA,0
"TOMSAVAGE","QB","Tom Savage","HOU",42,332,31,100,57,650,4,4,8,15,0,NA,NA,NA,NA,NA,1
"DENARDROBINSON","RB","Denard Robinson","JAC",74,332,31,NA,NA,NA,NA,NA,77,333,1,6,51,0,NA,NA,1
"SHAUNDRAUGHN","RB","Shaun Draughn","CHI",74,332,31,NA,NA,NA,NA,NA,67,295,1,13,103,0,NA,NA,0
"MARLONBROWN","WR","Marlon Brown","BAL",109,332,31,NA,NA,NA,NA,NA,NA,NA,NA,25,321,1,NA,NA,0
"JASONAVANT","WR","Jason Avant","CAR",110,336,30,NA,NA,NA,NA,NA,NA,NA,NA,25,286,2,NA,NA,1
"BRANDONLLOYD","WR","Brandon Lloyd","SF",110,336,30,NA,NA,NA,NA,NA,NA,NA,NA,21,262,2,NA,NA,0
"MARTAVISBRYANT","WR","Martavis Bryant","PIT",110,336,30,NA,NA,NA,NA,NA,NA,NA,NA,16,262,2,NA,NA,0
"ANTONESMITH","RB","Antone Smith","ATL",76,339,29,NA,NA,NA,NA,NA,55,251,2,0,0,0,NA,NA,0
"DEANTHONYTHOMAS","RB","De'Anthony Thomas","KC",76,339,29,NA,NA,NA,NA,NA,34,177,2,13,128,0,NA,NA,0
