"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,451.9,606,388,4844,41,10,60,277,3,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",2,2,406.1,667,427,4936,37,11,27,53,1,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",3,3,404,656,407,4852,36,15,39,114,1,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",4,4,395,649,428,4932,36,17,18,44,0,NA,NA,NA,NA,NA,NA
"CAMNEWTON","QB","Cam Newton","CAR",5,5,378.5,508,310,3756,19,16,115,667,8,NA,NA,NA,NA,NA,NA
"MICHAELVICK","QB","Michael Vick","PHI",6,6,373.2,469,286,3752,23,15,87,636,5,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",7,7,353.1,575,357,4257,31,14,31,102,1,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",8,8,350.5,642,379,4365,32,18,19,42,0,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",9,9,343.1,553,354,4537,28,15,30,42,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",10,10,335.6,544,343,4242,28,12,13,55,1,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",11,11,326.8,526,331,4156,26,16,31,90,1,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","DEN",12,12,319.5,575,374,4195,27,13,15,17,0,NA,NA,NA,NA,NA,NA
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",13,13,312.2,530,297,3550,20,15,175,367,3,NA,NA,NA,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","BUF",14,14,312.1,554,333,3769,23,17,47,256,1,NA,NA,NA,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",1,15,306.1,NA,NA,NA,NA,NA,339,1526,13,74,635,2,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",15,16,293.2,514,314,3755,23,11,34,74,1,NA,NA,NA,NA,NA,NA
"JOSHFREEMAN","QB","Josh Freeman","TB",16,17,292.9,496,307,3419,20,17,58,299,2,NA,NA,NA,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","OAK",17,18,289,482,299,3758,23,16,16,31,1,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",18,19,278.1,463,287,3429,21,16,40,166,1,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB","Andy Dalton","CIN",19,20,276,531,303,3558,22,15,20,41,1,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","SF",20,21,275.2,544,316,3373,21,13,49,165,1,NA,NA,NA,NA,NA,NA
"MATTSCHAUB","QB","Matt Schaub","HOU",21,22,274.3,481,308,3655,22,13,14,35,0,NA,NA,NA,NA,NA,NA
"CHRISTIANPONDER","QB","Christian Ponder","MIN",22,23,273.7,480,298,3363,18,12,67,275,1,NA,NA,NA,NA,NA,NA
"RAYRICE","RB","Ray Rice","BAL",2,24,268.2,NA,NA,NA,NA,NA,282,1295,10,75,667,2,NA,NA,NA
"SAMBRADFORD","QB","Sam Bradford","STL",23,25,264.2,529,328,3545,19,14,23,49,1,NA,NA,NA,NA,NA,NA
"RUSSELLWILSON","QB","Russell Wilson","SEA",24,26,261.3,464,278,3245,17,13,50,250,1,NA,NA,NA,NA,NA,NA
"LESEANMCCOY","RB","LeSean McCoy","PHI",3,27,259.4,NA,NA,NA,NA,NA,282,1267,12,62,487,2,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","KC",25,28,258.7,507,299,3245,22,13,23,84,0,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","Andrew Luck","IND",26,29,256.3,412,268,3256,17,15,177,195,1,NA,NA,NA,NA,NA,NA
"JAKELOCKER","QB","Jake Locker","TEN",27,30,251.4,464,279,3344,19,11,26,82,0,NA,NA,NA,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","NYJ",28,31,244.4,455,259,2959,20,15,29,104,1,NA,NA,NA,NA,NA,NA
"BRANDONWEEDEN","QB","Brandon Weeden","CLE",29,32,226.5,455,278,3185,15,14,20,72,0,NA,NA,NA,NA,NA,NA
"BLAINEGABBERT","QB","Blaine Gabbert","JAC",30,33,224.9,411,255,2956,16,13,28,131,0,NA,NA,NA,NA,NA,NA
"MATTFORTE","RB","Matt Forte","CHI",4,34,221.4,NA,NA,NA,NA,NA,263,1237,5,66,557,2,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","TEN",5,35,216.2,NA,NA,NA,NA,NA,235,1177,9,49,385,1,NA,NA,NA
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,36,215.7,NA,NA,NA,NA,NA,NA,NA,NA,105,1377,13,NA,NA,NA
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,37,214.9,NA,NA,NA,NA,NA,0,0,0,90,1429,12,NA,NA,NA
"DARRENMCFADDEN","RB","Darren McFadden","OAK",6,38,210.7,NA,NA,NA,NA,NA,239,1172,9,37,335,1,NA,NA,NA
"RYANMATHEWS","RB","Ryan Mathews","SD",7,39,210.3,NA,NA,NA,NA,NA,242,1088,9,51,415,1,NA,NA,NA
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",8,40,198.1,NA,NA,NA,NA,NA,257,1078,10,33,243,1,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","STL",9,41,197,NA,NA,NA,NA,NA,286,1201,6,42,349,1,NA,NA,NA
"JAMAALCHARLES","RB","Jamaal Charles","KC",10,42,196.3,NA,NA,NA,NA,NA,203,1118,7,40,365,1,NA,NA,NA
"AHMADBRADSHAW","RB","Ahmad Bradshaw","NYG",11,43,195.6,NA,NA,NA,NA,NA,224,1075,8,47,341,1,NA,NA,NA
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",12,44,191.5,NA,NA,NA,NA,NA,267,1120,7,46,315,1,NA,NA,NA
"VICTORCRUZ","WR","Victor Cruz","NYG",2,45,189.9,NA,NA,NA,NA,NA,0,0,0,84,1299,10,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",13,46,189.1,NA,NA,NA,NA,NA,239,1075,7,46,336,1,NA,NA,NA
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",2,47,187.6,NA,NA,NA,NA,NA,NA,NA,NA,84,1156,12,NA,NA,NA
"TRENTRICHARDSON","RB","Trent Richardson","CLE",14,48,187.4,NA,NA,NA,NA,NA,252,1059,7,45,335,1,NA,NA,NA
"RODDYWHITE","WR","Roddy White","ATL",3,49,184.3,NA,NA,NA,NA,NA,0,0,0,96,1303,9,NA,NA,NA
"PERCYHARVIN","WR","Percy Harvin","MIN",4,50,183,NA,NA,NA,NA,NA,40,282,1,88,1068,7,NA,NA,NA
"JULIOJONES","WR","Julio Jones","ATL",5,51,182.8,NA,NA,NA,NA,NA,9,62,0,69,1166,10,NA,NA,NA
"DOUGMARTIN","RB","Doug Martin","TB",15,52,181,NA,NA,NA,NA,NA,247,1085,7,40,245,1,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",6,53,180.5,NA,NA,NA,NA,NA,0,0,0,94,1265,9,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",16,54,178.1,NA,NA,NA,NA,NA,241,1086,8,17,155,1,NA,NA,NA
"SHONNGREENE","RB","Shonn Greene","NYJ",17,55,176.4,NA,NA,NA,NA,NA,259,1139,7,28,205,0,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","JAC",18,56,174.1,NA,NA,NA,NA,NA,228,1001,7,29,260,1,NA,NA,NA
"WESWELKER","WR","Wes Welker","NE",7,57,173.5,NA,NA,NA,NA,NA,0,0,0,109,1255,8,NA,NA,NA
"JOHNSKELTON","QB","John Skelton","ARI",31,58,173.3,328,204,2232,13,9,25,97,0,NA,NA,NA,NA,NA,NA
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",8,59,169.9,NA,NA,NA,NA,NA,1,9,0,88,1210,8,NA,NA,NA
"GREGJENNINGS","WR","Greg Jennings","GB",9,60,169.8,NA,NA,NA,NA,NA,0,0,0,76,1158,9,NA,NA,NA
"DEZBRYANT","WR","Dez Bryant","DAL",10,61,169.6,NA,NA,NA,NA,NA,0,0,0,74,1096,10,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","NO",19,62,169,NA,NA,NA,NA,NA,128,565,3,74,645,5,NA,NA,NA
"FRANKGORE","RB","Frank Gore","SF",20,63,168.6,NA,NA,NA,NA,NA,228,1005,8,19,141,1,NA,NA,NA
"HAKEEMNICKS","WR","Hakeem Nicks","NYG",11,64,168.5,NA,NA,NA,NA,NA,0,0,0,78,1145,9,NA,NA,NA
"MIKEWALLACE","WR","Mike Wallace","PIT",12,65,168.1,NA,NA,NA,NA,NA,7,67,0,66,1134,8,NA,NA,NA
"STEVESMITH","WR","Steve Smith","CAR",13,66,167.2,NA,NA,NA,NA,NA,8,67,0,78,1185,7,NA,NA,NA
"ANDREJOHNSON","WR","Andre Johnson","HOU",14,67,163.9,NA,NA,NA,NA,NA,0,0,0,80,1159,8,NA,NA,NA
"AJGREEN","WR","A.J. Green","CIN",15,68,163.8,NA,NA,NA,NA,NA,5,38,0,76,1120,8,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",16,69,163.6,NA,NA,NA,NA,NA,0,0,0,92,1156,8,NA,NA,NA
"REGGIEBUSH","RB","Reggie Bush","MIA",21,70,161.2,NA,NA,NA,NA,NA,207,868,5,42,324,2,NA,NA,NA
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",32,71,161,295,174,2067,11,11,25,76,1,NA,NA,NA,NA,NA,NA
"MICHAELTURNER","RB","Michael Turner","ATL",22,72,160.5,NA,NA,NA,NA,NA,253,1013,9,8,52,0,NA,NA,NA
"JORDYNELSON","WR","Jordy Nelson","GB",17,73,159.9,NA,NA,NA,NA,NA,0,0,0,80,1059,9,NA,NA,NA
"ANTONIOBROWN","WR","Antonio Brown","PIT",18,74,159.7,NA,NA,NA,NA,NA,0,0,0,85,1177,7,NA,NA,NA
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",19,75,158.6,NA,NA,NA,NA,NA,0,0,0,79,1106,8,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",23,76,157.5,NA,NA,NA,NA,NA,164,785,7,38,310,1,NA,NA,NA
"WILLISMCGAHEE","RB","Willis McGahee","DEN",24,77,156.4,NA,NA,NA,NA,NA,242,1017,8,11,67,0,NA,NA,NA
"ERICDECKER","WR","Eric Decker","DEN",20,78,156.2,NA,NA,NA,NA,NA,3,13,0,82,1129,7,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","TB",21,79,156.1,NA,NA,NA,NA,NA,3,26,0,64,1055,8,NA,NA,NA
"STEVEJOHNSON","WR","Steve Johnson","BUF",22,80,154.8,NA,NA,NA,NA,NA,0,0,0,80,1068,8,NA,NA,NA
"STEVANRIDLEY","RB","Stevan Ridley","NE",25,81,154.2,NA,NA,NA,NA,NA,195,856,8,25,206,0,NA,NA,NA
"BENJARVUSGREENELLIS","RB","BenJarvus Green-Ellis","CIN",26,82,151.5,NA,NA,NA,NA,NA,225,945,7,22,150,0,NA,NA,NA
"TORREYSMITH","WR","Torrey Smith","BAL",23,83,151,NA,NA,NA,NA,NA,5,43,0,62,987,8,NA,NA,NA
"BEANIEWELLS","RB","Beanie Wells","ARI",27,84,148.2,NA,NA,NA,NA,NA,212,910,8,14,92,0,NA,NA,NA
"MILESAUSTIN","WR","Miles Austin","DAL",24,85,146.5,NA,NA,NA,NA,NA,0,0,0,73,1045,7,NA,NA,NA
"DWAYNEBOWE","WR","Dwayne Bowe","KC",25,86,146.4,NA,NA,NA,NA,NA,0,0,0,74,1044,7,NA,NA,NA
"DARRIUSHEYWARDBEY","WR","Darrius Heyward-Bey","OAK",26,87,141.2,NA,NA,NA,NA,NA,0,0,0,73,1052,6,NA,NA,NA
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",27,88,140.9,NA,NA,NA,NA,NA,0,0,0,61,929,8,NA,NA,NA
"ROYHELU","RB","Roy Helu","WAS",28,89,138.9,NA,NA,NA,NA,NA,195,779,5,34,250,1,NA,NA,NA
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",29,90,137.9,NA,NA,NA,NA,NA,176,845,7,14,114,0,NA,NA,NA
"PIERREGARCON","WR","Pierre Garcon","WAS",28,91,137.8,NA,NA,NA,NA,NA,0,0,0,72,1018,6,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",3,92,136.5,NA,NA,NA,NA,NA,NA,NA,NA,69,885,8,NA,NA,NA
"KEVINSMITH","RB","Kevin Smith","DET",30,93,135.5,NA,NA,NA,NA,NA,165,710,5,37,285,1,NA,NA,NA
"AARONHERNANDEZ","TE","Aaron Hernandez","NE",4,93,135.5,NA,NA,NA,NA,NA,NA,NA,NA,76,875,8,NA,NA,NA
"REGGIEWAYNE","WR","Reggie Wayne","IND",29,95,134.9,NA,NA,NA,NA,NA,0,0,0,77,989,6,NA,NA,NA
"DESEANJACKSON","WR","DeSean Jackson","PHI",30,96,133.6,NA,NA,NA,NA,NA,0,0,0,50,916,7,NA,NA,NA
"ROBERTMEACHEM","WR","Robert Meachem","SD",31,97,132.9,NA,NA,NA,NA,NA,0,0,0,63,909,7,NA,NA,NA
"PEYTONHILLIS","RB","Peyton Hillis","KC",31,98,130.1,NA,NA,NA,NA,NA,163,686,6,26,195,1,NA,NA,NA
"RASHADJENNINGS","RB","Rashad Jennings","JAC",32,99,127.5,NA,NA,NA,NA,NA,164,755,5,28,220,0,NA,NA,NA
"SANTONIOHOLMES","WR","Santonio Holmes","NYJ",32,100,127.4,NA,NA,NA,NA,NA,3,25,0,60,889,6,NA,NA,NA
"JERMICHAELFINLEY","TE","Jermichael Finley","GB",5,101,126.5,NA,NA,NA,NA,NA,NA,NA,NA,67,845,7,NA,NA,NA
"VERNONDAVIS","TE","Vernon Davis","SF",5,101,126.5,NA,NA,NA,NA,NA,NA,NA,NA,68,845,7,NA,NA,NA
"DONALDBROWN","RB","Donald Brown","IND",33,103,126.1,NA,NA,NA,NA,NA,199,856,4,24,165,0,NA,NA,NA
"KEVINKOLB","QB","Kevin Kolb","ARI",33,104,124.9,221,130,1655,9,8,18,61,0,NA,NA,NA,NA,NA,NA
"DUSTINKELLER","TE","Dustin Keller","NYJ",7,105,122.7,NA,NA,NA,NA,NA,NA,NA,NA,70,807,7,NA,NA,NA
"JAREDCOOK","TE","Jared Cook","TEN",8,106,122.6,NA,NA,NA,NA,NA,NA,NA,NA,69,866,6,NA,NA,NA
"TONYGONZALEZ","TE","Tony Gonzalez","ATL",9,107,121.9,NA,NA,NA,NA,NA,NA,NA,NA,82,799,7,NA,NA,NA
"MICHAELCRABTREE","WR","Michael Crabtree","SF",33,108,121.5,NA,NA,NA,NA,NA,0,0,0,71,915,5,NA,NA,NA
"BENTATE","RB","Ben Tate","HOU",34,109,121,NA,NA,NA,NA,NA,156,735,6,15,115,0,NA,NA,NA
"ISAACREDMAN","RB","Isaac Redman","PIT",35,110,119.5,NA,NA,NA,NA,NA,146,626,4,37,269,1,NA,NA,NA
