"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"AARONRODGERS","QB","Aaron Rodgers","GB",1,1,374.4,604,368,4226,31,12,51,211,3,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",2,2,365.4,645,413,4580,33,13,18,44,0,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",3,3,346.5,556,356,4278,30,14,33,66,1,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB","Peyton Manning","IND",4,4,342.2,542,352,4279,30,13,20,22,1,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",5,5,328.4,545,343,4089,27,12,24,99,1,NA,NA,NA,NA,NA,NA
"MATTSCHAUB","QB","Matt Schaub","HOU",6,6,323.6,545,343,4140,26,17,17,66,1,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",7,7,316.5,508,315,3759,26,18,56,185,1,NA,NA,NA,NA,NA,NA
"KEVINKOLB","QB","Kevin Kolb","PHI",8,8,303.2,573,338,3893,24,17,28,65,1,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",9,9,298.5,554,327,3765,25,15,19,42,1,NA,NA,NA,NA,NA,NA
"DAVIDGARRARD","QB","David Garrard","JAC",10,10,287.3,483,299,3475,18,12,64,295,2,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",11,11,286.8,476,300,3665,25,12,25,35,0,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",12,12,285.5,534,315,3526,23,11,35,112,1,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",1,13,283.2,NA,NA,NA,NA,NA,309,1576,14,35,356,1,NA,NA,NA
"CHRISJOHNSON","RB","Chris Johnson","TEN",2,14,277.8,NA,NA,NA,NA,NA,294,1472,12,60,466,2,NA,NA,NA
"BRETTFAVRE","QB","Brett Favre","MIN",13,15,275.4,508,315,3556,24,13,4,16,0,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",14,16,273.4,514,308,3544,22,15,25,82,0,NA,NA,NA,NA,NA,NA
"MAURICEJONESDREW","RB","Maurice Jones-Drew","JAC",3,17,270.2,NA,NA,NA,NA,NA,250,1298,14,50,444,2,NA,NA,NA
"CARSONPALMER","QB","Carson Palmer","CIN",15,18,267.6,459,294,3349,22,15,44,61,1,NA,NA,NA,NA,NA,NA
"DONOVANMCNABB","QB","Donovan McNabb","WAS",16,19,265,473,284,3309,20,10,32,135,1,NA,NA,NA,NA,NA,NA
"JOSHFREEMAN","QB","Josh Freeman","TB",17,20,257.3,428,266,2955,17,17,70,295,2,NA,NA,NA,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","KC",18,21,257.1,490,289,3133,18,14,55,224,1,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",19,22,255.9,488,293,3267,18,15,50,145,1,NA,NA,NA,NA,NA,NA
"ALEXSMITH","QB","Alex Smith","SF",20,23,254.5,523,304,3245,19,15,30,102,1,NA,NA,NA,NA,NA,NA
"VINCEYOUNG","QB","Vince Young","TEN",21,24,253.2,411,251,2794,15,9,77,415,2,NA,NA,NA,NA,NA,NA
"RAYRICE","RB","Ray Rice","BAL",4,25,246.7,NA,NA,NA,NA,NA,264,1265,8,73,602,2,NA,NA,NA
"JASONCAMPBELL","QB","Jason Campbell","OAK",22,26,241.2,450,265,3059,15,12,48,222,1,NA,NA,NA,NA,NA,NA
"CHADHENNE","QB","Chad Henne","MIA",23,27,240.8,527,311,3373,17,14,11,41,0,NA,NA,NA,NA,NA,NA
"KYLEORTON","QB","Kyle Orton","DEN",24,28,239.6,503,297,3222,18,13,22,65,0,NA,NA,NA,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","NYJ",25,29,228.9,455,259,2955,17,15,36,131,0,NA,NA,NA,NA,NA,NA
