"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"TJHOUSHMANDZADEH","WR","T.J. Houshmandzadeh","SEA",10,69,156.8,NA,NA,NA,NA,NA,0,0,0,90,1088,8,NA,NA,NA
"DWAYNEBOWE","WR","Dwayne Bowe","KC",11,70,152.2,NA,NA,NA,NA,NA,0,0,0,80,1102,7,NA,NA,NA
"JAMALLEWIS","RB","Jamal Lewis","CLE",28,71,152.1,NA,NA,NA,NA,NA,233,979,6,27,182,0,NA,NA,NA
"ROYWILLIAMS","WR","Roy Williams","DAL",12,72,152,NA,NA,NA,NA,NA,0,0,0,75,1040,8,NA,NA,NA
"JULIUSJONES","RB","Julius Jones","SEA",29,73,146.7,NA,NA,NA,NA,NA,229,895,5,29,212,1,NA,NA,NA
"ANQUANBOLDIN","WR","Anquan Boldin","ARI",13,74,146.2,NA,NA,NA,NA,NA,0,0,0,71,982,8,NA,NA,NA
"WESWELKER","WR","Wes Welker","NE",14,75,145.4,NA,NA,NA,NA,NA,0,0,0,96,1094,6,NA,NA,NA
"CHADJOHNSON","WR","Chad Johnson","CIN",15,76,144.9,NA,NA,NA,NA,NA,0,0,0,72,1029,7,NA,NA,NA
"WILLIEPARKER","RB","Willie Parker","PIT",30,77,144.6,NA,NA,NA,NA,NA,243,1045,5,14,101,0,NA,NA,NA
"BRAYLONEDWARDS","WR","Braylon Edwards","CLE",16,78,143.1,NA,NA,NA,NA,NA,0,0,0,72,1011,7,NA,NA,NA
"VINCENTJACKSON","WR","Vincent Jackson","SD",17,79,143,NA,NA,NA,NA,NA,0,0,0,72,1010,7,NA,NA,NA
"CEDRICBENSON","RB","Cedric Benson","CIN",31,80,142.5,NA,NA,NA,NA,NA,228,912,5,34,213,0,NA,NA,NA
"TERRELLOWENS","WR","Terrell Owens","BUF",18,81,139.9,NA,NA,NA,NA,NA,0,0,0,68,979,7,NA,NA,NA
"SANTONIOHOLMES","WR","Santonio Holmes","PIT",18,81,139.9,NA,NA,NA,NA,NA,0,0,0,66,979,7,NA,NA,NA
"EARNESTGRAHAM","RB","Earnest Graham","TB",32,83,138.9,NA,NA,NA,NA,NA,167,734,6,30,235,1,NA,NA,NA
"DESEANJACKSON","WR","DeSean Jackson","PHI",20,84,138.7,NA,NA,NA,NA,NA,0,0,0,73,967,7,NA,NA,NA
"DOMENIKHIXON","WR","Domenik Hixon","NYG",21,85,138.2,NA,NA,NA,NA,NA,0,0,0,80,962,7,NA,NA,NA
"TONYGONZALEZ","TE","Tony Gonzalez","ATL",1,86,136.5,NA,NA,NA,NA,NA,NA,NA,NA,79,885,8,NA,NA,NA
"SANTANAMOSS","WR","Santana Moss","WAS",22,87,133.7,NA,NA,NA,NA,NA,0,0,0,67,977,6,NA,NA,NA
"HINESWARD","WR","Hines Ward","PIT",23,88,133.5,NA,NA,NA,NA,NA,0,0,0,80,915,7,NA,NA,NA
"ANTONIOGATES","TE","Antonio Gates","SD",2,88,133.5,NA,NA,NA,NA,NA,NA,NA,NA,71,855,8,NA,NA,NA
"EDDIEROYAL","WR","Eddie Royal","DEN",24,90,132.6,NA,NA,NA,NA,NA,0,0,0,70,966,6,NA,NA,NA
"JERRICHOCOTCHERY","WR","Jerricho Cotchery","NYJ",25,91,131.8,NA,NA,NA,NA,NA,0,0,0,69,958,6,NA,NA,NA
"LENDALEWHITE","RB","LenDale White","TEN",33,92,131,NA,NA,NA,NA,NA,163,685,10,4,25,0,NA,NA,NA
"ANTHONYGONZALEZ","WR","Anthony Gonzalez","IND",26,93,130.5,NA,NA,NA,NA,NA,0,0,0,65,945,6,NA,NA,NA
"BERNARDBERRIAN","WR","Bernard Berrian","MIN",27,94,129.6,NA,NA,NA,NA,NA,0,0,0,63,936,6,NA,NA,NA
"BEANIEWELLS","RB","Beanie Wells","ARI",34,95,129.4,NA,NA,NA,NA,NA,202,809,7,10,65,0,NA,NA,NA
"ANTONIOBRYANT","WR","Antonio Bryant","TB",28,96,124.5,NA,NA,NA,NA,NA,0,0,0,66,885,6,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",35,97,124.4,NA,NA,NA,NA,NA,143,642,5,33,242,1,NA,NA,NA
"JASONWITTEN","TE","Jason Witten","DAL",3,98,123.6,NA,NA,NA,NA,NA,NA,NA,NA,75,876,6,NA,NA,NA
"DONALDBROWN","RB","Donald Brown","IND",36,99,121.1,NA,NA,NA,NA,NA,153,656,5,28,195,1,NA,NA,NA
"DONALDDRIVER","WR","Donald Driver","GB",29,100,120.5,NA,NA,NA,NA,NA,0,0,0,66,845,6,NA,NA,NA
"LANCEMOORE","WR","Lance Moore","NO",29,100,120.5,NA,NA,NA,NA,NA,0,0,0,71,845,6,NA,NA,NA
"DONNIEAVERY","WR","Donnie Avery","STL",31,102,119.1,NA,NA,NA,NA,NA,0,0,0,56,831,6,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CHI",4,103,117.5,NA,NA,NA,NA,NA,NA,NA,NA,69,755,7,NA,NA,NA
"RICKYWILLIAMS","RB","Ricky Williams","MIA",37,104,116.6,NA,NA,NA,NA,NA,146,614,5,25,192,1,NA,NA,NA
"JONATHANSTEWART","RB","Jonathan Stewart","CAR",38,105,115.4,NA,NA,NA,NA,NA,177,725,6,10,69,0,NA,NA,NA
"FREDTAYLOR","RB","Fred Taylor","NE",39,106,114.7,NA,NA,NA,NA,NA,159,765,5,11,82,0,NA,NA,NA
"LEEEVANS","WR","Lee Evans","BUF",32,107,114.5,NA,NA,NA,NA,NA,0,0,0,58,845,5,NA,NA,NA
"AHMADBRADSHAW","RB","Ahmad Bradshaw","NYG",40,108,114,NA,NA,NA,NA,NA,132,685,4,21,155,1,NA,NA,NA
"CHESTERTAYLOR","RB","Chester Taylor","MIN",41,109,113.2,NA,NA,NA,NA,NA,85,415,5,43,357,1,NA,NA,NA
"TORRYHOLT","WR","Torry Holt","JAC",33,110,112.5,NA,NA,NA,NA,NA,0,0,0,63,825,5,NA,NA,NA
"KEVINWALTER","WR","Kevin Walter","HOU",34,111,111.6,NA,NA,NA,NA,NA,0,0,0,64,816,5,NA,NA,NA
"DALLASCLARK","TE","Dallas Clark","IND",5,112,111.2,NA,NA,NA,NA,NA,NA,NA,NA,68,752,6,NA,NA,NA
"DARRENSPROLES","RB","Darren Sproles","SD",42,113,110.8,NA,NA,NA,NA,NA,116,555,3,47,313,1,NA,NA,NA
"BRANDONMARSHALL","WR","Brandon Marshall","DEN",35,114,109.6,NA,NA,NA,NA,NA,0,0,0,62,856,4,NA,NA,NA
"JERIOUSNORWOOD","RB","Jerious Norwood","ATL",43,115,109.5,NA,NA,NA,NA,NA,107,525,3,40,330,1,NA,NA,NA
"CHRISCOOLEY","TE","Chris Cooley","WAS",6,116,108,NA,NA,NA,NA,NA,NA,NA,NA,61,720,6,NA,NA,NA
"CHRISCHAMBERS","WR","Chris Chambers","SD",36,117,107.9,NA,NA,NA,NA,NA,0,0,0,55,779,5,NA,NA,NA
"DUSTINKELLER","TE","Dustin Keller","NYJ",7,118,107.1,NA,NA,NA,NA,NA,NA,NA,NA,62,711,6,NA,NA,NA
"DERRICKMASON","WR","Derrick Mason","BAL",37,119,106.6,NA,NA,NA,NA,NA,0,0,0,68,766,5,NA,NA,NA
"DEVINHESTER","WR","Devin Hester","CHI",38,120,106,NA,NA,NA,NA,NA,0,0,0,56,820,4,NA,NA,NA
"TEDGINN","WR","Ted Ginn Jr.","MIA",39,121,105.5,NA,NA,NA,NA,NA,0,0,0,55,815,4,NA,NA,NA
"MUHSINMUHAMMAD","WR","Muhsin Muhammad","CAR",40,122,104.5,NA,NA,NA,NA,NA,0,0,0,61,745,5,NA,NA,NA
"LAVERANUESCOLES","WR","Laveranues Coles","CIN",40,122,104.5,NA,NA,NA,NA,NA,0,0,0,63,745,5,NA,NA,NA
"JOSHMORGAN","WR","Josh Morgan","SF",42,124,103.5,NA,NA,NA,NA,NA,0,0,0,62,795,4,NA,NA,NA
"LEONWASHINGTON","RB","Leon Washington","NYJ",44,125,103,NA,NA,NA,NA,NA,105,515,3,38,275,1,NA,NA,NA
"STEVEBREASTON","WR","Steve Breaston","ARI",43,126,102.5,NA,NA,NA,NA,NA,0,0,0,53,785,4,NA,NA,NA
"JOHNCARLSON","TE","John Carlson","SEA",8,127,101.5,NA,NA,NA,NA,NA,NA,NA,NA,70,715,5,NA,NA,NA
"TIMHIGHTOWER","RB","Tim Hightower","ARI",45,128,101.1,NA,NA,NA,NA,NA,141,565,5,23,146,0,NA,NA,NA
"CHRISHENRY","WR","Chris Henry","CIN",44,129,98.5,NA,NA,NA,NA,NA,0,0,0,45,685,5,NA,NA,NA
"KELLENWINSLOW","TE","Kellen Winslow","TB",9,130,97.6,NA,NA,NA,NA,NA,NA,NA,NA,59,676,5,NA,NA,NA
