"name","name_cbs","pos","team_cbs","positionRank_cbs","overallRank_cbs","passAtt_cbs","passComp_cbs","passYds_cbs","passTds_cbs","passInt_cbs","passCompPct_cbs","passYdsPerAtt_cbs","rushAtt_cbs","rushYds_cbs","rushYdsPerAtt_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recYdsPerRec_cbs","recTds_cbs","twoPts_cbs","fumbles_cbs","pts_cbs"
"BOBBYRAINEY","Bobby Rainey","RB","TB",81,271,NA,NA,NA,NA,NA,NA,NA,51.5,198,3.8,1,5.5,19.5,3.5,0,NA,0,19
"CHRISPOLK","Chris Polk","RB","PHI",84,274,NA,NA,NA,NA,NA,NA,NA,28.5,141,4.9,2,4,36.5,9.1,0,NA,0.5,18
"JOHNKUHN","John Kuhn","RB","GB",85,275,NA,NA,NA,NA,NA,NA,NA,16,50,3.1,1.5,10,71.5,7.2,0.5,NA,0,17
"DARRELYOUNG","Darrel Young","RB","WAS",85,275,NA,NA,NA,NA,NA,NA,NA,11.5,47.5,4.1,1.5,9.5,94,9.9,0.5,NA,0,17
"ANTHONYDIXON","Anthony Dixon","RB","BUF",85,275,NA,NA,NA,NA,NA,NA,NA,18.5,55.5,3,2.5,1.5,12,8,0,NA,0,17
"JORDANPALMER","Jordan Palmer","QB","CHI",44,278,79.5,46.5,539.5,1,1.5,58.5,6.8,3,7.5,2.5,0,NA,NA,NA,NA,NA,0.5,16
"DUJUANHARRIS","DuJuan Harris","RB","GB",88,278,NA,NA,NA,NA,NA,NA,NA,38.5,166.5,4.3,1,5,32,6.4,0,NA,0,16
"DRIARCHER","Dri Archer","RB","PIT",88,278,NA,NA,NA,NA,NA,NA,NA,10.5,65.5,6.2,0.5,12.5,100,8,1,NA,0,16
"JORDANTODMAN","Jordan Todman","RB","JAC",90,281,NA,NA,NA,NA,NA,NA,NA,45,173,3.8,0.5,12,91.5,7.6,0,NA,0.5,15
"DARYLRICHARDSON","Daryl Richardson","RB","NYJ",90,281,NA,NA,NA,NA,NA,NA,NA,49.5,205,4.1,0,14.5,109.5,7.6,0,NA,0.5,15
"LACHESEASTRUNK","Lache Seastrunk","RB","WAS",90,281,NA,NA,NA,NA,NA,NA,NA,36,151.5,4.2,1,4.5,50.5,11.2,0,NA,0,15
"JOSEPHRANDLE","Joseph Randle","RB","DAL",93,284,NA,NA,NA,NA,NA,NA,NA,47.5,159.5,3.4,1,6.5,43,6.6,0,NA,0,14
"BENNYCUNNINGHAM","Benny Cunningham","RB","STL",93,284,NA,NA,NA,NA,NA,NA,NA,43,207,4.8,0.5,4,37,9.2,0,NA,1,14
"LORENZOTALIAFERRO","Lorenzo Taliaferro","RB","BAL",93,284,NA,NA,NA,NA,NA,NA,NA,37,158,4.3,1,4,30,7.5,0,NA,0,14
"CHRISOGBONNAYA","Chris Ogbonnaya","RB","CLE",93,284,NA,NA,NA,NA,NA,NA,NA,29,129,4.4,0,22,156.5,7.1,0.5,NA,1,14
"MATTASIATA","Matt Asiata","RB","MIN",97,288,NA,NA,NA,NA,NA,NA,NA,27.5,98,3.6,1.5,2.5,8,3.2,0,NA,0,13
"JERICKMCKINNON","Jerick McKinnon","RB","MIN",97,288,NA,NA,NA,NA,NA,NA,NA,33.5,154,4.6,0.5,14.5,102,7,0,NA,0.5,13
"MARKSANCHEZ","Mark Sanchez","QB","PHI",45,290,27,17,184,1.5,0,63,6.8,3.5,5,1.4,0,NA,NA,NA,NA,NA,0,11
"DEREKANDERSON","Derek Anderson","QB","CAR",46,291,17,11,122,1.5,0.5,64.7,7.2,1.5,5.5,3.7,0,NA,NA,NA,NA,NA,0,10
"JOSHFREEMAN","Josh Freeman","QB","NYG",47,292,18.5,11,138.5,1,0,59.5,7.5,2,11,5.5,0,NA,NA,NA,NA,NA,0,8
"MATTFLYNN","Matt Flynn","QB","GB",47,292,19,12,143.5,1,0,63.2,7.6,2.5,10,4,0,NA,NA,NA,NA,NA,0,8
"BLAINEGABBERT","Blaine Gabbert","QB","SF",47,292,16.5,10.5,122,1,0,63.6,7.4,1.5,5.5,3.7,0,NA,NA,NA,NA,NA,0,8
"BRANDONWEEDEN","Brandon Weeden","QB","DAL",50,295,46.5,28,315,1,1.5,60.2,6.8,1,1,1,0,NA,NA,NA,NA,NA,0.5,6
"MATTMOORE","Matt Moore","QB","MIA",51,296,38.5,22.5,238.5,1,1,58.4,6.2,2,4.5,2.2,0,NA,NA,NA,NA,NA,1,5
"JASONCAMPBELL","Jason Campbell","QB","CIN",52,297,16.5,8.5,123,0,0.5,51.5,7.5,0.5,1,2,0,NA,NA,NA,NA,NA,0,1
"CHARLIEWHITEHURST","Charlie Whitehurst","QB","TEN",53,298,3.5,2,23,0,0,57.1,6.6,0.5,2.5,5,0,NA,NA,NA,NA,NA,0,0
"RUSTYSMITH","Rusty Smith","QB","NYG",53,298,1,0.5,5.5,0,0,50,5.5,0,0,0,0,NA,NA,NA,NA,NA,0,0
"BROCKOSWEILER","Brock Osweiler","QB","DEN",53,298,3,2,27,0,0,66.7,9,1,0,0,0,NA,NA,NA,NA,NA,0,0
