positionRank,player,pos,team,passComp,passAtt,passYds,passTds,passInt,rushAtt,rushYds,rushTds,rec,recYds,recTds,points
32,Stevan Ridley,RB,Patriots,,,,,,226,983,7,7,46,0,144.9
33,Maurice Jones-Drew,RB,Raiders,,,,,,192,816,5,35,256,1,143.2
34,Trent Richardson,RB,Colts,,,,,,206,731,6,33,251,1,140.2
35,Fred Jackson,RB,Bills,,,,,,155,659,7,36,256,1,139.5
36,Bernard Pierce,RB,Ravens,,,,,,192,883,6,23,133,0,137.6
37,Knowshon Moreno,RB,Dolphins,,,,,,165,686,5,32,259,1,130.5
38,Mark Ingram,RB,Saints,,,,,,184,837,6,16,107,0,130.4
39,Chris Ivory,RB,Jets,,,,,,178,854,7,2,12,0,128.6
40,DeAngelo Williams,RB,Panthers,,,,,,188,808,4,19,150,1,125.8
41,Terrance West,RB,Browns,,,,,,165,726,5,21,135,1,122.1
42,Darren McFadden,RB,Raiders,,,,,,156,671,5,26,185,1,121.6
43,Carlos Hyde,RB,49ers,,,,,,156,718,6,13,91,0,116.9
44,Andre Williams,RB,Giants,,,,,,172,774,6,4,20,0,115.4
45,Ahmad Bradshaw,RB,Colts,,,,,,160,696,4,28,190,0,112.6
46,Lance Dunbar,RB,Cowboys,,,,,,130,598,4,31,205,1,110.3
47,Danny Woodhead,RB,Chargers,,,,,,87,348,1,59,499,3,108.7
48,LeGarrette Blount,RB,Steelers,,,,,,152,631,6,8,50,0,104.1
49,Devonta Freeman,RB,Falcons,,,,,,94,423,4,36,279,1,100.2
50,Darren Sproles,RB,Eagles,,,,,,52,234,1,58,505,3,97.9
51,Khiry Robinson,RB,Saints,,,,,,153,681,4,8,56,0,97.7
52,Jonathan Stewart,RB,Panthers,,,,,,148,659,3,18,133,0,97.2
53,Benny Cunningham,RB,Rams,,,,,,116,545,4,13,98,0,88.3
54,Roy Helu,RB,Redskins,,,,,,72,313,2,47,362,1,85.5
55,Christine Michael,RB,Seahawks,,,,,,112,515,4,12,91,0,84.6
56,Ronnie Hillman,RB,Broncos,,,,,,117,509,2,22,193,0,82.2
57,Shonn Greene,RB,Titans,,,,,,122,439,6,3,19,0,81.8
58,James Starks,RB,Packers,,,,,,110,501,3,16,136,0,81.7
59,Mike Tolbert,RB,Panthers,,,,,,78,277,5,24,178,1,81.5
60,James White,RB,Patriots,,,,,,102,454,4,16,115,0,80.9
61,Donald Brown,RB,Chargers,,,,,,110,473,3,20,154,0,80.7
61,Knile Davis,RB,Chiefs,,,,,,104,468,4,15,99,0,80.7
63,Dexter McCluster,RB,Titans,,,,,,52,250,0,47,414,1,72.4
64,Jonathan Grimes,RB,Texans,,,,,,104,437,3,12,74,0,69.1
65,Theo Riddick,RB,Lions,,,,,,58,258,2,31,217,1,65.5
66,Tre Mason,RB,Rams,,,,,,90,401,2,15,120,0,64.1
67,C.J. Anderson,RB,Broncos,,,,,,88,392,3,7,53,0,62.5
68,Jacquizz Rodgers,RB,Falcons,,,,,,65,234,1,37,263,1,61.7
69,Bryce Brown,RB,Bills,,,,,,88,396,3,6,39,0,61.5
70,Robert Turbin,RB,Seahawks,,,,,,72,302,2,18,153,0,57.5
71,Jonathan Dwyer,RB,Cardinals,,,,,,84,340,3,7,49,0,56.9
72,Marcel Reece,RB,Raiders,,,,,,35,158,1,27,267,1,54.5
73,Stepfan Taylor,RB,Cardinals,,,,,,76,289,3,9,68,0,53.7
74,Jordan Todman,RB,Jaguars,,,,,,85,306,2,12,96,0,52.2
75,Alfred Blue,RB,Texans,,,,,,70,308,2,10,65,0,49.3
76,Latavius Murray,RB,Raiders,,,,,,66,290,2,10,70,0,48
77,Dan Herron,RB,Colts,,,,,,72,324,2,3,18,0,46.2
78,Bobby Rainey,RB,Buccaneers,,,,,,58,238,1,22,152,0,45
79,Isaiah Crowell,RB,Browns,,,,,,64,294,2,5,35,0,44.9
80,Bilal Powell,RB,Jets,,,,,,53,212,1,22,172,0,44.4
80,Jerick McKinnon,RB,Vikings,,,,,,57,239,2,13,85,0,44.4
82,Dri Archer,RB,Steelers,,,,,,20,112,0,25,231,1,40.3
83,Shaun Draughn,RB,Bears,,,,,,64,256,1,10,70,0,38.6
84,DuJuan Harris,RB,Packers,,,,,,50,223,2,4,32,0,37.5
85,Mike James,RB,Buccaneers,,,,,,56,258,1,8,54,0,37.2
86,Denard Robinson,RB,Jaguars,,,,,,42,197,1,13,111,0,36.8
87,Lorenzo Taliaferro,RB,Ravens,,,,,,55,248,1,5,30,0,33.8
88,Chris Polk,RB,Eagles,,,,,,50,230,1,5,38,0,32.8
89,Ka'Deem Carey,RB,Bears,,,,,,48,204,1,7,53,0,31.7
90,De'Anthony Thomas,RB,Chiefs,,,,,,16,83,0,21,172,1,31.5
91,Peyton Hillis,RB,Giants,,,,,,41,146,1,14,95,0,30.1
92,John Kuhn,RB,Packers,,,,,,16,51,1,14,95,1,26.6
93,Travaris Cadet,RB,Saints,,,,,,20,84,0,17,119,1,26.3
94,Marcus Lattimore,RB,49ers,,,,,,35,154,1,3,21,0,23.5
