"name","name_fbg1","pos","team_fbg1","overallRank_fbg1","passAtt_fbg1","passComp_fbg1","passYds_fbg1","passTds_fbg1","passInt_fbg1","rushAtt_fbg1","rushYds_fbg1","rushTds_fbg1","rec_fbg1","recYds_fbg1","recTds_fbg1","twoPts_fbg1","fumbles_fbg1","pts_fbg1"
"ANDREWHAWKINS","Andrew Hawkins","WR","CLE",164,NA,NA,NA,NA,NA,2,8,0,49,627,3,NA,NA,81.5
"CARLOSHYDE","Carlos Hyde","RB","SF",165,NA,NA,NA,NA,NA,115,495,4,11,75,0,NA,NA,81
"KHIRYROBINSON","Khiry Robinson","RB","NO",166,NA,NA,NA,NA,NA,115,477,4,13,90,0,NA,NA,80.7
"CHRISIVORY","Chris Ivory","RB","NYJ",167,NA,NA,NA,NA,NA,125,513,4,7,48,0,NA,NA,80.1
"ODELLBECKHAM","Odell Beckham Jr","WR","NYG",168,NA,NA,NA,NA,NA,0,0,0,42,559,4,NA,NA,79.9
"HEATHMILLER","Heath Miller","TE","PIT",169,NA,NA,NA,NA,NA,NA,NA,NA,53,557,4,NA,NA,79.7
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",170,NA,NA,NA,NA,NA,105,446,3,23,168,0,NA,NA,79.4
"JAREDCOOK","Jared Cook","TE","STL",171,NA,NA,NA,NA,NA,NA,NA,NA,45,545,4,NA,NA,78.5
"SHONNGREENE","Shonn Greene","RB","TEN",172,NA,NA,NA,NA,NA,125,481,4,8,57,0,NA,NA,77.8
"BLAKEBORTLES","Blake Bortles","QB","JAX",173,180,100,1125,6,6,15,32,0,NA,NA,NA,NA,NA,77.45
"MIKEWILLIAMS","Mike Williams","WR","BUF",174,NA,NA,NA,NA,NA,0,0,0,42,521,4,NA,NA,76.1
"TRAVISKELCE","Travis Kelce","TE","KC",175,NA,NA,NA,NA,NA,NA,NA,NA,43,460,5,NA,NA,76
"CHRISTINEMICHAEL","Christine Michael","RB","SEA",176,NA,NA,NA,NA,NA,90,383,4,18,130,0,NA,NA,75.3
"LANCEDUNBAR","Lance Dunbar","RB","DAL",177,NA,NA,NA,NA,NA,90,392,2,24,180,1,NA,NA,75.2
"DONNIEAVERY","Donnie Avery","WR","KC",178,NA,NA,NA,NA,NA,1,4,0,41,562,3,NA,NA,74.6
"COBYFLEENER","Coby Fleener","TE","IND",179,NA,NA,NA,NA,NA,NA,NA,NA,44,502,4,NA,NA,74.2
"GARRETTGRAHAM","Garrett Graham","TE","HOU",180,NA,NA,NA,NA,NA,NA,NA,NA,45,500,4,NA,NA,74
"ERICEBRON","Eric Ebron","TE","DET",181,NA,NA,NA,NA,NA,NA,NA,NA,40,472,4,NA,NA,71.2
"ALLENROBINSON","Allen Robinson","WR","JAX",182,NA,NA,NA,NA,NA,0,0,0,42,512,3,NA,NA,69.2
"JEREMYKERLEY","Jeremy Kerley","WR","NYJ",183,NA,NA,NA,NA,NA,2,8,0,38,502,3,NA,NA,69
