"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","passYdsMedian","passTdsMedian","passIntMedian","rushAttMedian","rushYdsMedian","rushTdsMedian","recMedian","recYdsMedian","recTdsMedian","returnTdsMedian","twoPtsMedian","fumblesMedian","projectedPtsMean","projectedPtsMedian"
"CALVINJOHNSON","Calvin Johnson","WR","DET",12,263.496983453689,217.715,271.25,268.75,280,265.75,268.125,269.125,256.625,257.375,256,281,265.75,213,277.875,NA,237.6,0,0,0,0,0,0,0,0,0,94.0499886301739,1551.17658479138,11.9999854796595,0,0.3,1.00000084106367,259.38775,263.496983453689
"TOMBRADY","Tom Brady","QB","NE",13,262.910264082943,197.2,279.42,284.28,256.58,NA,267.994,275.5,255.84,261.22,280.2,261.84,285.1,260.94,280.68,NA,276.8,629.349996428457,389.75,236.5,4461.5,30.0000100834499,11.4999732186101,28.5000443244026,31.5000344929702,1.05000515912622,0,0,0,0,0,3.49996366636031,263.898207142857,262.910264082943
"TONYROMO","Tony Romo","QB","DAL",14,261.301580455059,276.46,277.94,260.28,256.06,NA,259.41,240.54,250.16,253.4,251,252.28,281.9,273.56,275.68,NA,265.88,596.249976515185,380.625,216.75,4423.67418090414,30.9999609967306,14.5000184845315,22.9999628159218,42.2531092318247,0.999924841012928,0,0,0,0,0.7,2.5900117612315,260.447619047619,261.301580455059
"LESEANMCCOY","LeSean McCoy","RB","PHI",15,261.223528681493,308.915,289.725,244.25,254.95,264.875,262.8025,281.175,270.1,249.7,250.5,254.425,255.125,274.5,264.45,NA,237.325,0,0,0,0,0,0,293.361082175926,1420.51124014763,9.71505131085405,44.4999940564192,404.475,2.37047890642012,0,1.05,2.00005054563808,262.968177083333,261.223528681493
"RUSSELLWILSON","Russell Wilson","QB","SEA",16,260.168363296631,323.58,268.74,247,268.26,NA,257.402,275.88,266.14,273.64,278.6,251.46,287,233.84,279.58,NA,242.54,435.000002586906,276.825,157.000070159948,3486.95,25.5000204877908,10.5976935455924,87.0000027770554,474.836934434177,2.49992901559005,0,0,0,0,0,3.99996851823775,263.047288095238,260.168363296631
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",17,251.181561348738,305.78,249,261.25,253,254.625,254.9,268.25,259.125,241.125,244.5,246.625,271.75,195.5,252.175,NA,229.6,0,0,0,0,0,0,0,0,0,94.0000148879363,1430.25,12.5000176645287,0,0.2,0.999931546144789,252.283104166667,251.181561348738
"PHILIPRIVERS","Philip Rivers","QB","SD",18,250.93480300012,261.83,250.18,254.44,256.18,NA,248.514,230.6,249.26,247,243,250.92,259.9,268.82,260.02,NA,242.45,556,365,187.499950652283,4348,29.4499621482087,13.4999956950539,27.4999788588307,48.999981907879,0.67,0,0,0,0,0.7,3.53501889944684,249.505183333333,250.93480300012
"MATTFORTE","Matt Forte","RB","CHI",19,249.884743398895,260.9,270.7,249.1,254.7,254.85,253.305,243.525,244.125,234.425,250.625,239.5,250.625,282.475,250.75,NA,236.55,0,0,0,0,0,0,275.260080645161,1246.45,7.99998169001149,65.4999717736144,531.51722009731,2.50001987535393,0,1.05,2.09997283515361,250.141395833333,249.884743398895
"JAYCUTLER","Jay Cutler","QB","CHI",20,242.965559885988,248.25,276.98,257.68,235.72,NA,252.674,252.84,243.66,245.88,248,239.98,249.5,237.74,260.54,NA,236.68,547.500028567749,341.058470836717,209.5,4068.5,28.4999618139942,15.4999311507519,32.000015293274,158.25,1.00004508852609,0,0,0,0,0.7,3.49992148296322,242.969576190476,242.965559885988
"ADRIANPETERSON","Adrian Peterson","RB","MIN",21,241.221933044024,226.935,250.8,223.825,262.625,244.025,240.2325,244.5,241.6,241.775,252.25,236.9,246.75,244.9,253.125,NA,236.125,0,0,0,0,0,0,299.999983685518,1393.32033021171,11.4999624248865,38.5000296684999,256.066453519598,1.31611792812559,0,1,3.00496292838969,241.684177083333,241.221933044024
"BENROETHLISBERGER","Ben Roethlisberger","QB","PIT",22,238.885899195293,203.96,264.84,254.74,230.76,NA,247.162,245.84,246.68,237.12,247.2,233.7,249,255.94,253.96,NA,220.14,565.75,356.325,207.6,4123.4,27.0000375307646,13.0000323314513,28.0000076763538,97.4999778443309,0.999974713692504,0,0,0,0,0.6,4,239.273609523809,238.885899195293
"ALEXSMITH","Alex Smith","QB","KC",23,235.974343049213,255.3,243.96,233.66,211.58,NA,233.614,247.04,258.06,233.98,243.8,235.96,248.6,221.12,259.74,NA,249.62,534.999944889052,322.025,209.3,3559.13034285591,22.83188855822,9.66514638285682,64.9999639054674,323.468635130695,1.40501812618425,0,0,0,0,0.5,3.49998600650269,236.202826190476,235.974343049213
"DEZBRYANT","Dez Bryant","WR","DAL",24,235.533717645777,331.07,232.375,238.125,238.675,230.15,231.175,252.625,225.25,228.275,233.75,233.1,244.5,196.75,248.075,NA,241.825,0,0,0,0,0,0,1.00000080706097,5.84923401461228,0,95.9999554844073,1339.5,11.8768608506535,0,0,1.24995695320179,238.942,235.533717645777
"EDDIELACY","Eddie Lacy","RB","GB",25,228.477420870108,246.43,250.825,200.675,225.625,226.475,222.175,249.6,214,220.15,229.75,225.15,242.375,255.6,240.6,NA,230.45,0,0,0,0,0,0,286.56263979809,1255.19874157098,10.6615610035198,39.9999485805318,295.50009304416,1.00009684904979,0,0.2,1.44997067764252,230.84,228.477420870108
"AJGREEN","A.J. Green","WR","CIN",26,228.163913398433,262.985,226.75,227,233,229.25,227.4,237.075,223.375,227.375,233.75,234.45,230.75,189.25,252.375,NA,211.7,0,0,0,0,0,0,0,11.5120964065968,0,92.499964579335,1335.25,10.5000474902098,0,0,0.964610394495321,230.051395833333,228.163913398433
"ANDYDALTON","Andy Dalton","QB","CIN",27,228.005603951815,242.28,245.26,236.22,231.18,NA,233.2,227.16,230.6,233.56,241.8,236.44,232,245,251.2,NA,224.4,537,331.606859565879,206.05,3848.25,27.5000898267088,16.5000142314111,51.0000358376668,150.000059937148,1.50005353075144,0,0,0,0,0,3.47501327966994,232.68505952381,228.005603951815
"JULIOJONES","Julio Jones","WR","ATL",28,226.897147088917,250.31,224.25,238.125,229.275,230.975,236.7375,242.075,243.825,213.975,217.5,227.75,215.25,222.875,237.725,NA,226.095,0,0,0,0,0,0,2.31240900088311,17.5999907813481,0,92.8000310772092,1359.49991137587,9.69995451360158,0,0,1.00002266427003,229.332239583333,226.897147088917
"JIMMYGRAHAM","Jimmy Graham","TE","NO",29,221.265975857477,292.36,232.625,232.75,217.375,217.375,224.9375,252.5,209.25,213.5,224.25,212.125,215.75,188.25,221.125,NA,211.8,0,0,0,0,0,0,0,0,0,87.9999856496864,1164.96480406386,12.950062558249,0,0,0.685,224.89253125,221.265975857477
"RYANTANNEHILL","Ryan Tannehill","QB","MIA",30,220.471507295718,198.59,235.98,244.76,214.78,NA,226.758,204.64,218.9,220.6,241.4,225,229,233.1,252.82,NA,229.24,560.850025789679,339.25,222.000031968307,3879,23.5000388336092,15.7999922210695,42.2500314377695,211.500036756323,1.49998924570067,0,0,0,0,0,3.81287017511555,223.145557142857,220.471507295718
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",31,219.977956533815,231.75,220.375,228.25,225.75,224.25,221.0875,241,206.75,213.75,221.25,208.95,227.75,174.75,234.75,NA,222.4,0,0,0,0,0,0,0,0,0,99.9999521263057,1273.75,10.499992218174,0,0.3,0.946915591742981,220.881322916667,219.977956533815
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",32,216.411470246622,217.57,215.125,200,223,217.625,215.6625,212.775,205.325,209.725,214.625,202.925,214.25,180,217.75,NA,203.235,0,0,0,0,0,0,11.4999912635844,74.9999400311848,0.749987501646415,84.0000420984371,1280.375,7.99998519715948,0,0.2,1.34507831644393,211.73615625,216.411470246622
"ANTONIOBROWN","Antonio Brown","WR","PIT",33,215.656513981579,195.48,220.875,202.375,226.075,218.375,218.35,213.55,221.65,209.35,209.5,203.85,221.375,204.625,222.525,NA,198.185,0,0,0,0,0,0,6.0000480186805,31.472000204692,0,100.499987547811,1316.07509653832,7.99996765224581,0.5,0,0.999959673218387,215.306833333333,215.656513981579
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",34,214.818484290671,301.98,249.525,196.825,206.025,216.75,216.46,219.45,222.875,199.5,210.5,207.525,211.625,242.45,213.925,NA,204.525,0,0,0,0,0,0,232.220451656096,1110.75,8.50000435902646,53.5000462234669,394.75,1.50000078419608,0,0.2,2.00009885622134,217.867791666667,214.818484290671
"JORDYNELSON","Jordy Nelson","WR","GB",35,214.291380871953,219.035,219,223,220.75,216.125,215.925,217.575,198.875,222,215.25,213.375,228.5,193.375,222.5,NA,197.25,0,0,0,0,0,0,0,0,0,82.5000032787038,1276.32598054256,9.50008305893201,0,0,0.749955016486618,214.777520833333,214.291380871953
