"name","pos","name_fftoday","team_fftoday","positionRank_fftoday","overallRank_fftoday","pts_fftoday","passAtt_fftoday","passComp_fftoday","passYds_fftoday","passTds_fftoday","passInt_fftoday","rushAtt_fftoday","rushYds_fftoday","rushTds_fftoday","rec_fftoday","recYds_fftoday","recTds_fftoday","returnTds_fftoday","twoPts_fftoday","fumbles_fftoday"
"MICHAELVICK","QB","Michael Vick","PHI",1,1,397.1,457,278,3652,25,13,99,725,7,NA,NA,NA,NA,NA,NA
"AARONRODGERS","QB","Aaron Rodgers","GB",2,2,375.1,536,343,4287,29,12,58,267,3,NA,NA,NA,NA,NA,NA
"DREWBREES","QB","Drew Brees","NO",3,3,357.9,630,403,4475,33,18,8,21,0,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","Tom Brady","NE",4,4,352.1,577,369,4268,32,10,24,47,1,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","Philip Rivers","SD",5,5,342.4,541,346,4436,29,14,33,46,0,NA,NA,NA,NA,NA,NA
"TONYROMO","QB","Tony Romo","DAL",6,6,331.6,546,344,4260,26,13,21,86,1,NA,NA,NA,NA,NA,NA
"MATTSCHAUB","QB","Matt Schaub","HOU",7,7,319,564,361,4288,25,15,18,46,0,NA,NA,NA,NA,NA,NA
"ELIMANNING","QB","Eli Manning","NYG",8,8,313,575,340,3913,28,18,24,53,0,NA,NA,NA,NA,NA,NA
"JOSHFREEMAN","QB","Josh Freeman","TB",9,9,304.7,482,299,3329,23,12,66,342,2,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB","Jay Cutler","CHI",10,10,299.9,482,299,3567,24,17,46,195,1,NA,NA,NA,NA,NA,NA
"JOEFLACCO","QB","Joe Flacco","BAL",11,11,298.3,517,316,3777,24,11,34,74,1,NA,NA,NA,NA,NA,NA
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","BUF",12,12,297.2,509,305,3459,22,16,56,302,1,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",13,13,296.3,451,284,3562,23,15,49,142,2,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","Matt Ryan","ATL",14,14,294.5,530,318,3765,25,14,19,62,0,NA,NA,NA,NA,NA,NA
"SAMBRADFORD","QB","Sam Bradford","STL",15,15,294.4,571,354,3825,23,15,24,51,1,NA,NA,NA,NA,NA,NA
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",16,16,287,530,323,3552,23,16,39,114,1,NA,NA,NA,NA,NA,NA
"MATTCASSEL","QB","Matt Cassel","KC",17,17,285.4,543,320,3475,23,12,37,136,1,NA,NA,NA,NA,NA,NA
"ARIANFOSTER","RB","Arian Foster","HOU",1,18,278.8,NA,NA,NA,NA,NA,306,1376,13,60,512,2,NA,NA,NA
"MARKSANCHEZ","QB","Mark Sanchez","NYJ",18,19,268.7,524,299,3405,19,14,29,104,2,NA,NA,NA,NA,NA,NA
"ADRIANPETERSON","RB","Adrian Peterson","MIN",2,20,258.7,NA,NA,NA,NA,NA,314,1415,13,36,332,1,NA,NA,NA
"JASONCAMPBELL","QB","Jason Campbell","OAK",19,21,251.8,443,261,3009,18,14,51,233,1,NA,NA,NA,NA,NA,NA
