"name","year","pos","team","pick","overallRank","positionRank"
"TRAVISTAYLOR",2003,"WR","BAL",100.35,105,35
"CHRISBROWN",2003,"RB","TEN",101.03,106,39
"ANDREJOHNSON",2003,"WR","HOU",101.81,107,36
"JEROMEBETTIS",2003,"RB","PIT",101.85,108,40
"ALGECRUMPLER",2003,"TE","ATL",101.86,109,8
"BRADJOHNSON",2003,"QB","TBB",102.51,110,19
"MIKEALSTOTT",2003,"RB","TBB",102.68,111,41
"TAISTREETS",2003,"WR","DET",104.33,112,37
"CARSONPALMER",2003,"QB","CIN",106.39,113,20
"ANQUANBOLDIN",2003,"WR","ARI",106.92,114,38
"JAMESTHRASH",2003,"WR","WAS",107.37,115,39
"BYRONLEFTWICH",2003,"QB","JAC",109.55,116,21
"MARCELSHIPP",2003,"RB","ARI",110.35,117,42
"REGGIEWAYNE",2003,"WR","IND",111.31,118,40
"JOEYGALLOWAY",2003,"WR","TBB",111.35,119,41
"ARTOSEPINNER",2003,"RB","DET",111.55,120,43
"MARTINGRAMATICA",2003,"K","TBB",111.81,121,2
"MOEWILLIAMS",2003,"RB","MIN",111.98,122,44
"LARRYJOHNSON",2003,"RB","KCC",111.99,123,45
"TYRONECALICO",2003,"WR","TEN",112.83,124,42
"MUHSINMUHAMMAD",2003,"WR","CAR",112.98,125,43
"KELLYHOLCOMB",2003,"QB","CLE",113.63,126,22
"REXGROSSMAN",2003,"QB","CHI",113.71,127,23
"ATLANTAFALCONS",2003,"Def","ATL",114.03,128,7
"NEWENGLANDPATRIOTS",2003,"Def","NEP",114.99,129,8
"DREWBREES",2003,"QB","SDC",115.57,130,24
"SANTANAMOSS",2003,"WR","NYJ",115.66,131,44
"JASONELAM",2003,"K","DEN",115.69,132,3
"KEVINFAULK",2003,"RB","NEP",116.19,133,46
"KELLEYWASHINGTON",2003,"WR","CIN",116.46,134,45
"MICHAELPITTMAN",2003,"RB","TBB",117.75,135,47
"PATRICKRAMSEY",2003,"QB","WAS",118.08,136,25
"GREENBAYPACKERS",2003,"Def","GBP",118.2,137,9
"SEBASTIANJANIKOWSKI",2003,"K","OAK",118.94,138,4
"MARCBOERIGTER",2003,"WR","KCC",119.17,139,46
"QUENTINGRIFFIN",2003,"RB","DEN",119.3,140,48
"ROBERTFERGUSON",2003,"WR","GBP",120.18,141,47
"JAYFEELY",2003,"K","ATL",120.8,142,5
"TIMBROWN",2003,"WR","OAK",121.52,143,48
"DOUGJOLLEY",2003,"TE","OAK",123.15,144,9
"MIKEVANDERJAGT",2003,"K","IND",123.38,145,6
"JUSTINFARGAS",2003,"RB","OAK",123.47,146,49
"LAMONTJORDAN",2003,"RB","NYJ",124,147,50
"THOMASJONES",2003,"RB","CHI",124.24,148,51
"MUSASMITH",2003,"RB","BAL",124.33,149,52
"IKEHILLIARD",2003,"WR","NYG",124.69,150,49
"TENNESSEETITANS",2003,"Def","TEN",124.83,151,10
"BRYANTJOHNSON",2003,"WR","ARI",125.03,152,50
"JASONWITTEN",2003,"TE","DAL",125.32,153,10
"BILLYMILLER",2003,"TE","HOU",125.53,154,11
"JAVONWALKER",2003,"WR","GBP",126,155,51
"KEVINJOHNSON",2003,"WR","JAC",126.9,156,52
"KYLEBOLLER",2003,"QB","BAL",127.07,157,26
"OAKLANDRAIDERS",2003,"Def","OAK",127.13,158,11
"ANTONIOBRYANT",2003,"WR","DAL",127.49,159,53
"JOEYHARRINGTON",2003,"QB","DET",127.87,160,27
"BRIANWESTBROOK",2003,"RB","PHI",128.41,161,53
"ADRIANPETERSON",2003,"RB","CHI",128.48,162,54
"STEVESMITH",2003,"WR","CAR",128.87,163,54
"MARCBULGER",2003,"QB","STL",129.02,164,28
"BRANDONLLOYD",2003,"WR","SFO",129.35,165,55
"JUSTINMCCAREINS",2003,"WR","NYJ",129.61,166,56
"LABRANDONTOEFIELD",2003,"RB","JAC",130.24,167,55
"JAKEDELHOMME",2003,"QB","CAR",131.97,168,29
"TONYHOLLINGS",2003,"RB","HOU",132.07,169,56
"JAYFIEDLER",2003,"QB","MIA",132.14,170,30
"JOHNCARNEY",2003,"K","NOS",132.49,171,7
"TAYLORJACOBS",2003,"WR","WAS",132.53,172,57
"ADAMVINATIERI",2003,"K","NEP",133.15,173,8
"LAMARGORDON",2003,"RB","STL",133.58,174,57
"NEWYORKGIANTS",2003,"Def","NYG",134.19,175,12
"KEENANMCCARDELL",2003,"WR","TBB",134.94,176,58
"KORDELLSTEWART",2003,"QB","FA",135.6,177,31
"LADELLBETTS",2003,"RB","WAS",136.76,178,58
"DALLASCLARK",2003,"TE","IND",137.25,179,12
"DAVIDCARR",2003,"QB","HOU",137.32,180,32
"JONKITNA",2003,"QB","CIN",137.4,181,33
"DESHAUNFOSTER",2003,"RB","CAR",137.58,182,59
"EDMCCAFFREY",2003,"WR","FA",138.25,183,59
"NAJEHDAVENPORT",2003,"RB","GBP",138.64,184,60
"LJSMITH",2003,"TE","PHI",138.83,185,13
"DOUGCHAPMAN",2003,"RB","SDC",138.88,186,61
"RYANLONGWELL",2003,"K","GBP",140.68,187,9
"WAYNECHREBET",2003,"WR","NYJ",140.74,188,60
"CHRISSIMMS",2003,"QB","TBB",141.29,189,34
"JEFFWILKINS",2003,"K","STL",141.6,190,10
"OLANDISGARY",2003,"RB","DET",142.01,191,62
"JOHNNIEMORTON",2003,"WR","KCC",142.01,191,61
"EDDIEKENNISON",2003,"WR","KCC",142.21,193,62
"STLOUISRAMS",2003,"Def","STL",142.3,194,13
"DALLASCOWBOYS",2003,"Def","DAL",143.16,195,14
"BRIANFINNERAN",2003,"WR","ATL",144.62,196,63
"WESLEYWALLS",2003,"TE","GBP",144.63,197,14
"DWAYNEBATES",2003,"WR","FA",144.74,198,64
"PETERWARRICK",2003,"WR","CIN",146,199,65
"STEPHENALEXANDER",2003,"TE","FA",146.13,200,15
"KANSASCITYCHIEFS",2003,"Def","KCC",146.63,201,15
"COREYBRADFORD",2003,"WR","HOU",146.97,202,66
"NEWORLEANSSAINTS",2003,"Def","NOS",147.59,203,16
"DREWBENNETT",2003,"WR","TEN",147.62,204,67
"NATEBURLESON",2003,"WR","MIN",147.7,205,68
"BETHELJOHNSON",2003,"WR","NEP",148.84,206,69
"MARKBRUNELL",2003,"QB","WAS",148.89,207,35
"DANTEHALL",2003,"WR","KCC",150.08,208,70
"QUINCYCARTER",2003,"QB","DAL",150.1,209,36
"DEIONBRANCH",2003,"WR","NEP",150.14,210,71
"DERRIUSTHOMPSON",2003,"WR","MIA",150.45,211,72
"OLINDOMARE",2003,"K","MIA",150.68,212,11
"CHADLEWIS",2003,"TE","PHI",150.99,213,16
"WASHINGTONREDSKINS",2003,"Def","WAS",151,214,17
"FRANKWYCHECK",2003,"TE","FA",151.24,215,17
"ANTWAANRANDLEEL",2003,"WR","PIT",151.44,216,73
"MAURICEMORRIS",2003,"RB","SEA",151.61,217,63
"DENNISNORTHCUTT",2003,"WR","CLE",151.69,218,74
"DOUGJOHNSON",2003,"QB","ATL",152.07,219,37
"JJSTOKES",2003,"WR","NEP",152.48,220,75
"BUFFALOBILLS",2003,"Def","BUF",153.31,221,18
"MICHAELWILEY",2003,"RB","FA",154.09,222,64
"JERRAMYSTEVENS",2003,"TE","SEA",154.19,223,18
"DAVIDPATTEN",2003,"WR","NEP",154.4,224,76
"JAMELWHITE",2003,"RB","TBB",154.65,225,65
"DANIELGRAHAM",2003,"TE","NEP",155.03,226,19
"VINNYTESTAVERDE",2003,"QB","NYJ",155.18,227,38
"MORTENANDERSEN",2003,"K","KCC",155.62,228,12
"INDIANAPOLISCOLTS",2003,"Def","IND",156.31,229,19
"DENVERBRONCOS",2003,"Def","DEN",156.52,230,20
"JEFFREED",2003,"K","PIT",157.19,231,13
"JACKSONVILLEJAGUARS",2003,"Def","JAC",157.83,232,21
"JOEJUREVICIUS",2003,"WR","TBB",157.87,233,77
"CHICAGOBEARS",2003,"Def","CHI",158.51,234,22
"TEYOJOHNSON",2003,"TE","OAK",159.28,235,20
"ZACKCROCKETT",2003,"RB","OAK",159.83,236,66
"TERRYGLENN",2003,"WR","DAL",159.96,237,78
"MARCUSROBINSON",2003,"WR","MIN",159.96,237,78
"JEFFBLAKE",2003,"QB","FA",160.12,239,39
"SHAWNBRYSON",2003,"RB","DET",160.23,240,67
"SEATTLESEAHAWKS",2003,"Def","SEA",160.84,241,23
"MIKEANDERSON",2003,"RB","DEN",161.1,242,68
"DESMONDCLARK",2003,"TE","CHI",161.1,242,21
"SANFRANCISCO49ERS",2003,"Def","SFO",161.82,244,24
"DAVIDTERRELL",2003,"WR","CHI",162.17,245,80
"DORSEYLEVENS",2003,"RB","FA",164.49,246,69
"SANDIEGOCHARGERS",2003,"Def","SDC",164.54,247,25
"FREDDIEJONES",2003,"TE","ARI",164.6,248,22
"NEWYORKJETS",2003,"Def","NYJ",165.34,249,26
"TIMCOUCH",2003,"QB","CLE",165.6,250,40
"ANTHONYBECHT",2003,"TE","NYJ",166.17,251,23
"CHRISTIANFAURIA",2003,"TE","NEP",166.28,252,24
"DOMINICRHODES",2003,"RB","IND",166.91,253,70
"KYLEBRADY",2003,"TE","JAC",167.05,254,25
"TYRONEWHEATLEY",2003,"RB","OAK",167.41,255,71
"MIKHAELRICKS",2003,"TE","DET",168.92,256,26
"FREDDIEMITCHELL",2003,"WR","PHI",169.37,257,81
"GARYANDERSON",2003,"K","TEN",170.93,258,14
"KEVINCURTIS",2003,"WR","STL",171.52,259,82
"MIKEHOLLIS",2003,"K","FA",171.56,260,15
"CLEVELANDBROWNS",2003,"Def","CLE",171.78,261,27
"BILLSCHROEDER",2003,"WR","FA",172.05,262,83
"HOUSTONTEXANS",2003,"Def","HOU",173.27,263,28
"JOSHBROWN",2003,"K","SEA",174.23,264,16
"ERICJOHNSON",2003,"TE","SFO",175.11,265,27
"MATTSTOVER",2003,"K","BAL",175.51,266,17
"ANDREDAVIS",2003,"WR","CLE",176.59,267,84
"RECHECALDWELL",2003,"WR","SDC",176.76,268,85
"BYRONCHAMBERLAIN",2003,"TE","WAS",178.27,269,28
"JOENEDNEY",2003,"K","TEN",178.65,270,18
"JAYRIEMERSMA",2003,"TE","PIT",178.7,271,29
"JOHNKASAY",2003,"K","CAR",178.9,272,19
"PAULEDINGER",2003,"K","CHI",179.34,273,20
"TIMRATTAY",2003,"QB","SFO",180.57,274,41
"ITULAMILI",2003,"TE","SEA",180.72,275,30
"KENNYWATSON",2003,"RB","CIN",181.27,276,72
"CHRISREDMAN",2003,"QB","BAL",182.14,277,42
"RODNEYPEETE",2003,"QB","CAR",182.34,278,43
"ERNIECONWELL",2003,"TE","NOS",182.41,279,31
"BRIANGRIESE",2003,"QB","TBB",182.97,280,44
"JAMESMUNGRO",2003,"RB","IND",184.06,281,73
"AARONSTECKER",2003,"RB","NOS",185.28,282,74
"JEFFCHANDLER",2003,"K","JAC",185.6,283,21
"RONDAYNE",2003,"RB","NYG",185.83,284,75
"TIMDWIGHT",2003,"WR","SDC",185.93,285,86
"DEZWHITE",2003,"WR","ATL",186.26,286,87
"ROBERTHOLCOMBE",2003,"RB","TEN",186.6,287,76
"AZZAHIRHAKIM",2003,"WR","DET",187.54,288,88
"BILLYGRAMATICA",2003,"K","FA",187.73,289,22
"JOHNHALL",2003,"K","WAS",188.06,290,23
"JASONHANSON",2003,"K","DET",189.42,291,24
"BRIANGILMORE",2003,"WR","ARI",189.56,292,89
"RIANLINDELL",2003,"K","BUF",189.92,293,25
"RICHIEANDERSON",2003,"RB","DAL",190.96,294,77
"KENDILGER",2003,"TE","TBB",192.63,295,32
"PHILDAWSON",2003,"K","CLE",197.27,296,26
"CAMERONCLEELAND",2003,"TE","STL",198.43,297,33
"JESSECHATMAN",2003,"RB","SDC",199.39,298,78
"TRAVISMINOR",2003,"RB","MIA",199.74,299,79
"JABARGAFFNEY",2003,"WR","HOU",199.96,300,90
"STEVECHRISTIE",2003,"K","SDC",200.13,301,27
"BOBBYSHAW",2003,"WR","BUF",200.65,302,91
"JONATHANWELLS",2003,"RB","HOU",201.69,303,80
"JIMKLEINSASSER",2003,"TE","MIN",203.58,304,34
"AARONELLING",2003,"K","MIN",210.07,305,28
"BRANDONMANUMALEUNA",2003,"TE","STL",211.84,306,35
"DERRICKBLAYLOCK",2003,"RB","KCC",212.12,307,81
"CHESTERTAYLOR",2003,"RB","BAL",216.25,308,82
"JEROMEPATHON",2003,"WR","NOS",217.42,309,92
"DOUGBRIEN",2003,"K","NYJ",221.11,310,29
"KRISBROWN",2003,"K","HOU",233.74,311,30
