"name","year","pos","team","pick","overallRank","positionRank"
"ADRIANPETERSON",2011,"RB","MIN",2.49,1,1
"ARIANFOSTER",2011,"RB","HOU",4.83,2,2
"RAYRICE",2011,"RB","BAL",5.74,3,3
"CHRISJOHNSON",2011,"RB","TEN",5.91,4,4
"JAMAALCHARLES",2011,"RB","KCC",6.18,5,5
"AARONRODGERS",2011,"QB","GBP",7.62,6,1
"LESEANMCCOY",2011,"RB","PHI",8.73,7,6
"MICHAELVICK",2011,"QB","PHI",9.81,8,2
"ANDREJOHNSON",2011,"WR","HOU",12.51,9,1
"MAURICEJONESDREW",2011,"RB","JAC",13.36,10,7
"RASHARDMENDENHALL",2011,"RB","PIT",14.09,11,8
"CALVINJOHNSON",2011,"WR","DET",14.6,12,2
"RODDYWHITE",2011,"WR","ATL",16.21,13,3
"DARRENMCFADDEN",2011,"RB","OAK",16.8,14,9
"TOMBRADY",2011,"QB","NEP",17.46,15,3
"DREWBREES",2011,"QB","NOS",17.55,16,4
"LARRYFITZGERALD",2011,"WR","ARI",17.62,17,4
"FRANKGORE",2011,"RB","SFO",20.93,18,10
"PHILIPRIVERS",2011,"QB","SDC",20.97,19,5
"MICHAELTURNER",2011,"RB","ATL",21.08,20,11
"MATTFORTE",2011,"RB","CHI",21.32,21,12
"GREGJENNINGS",2011,"WR","GBP",22.38,22,5
"STEVENJACKSON",2011,"RB","STL",22.45,23,13
"HAKEEMNICKS",2011,"WR","NYG",23.44,24,6
"VINCENTJACKSON",2011,"WR","SDC",25.15,25,7
"PEYTONHILLIS",2011,"RB","CLE",25.78,26,14
"MIKEWALLACE",2011,"WR","PIT",26.98,27,8
"DESEANJACKSON",2011,"WR","PHI",30.41,28,9
"MILESAUSTIN",2011,"WR","DAL",30.78,29,10
"REGGIEWAYNE",2011,"WR","IND",31.81,30,11
"DWAYNEBOWE",2011,"WR","KCC",34.29,31,12
"LEGARRETTEBLOUNT",2011,"RB","TBB",34.89,32,15
"AHMADBRADSHAW",2011,"RB","NYG",36.05,33,16
"ANTONIOGATES",2011,"TE","SDC",36.88,34,1
"PEYTONMANNING",2011,"QB","IND",38.62,35,6
"TONYROMO",2011,"QB","DAL",38.68,36,7
"JAHVIDBEST",2011,"RB","DET",38.8,37,17
"DEZBRYANT",2011,"WR","DAL",40.47,38,13
"WESWELKER",2011,"WR","NEP",40.72,39,14
"FELIXJONES",2011,"RB","DAL",41.22,40,18
"MIKEWILLIAMS",2011,"WR","TBB",41.75,41,15
"MARKINGRAM",2011,"RB","NOS",43.76,42,19
"RYANMATHEWS",2011,"RB","SDC",43.86,43,20
