"name","year","pos","team","pick","overallRank","positionRank"
"LADAINIANTOMLINSON",2006,"RB","SDC",2.84,1,1
"LARRYJOHNSON",2006,"RB","KCC",3.29,2,2
"SHAUNALEXANDER",2006,"RB","SEA",3.59,3,3
"TIKIBARBER",2006,"RB","FA",7.42,4,4
"PEYTONMANNING",2006,"QB","IND",8.05,5,1
"STEVENJACKSON",2006,"RB","STL",8.19,6,5
"EDGERRINJAMES",2006,"RB","ARI",9.34,7,6
"RUDIJOHNSON",2006,"RB","CIN",9.35,8,7
"RONNIEBROWN",2006,"RB","MIA",10.34,9,8
"CLINTONPORTIS",2006,"RB","WAS",11.79,10,9
"CARNELLWILLIAMS",2006,"RB","TBB",12.72,11,10
"LAMONTJORDAN",2006,"RB","OAK",13.63,12,11
"STEVESMITH",2006,"WR","CAR",15.44,13,1
"CHADJOHNSON",2006,"WR","CIN",16.61,14,2
"WILLISMCGAHEE",2006,"RB","BUF",18.71,15,12
"BRIANWESTBROOK",2006,"RB","PHI",19.94,16,13
"REGGIEBUSH",2006,"RB","NOS",20.31,17,14
"LARRYFITZGERALD",2006,"WR","ARI",20.61,18,3
"MARVINHARRISON",2006,"WR","IND",20.75,19,4
"TORRYHOLT",2006,"WR","STL",21.35,20,5
"WILLIEPARKER",2006,"RB","PIT",24.28,21,15
"TERRELLOWENS",2006,"WR","DAL",24.33,22,6
"CARSONPALMER",2006,"QB","CIN",25.76,23,2
"TOMBRADY",2006,"QB","NEP",26.19,24,3
"RANDYMOSS",2006,"WR","OAK",26.25,25,7
"ANQUANBOLDIN",2006,"WR","ARI",28.02,26,8
"ANTONIOGATES",2006,"TE","SDC",30.15,27,1
"CHRISCHAMBERS",2006,"WR","MIA",30.29,28,9
"REGGIEWAYNE",2006,"WR","IND",31.27,29,10
"JULIUSJONES",2006,"RB","DAL",31.9,30,16
"MATTHASSELBECK",2006,"QB","SEA",33.85,31,4
"WARRICKDUNN",2006,"RB","ATL",34,32,17
"HINESWARD",2006,"WR","PIT",35.6,33,11
"KEVINJONES",2006,"RB","DET",35.91,34,18
"SANTANAMOSS",2006,"WR","WAS",38.63,35,12
"CHESTERTAYLOR",2006,"RB","MIN",39.24,36,19
