"name","year","pos","team","pick","overallRank","positionRank"
"MARSHALLFAULK",2001,"RB","STL",2.05,1,1
"EDGERRINJAMES",2001,"RB","IND",2.53,2,2
"DAUNTECULPEPPER",2001,"QB","MIN",5.05,3,1
"KURTWARNER",2001,"QB","STL",6.43,4,2
"EDDIEGEORGE",2001,"RB","TEN",6.95,5,3
"FREDTAYLOR",2001,"RB","JAC",7.08,6,4
"RANDYMOSS",2001,"WR","MIN",7.6,7,1
"PEYTONMANNING",2001,"QB","IND",8.54,8,3
"STEPHENDAVIS",2001,"RB","WAS",11.1,9,5
"RICKYWILLIAMS",2001,"RB","MIA",11.91,10,6
"MARVINHARRISON",2001,"WR","IND",12.83,11,2
"CURTISMARTIN",2001,"RB","NYJ",16.07,12,7
"TERRELLOWENS",2001,"WR","SFO",16.28,13,3
"COREYDILLON",2001,"RB","CIN",18.38,14,8
"AHMANGREEN",2001,"RB","GBP",18.78,15,9
"TORRYHOLT",2001,"WR","STL",20.87,16,4
"ISAACBRUCE",2001,"WR","STL",21.02,17,5
"JEFFGARCIA",2001,"QB","SFO",22.55,18,4
"LAMARSMITH",2001,"RB","CAR",25.05,19,10
"BRIANGRIESE",2001,"QB","DEN",25.31,20,5
"RODSMITH",2001,"WR","DEN",25.68,21,6
"DONOVANMCNABB",2001,"QB","PHI",25.89,22,6
"DUCESTALEY",2001,"RB","PHI",28.41,23,11
"TONYGONZALEZ",2001,"TE","KCC",28.73,24,1
"JAMESSTEWART",2001,"RB","DET",29.55,25,12
"JAMALANDERSON",2001,"RB","ATL",30.44,26,13
"MICHAELBENNETT",2001,"RB","MIN",32.64,27,14
"WARRICKDUNN",2001,"RB","ATL",33.43,28,15
"RICHGANNON",2001,"QB","OAK",33.45,29,7
"ERICMOULDS",2001,"WR","BUF",33.84,30,7
"CRISCARTER",2001,"WR","FA",34.19,31,8
"RICKYWATTERS",2001,"RB","FA",34.36,32,16
"TERRELLDAVIS",2001,"RB","DEN",35.67,33,17
"BRETTFAVRE",2001,"QB","GBP",36.91,34,8
"DERRICKALEXANDER",2001,"WR","KCC",36.94,35,9
"JOEHORN",2001,"WR","NOS",37.2,36,10
"EDMCCAFFREY",2001,"WR","DEN",38.2,37,11
"TIMBROWN",2001,"WR","OAK",38.51,38,12
"TRENTGREEN",2001,"QB","KCC",39.33,39,9
"KEYSHAWNJOHNSON",2001,"WR","TBB",39.83,40,13
"LADAINIANTOMLINSON",2001,"RB","SDC",39.91,41,18
"JIMMYSMITH",2001,"WR","JAC",40.95,42,14
"JEROMEBETTIS",2001,"RB","PIT",44.15,43,19
"TIKIBARBER",2001,"RB","NYG",44.76,44,20
"EMMITTSMITH",2001,"RB","DAL",45.03,45,21
"AARONBROOKS",2001,"QB","NOS",45.59,46,10
"DAVIDBOSTON",2001,"WR","ARI",46.33,47,15
"ANTONIOFREEMAN",2001,"WR","GBP",47.9,48,16
"AMANITOOMER",2001,"WR","NYG",51.25,49,17
"JAMALLEWIS",2001,"RB","BAL",52.37,50,22
"SHANNONSHARPE",2001,"TE","DEN",56.59,51,2
"PRIESTHOLMES",2001,"RB","KCC",57.29,52,23
"MUHSINMUHAMMAD",2001,"WR","CAR",58.41,53,18
"MICHAELWESTBROOK",2001,"WR","FA",58.75,54,19
"CHARLIEGARNER",2001,"RB","OAK",60.77,55,24
"GERMANECROWELL",2001,"WR","DET",60.79,56,20
"ELVISGRBAC",2001,"QB","FA",60.92,57,11
"MIKEANDERSON",2001,"RB","DEN",60.93,58,25
"TYRONEWHEATLEY",2001,"RB","OAK",61.41,59,26
"DARRELLJACKSON",2001,"WR","SEA",67.7,60,21
"GARRISONHEARST",2001,"RB","SFO",70.3,61,27
"WAYNECHREBET",2001,"WR","NYJ",71.14,62,22
"DERRICKMASON",2001,"WR","TEN",74.09,63,23
"FREDDIEJONES",2001,"TE","ARI",75.04,64,3
"PETERWARRICK",2001,"WR","CIN",75.12,65,24
"JAMESTHRASH",2001,"WR","PHI",77.66,66,25
"KEENANMCCARDELL",2001,"WR","JAC",78.59,67,26
"TRAVISTAYLOR",2001,"WR","BAL",79.17,68,27
"MARCUSROBINSON",2001,"WR","CHI",81.75,69,28
"MATTHASSELBECK",2001,"QB","SEA",81.81,70,12
"FRANKWYCHECK",2001,"TE","TEN",84,71,4
"TRAVISHENRY",2001,"RB","BUF",84.37,72,28
"TIMBIAKABUTUKA",2001,"RB","FA",84.58,73,29
"RONDAYNE",2001,"RB","NYG",85.11,74,30
"STEVEMCNAIR",2001,"QB","TEN",85.14,75,13
"MARKBRUNELL",2001,"QB","JAC",85.24,76,14
"CHADLEWIS",2001,"TE","PHI",85.41,77,5
"JOEYGALLOWAY",2001,"WR","DAL",85.97,78,29
"MIKEVANDERJAGT",2001,"K","IND",87.48,79,1
"THOMASJONES",2001,"RB","ARI",87.78,80,31
"MICHAELPITTMAN",2001,"RB","TBB",88.63,81,32
"JAMESALLEN",2001,"RB","HOU",90.07,82,33
"BRADJOHNSON",2001,"QB","TBB",93.77,83,15
