"name","year","pos","team","pick","overallRank","positionRank"
"PRIESTHOLMES",2004,"RB","KCC",3.34,1,1
"LADAINIANTOMLINSON",2004,"RB","SDC",4.48,2,2
"AHMANGREEN",2004,"RB","GBP",6.46,3,3
"CLINTONPORTIS",2004,"RB","WAS",7,4,4
"DEUCEMCALLISTER",2004,"RB","NOS",7.49,5,5
"SHAUNALEXANDER",2004,"RB","SEA",8.42,6,6
"JAMALLEWIS",2004,"RB","BAL",10.5,7,7
"EDGERRINJAMES",2004,"RB","IND",10.82,8,8
"RANDYMOSS",2004,"WR","OAK",12.11,9,1
"PEYTONMANNING",2004,"QB","IND",12.52,10,1
"DAUNTECULPEPPER",2004,"QB","MIN",13.58,11,2
"MARVINHARRISON",2004,"WR","IND",15.82,12,2
"FREDTAYLOR",2004,"RB","JAC",16.52,13,9
"COREYDILLON",2004,"RB","NEP",19.32,14,10
"TORRYHOLT",2004,"WR","STL",19.62,15,3
"TERRELLOWENS",2004,"WR","PHI",21.03,16,4
"KEVANBARLOW",2004,"RB","SFO",21.82,17,11
"DOMANICKDAVIS",2004,"RB","HOU",23.52,18,12
"MARSHALLFAULK",2004,"RB","STL",23.6,19,13
"RUDIJOHNSON",2004,"RB","CIN",23.84,20,14
"DONOVANMCNABB",2004,"QB","PHI",25.09,21,3
"MICHAELVICK",2004,"QB","ATL",26.53,22,4
"CHADJOHNSON",2004,"WR","CIN",26.77,23,5
"HINESWARD",2004,"WR","PIT",28.88,24,6
"STEPHENDAVIS",2004,"RB","CAR",28.89,25,15
"TRAVISHENRY",2004,"RB","BUF",29.61,26,16
"MATTHASSELBECK",2004,"QB","SEA",31.22,27,5
"BRIANWESTBROOK",2004,"RB","PHI",32.71,28,17
"DERRICKMASON",2004,"WR","BAL",36.11,29,7
"SANTANAMOSS",2004,"WR","WAS",36.68,30,8
"JOEHORN",2004,"WR","NOS",36.79,31,9
"TONYGONZALEZ",2004,"TE","KCC",37.11,32,1
"STEVESMITH",2004,"WR","CAR",39.64,33,10
"LAVERANUESCOLES",2004,"WR","NYJ",40.18,34,11
"DARRELLJACKSON",2004,"WR","SEA",41.14,35,12
"CHRISBROWN",2004,"RB","TEN",42.31,36,18
"KEVINJONES",2004,"RB","DET",42.61,37,19
"STEVEMCNAIR",2004,"QB","TEN",43.01,38,6
"TIKIBARBER",2004,"RB","NYG",43.47,39,20
"MICHAELBENNETT",2004,"RB","MIN",44,40,21
"CURTISMARTIN",2004,"RB","NYJ",44.99,41,22
"TRENTGREEN",2004,"QB","KCC",45.48,42,7
"ERICMOULDS",2004,"WR","BUF",46.77,43,13
"ANDREJOHNSON",2004,"WR","HOU",49.21,44,14
"DUCESTALEY",2004,"RB","PIT",49.23,45,23
"BRETTFAVRE",2004,"QB","GBP",50.53,46,8
"THOMASJONES",2004,"RB","CHI",51.01,47,24
"MARCBULGER",2004,"QB","STL",52.56,48,9
"QUENTINGRIFFIN",2004,"RB","DEN",53.98,49,25
"CHRISCHAMBERS",2004,"WR","MIA",54.9,50,15
"KORENROBINSON",2004,"WR","SEA",55.82,51,16
"TOMBRADY",2004,"QB","NEP",55.94,52,10
"CHADPENNINGTON",2004,"QB","NYJ",56.28,53,11
"PEERLESSPRICE",2004,"WR","ATL",56.33,54,17
"JAVONWALKER",2004,"WR","GBP",56.57,55,18
"JIMMYSMITH",2004,"WR","JAC",57.09,56,19
"AARONBROOKS",2004,"QB","NOS",57.98,57,12
"CHARLESROGERS",2004,"WR","DET",58.99,58,20
"TODDHEAP",2004,"TE","BAL",59.02,59,2
"LEESUGGS",2004,"RB","CLE",59.39,60,26
"KELLENWINSLOW",2004,"TE","CLE",62.09,61,3
"ISAACBRUCE",2004,"WR","STL",63.56,62,21
"PLAXICOBURRESS",2004,"WR","NYG",63.75,63,22
"BALTIMORERAVENS",2004,"Def","BAL",65.58,64,1
