"name","year","pos","team","pick","overallRank","positionRank"
"LADAINIANTOMLINSON",2005,"RB","SDC",2.13,1,1
"SHAUNALEXANDER",2005,"RB","SEA",5.18,2,2
"PEYTONMANNING",2005,"QB","IND",5.2,3,1
"EDGERRINJAMES",2005,"RB","IND",7.77,4,3
"PRIESTHOLMES",2005,"RB","KCC",8.15,5,4
"WILLISMCGAHEE",2005,"RB","BUF",10.29,6,5
"DAUNTECULPEPPER",2005,"QB","MIA",10.65,7,2
"DEUCEMCALLISTER",2005,"RB","NOS",11.47,8,6
"RANDYMOSS",2005,"WR","OAK",13.96,9,1
"DOMANICKDAVIS",2005,"RB","HOU",14.35,10,7
"JAMALLEWIS",2005,"RB","BAL",14.77,11,8
"COREYDILLON",2005,"RB","NEP",15.07,12,9
"JULIUSJONES",2005,"RB","DAL",17.37,13,10
"CLINTONPORTIS",2005,"RB","WAS",17.98,14,11
"DONOVANMCNABB",2005,"QB","PHI",18.38,15,3
"TERRELLOWENS",2005,"WR","DAL",19.44,16,2
"TIKIBARBER",2005,"RB","NYG",19.69,17,12
"KEVINJONES",2005,"RB","DET",20.01,18,13
"MARVINHARRISON",2005,"WR","IND",20.97,19,3
"AHMANGREEN",2005,"RB","GBP",21.62,20,14
"TORRYHOLT",2005,"WR","STL",22.19,21,4
"RUDIJOHNSON",2005,"RB","CIN",22.43,22,15
"CHADJOHNSON",2005,"WR","CIN",24.18,23,5
"STEVENJACKSON",2005,"RB","STL",26.48,24,16
"BRIANWESTBROOK",2005,"RB","PHI",26.71,25,17
"CURTISMARTIN",2005,"RB","NYJ",27.59,26,18
"LAMONTJORDAN",2005,"RB","OAK",29.93,27,19
"JAVONWALKER",2005,"WR","GBP",30.53,28,6
"REGGIEWAYNE",2005,"WR","IND",32.93,29,7
"JOEHORN",2005,"WR","NOS",33.4,30,8
"TONYGONZALEZ",2005,"TE","KCC",35.45,31,1
"ANDREJOHNSON",2005,"WR","HOU",35.84,32,9
"MARCBULGER",2005,"QB","STL",36.24,33,4
"ANTONIOGATES",2005,"TE","SDC",38.52,34,2
"NATEBURLESON",2005,"WR","SEA",39.04,35,10
"TRENTGREEN",2005,"QB","KCC",39.19,36,5
"CARNELLWILLIAMS",2005,"RB","TBB",39.64,37,20
"HINESWARD",2005,"WR","PIT",40.2,38,11
"DARRELLJACKSON",2005,"WR","SEA",41.55,39,12
"STEVESMITH",2005,"WR","CAR",43.06,40,13
"JJARRINGTON",2005,"RB","ARI",45.33,41,21
"MICHAELCLAYTON",2005,"WR","TBB",47.82,42,14
"KERRYCOLLINS",2005,"QB","FA",47.95,43,6
"ROYWILLIAMS",2005,"WR","DET",48.54,44,15
"MICHAELVICK",2005,"QB","ATL",49.95,45,7
"DREWBENNETT",2005,"WR","TEN",51.23,46,16
"ANQUANBOLDIN",2005,"WR","ARI",51.77,47,17
"TOMBRADY",2005,"QB","NEP",51.92,48,8
"RONNIEBROWN",2005,"RB","MIA",53.26,49,22
"TATUMBELL",2005,"RB","DEN",53.31,50,23
"FREDTAYLOR",2005,"RB","JAC",53.57,51,24
"WARRICKDUNN",2005,"RB","ATL",53.74,52,25
"BRETTFAVRE",2005,"QB","GBP",53.86,53,9
"LAVERANUESCOLES",2005,"WR","NYJ",56.32,54,18
"CHRISBROWN",2005,"RB","TEN",58.97,55,26
"LARRYFITZGERALD",2005,"WR","ARI",59.17,56,19
"JASONWITTEN",2005,"TE","DAL",59.51,57,3
"DONALDDRIVER",2005,"WR","GBP",61.04,58,20
"DESHAUNFOSTER",2005,"RB","CAR",62.43,59,27
"MATTHASSELBECK",2005,"QB","SEA",63.14,60,10
"JERRYPORTER",2005,"WR","OAK",63.4,61,21
"ISAACBRUCE",2005,"WR","STL",63.68,62,22
"BALTIMORERAVENS",2005,"Def","BAL",63.78,63,1
"ASHLEYLELIE",2005,"WR","DEN",65.7,64,23
"MICHAELBENNETT",2005,"RB","NOS",66.01,65,28
"MIKEANDERSON",2005,"RB","BAL",66.15,66,29
"CEDRICBENSON",2005,"RB","CHI",66.47,67,30
"ALGECRUMPLER",2005,"TE","ATL",67.97,68,4
"CARSONPALMER",2005,"QB","CIN",68.68,69,11
"JEREMYSHOCKEY",2005,"TE","NYG",69.86,70,5
"JAKEPLUMMER",2005,"QB","DEN",72.67,71,12
"JIMMYSMITH",2005,"WR","JAC",72.82,72,24
"DEIONBRANCH",2005,"WR","NEP",73.35,73,25
"LARRYJOHNSON",2005,"RB","KCC",73.53,74,31
"KEVANBARLOW",2005,"RB","SFO",74.28,75,32
"MUHSINMUHAMMAD",2005,"WR","CHI",74.59,76,26
"CHRISCHAMBERS",2005,"WR","MIA",75.03,77,27
"PLAXICOBURRESS",2005,"WR","NYG",76.34,78,28
"TODDHEAP",2005,"TE","BAL",76.62,79,6
"NEWENGLANDPATRIOTS",2005,"Def","NEP",77.45,80,2
"DERRICKMASON",2005,"WR","BAL",79.51,81,29
"RODSMITH",2005,"WR","DEN",80.22,82,30
"PITTSBURGHSTEELERS",2005,"Def","PIT",80.99,83,3
"BUFFALOBILLS",2005,"Def","BUF",81.24,84,4
"THOMASJONES",2005,"RB","CHI",81.42,85,33
"DALLASCLARK",2005,"TE","IND",81.49,86,7
"DREWBREES",2005,"QB","NOS",82.45,87,13
"LEEEVANS",2005,"WR","BUF",82.47,88,31
"JAKEDELHOMME",2005,"QB","CAR",82.62,89,14
"EDDIEKENNISON",2005,"WR","KCC",86.65,90,32
"JEROMEBETTIS",2005,"RB","FA",87.25,91,34
"AARONBROOKS",2005,"QB","OAK",87.53,92,15
"ADAMVINATIERI",2005,"K","IND",89.3,93,1
"TJHOUSHMANDZADEH",2005,"WR","CIN",90.17,94,33
"SANTANAMOSS",2005,"WR","WAS",91.49,95,34
"BRANDONSTOKLEY",2005,"WR","IND",91.6,96,35
"RICKYWILLIAMS",2005,"RB","MIA",91.85,97,35
"ERICMOULDS",2005,"WR","HOU",93.13,98,36
"TRAVISHENRY",2005,"RB","TEN",93.93,99,36
"MIKEVANDERJAGT",2005,"K","DAL",94.13,100,2
"RANDYMCMICHAEL",2005,"TE","MIA",94.26,101,8
"PHILADELPHIAEAGLES",2005,"Def","PHI",94.93,102,5
"DUCESTALEY",2005,"RB","PIT",96.79,103,37
"CAROLINAPANTHERS",2005,"Def","CAR",98.12,104,6
"AARONRODGERS",2005,"QB","GBP",99.26,105,16
"BRAYLONEDWARDS",2005,"WR","CLE",99.39,106,37
"LEESUGGS",2005,"RB","CLE",100.2,107,38
"REUBENDROUGHNS",2005,"RB","CLE",100.53,108,39
"DAVIDAKERS",2005,"K","PHI",101.41,109,3
"JASONCAMPBELL",2005,"QB","WAS",102.07,110,17
"TJDUCKETT",2005,"RB","ATL",102.35,111,40
"BYRONLEFTWICH",2005,"QB","JAC",104.25,112,18
"TROYWILLIAMSON",2005,"WR","MIN",105.32,113,38
"JASONELAM",2005,"K","DEN",106.71,114,4
"CHADPENNINGTON",2005,"QB","NYJ",106.8,115,19
"MEWELDEMOORE",2005,"RB","MIN",107.9,116,41
"LJSMITH",2005,"TE","PHI",108,117,9
"CHARLESROGERS",2005,"WR","DET",108.95,118,39
"ALEXSMITH",2005,"QB","SFO",109.28,119,20
"MARSHALLFAULK",2005,"RB","STL",109.42,120,42
"CHARLIEFRYE",2005,"QB","CLE",109.56,121,21
"ATLANTAFALCONS",2005,"Def","ATL",109.75,122,7
"CEDRICHOUSTON",2005,"RB","NYJ",109.87,123,43
"DAVIDCARR",2005,"QB","HOU",109.89,124,22
"VINCENTJACKSON",2005,"WR","SDC",109.97,125,40
"MAURICECLARETT",2005,"RB","FA",110.16,126,44
"ERICSHELTON",2005,"RB","CAR",110.82,127,45
"BENROETHLISBERGER",2005,"QB","PIT",111.79,128,23
"MIKEWILLIAMS",2005,"WR","DET",111.88,129,41
"CHRISHENRY",2005,"WR","CIN",112.44,130,42
"DONTESTALLWORTH",2005,"WR","NOS",112.7,131,43
"JERMAINEWIGGINS",2005,"TE","MIN",113.69,132,10
"KEENANMCCARDELL",2005,"WR","SDC",113.93,133,44
"KEYSHAWNJOHNSON",2005,"WR","CAR",114.15,134,45
"FREDGIBSON",2005,"WR","MIA",114.55,135,46
"WILLIEPARKER",2005,"RB","PIT",115.31,136,46
"ADRIANMCPHERSON",2005,"QB","NOS",115.79,137,24
"MARIONBARBER",2005,"RB","DAL",115.96,138,47
"KURTWARNER",2005,"QB","ARI",116.04,139,25
"STEVEMCNAIR",2005,"QB","TEN",116.29,140,26
"STEPHENDAVIS",2005,"RB","FA",117.45,141,48
"MARKBRUNELL",2005,"QB","WAS",117.54,142,27
"KEARYCOLBERT",2005,"WR","CAR",117.71,143,47
"FRANKGORE",2005,"RB","SFO",118.3,144,49
"RODDYWHITE",2005,"WR","ATL",118.51,145,48
"REGGIEBROWN",2005,"WR","PHI",118.81,146,49
"MARKCLAYTON",2005,"WR","BAL",118.93,147,50
"ERICJOHNSON",2005,"TE","SFO",120.81,148,11
"TAMPABAYBUCCANEERS",2005,"Def","TBB",120.96,149,8
"HEATHMILLER",2005,"TE","PIT",120.98,150,12
"MARKBRADLEY",2005,"WR","CHI",121.08,151,51
"CHRISSIMMS",2005,"QB","TBB",122.04,152,28
"BRANDONJACOBS",2005,"RB","NYG",122.39,153,50
"ELIMANNING",2005,"QB","NYG",122.86,154,29
"SEBASTIANJANIKOWSKI",2005,"K","OAK",123.63,155,5
"CIATRICKFASON",2005,"RB","MIN",124.33,156,51
"MATTJONES",2005,"WR","JAC",124.35,157,52
"JOEYHARRINGTON",2005,"QB","DET",124.85,158,30
"MICHAELPITTMAN",2005,"RB","TBB",124.92,159,52
"TERRENCEMURPHY",2005,"WR","GBP",125.06,160,53
"ANTWAANRANDLEEL",2005,"WR","WAS",125.85,161,54
"RYANMOATS",2005,"RB","PHI",126.65,162,53
"DAVIDGIVENS",2005,"WR","TEN",126.7,163,55
"ALEXSMITH",2005,"TE","TBB",127.26,164,13
"BUBBAFRANKS",2005,"TE","GBP",127.66,165,14
"BRIANGRIESE",2005,"QB","FA",128.18,166,31
"WASHINGTONREDSKINS",2005,"Def","WAS",128.4,167,9
"CHRISCOOLEY",2005,"TE","WAS",128.42,168,15
"REXGROSSMAN",2005,"QB","CHI",128.55,169,32
"INDIANAPOLISCOLTS",2005,"Def","IND",128.99,170,10
"ANTONIOBRYANT",2005,"WR","SFO",129.31,171,56
"NEWYORKJETS",2005,"Def","NYJ",130.18,172,11
"JUSTINMCCAREINS",2005,"WR","NYJ",130.67,173,57
"AMANITOOMER",2005,"WR","NYG",131.46,174,58
"CHICAGOBEARS",2005,"Def","CHI",131.54,175,12
"BRANDONLLOYD",2005,"WR","WAS",132.43,176,59
"VERNANDMORENCY",2005,"RB","HOU",132.93,177,54
"LABRANDONTOEFIELD",2005,"RB","JAC",133.42,178,55
"JOEYGALLOWAY",2005,"WR","TBB",133.51,179,60
"JEFFWILKINS",2005,"K","STL",133.8,180,6
"ANDREWWALTER",2005,"QB","OAK",134.7,181,33
"ALVINPEARMAN",2005,"RB","JAC",135.36,182,56
"JEROMEMATHIS",2005,"WR","HOU",135.5,183,61
"MARCUSROBINSON",2005,"WR","MIN",136.36,184,62
"MATTSTOVER",2005,"K","BAL",136.85,185,7
"RYANLONGWELL",2005,"K","MIN",136.91,186,8
"JOEJUREVICIUS",2005,"WR","CLE",137.77,187,63
"CHESTERTAYLOR",2005,"RB","MIN",137.83,188,57
"DREWBLEDSOE",2005,"QB","DAL",138.4,189,34
"MINNESOTAVIKINGS",2005,"Def","MIN",138.88,190,13
"TYRONECALICO",2005,"WR","TEN",139,191,64
"MICHAELJENKINS",2005,"WR","ATL",139.68,192,65
"ROSCOEPARRISH",2005,"WR","BUF",139.87,193,66
"JACKSONVILLEJAGUARS",2005,"Def","JAC",140.19,194,14
"TROYBROWN",2005,"WR","NEP",140.29,195,67
"DALLASCOWBOYS",2005,"Def","DAL",140.37,196,15
"NAJEHDAVENPORT",2005,"RB","GBP",140.43,197,58
"SHAYNEGRAHAM",2005,"K","CIN",141.19,198,9
"DANIELGRAHAM",2005,"TE","NEP",141.51,199,16
"TRAVISTAYLOR",2005,"WR","MIN",141.61,200,68
"GREGLEWIS",2005,"WR","PHI",142.82,201,69
"DERRICKBLAYLOCK",2005,"RB","NYJ",143.16,202,59
"MIKENUGENT",2005,"K","NYJ",143.8,203,10
"BOBBYENGRAM",2005,"WR","SEA",143.93,204,70
"JEFFREED",2005,"K","PIT",144,205,11
"JEBPUTZIER",2005,"TE","HOU",144.26,206,17
"KEVINCURTIS",2005,"WR","STL",144.58,207,71
"DENVERBRONCOS",2005,"Def","DEN",144.97,208,16
"SEATTLESEAHAWKS",2005,"Def","SEA",146.25,209,17
"BRANDONJONES",2005,"WR","TEN",146.7,210,72
"KYLEORTON",2005,"QB","CHI",146.91,211,35
"JERRAMYSTEVENS",2005,"TE","SEA",147.32,212,18
"CINCINNATIBENGALS",2005,"Def","CIN",148.13,213,18
"REGGIEWILLIAMS",2005,"WR","JAC",148.31,214,73
"DOMINICRHODES",2005,"RB","IND",148.58,215,60
"BENWATSON",2005,"TE","NEP",148.83,216,19
"MARCELSHIPP",2005,"RB","ARI",149.53,217,61
"TERRYGLENN",2005,"WR","DAL",150.16,218,74
"JOSHBROWN",2005,"K","SEA",150.26,219,12
"CORRELLBUCKHALTER",2005,"RB","PHI",150.44,220,62
"DOUGJOLLEY",2005,"TE","NYJ",150.69,221,20
"KYLEBOLLER",2005,"QB","BAL",151.46,222,36
"MARCUSPOLLARD",2005,"TE","DET",151.68,223,21
"JPLOSMAN",2005,"QB","BUF",151.99,224,37
"CHRISPERRY",2005,"RB","CIN",152.48,225,63
"SAMIEPARKER",2005,"WR","KCC",153.73,226,75
"NEWYORKGIANTS",2005,"Def","NYG",154.34,227,19
"DARRENSPROLES",2005,"RB","SDC",154.42,228,64
"BENTROUPE",2005,"TE","TEN",155.66,229,22
"PEERLESSPRICE",2005,"WR","FA",156.61,230,76
"SANDIEGOCHARGERS",2005,"Def","SDC",156.74,231,20
"NATEKAEDING",2005,"K","SDC",158.64,232,13
"GREGJONES",2005,"RB","JAC",158.79,233,65
"RECHECALDWELL",2005,"WR","NEP",158.91,234,77
"MIKEALSTOTT",2005,"RB","TBB",159.96,235,66
"KEVINFAULK",2005,"RB","NEP",160.47,236,67
"KANSASCITYCHIEFS",2005,"Def","KCC",160.96,237,21
"WILLIAMGREEN",2005,"RB","CLE",161.2,238,68
"JOHNKASAY",2005,"K","CAR",161.4,239,14
"MOEWILLIAMS",2005,"RB","MIN",162.17,240,69
"KORENROBINSON",2005,"WR","MIN",163.58,241,78
"MIAMIDOLPHINS",2005,"Def","MIA",163.88,242,22
"JAYFEELY",2005,"K","NYG",164.03,243,15
"RONALDCURRY",2005,"WR","OAK",164.14,244,79
"LADELLBETTS",2005,"RB","WAS",164.15,245,70
"DAVIDPATTEN",2005,"WR","WAS",164.29,246,80
"TRENTDILFER",2005,"QB","CLE",164.86,247,38
"ARIZONACARDINALS",2005,"Def","ARI",165.34,248,23
"KELLENWINSLOW",2005,"TE","CLE",165.43,249,23
"DANTEHALL",2005,"WR","KCC",165.44,250,81
"NICKGOINGS",2005,"RB","CAR",165.6,251,71
"DAVIDBOSTON",2005,"WR","MIA",167.11,252,82
"RONDAYNE",2005,"RB","DEN",167.12,253,72
"PATRICKRAMSEY",2005,"QB","NYJ",168.13,254,39
"RODGARDNER",2005,"WR","GBP",168.15,255,83
"JASONHANSON",2005,"K","DET",168.48,256,16
"ARNAZBATTLE",2005,"WR","SFO",169.01,257,84
"MAURICEMORRIS",2005,"RB","SEA",169.26,258,73
