"name","year","pos","team","pick","overallRank","positionRank"
"CHRISJOHNSON",2010,"RB","TEN",2.03,1,1
"ADRIANPETERSON",2010,"RB","MIN",2.65,2,2
"MAURICEJONESDREW",2010,"RB","JAC",4.96,3,3
"RAYRICE",2010,"RB","BAL",5.96,4,4
"FRANKGORE",2010,"RB","SFO",7.43,5,5
"AARONRODGERS",2010,"QB","GBP",7.65,6,1
"DREWBREES",2010,"QB","NOS",8.28,7,2
"ANDREJOHNSON",2010,"WR","HOU",8.39,8,1
"MICHAELTURNER",2010,"RB","ATL",9.95,9,6
"PEYTONMANNING",2010,"QB","IND",11.55,10,3
"STEVENJACKSON",2010,"RB","STL",12.88,11,7
"RANDYMOSS",2010,"WR","TEN",14.79,12,2
"RYANMATHEWS",2010,"RB","SDC",16.93,13,8
"REGGIEWAYNE",2010,"WR","IND",17,14,3
"RASHARDMENDENHALL",2010,"RB","PIT",17.71,15,9
"TOMBRADY",2010,"QB","NEP",17.96,16,4
"LARRYFITZGERALD",2010,"WR","ARI",19.12,17,4
"DEANGELOWILLIAMS",2010,"RB","CAR",19.15,18,10
"CALVINJOHNSON",2010,"WR","DET",19.9,19,5
"MILESAUSTIN",2010,"WR","DAL",21.14,20,6
"RODDYWHITE",2010,"WR","ATL",22.47,21,7
"RYANGRANT",2010,"RB","GBP",24.53,22,11
"BRANDONMARSHALL",2010,"WR","MIA",25.22,23,8
"TONYROMO",2010,"QB","DAL",25.35,24,5
"MATTSCHAUB",2010,"QB","HOU",25.68,25,6
"GREGJENNINGS",2010,"WR","GBP",26.45,26,9
"SHONNGREENE",2010,"RB","NYJ",26.63,27,12
"DESEANJACKSON",2010,"WR","PHI",27.74,28,10
"MARQUESCOLSTON",2010,"WR","NOS",29.65,29,11
"CEDRICBENSON",2010,"RB","CIN",29.99,30,13
"PHILIPRIVERS",2010,"QB","SDC",30.53,31,7
"JAMAALCHARLES",2010,"RB","KCC",31.6,32,14
"PIERRETHOMAS",2010,"RB","NOS",35.14,33,15
"LESEANMCCOY",2010,"RB","PHI",35.8,34,16
"ANQUANBOLDIN",2010,"WR","BAL",36.33,35,12
"DALLASCLARK",2010,"TE","IND",37.64,36,1
"JAHVIDBEST",2010,"RB","DET",40.43,37,17
"ANTONIOGATES",2010,"TE","SDC",40.58,38,2
"STEVESMITH",2010,"WR","NYG",41.25,39,13
"WESWELKER",2010,"WR","NEP",41.71,40,14
"JOSEPHADDAI",2010,"RB","IND",42.82,41,18
"STEVESMITH",2010,"WR","CAR",43.25,42,15
"CHRISWELLS",2010,"RB","ARI",43.75,43,19
"MATTFORTE",2010,"RB","CHI",44.82,44,20
"CHADOCHOCINCO",2010,"WR","CIN",46.02,45,16
"KNOWSHONMORENO",2010,"RB","DEN",46.12,46,21
"DANNYWOODHEAD",2010,"RB","NEP",46.63,47,22
"JERMICHAELFINLEY",2010,"TE","GBP",47.81,48,3
"MICHAELCRABTREE",2010,"WR","SFO",48.32,49,17
"VERNONDAVIS",2010,"TE","SFO",49.64,50,4
"CJSPILLER",2010,"RB","BUF",50.58,51,23
"JONATHANSTEWART",2010,"RB","CAR",51.28,52,24
"JACOBTAMME",2010,"TE","IND",51.38,53,5
"JASONWITTEN",2010,"TE","DAL",53.6,54,6
"RONNIEBROWN",2010,"RB","MIA",54.33,55,25
"JOEFLACCO",2010,"QB","BAL",56.86,56,8
"DWAYNEBOWE",2010,"WR","KCC",58.02,57,18
"MIKESIMSWALKER",2010,"WR","JAC",59.01,58,19
"HAKEEMNICKS",2010,"WR","NYG",59.36,59,20
"PERCYHARVIN",2010,"WR","MIN",61.22,60,21
"ARIANFOSTER",2010,"RB","HOU",61.69,61,26
"PIERREGARCON",2010,"WR","IND",62.14,62,22
"HINESWARD",2010,"WR","PIT",63.27,63,23
"FELIXJONES",2010,"RB","DAL",63.93,64,27
"BRENTCELEK",2010,"TE","PHI",64.86,65,7
"KEVINKOLB",2010,"QB","PHI",64.94,66,9
"REGGIEBUSH",2010,"RB","NOS",66.62,67,28
"MATTRYAN",2010,"QB","ATL",66.92,68,10
"TONYGONZALEZ",2010,"TE","ATL",66.96,69,8
"JAYCUTLER",2010,"QB","CHI",68.63,70,11
"MIKEWALLACE",2010,"WR","PIT",68.97,71,24
"DEZBRYANT",2010,"WR","DAL",69.69,72,25
"DONALDDRIVER",2010,"WR","GBP",69.71,73,26
"BRETTFAVRE",2010,"QB","MIN",71.92,74,12
"JEREMYMACLIN",2010,"WR","PHI",73.57,75,27
"AHMADBRADSHAW",2010,"RB","NYG",74.24,76,29
"MARIONBARBER",2010,"RB","DAL",75.14,77,30
"CARSONPALMER",2010,"QB","CIN",75.26,78,13
"NEWYORKJETS",2010,"Def","NYJ",75.87,79,1
"TERRELLOWENS",2010,"WR","CIN",76.65,80,28
"ELIMANNING",2010,"QB","NYG",77.97,81,14
"SANTANAMOSS",2010,"WR","WAS",78.23,82,29
"BENTATE",2010,"RB","HOU",78.78,83,31
"BRANDONJACOBS",2010,"RB","NYG",80.49,84,32
"MALCOMFLOYD",2010,"WR","SDC",81.45,85,30
"JEROMEHARRISON",2010,"RB","PHI",81.77,86,33
"BENJARVUSGREENELLIS",2010,"RB","NEP",82.74,87,34
"SIDNEYRICE",2010,"WR","MIN",83.48,88,31
"ROBERTMEACHEM",2010,"WR","NOS",83.79,89,32
"JOHNNYKNOX",2010,"WR","CHI",84.63,90,33
"OWENDANIELS",2010,"TE","HOU",86.88,91,9
"RICKYWILLIAMS",2010,"RB","MIA",87.36,92,35
"JUSTINFORSETT",2010,"RB","SEA",87.51,93,36
"VINCENTJACKSON",2010,"WR","SDC",88.12,94,34
"CLINTONPORTIS",2010,"RB","WAS",88.37,95,37
"LADAINIANTOMLINSON",2010,"RB","NYJ",91.54,96,38
