"name","year","pos","team","pick","overallRank","positionRank"
"ARIANFOSTER",2012,"RB","HOU",2.62,1,1
"AARONRODGERS",2012,"QB","GBP",3.22,2,1
"RAYRICE",2012,"RB","BAL",4.44,3,2
"LESEANMCCOY",2012,"RB","PHI",4.65,4,3
"CALVINJOHNSON",2012,"WR","DET",6.58,5,1
"TOMBRADY",2012,"QB","NEP",7.04,6,2
"DREWBREES",2012,"QB","NOS",8.23,7,3
"CHRISJOHNSON",2012,"RB","TEN",9.34,8,4
"DARRENMCFADDEN",2012,"RB","OAK",11.64,9,5
"MATTFORTE",2012,"RB","CHI",13.49,10,6
"MATTHEWSTAFFORD",2012,"QB","DET",15.39,11,4
"CAMNEWTON",2012,"QB","CAR",15.88,12,5
"JIMMYGRAHAM",2012,"TE","NOS",16.94,13,1
"MAURICEJONESDREW",2012,"RB","JAC",17.32,14,7
"LARRYFITZGERALD",2012,"WR","ARI",18.21,15,2
"ROBGRONKOWSKI",2012,"TE","NEP",18.38,16,2
"DEMARCOMURRAY",2012,"RB","DAL",19.07,17,8
"ADRIANPETERSON",2012,"RB","MIN",20.71,18,9
"JULIOJONES",2012,"WR","ATL",21.29,19,3
"ANDREJOHNSON",2012,"WR","HOU",21.57,20,4
"WESWELKER",2012,"WR","NEP",22.81,21,5
"JAMAALCHARLES",2012,"RB","KCC",24.17,22,10
"MARSHAWNLYNCH",2012,"RB","SEA",24.96,23,11
"TRENTRICHARDSON",2012,"RB","CLE",25.1,24,12
"RYANMATHEWS",2012,"RB","SDC",26.81,25,13
"AJGREEN",2012,"WR","CIN",26.82,26,6
"RODDYWHITE",2012,"WR","ATL",27.23,27,7
"GREGJENNINGS",2012,"WR","GBP",27.68,28,8
"VICTORCRUZ",2012,"WR","NYG",29.79,29,9
"BRANDONMARSHALL",2012,"WR","CHI",30.71,30,10
"STEVENJACKSON",2012,"RB","STL",31.19,31,14
"DARRENSPROLES",2012,"RB","NOS",32.57,32,15
"JORDYNELSON",2012,"WR","GBP",33.73,33,11
"FREDJACKSON",2012,"RB","BUF",34.44,34,16
"HAKEEMNICKS",2012,"WR","NYG",35.19,35,12
"DOUGMARTIN",2012,"RB","TBB",36.53,36,17
"MICHAELTURNER",2012,"RB","ATL",39.69,37,18
"MIKEWALLACE",2012,"WR","PIT",40.65,38,13
"ELIMANNING",2012,"QB","NYG",40.68,39,6
"AHMADBRADSHAW",2012,"RB","NYG",40.84,40,19
"MATTRYAN",2012,"QB","ATL",40.98,41,7
"FRANKGORE",2012,"RB","SFO",41.33,42,20
"DEZBRYANT",2012,"WR","DAL",42.66,43,14
"MARQUESCOLSTON",2012,"WR","NOS",43.36,44,15
"PERCYHARVIN",2012,"WR","MIN",45.03,45,16
"MICHAELVICK",2012,"QB","PHI",45.35,46,8
"STEVESMITH",2012,"WR","CAR",45.56,47,17
"AARONHERNANDEZ",2012,"TE","NEP",47.72,48,3
"DEMARYIUSTHOMAS",2012,"WR","DEN",48.09,49,18
"ANTONIOGATES",2012,"TE","SDC",49.62,50,4
"REGGIEBUSH",2012,"RB","MIA",50.88,51,21
"PEYTONMANNING",2012,"QB","DEN",51.56,52,9
"TONYROMO",2012,"QB","DAL",54.98,53,10
"VERNONDAVIS",2012,"TE","SFO",55.64,54,5
"ANTONIOBROWN",2012,"WR","PIT",55.82,55,19
"ERICDECKER",2012,"WR","DEN",56.47,56,20
"BRANDONLLOYD",2012,"WR","NEP",56.93,57,21
"JEREMYMACLIN",2012,"WR","PHI",57.87,58,22
"MILESAUSTIN",2012,"WR","DAL",57.97,59,23
"VINCENTJACKSON",2012,"WR","TBB",58.24,60,24
"DWAYNEBOWE",2012,"WR","KCC",58.26,61,25
"JERMICHAELFINLEY",2012,"TE","GBP",59.78,62,6
"DESEANJACKSON",2012,"WR","PHI",61.02,63,26
"PHILIPRIVERS",2012,"QB","SDC",61.41,64,11
"BENJARVUSGREENELLIS",2012,"RB","CIN",61.87,65,22
"STEVIEJOHNSON",2012,"WR","BUF",63.07,66,27
"WILLISMCGAHEE",2012,"RB","DEN",63.44,67,23
"ROBERTGRIFFINIII",2012,"QB","WAS",64.99,68,12
"SHONNGREENE",2012,"RB","NYJ",65.83,69,24
"TORREYSMITH",2012,"WR","BAL",69.09,70,28
"REGGIEWAYNE",2012,"WR","IND",73.91,71,29
"JASONWITTEN",2012,"TE","DAL",75.34,72,7
