"name","year","pos","team","pick","overallRank","positionRank"
"EDGERRINJAMES",2000,"RB","IND",2.29,1,1
"MARSHALLFAULK",2000,"RB","STL",3.44,2,2
"EDDIEGEORGE",2000,"RB","TEN",6.21,3,3
"PEYTONMANNING",2000,"QB","IND",6.37,4,1
"KURTWARNER",2000,"QB","STL",6.47,5,2
"STEPHENDAVIS",2000,"RB","WAS",7.41,6,4
"TERRELLDAVIS",2000,"RB","DEN",8.11,7,5
"FREDTAYLOR",2000,"RB","JAC",9.25,8,6
"MARVINHARRISON",2000,"WR","IND",11.35,9,1
"RANDYMOSS",2000,"WR","MIN",13.27,10,2
"EMMITTSMITH",2000,"RB","DAL",14.93,11,7
"BRETTFAVRE",2000,"QB","GBP",15.33,12,3
"CURTISMARTIN",2000,"RB","NYJ",15.79,13,8
"RICKYWILLIAMS",2000,"RB","NOS",18.22,14,9
"ISAACBRUCE",2000,"WR","STL",18.25,15,3
"DUCESTALEY",2000,"RB","PHI",19.13,16,10
"DORSEYLEVENS",2000,"RB","GBP",20.74,17,11
"JAMESSTEWART",2000,"RB","DET",22.11,18,12
"JAMALANDERSON",2000,"RB","ATL",23.31,19,13
"MARCUSROBINSON",2000,"WR","CHI",23.51,20,4
"ANTONIOFREEMAN",2000,"WR","GBP",24.08,21,5
"JIMMYSMITH",2000,"WR","JAC",25.19,22,6
"STEVEMCNAIR",2000,"QB","TEN",25.76,23,4
"BRADJOHNSON",2000,"QB","TBB",26.73,24,5
"RONDAYNE",2000,"RB","NYG",28.37,25,14
"ERICMOULDS",2000,"WR","BUF",29.62,26,7
"MICHAELWESTBROOK",2000,"WR","WAS",30.79,27,8
"CRISCARTER",2000,"WR","MIN",31.84,28,9
"KEYSHAWNJOHNSON",2000,"WR","TBB",33.45,29,10
"MIKEALSTOTT",2000,"RB","TBB",34.28,30,15
"TONYGONZALEZ",2000,"TE","KCC",37.05,31,1
"JOEYGALLOWAY",2000,"WR","DAL",37.54,32,11
"JAMALLEWIS",2000,"RB","BAL",39.01,33,16
"ROBERTSMITH",2000,"RB","FA",39.96,34,17
"STEVEBEUERLEIN",2000,"QB","FA",40.03,35,6
"TIMBROWN",2000,"WR","OAK",40.88,36,12
"MUHSINMUHAMMAD",2000,"WR","CAR",40.96,37,13
"COREYDILLON",2000,"RB","CIN",41.23,38,18
"CURTISENIS",2000,"RB","FA",42.14,39,19
"TYRONEWHEATLEY",2000,"RB","OAK",44.75,40,20
"GERMANECROWELL",2000,"WR","DET",46.21,41,14
"CHARLIEGARNER",2000,"RB","OAK",47.08,42,21
"RICKYWATTERS",2000,"RB","SEA",47.75,43,22
"DAUNTECULPEPPER",2000,"QB","MIN",49.41,44,7
"TORRYHOLT",2000,"WR","STL",50.53,45,15
"AMANITOOMER",2000,"WR","NYG",51.54,46,16
"RICHGANNON",2000,"QB","OAK",52.06,47,8
"THOMASJONES",2000,"RB","ARI",52.97,48,23
"WESLEYWALLS",2000,"TE","CAR",53.97,49,2
"TSHIMANGABIAKABUTUKA",2000,"RB","CAR",54.58,50,24
"EDMCCAFFREY",2000,"WR","DEN",55.03,51,17
"DERRICKMAYES",2000,"WR","FA",57.02,52,18
"TERRYGLENN",2000,"WR","NEP",57.72,53,19
"MARKBRUNELL",2000,"QB","JAC",58.51,54,9
"PATRICKJEFFERS",2000,"WR","CAR",59,55,20
"CADEMCNOWN",2000,"QB","CHI",60.06,56,10
"ALBERTCONNELL",2000,"WR","NOS",60.36,57,21
"KEVINJOHNSON",2000,"WR","CLE",60.57,58,22
"PETERWARRICK",2000,"WR","CIN",61.78,59,23
"CARLPICKENS",2000,"WR","DAL",63.06,60,24
"SHANNONSHARPE",2000,"TE","BAL",65.93,61,3
"TERRELLOWENS",2000,"WR","SFO",66.43,62,25
"JEROMEBETTIS",2000,"RB","PIT",68.99,63,25
"RICKEYDUDLEY",2000,"TE","CLE",71.59,64,4
"ANTOWAINSMITH",2000,"RB","BUF",71.87,65,26
"WAYNECHREBET",2000,"WR","NYJ",72.89,66,26
"RODSMITH",2000,"WR","DEN",73.11,67,27
"WARRICKDUNN",2000,"RB","TBB",73.62,68,27
"TERANCEMATHIS",2000,"WR","ATL",76.2,69,28
"SHAUNALEXANDER",2000,"RB","SEA",77.03,70,28
"MIKEVANDERJAGT",2000,"K","IND",78.11,71,1
"ROBJOHNSON",2000,"QB","BUF",79.34,72,11
"RAGHIBISMAIL",2000,"WR","DAL",79.83,73,29
"JONKITNA",2000,"QB","CIN",79.86,74,12
"ERRICTRHETT",2000,"RB","CLE",82.73,75,29
"FRANKWYCHECK",2000,"TE","TEN",86.42,76,5
"JJJOHNSON",2000,"RB","MIA",86.51,77,30
"BUBBAFRANKS",2000,"TE","GBP",88.89,78,6
"QADRYISMAIL",2000,"WR","BAL",89.95,79,30
"TONYBANKS",2000,"QB","DAL",91.44,80,13
"PLAXICOBURRESS",2000,"WR","PIT",92.47,81,31
"JERMAINEFAZANDE",2000,"RB","SDC",93.96,82,31
"JAKEPLUMMER",2000,"QB","ARI",94.55,83,14
"TROYAIKMAN",2000,"QB","FA",95.42,84,15
"BRIANGRIESE",2000,"QB","DEN",95.91,85,16
"DARNAYSCOTT",2000,"WR","CIN",95.94,86,32
"TIMCOUCH",2000,"QB","CLE",96.91,87,17
"VINNYTESTAVERDE",2000,"QB","NYJ",97.29,88,18
"SEBASTIANJANIKOWSKI",2000,"K","OAK",97.49,89,2
"KEENANMCCARDELL",2000,"WR","JAC",97.9,90,33
"MIKEHOLLIS",2000,"K","JAC",99.05,91,3
"KERRYCOLLINS",2000,"QB","NYG",99.29,92,19
"JEFFBLAKE",2000,"QB","NOS",99.86,93,20
"FREDDIEJONES",2000,"TE","SDC",100.35,94,7
"RICHARDHUNTLEY",2000,"RB","PIT",101.95,95,32
"JAYRIEMERSMA",2000,"TE","BUF",101.97,96,8
"ROBMOORE",2000,"WR","ARI",102.16,97,34
"BILLSCHROEDER",2000,"WR","GBP",102.79,98,35
"JASONELAM",2000,"K","DEN",103.29,99,4
"OLANDISGARY",2000,"RB","DEN",103.89,100,33
"RAYMONTHARRIS",2000,"RB","FA",104.07,101,34
"KEVINDYSON",2000,"WR","TEN",105.77,102,36
"DONOVANMCNABB",2000,"QB","PHI",106.6,103,21
"TRAVISTAYLOR",2000,"WR","BAL",107.56,104,37
"JRREDMOND",2000,"RB","NEP",109.59,105,35
"OLINDOMARE",2000,"K","MIA",110.65,106,5
"PEERLESSPRICE",2000,"WR","BUF",110.68,107,38
"MIKECLOUD",2000,"RB","KCC",110.79,108,36
"BOBBYENGRAM",2000,"WR","CHI",110.83,109,39
"JOHNNIEMORTON",2000,"WR","DET",110.94,110,40
"STEPHENALEXANDER",2000,"TE","WAS",111.4,111,9
"DERRICKALEXANDER",2000,"WR","KCC",111.83,112,41
"CHARLIEBATCH",2000,"QB","DET",112,113,22
"JOEHORN",2000,"WR","NOS",112.52,114,42
"JEFFWILKINS",2000,"K","STL",113.2,115,6
"NAPOLEONKAUFMAN",2000,"RB","FA",113.79,116,37
"TONYMARTIN",2000,"WR","FA",115.28,117,43
"JEFFGEORGE",2000,"QB","WAS",115.93,118,23
"DONALDHAYES",2000,"WR","CAR",116.38,119,44
"PRIESTHOLMES",2000,"RB","KCC",117.2,120,38
"LAMARSMITH",2000,"RB","MIA",117.74,121,39
"SEANDAWKINS",2000,"WR","FA",117.87,122,45
"JAKEREED",2000,"WR","MIN",118.39,123,46
"KEVINFAULK",2000,"RB","NEP",118.67,124,40
"HERMANMOORE",2000,"WR","DET",118.71,125,47
"JERRYRICE",2000,"WR","SFO",119.53,126,48
"CHRISCHANDLER",2000,"QB","ATL",119.77,127,24
"MARTINGRAMATICA",2000,"K","TBB",119.86,128,7
"MICHAELPITTMAN",2000,"RB","ARI",120.88,129,41
"ELVISGRBAC",2000,"QB","BAL",121.28,130,25
"FRANKSANDERS",2000,"WR","ARI",121.78,131,49
"JEFFGARCIA",2000,"QB","SFO",122.27,132,26
"TIMDWIGHT",2000,"WR","SDC",123.51,133,50
"IKEHILLIARD",2000,"WR","NYG",123.74,134,51
"DAVIDLAFLEUR",2000,"TE","DAL",124.5,135,10
"SHAUNKING",2000,"QB","TBB",124.77,136,27
"DEIONSANDERS",2000,"WR","WAS",126.04,137,52
"TRAVISPRENTICE",2000,"RB","CLE",126.39,138,42
"BRETTCONWAY",2000,"K","WAS",128.76,139,8
"YANCEYTHIGPEN",2000,"WR","FA",131.52,140,53
"ALDELGRECO",2000,"K","FA",131.8,141,9
"CHARLESJOHNSON",2000,"WR","FA",132.2,142,54
"TIKIBARBER",2000,"RB","NYG",132.44,143,43
"CURTISKEATON",2000,"RB","CIN",134.19,144,44
"AZZAHIRHAKIM",2000,"WR","STL",134.54,145,55
"STACEYMACK",2000,"RB","JAC",135.14,146,45
"ANTHONYBECHT",2000,"TE","NYJ",136.22,147,11
"CAMERONCLEELAND",2000,"TE","NOS",136.66,148,12
"KENDILGER",2000,"TE","IND",137.22,149,13
"JASONHANSON",2000,"K","DET",137.38,150,10
"AKILISMITH",2000,"QB","CIN",138.51,151,28
"SHAWNBRYSON",2000,"RB","BUF",138.69,152,46
"CURTISCONWAY",2000,"WR","SDC",140.63,153,56
"TODDPETERSON",2000,"K","KCC",141.6,154,11
"DAVIDSLOAN",2000,"TE","DET",142.01,155,14
"TRENTGREEN",2000,"QB","KCC",143.04,156,29
"TERRYKIRBY",2000,"RB","OAK",143.43,157,47
"PETEMITCHELL",2000,"TE","DET",143.72,158,15
"RYANLONGWELL",2000,"K","GBP",145.53,159,12
"AHMANGREEN",2000,"RB","GBP",146.05,160,48
"KIMBLEANDERS",2000,"RB","FA",147.45,161,49
"TERRENCEWILKINS",2000,"WR","IND",147.61,162,57
"SYLVESTERMORRIS",2000,"WR","KCC",148.64,163,58
"JONATHANLINTON",2000,"RB","BUF",148.75,164,50
"TROYEDWARDS",2000,"WR","PIT",148.77,165,59
"ADRIANMURRELL",2000,"RB","FA",149.07,166,51
"DAVEMOORE",2000,"TE","TBB",150.19,167,16
"TONYRICHARDSON",2000,"RB","KCC",150.55,168,52
"CHADPENNINGTON",2000,"QB","NYJ",150.95,169,30
"MATTSTOVER",2000,"K","BAL",151.2,170,13
"BYRONCHAMBERLAIN",2000,"TE","MIN",151.45,171,17
"ROLANDWILLIAMS",2000,"TE","STL",152.04,172,18
"JACKIEHARRIS",2000,"TE","DAL",152.83,173,19
"DONNELLBENNETT",2000,"RB","KCC",153.07,174,53
"DOUGCHAPMAN",2000,"RB","MIN",153.2,175,54
"MARIOBATES",2000,"RB","DET",153.23,176,55
"ANDREWGLOVER",2000,"TE","FA",153.23,176,20
"SHAWNJEFFERSON",2000,"WR","ATL",153.33,178,60
"JACQUEZGREEN",2000,"WR","TBB",153.48,179,61
"GARYANDERSON",2000,"K","MIN",154,180,14
"BENCOATES",2000,"TE","FA",154.02,181,21
"CHADLEWIS",2000,"TE","PHI",155,182,22
"CHRISWARREN",2000,"RB","FA",155.96,183,56
"TYRONEDAVIS",2000,"TE","GBP",156.04,184,23
"OJSANTIAGO",2000,"TE","CLE",156.13,185,24
"THURMANTHOMAS",2000,"RB","FA",156.18,186,57
"CHRISTIANFAURIA",2000,"TE","SEA",156.66,187,25
"ROBERTCHANCEY",2000,"RB","FA",156.84,188,58
"TONYSIMMONS",2000,"WR","NEP",157.63,189,62
"FREDBEASLEY",2000,"RB","SFO",157.94,190,59
"ORONDEGADSDEN",2000,"WR","MIA",158.73,191,63
"MICHAELBASNIGHT",2000,"RB","CIN",158.94,192,60
"KEITHPOOLE",2000,"WR","NOS",159.07,193,64
"KORDELLSTEWART",2000,"QB","PIT",159.68,194,31
"SKIPHICKS",2000,"RB","WAS",159.83,195,61
"RYANLEAF",2000,"QB","TBB",160.03,196,32
"TODDPINKSTON",2000,"WR","PHI",160.08,197,65
"LARRYCENTERS",2000,"RB","FA",160.14,198,62
"MORTENANDERSEN",2000,"K","FA",160.68,199,15
"JAMESJETT",2000,"WR","OAK",160.75,200,66
"DARRELLJACKSON",2000,"WR","SEA",162,201,67
"JAMESALLEN",2000,"RB","CHI",162.18,202,63
"BYRONHANSPARD",2000,"RB","FA",162.34,203,64
"JOHNKASAY",2000,"K","CAR",162.64,204,16
"ADAMVINATIERI",2000,"K","NEP",164.17,205,17
"JERRYPORTER",2000,"WR","OAK",164.39,206,68
"ANDRERISON",2000,"WR","OAK",164.83,207,69
"JIMMYKLEINSASSER",2000,"RB","MIN",165.12,208,65
"JERMAINELEWIS",2000,"WR","BAL",165.31,209,70
"JJSTOKES",2000,"WR","SFO",166.02,210,71
"GARRISONHEARST",2000,"RB","SFO",166.07,211,66
"CHRISFUAMATUMAAFALA",2000,"RB","PIT",166.08,212,67
"ROBERTBROOKS",2000,"WR","DEN",166.12,213,72
"LEROYHOARD",2000,"RB","FA",166.31,214,68
"MARCUSPOLLARD",2000,"TE","IND",166.43,215,26
"TRUNGCANIDATE",2000,"RB","STL",166.44,216,69
"DEDRICKWARD",2000,"WR","MIA",166.56,217,73
"LAVERANUESCOLES",2000,"WR","NYJ",166.59,218,74
"TERRYJACKSON",2000,"RB","SFO",167.48,219,70
"TROYBROWN",2000,"WR","NEP",167.89,220,75
"PETESTOYANOVICH",2000,"K","FA",168.17,221,18
"DAVIDAKERS",2000,"K","PHI",168.91,222,19
"JAYSOWARD",2000,"WR","JAC",168.98,223,76
"CHRISHOWARD",2000,"RB","FA",169,224,71
"ERICBJORNSON",2000,"TE","OAK",169.01,225,27
"ROBERTHOLCOMBE",2000,"RB","STL",169.35,226,72
"DAMONHUARD",2000,"QB","NEP",170.82,227,33
"JAJUANDAWSON",2000,"WR","CLE",170.89,228,77
"STEVECHRISTIE",2000,"K","BUF",172.1,229,20
"KRISBROWN",2000,"K","PIT",172.89,230,21
"JOHNCARNEY",2000,"K","FA",173.27,231,22
"ROBKONRAD",2000,"RB","MIA",173.52,232,73
"ERNIECONWELL",2000,"TE","OAK",173.6,233,28
"DENNISNORTHCUTT",2000,"WR","CLE",173.78,234,78
"JEFFGRAHAM",2000,"WR","SDC",174.63,235,79
"RICHIECUNNINGHAM",2000,"K","CIN",174.85,236,23
"DOUGFLUTIE",2000,"QB","SDC",176.43,237,34
"MATTHEWHATCHETTE",2000,"WR","NYJ",177.15,238,80
"MATTHASSELBECK",2000,"QB","SEA",177.22,239,35
"RUEBENDROUGHNS",2000,"RB","DET",177.41,240,74
"OJMCDUFFIE",2000,"WR","MIA",177.44,241,81
"DARRINCHIAVERINI",2000,"WR","CLE",177.91,242,82
"JIMMILLER",2000,"QB","CHI",178.11,243,36
"MOEWILLIAMS",2000,"RB","MIN",179.05,244,75
"JIMHARBAUGH",2000,"QB","DET",179.07,245,37
"RONRIVERS",2000,"RB","ATL",179.13,246,76
"EDDIEKENNISON",2000,"WR","DEN",179.27,247,83
"BRANDONBENNETT",2000,"RB","CIN",179.34,248,77
"JOHNHALL",2000,"K","NYJ",179.61,249,24
"TORRANCESMALL",2000,"WR","FA",179.87,250,84
"KEVINLOCKETT",2000,"WR","WAS",180.41,251,85
"TONYMCGEE",2000,"TE","CIN",180.8,252,29
"EGGREEN",2000,"WR","IND",180.9,253,86
"KARIMABDULJABBAR",2000,"RB","IND",180.95,254,78
"JEROMEPATHON",2000,"WR","IND",183.09,255,87
"RICKYPROEHL",2000,"WR","STL",183.31,256,88
"HINESWARD",2000,"WR","PIT",183.79,257,89
"JAYFIEDLER",2000,"QB","MIA",184.27,258,38
"GREGCLARK",2000,"TE","SFO",184.74,259,30
"DWAYNECARSWELL",2000,"TE","DEN",184.82,260,31
"KENTGRAHAM",2000,"QB","PIT",185.51,261,39
"SEDRICKIRVIN",2000,"RB","DET",186.26,262,79
"BRADDALUISO",2000,"K","FA",186.84,263,25
"SHYRONESTITH",2000,"RB","JAC",189.4,264,80
"CARYBLANCHARD",2000,"K","ARI",190.84,265,26
"RONDUGANS",2000,"WR","CIN",191.67,266,90
"NEILODONNELL",2000,"QB","TEN",193.75,267,40
"GUSFREROTTE",2000,"QB","DEN",195.64,268,41
"TIMSEDER",2000,"K","DAL",196.15,269,27
"RANDALLCUNNINGHAM",2000,"QB","FA",196.93,270,42
"WADERICHEY",2000,"K","SDC",199.87,271,28
"BARRYSANDERS",2000,"RB","FA",200.33,272,81
"JOEMONTGOMERY",2000,"RB","NYG",200.82,273,82
"TRENTDILFER",2000,"QB","FA",201.13,274,43
"PAULEDINGER",2000,"K","CHI",204.38,275,29
"RAYLUCAS",2000,"QB","MIA",205.61,276,44
