"name","year","pos","team","pick","overallRank","positionRank"
"LADAINIANTOMLINSON",2007,"RB","SDC",1.79,1,1
"STEVENJACKSON",2007,"RB","STL",2.9,2,2
"LARRYJOHNSON",2007,"RB","KCC",4.43,3,3
"FRANKGORE",2007,"RB","SFO",5.98,4,4
"JOSEPHADDAI",2007,"RB","IND",7.23,5,5
"PEYTONMANNING",2007,"QB","IND",8.04,6,1
"SHAUNALEXANDER",2007,"RB","SEA",8.7,7,6
"BRIANWESTBROOK",2007,"RB","PHI",9.41,8,7
"WILLIEPARKER",2007,"RB","PIT",10.29,9,8
"REGGIEBUSH",2007,"RB","NOS",10.74,10,9
"RUDIJOHNSON",2007,"RB","CIN",12.26,11,10
"LAURENCEMARONEY",2007,"RB","NEP",14.19,12,11
"TRAVISHENRY",2007,"RB","DEN",16.28,13,12
"WILLISMCGAHEE",2007,"RB","BAL",17.38,14,13
"STEVESMITH",2007,"WR","CAR",18.65,15,1
"CHADJOHNSON",2007,"WR","CIN",18.8,16,2
"CARSONPALMER",2007,"QB","CIN",19.58,17,2
"RYANGRANT",2007,"RB","GBP",20.11,18,14
"MARVINHARRISON",2007,"WR","IND",21.36,19,3
"TOMBRADY",2007,"QB","NEP",21.86,20,3
"MAURICEJONESDREW",2007,"RB","JAC",22.27,21,15
"DREWBREES",2007,"QB","NOS",23.74,22,4
"TERRELLOWENS",2007,"WR","DAL",24.09,23,4
"REGGIEWAYNE",2007,"WR","IND",24.78,24,5
"RONNIEBROWN",2007,"RB","MIA",25.06,25,16
"TORRYHOLT",2007,"WR","STL",25.43,26,6
"EDGERRINJAMES",2007,"RB","ARI",26.97,27,17
"CEDRICBENSON",2007,"RB","CHI",27.94,28,18
"LARRYFITZGERALD",2007,"WR","ARI",29.93,29,7
"MARCBULGER",2007,"QB","STL",31.73,30,5
"CLINTONPORTIS",2007,"RB","WAS",31.82,31,19
"ROYWILLIAMS",2007,"WR","DET",32.33,32,8
"ANTONIOGATES",2007,"TE","SDC",33.53,33,1
"THOMASJONES",2007,"RB","NYJ",35.63,34,20
"TJHOUSHMANDZADEH",2007,"WR","CIN",35.7,35,9
"DONOVANMCNABB",2007,"QB","PHI",37.18,36,6
"MARQUESCOLSTON",2007,"WR","NOS",37.45,37,10
"JAVONWALKER",2007,"WR","DEN",37.99,38,11
