"name","year","pos","team","pick","overallRank","positionRank"
"ADRIANPETERSON",2013,"RB","MIN",1.9,1,1
"DOUGMARTIN",2013,"RB","TBB",4.36,2,2
"ARIANFOSTER",2013,"RB","HOU",5.58,3,3
"CALVINJOHNSON",2013,"WR","DET",7.09,4,1
"JAMAALCHARLES",2013,"RB","KCC",7.27,5,4
"RAYRICE",2013,"RB","BAL",8.58,6,5
"CJSPILLER",2013,"RB","BUF",9.09,7,6
"TRENTRICHARDSON",2013,"RB","IND",9.87,8,7
"MARSHAWNLYNCH",2013,"RB","SEA",9.91,9,8
"LESEANMCCOY",2013,"RB","PHI",10.1,10,9
"AARONRODGERS",2013,"QB","GBP",14.96,11,1
"AJGREEN",2013,"WR","CIN",15.21,12,2
"DEZBRYANT",2013,"WR","DAL",15.72,13,3
"ALFREDMORRIS",2013,"RB","WAS",15.79,14,10
"MATTFORTE",2013,"RB","CHI",16.28,15,11
"DREWBREES",2013,"QB","NOS",17.02,16,2
"BRANDONMARSHALL",2013,"WR","CHI",19.39,17,4
"JULIOJONES",2013,"WR","ATL",19.81,18,5
"JIMMYGRAHAM",2013,"TE","NOS",20.61,19,1
"CHRISJOHNSON",2013,"RB","TEN",21.86,20,12
"DEMARYIUSTHOMAS",2013,"WR","DEN",22.61,21,6
"STEVENJACKSON",2013,"RB","ATL",22.63,22,13
"MAURICEJONESDREW",2013,"RB","JAC",27.01,23,14
"LARRYFITZGERALD",2013,"WR","ARI",27.12,24,7
"REGGIEBUSH",2013,"RB","DET",27.44,25,15
"PEYTONMANNING",2013,"QB","DEN",28.03,26,3
"ANDREJOHNSON",2013,"WR","HOU",28.76,27,8
"RANDALLCOBB",2013,"WR","GBP",29.93,28,9
"STEVANRIDLEY",2013,"RB","NEP",30.1,29,16
"RODDYWHITE",2013,"WR","ATL",31.73,30,10
"VICTORCRUZ",2013,"WR","NYG",34.02,31,11
"DEMARCOMURRAY",2013,"RB","DAL",35.01,32,17
"DAVIDWILSON",2013,"RB","NYG",35.14,33,18
"FRANKGORE",2013,"RB","SFO",35.5,34,19
"TOMBRADY",2013,"QB","NEP",36.2,35,4
"DARRENSPROLES",2013,"RB","NOS",37.27,36,20
"CAMNEWTON",2013,"QB","CAR",37.58,37,5
"VINCENTJACKSON",2013,"WR","TBB",38.09,38,12
"WESWELKER",2013,"WR","DEN",40.23,39,13
"DARRENMCFADDEN",2013,"RB","OAK",41.4,40,21
"MATTRYAN",2013,"QB","ATL",42.54,41,6
"EDDIELACY",2013,"RB","GBP",43.06,42,22
"MARQUESCOLSTON",2013,"WR","NOS",43.88,43,14
"ROBGRONKOWSKI",2013,"TE","NEP",44.1,44,2
"DWAYNEBOWE",2013,"WR","KCC",44.6,45,15
"DANNYAMENDOLA",2013,"WR","NEP",44.67,46,16
"LAMARMILLER",2013,"RB","MIA",45.78,47,23
"REGGIEWAYNE",2013,"WR","IND",46.49,48,17
"COLINKAEPERNICK",2013,"QB","SFO",49.27,49,7
"JASONWITTEN",2013,"TE","DAL",51.24,50,3
"HAKEEMNICKS",2013,"WR","NYG",51.95,51,18
"MONTEEBALL",2013,"RB","DEN",52.02,52,24
"JORDYNELSON",2013,"WR","GBP",52.17,53,19
