"playerId","idpRetYds","idpRetTds","idpSolo","idpAst","idpTFL","idpSack","idpSafety","idpPD","idpBlk","idpInt","idpFumlForce","idpFumlRec","idpFumlRet","idpTd","player","analystId"
2539293,0,0,53,17,4,0,0,1,0,0,0,0,0,0,"Gerald Hodges","yasp"
2540190,0,0,51,20,6,0,0,2,0,0,1,1,0,0,"Jelani Jenkins","yasp"
2543717,0,0,44,11,15,6,0,1,0,0,1,0,0,0,"Jeremiah Attaochu","yasp"
2543720,0,0,40,23,5,3.5,0,1,0,0,1,1,0,0,"Christian Kirksey","yasp"
2552292,0,0,33,19,2,4,0,2,0,0,4,1,0,0,"Hauoli Kikaha","yasp"
2552310,0,0,64,9,8,2,0,0,0,0,1,0,0,0,"Denzel Perryman","yasp"
2552315,0,0,43,7,1,1,0,3,0,2,1,3,78,1,"Jordan Hicks","yasp"
774,0,0,45,19,3,1,0,0,0,0,0,1,0,0,"Curtis Lofton","yasp"
4267,0,0,36,19,4,1,0,4,0,0,1,0,0,0,"Danny Lansanah","yasp"
496794,0,0,36,6,11,8,0,0,0,0,0,1,0,0,"Lamarr Houston","yasp"
2495491,0,0,35,12,3,0.5,0,5,0,0,1,3,45,1,"Akeem Ayers","yasp"
2495832,0,0,29,19,8,6,0,1,0,0,1,2,0,0,"Elvis Dumervil","yasp"
2495885,0,0,36,11,8,1,0,5,0,1,0,0,0,0,"Manny Lawson","yasp"
2504844,0,0,27,13,8,5,0,4,0,1,2,0,6,0,"James Harrison","yasp"
2505010,0,0,25,11,9,10.5,0,0,0,0,2,0,0,0,"Julius Peppers","yasp"
2506883,0,0,39,9,11,6.5,0,1,0,0,2,0,0,0,"Tamba Hali","yasp"
2506888,0,0,32,17,0,0,0,5,0,1,1,1,0,0,"DeMeco Ryans","yasp"
2507010,0,0,28,14,6,6.5,0,1,0,0,0,1,8,0,"Ahmad Brooks","yasp"
2532431,0,0,33,25,2,0,0,4,0,1,0,1,47,0,"Craig Robertson","yasp"
2532800,0,0,42,17,4,1,0,3,0,0,0,0,0,0,"Nigel Bradham","yasp"
2532940,0,0,36,27,0,0,0,3,0,1,0,1,44,0,"Keenan Robinson","yasp"
2532964,0,0,28,23,3,2,0,2,0,0,2,3,0,0,"Courtney Upshaw","yasp"
2532986,0,0,40,11,7,2,0,6,0,1,0,1,26,0,"Tahir Whitehead","yasp"
2539280,0,0,39,14,3,5,0,0,0,0,0,1,0,0,"John Simon","yasp"
2539982,0,0,39,16,7,1,0,1,0,1,1,0,8,0,"A.J. Klein","yasp"
2540278,0,0,28,12,7,5.5,0,0,0,0,2,1,34,0,"Armonty Bryant","yasp"
2541315,0,0,47,21,2,1,0,2,0,0,0,0,0,0,"Nate Palmer","yasp"
2543592,0,0,40,27,5,2,0,1,0,0,1,0,0,0,"Anthony Hitchens","yasp"
