"playerId","aav","leagueType","source"
89798,"0","std","Yahoo"
2532786,"1","std","MFL"
2550474,"0","std","MFL"
2550474,"0.0","std","ESPN"
2550474,"0","std","Yahoo"
2508061,"43","std","MFL"
2508061,"52.3","std","ESPN"
2508061,"54","std","Yahoo"
2495822,"1","std","MFL"
2495822,"0.0","std","ESPN"
2505299,"3","std","MFL"
2505299,"1.6","std","ESPN"
2505299,"8","std","Yahoo"
2505988,"1","std","MFL"
2505988,"0.0","std","ESPN"
2506347,"2","std","MFL"
2506347,"0.0","std","ESPN"
2553526,"0","std","MFL"
2553526,"0","std","Yahoo"
2534566,"1","std","MFL"
2534566,"0.0","std","ESPN"
1302,"2","std","MFL"
1302,"0.0","std","ESPN"
79555,"18","std","MFL"
79555,"15.0","std","ESPN"
79555,"6","std","Yahoo"
2552493,"1","std","MFL"
2552493,"0.0","std","ESPN"
2540278,"0","std","MFL"
497270,"0","std","MFL"
497270,"0","std","Yahoo"
2508055,"1","std","MFL"
2539245,"1","std","MFL"
2543714,"0","std","MFL"
2543714,"0.0","std","ESPN"
2543714,"0","std","Yahoo"
496825,"0","std","MFL"
2532872,"0","std","MFL"
2550454,"0","std","MFL"
2550454,"0.0","std","ESPN"
2550454,"0","std","Yahoo"
2532814,"0","std","MFL"
2533349,"0","std","MFL"
2533349,"0.0","std","ESPN"
2533349,"0","std","Yahoo"
2553892,"0","std","MFL"
2553892,"0","std","Yahoo"
2534437,"0","std","MFL"
2534437,"0.0","std","ESPN"
2534437,"0","std","Yahoo"
2495212,"0","std","MFL"
2495212,"0","std","Yahoo"
2543683,"3","std","MFL"
2543683,"1.5","std","ESPN"
2543683,"3","std","Yahoo"
2543597,"3","std","MFL"
2543597,"0.0","std","ESPN"
2541429,"0","std","MFL"
2552267,"0","std","MFL"
2552267,"0.0","std","ESPN"
79631,"1","std","MFL"
79631,"0.0","std","ESPN"
2539338,"0","std","MFL"
2539234,"0","std","MFL"
2539234,"0.0","std","ESPN"
2540140,"1","std","MFL"
2540140,"0.0","std","ESPN"
494259,"3","std","MFL"
494259,"2.6","std","ESPN"
2543571,"1","std","MFL"
2543571,"0.0","std","ESPN"
79625,"0","std","MFL"
79625,"0.0","std","ESPN"
79625,"0","std","Yahoo"
100005,"1","std","MFL"
100005,"0.0","std","ESPN"
100005,"0","std","Yahoo"
2543884,"1","std","MFL"
2543884,"0.0","std","ESPN"
2553524,"0","std","MFL"
2553524,"0","std","Yahoo"
2553878,"0","std","Yahoo"
2552306,"0","std","MFL"
2552306,"0.0","std","ESPN"
2552396,"0","std","MFL"
2552396,"0.0","std","ESPN"
2552396,"0","std","Yahoo"
2550371,"0","std","Yahoo"
2506109,"17","std","MFL"
2506109,"9.2","std","ESPN"
2506109,"23","std","Yahoo"
497208,"0","std","MFL"
497208,"0.0","std","ESPN"
497208,"0","std","Yahoo"
2552490,"2","std","MFL"
2552490,"0.0","std","ESPN"
2543855,"0","std","MFL"
2543855,"0.0","std","ESPN"
100006,"1","std","MFL"
100006,"0.0","std","ESPN"
100006,"0","std","Yahoo"
929,"0","std","MFL"
929,"0.0","std","ESPN"
2543834,"0","std","MFL"
2550198,"0","std","MFL"
2550198,"0.0","std","ESPN"
2550198,"0","std","Yahoo"
2540163,"2","std","MFL"
2540163,"0.0","std","ESPN"
2541544,"1","std","MFL"
2541544,"0","std","Yahoo"
2542009,"0","std","MFL"
2533545,"1","std","MFL"
2533545,"0.0","std","ESPN"
2495930,"1","std","MFL"
2495930,"0.0","std","ESPN"
2495328,"1","std","MFL"
2495328,"0.0","std","ESPN"
2495328,"0","std","Yahoo"
100003,"4","std","MFL"
100003,"3.3","std","ESPN"
100003,"1","std","Yahoo"
2532976,"0","std","MFL"
2532976,"0.0","std","ESPN"
2543682,"4","std","MFL"
2543682,"2.0","std","ESPN"
2543682,"4","std","Yahoo"
2540141,"0","std","MFL"
2495441,"0","std","MFL"
2495441,"0.0","std","ESPN"
2495441,"0","std","Yahoo"
2550278,"0","std","MFL"
2550278,"0.0","std","ESPN"
2550278,"0","std","Yahoo"
2552478,"1","std","MFL"
2552478,"0.0","std","ESPN"
2552478,"0","std","Yahoo"
2543477,"4","std","MFL"
2543477,"0.0","std","ESPN"
2543477,"1","std","Yahoo"
2539219,"0","std","MFL"
2539219,"0.0","std","ESPN"
2552434,"1","std","MFL"
2552434,"0.0","std","ESPN"
2534571,"1","std","MFL"
2534571,"0.0","std","ESPN"
2553820,"0","std","MFL"
2532966,"7","std","MFL"
2532966,"3.6","std","ESPN"
2507768,"0","std","MFL"
80636,"1","std","MFL"
80636,"0.0","std","ESPN"
2539243,"2","std","MFL"
2539243,"0.0","std","ESPN"
2543505,"1","std","MFL"
2543505,"0.0","std","ESPN"
2550658,"1","std","MFL"
2550658,"0.0","std","ESPN"
2550658,"9","std","Yahoo"
2543498,"24","std","MFL"
2543498,"26.2","std","ESPN"
2543498,"33","std","Yahoo"
2495260,"0","std","MFL"
2532797,"1","std","MFL"
2532797,"0.0","std","ESPN"
2532797,"0","std","Yahoo"
2536342,"0","std","MFL"
2536342,"0.0","std","ESPN"
2536342,"0","std","Yahoo"
2532798,"1","std","MFL"
2532798,"0.0","std","ESPN"
2506155,"1","std","MFL"
2506155,"0.0","std","ESPN"
4365,"1","std","MFL"
4365,"0.0","std","ESPN"
2550328,"2","std","MFL"
2550328,"0.0","std","ESPN"
2550328,"0","std","Yahoo"
496778,"0","std","MFL"
754,"1","std","MFL"
754,"0.0","std","ESPN"
81288,"0","std","MFL"
81288,"0","std","Yahoo"
496788,"1","std","MFL"
496788,"0.0","std","ESPN"
2495499,"0","std","MFL"
497302,"4","std","MFL"
497302,"0.0","std","ESPN"
497302,"12","std","Yahoo"
2532898,"4","std","MFL"
2532898,"0.0","std","ESPN"
2495893,"12","std","MFL"
2495893,"9.7","std","ESPN"
2495893,"21","std","Yahoo"
2539989,"1","std","MFL"
2495677,"0","std","MFL"
2495677,"0.0","std","ESPN"
2495678,"0","std","MFL"
2495678,"0.0","std","ESPN"
89766,"0","std","MFL"
89766,"0.0","std","ESPN"
89766,"0","std","Yahoo"
71431,"1","std","MFL"
71431,"0.0","std","ESPN"
71431,"0","std","Yahoo"
496953,"1","std","MFL"
81306,"0","std","MFL"
81306,"0.0","std","ESPN"
2532959,"0","std","MFL"
2549919,"0","std","MFL"
2532970,"1","std","MFL"
2532970,"0.0","std","ESPN"
2532970,"0","std","Yahoo"
2553618,"0","std","MFL"
2553618,"0.0","std","ESPN"
2553618,"0","std","Yahoo"
2541302,"1","std","MFL"
2541302,"0.0","std","ESPN"
2539645,"1","std","MFL"
2539645,"0","std","Yahoo"
2507218,"1","std","MFL"
2507218,"0.0","std","ESPN"
2507218,"0","std","Yahoo"
2506861,"2","std","MFL"
2506861,"0.0","std","ESPN"
2543765,"0","std","MFL"
2535966,"0","std","MFL"
2535966,"0","std","Yahoo"
2552597,"5","std","MFL"
2552597,"0.0","std","ESPN"
2552597,"1","std","Yahoo"
2552588,"0","std","MFL"
2552588,"0.0","std","ESPN"
2552588,"0","std","Yahoo"
2505207,"0.0","std","ESPN"
80421,"2","std","MFL"
80421,"0.0","std","ESPN"
2550338,"0","std","MFL"
81831,"1","std","MFL"
81831,"0.0","std","ESPN"
81831,"1","std","Yahoo"
81294,"2","std","MFL"
81294,"0.0","std","ESPN"
81294,"0","std","Yahoo"
2541512,"0","std","MFL"
2541512,"0.0","std","ESPN"
2541512,"0","std","Yahoo"
2552268,"0","std","MFL"
2552268,"0.0","std","ESPN"
71423,"1","std","MFL"
71423,"0.0","std","ESPN"
2553840,"0","std","MFL"
2553840,"0","std","Yahoo"
2532933,"3","std","MFL"
2532933,"1.6","std","ESPN"
2532933,"1","std","Yahoo"
2495723,"1","std","MFL"
2495723,"0.0","std","ESPN"
2535522,"1","std","MFL"
2535522,"0","std","Yahoo"
2541388,"0","std","MFL"
2541388,"0.0","std","ESPN"
2541388,"0","std","Yahoo"
238466,"0","std","MFL"
2535988,"0","std","MFL"
2550285,"0","std","MFL"
2533436,"1","std","MFL"
2533436,"0.0","std","ESPN"
2533436,"0","std","Yahoo"
2543820,"1","std","MFL"
2506880,"0","std","MFL"
100009,"2","std","MFL"
100009,"1.5","std","ESPN"
100009,"1","std","Yahoo"
2495218,"1","std","MFL"
100007,"1","std","MFL"
100007,"0.0","std","ESPN"
100007,"0","std","Yahoo"
2495136,"2","std","MFL"
2495136,"0.0","std","ESPN"
2543646,"1","std","MFL"
2543646,"0.0","std","ESPN"
2495838,"0","std","MFL"
2495838,"0.0","std","ESPN"
2495838,"0","std","Yahoo"
2532871,"2","std","MFL"
2532871,"0.0","std","ESPN"
2495314,"0","std","MFL"
2495314,"0.0","std","ESPN"
2495314,"0","std","Yahoo"
2530666,"0","std","MFL"
2528181,"0","std","MFL"
2528181,"0.0","std","ESPN"
2528181,"0","std","Yahoo"
2534796,"0","std","MFL"
2534796,"0.0","std","ESPN"
2534796,"0","std","Yahoo"
2552307,"0","std","MFL"
2552307,"0.0","std","ESPN"
2552369,"1","std","MFL"
2552369,"0.0","std","ESPN"
2552369,"0","std","Yahoo"
2550247,"9","std","MFL"
2550247,"0","std","Yahoo"
100031,"1","std","MFL"
100031,"0.0","std","ESPN"
100031,"0","std","Yahoo"
2552289,"2","std","MFL"
2552289,"0.0","std","ESPN"
2495343,"1","std","MFL"
2495343,"0.0","std","ESPN"
2552568,"1","std","MFL"
2552568,"0.0","std","ESPN"
2495310,"1","std","MFL"
2495310,"0.0","std","ESPN"
2540269,"35","std","MFL"
2540269,"47.3","std","ESPN"
2540269,"44","std","Yahoo"
2543721,"1","std","MFL"
2543721,"0.0","std","ESPN"
2543721,"0","std","Yahoo"
2506526,"1","std","MFL"
2506526,"0.0","std","ESPN"
2543464,"9","std","MFL"
2543464,"4.1","std","ESPN"
497204,"11","std","MFL"
497204,"6.2","std","ESPN"
497204,"18","std","Yahoo"
79651,"1","std","MFL"
2552559,"1","std","MFL"
2552559,"0.0","std","ESPN"
2552559,"0","std","Yahoo"
2508068,"0","std","MFL"
2508068,"0.0","std","ESPN"
744,"5","std","MFL"
744,"2.1","std","ESPN"
2495647,"37","std","MFL"
2495647,"42.7","std","ESPN"
2495647,"44","std","Yahoo"
2505622,"1","std","MFL"
2505622,"0.0","std","ESPN"
2543469,"2","std","MFL"
2543469,"0.0","std","ESPN"
2495455,"11","std","MFL"
2495455,"3.7","std","ESPN"
2495455,"16","std","Yahoo"
496865,"0","std","MFL"
2553628,"2","std","MFL"
2553628,"0","std","Yahoo"
2552375,"2","std","MFL"
2552375,"1.1","std","ESPN"
2552375,"0","std","Yahoo"
2550656,"0.0","std","ESPN"
2550656,"0","std","Yahoo"
2508109,"2","std","MFL"
2508109,"0.0","std","ESPN"
2495184,"3","std","MFL"
2495184,"0.0","std","ESPN"
2539981,"1","std","MFL"
2553568,"0","std","MFL"
2553568,"0","std","Yahoo"
2506314,"5","std","MFL"
2506314,"0.0","std","ESPN"
80668,"1","std","MFL"
80668,"0.0","std","ESPN"
2543748,"0","std","MFL"
2543748,"0.0","std","ESPN"
100026,"2","std","MFL"
100026,"1.2","std","ESPN"
100026,"1","std","Yahoo"
2543552,"1","std","MFL"
2552280,"0","std","MFL"
2552280,"0.0","std","ESPN"
496780,"4","std","MFL"
496780,"2.2","std","ESPN"
2543743,"17","std","MFL"
2543743,"23.3","std","ESPN"
2543743,"23","std","Yahoo"
2506348,"0","std","MFL"
2506348,"0.0","std","ESPN"
2505245,"4","std","MFL"
2505245,"2.6","std","ESPN"
2505245,"6","std","Yahoo"
4471,"1","std","MFL"
4471,"0.0","std","ESPN"
2532888,"1","std","MFL"
2532888,"0.0","std","ESPN"
2532888,"0","std","Yahoo"
2532861,"1","std","MFL"
2532861,"0.0","std","ESPN"
2495309,"0","std","MFL"
2543868,"0","std","MFL"
2507869,"0","std","MFL"
2495341,"1","std","MFL"
2495341,"0.0","std","ESPN"
2495341,"1","std","Yahoo"
79629,"0","std","MFL"
79629,"0.0","std","ESPN"
2553589,"0","std","MFL"
2553229,"0","std","MFL"
2553229,"0.0","std","ESPN"
2495356,"1","std","MFL"
2495356,"0.0","std","ESPN"
2506881,"2","std","MFL"
2506881,"0.0","std","ESPN"
