"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"DEMARCOMURRAY","DeMarco Murray","RB","DAL",1.625,0.718795288428261,1,0.7413,1.5
"MATTFORTE","Matt Forte","RB","CHI",2,0.894427190999916,1,1.4826,2
"PEYTONMANNING","Peyton Manning","QB","DEN",2.6875,0.873212459828649,1,1.4826,3
"LEVEONBELL","LeVeon Bell","RB","PIT",4.6875,1.53704261489394,1,0.7413,4.5
"MARSHAWNLYNCH","Marshawn Lynch","RB","SEA",4.75,0.774596669241483,1,0.774596669241483,5
"ARIANFOSTER","Arian Foster","RB","HOU",6.5,1.31656117720877,1,1.4826,6
"DEMARYIUSTHOMAS","Demaryius Thomas","WR","DEN",6.8125,1.37689263682153,1,1.4826,7
"JORDYNELSON","Jordy Nelson","WR","GB",8.75,3.23522281561358,1,2.2239,8.5
"JAMAALCHARLES","Jamaal Charles","RB","KC",9.1875,3.1244999599936,1,1.4826,8.5
"ANDREWLUCK","Andrew Luck","QB","IND",11.625,4.47027217665025,1,1.4826,10
"RANDALLCOBB","Randall Cobb","WR","GB",13.5625,2.50249875124844,1,1.4826,13
"DEZBRYANT","Dez Bryant","WR","DAL",14.25,2.23606797749979,1,2.2239,14
"JIMMYGRAHAM","Jimmy Graham","TE","NO",15.1875,4.13471079198211,1,2.2239,13.5
"CALVINJOHNSON","Calvin Johnson","WR","DET",15.375,3.20156211871642,1,2.2239,15.5
"AARONRODGERS","Aaron Rodgers","QB","GB",15.9375,2.40745370325856,1,1.4826,16
"LESEANMCCOY","LeSean McCoy","RB","PHI",16.8125,3.2704484911604,1,2.2239,17.5
"GIOVANIBERNARD","Giovani Bernard","RB","CIN",17.0625,1.94828984838841,1,2.9652,17
"ANTONIOBROWN","Antonio Brown","WR","PIT",17.1875,3.97020150622106,1,1.4826,19
"JULIUSTHOMAS","Julius Thomas","TE","DEN",17.5625,4.85755425428614,1,7.413,18
"ANDREELLINGTON","Andre Ellington","RB","ARI",17.75,1.80739222823013,1,1.4826,18
"EDDIELACY","Eddie Lacy","RB","GB",17.8125,5.60022320983727,1,7.413,18
"EMMANUELSANDERS","Emmanuel Sanders","WR","DEN",21.0625,5.15711482646386,1,2.9652,23
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",22.8125,5.02286438863988,1,2.2239,24.5
"AJGREEN","A.J. Green","WR","CIN",22.9375,3.75,1,1.4826,23
"BRANDONMARSHALL","Brandon Marshall","WR","CHI",26.4375,2.47571538482651,1,2.9652,27
"DREWBREES","Drew Brees","QB","NO",26.8125,6.52399417534994,1,1.4826,26
"JULIOJONES","Julio Jones","WR","ATL",28.625,5.21376383559261,1,3.7065,27.5
"TYHILTON","T.Y. Hilton","WR","IND",30.375,5.4878654016536,1,1.4826,28.5
"FRANKGORE","Frank Gore","RB","SF",30.5625,4.81620528355399,1,5.1891,29.5
"ALFREDMORRIS","Alfred Morris","RB","WAS",31.625,7.47328575661335,1,8.8956,28.5
"ALSHONJEFFERY","Alshon Jeffery","WR","CHI",34.0625,5.02618145315109,1,5.1891,36
"JEREMYMACLIN","Jeremy Maclin","WR","PHI",34.125,4.45533388198909,1,3.7065,36
"ADRIANPETERSON","Adrian Peterson","RB","MIN",34.8125,4.83347700935879,1,4.4478,36
"AHMADBRADSHAW","Ahmad Bradshaw","RB","IND",35,3.91578004149024,1,2.9652,33.5
"TOMBRADY","Tom Brady","QB","NE",35.1875,5.16680107352057,1,3.7065,36
"RASHADJENNINGS","Rashad Jennings","RB","NYG",35.625,3.64920082575167,1,3.7065,35
"JULIANJONES","Julian Jones","WR","ATL",36.375,3.57537876781374,1,2.2239,37
"PHILIPRIVERS","Philip Rivers","QB","SD",36.5625,4.27346463656832,1,3.7065,36
"TONYROMO","Tony Romo","QB","DAL",37.4375,5.30369368145132,1,7.413,36.5
"KELVINBENJAMIN","Kelvin Benjamin","WR","CAR",37.625,7.50888362763289,1,1.4826,33
"BENTATE","Ben Tate","RB","CLE",41.125,4.75920161371632,1,0.7413,41.5
"SAMMYWATKINS","Sammy Watkins","WR","BUF",41.9375,7.37987127259006,1,4.4478,43
"MARKINGRAM","Mark Ingram","RB","NO",42.1875,6.92068156566485,1,4.4478,43
"GOLDENTATE","Golden Tate","WR","DET",42.3125,5.72385359700962,1,4.4478,44
"JOIQUEBELL","Joique Bell","RB","DET",45.125,8.23711114408444,1,5.9304,45.5
"STEVESMITH","Steve Smith","WR","BAL",45.8125,7.4226567570738,1,2.9652,45
"DESEANJACKSON","DeSean Jackson","WR","WAS",46.5,7.43863786814047,1,2.9652,47
"BRANDINCOOKS","Brandin Cooks","WR","NO",49.9375,5.90444747626736,1,5.9304,48
"DARRENSPROLES","Darren Sproles","RB","PHI",50.5,4.42718872423573,1,4.4478,50
"REGGIEBUSH","Reggie Bush","RB","DET",51.375,6.02079728939615,1,3.7065,48.5
"MIKEWALLACE","Mike Wallace","WR","MIA",52.0625,5.15711482646386,1,4.4478,51
"LAMARMILLER","Lamar Miller","RB","MIA",52.9375,4.04093636013569,1,4.4478,54.5
"GREGOLSEN","Greg Olsen","TE","CAR",54.875,3.61247837363769,1,3.7065,56.5
"RUSSELLWILSON","Russell Wilson","QB","SEA",54.9375,4.97284291594523,1,3.7065,57
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",55.1875,4.51986356726248,1,2.9652,54
