"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo","simulation"
"DEANGELOWILLIAMS","DeAngelo Williams","RB",124.017176021933,4.68130756234234,5,"CAR",126,109.8,37,103.465,133.8,113.675,126.679412718089,NA,124.7875,157.675,125.104412718089,119.029412718089,101.529412718089,123.454412718089,142.029412718089,148.25,145.125,119.403662718089,NA,94.25,125.024359375,124.017176021933,3.50665376394802,14.1,18.0092083845463,2.2,6,4.1,6,123.7,3.1,101.9,9,119,115.8,14.4,4.1,1,4.00733318523247
"DEANTHONYTHOMAS","De'Anthony Thomas","RB",34.6879562447226,5.96844709117525,1,"KC",321,NA,90,3,3,34.1,42.9,3,36.4825,2.7,25.175,22.35,85.1,26.225,22.225,30.3,3,2.1,NA,34.12,32.6179545454545,34.6879562447226,-85.8225660132619,NA,21.9022464405053,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"DEIONBRANCH","Deion Branch","WR",0,NA,1,"IND",645,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-142.781169011837,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"DEJIKARIM","Deji Karim","RB",0,NA,1,"IND",645,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-120.510522257984,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"DELANIEWALKER","Delanie Walker","TE",102.569120297237,4.49447594941365,2,"TEN",157,153.3,17,64.85,100.375,111,101.750236471577,NA,105.0625,114.125,106.500236471577,95.1252364715771,91.3752364715771,95.5002364715771,102.000236471577,90,117.75,112.556486471577,NA,113.175,102.541817708333,102.569120297237,-15.3707928158231,16.1,13.2719432166147,1,1,1,1,134.1,1.1,142,4,186,NA,NA,1,1,3.93182563272433
"DELONECARTER","Delone Carter","RB",0,NA,1,"JAC",645,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-120.510522257984,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"DEMARCOMURRAY","DeMarco Murray","RB",214.800801561174,4.37575910687283,50,"DAL",35,12.6,6,302.38,249.925,197.225,200.275210536899,217.3,215.735,219.85,207.375210536899,188.475210536899,204.750210536899,201.775210536899,205.875210536899,231.2,219.925,239.202460536899,NA,211.725,218.259921568627,214.800801561174,94.2902793031894,4.8,27.1934242143967,43.8,45,44.4,45,15.9,38.9,16.9,40,13,14.4,3.1,44.4,41,9.38016753118845
"DEMARYIUSTHOMAS","Demaryius Thomas","WR",250.275542288666,3.57529641630669,68,"DEN",18,9,2,306.18,249.4,261.65,250.400205361566,255.025,255.3,268.65,256.525205361566,236.275205361566,241.900205361566,243.900205361566,269.150205361566,198.125,252.175,240.612705361566,NA,231.85,251.780214932127,250.275542288666,107.494373276829,1.9,22.3443728033961,56.7,52,54.35,56.7,9.4,42.6,13.6,38,10,8.6,1.8,54.35,65,9.1958356857733
"DEMETRIUSHARRIS","Demetrius Harris","TE",20.1499952155164,3.06106930399927,1,"KC",396,NA,69,NA,NA,NA,NA,NA,15.95,NA,19,11.25,24.75,26.75,14.75,NA,NA,NA,NA,NA,16.0642857142857,20.1499952155164,-97.7899178975439,NA,6.00253418704689,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"DENARDROBINSON","Denard Robinson","WR",38.4920414850625,6.36759435168885,1,"JAC",300,203,127,10.045,63.725,42.675,20.0301172030514,NA,50.245,2.475,73.1551172030514,22.4801172030514,16.2801172030514,15.1301172030514,9.78011720305137,171.075,NA,-3.71988279694863,NA,24.0875,42.2980952380952,38.4920414850625,-104.289127526774,7.9,44.8037251565364,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,3.52636052461616
