"name","player","pos","projections","risk","inflatedCost","team","overallRank","pick","positionRank","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_nf","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","cost_yahoo","costProjected_yahoo","costAvg_yahoo","costMax_yahoo","adp_yahoo","cost_espn","adp_espn","cost_fp","adp_fp","adp_ffc","adpSD_ffc","avgCost","bidUpTo","simulation"
"AARONDOBSON","Aaron Dobson","WR",91.532135239699,7.94531389277326,1,"NE",174,140.3,73,42.345,107.125,55.125,104.447157095819,NA,80.75,126.95,51.8221570958193,36.6971570958193,95.0721570958193,99.6971570958193,41.4471570958193,102.75,134.875,89.8971570958193,NA,110.45,89.01925,91.532135239699,-51.2490337721377,30.1,32.1588896103884,1,1,1,1,NA,0,170,2,210,NA,NA,1,1,4.66343909411207
"AARONMELLETTE","Aaron Mellette","WR",0,NA,1,"BAL",645,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-142.781169011837,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"AARONMURRAY","Aaron Murray","QB",0,NA,1,"KC",645,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-245.692910375086,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"AARONRODGERS","Aaron Rodgers","QB",318.703787109601,3.84409839937589,47,"GB",2,26.5,2,292.76,339.06,341.86,336.47,337.02,337.08,295.34,320.05,306.65,315.85,293.81,328.75,295,330.08,331.04545,NA,301.84,319.871879411765,318.703787109601,73.0108767345151,6.9,18.5499034170372,38.7,36,37.35,38.7,19.8,46.4,10.1,41,15,17.7,4.5,37.35,33,7.71735127218533
"ACESANDERS","Ace Sanders","WR",41.3728171755497,4.62782136100846,1,"JAC",289,208,123,31.605,56.5,NA,49.85,NA,42.7,52.45,33.375,39.25,24.125,49.05,13.75,NA,94.025,NA,NA,15.795,41.7890833333333,41.3728171755497,-101.408351836287,11,21.5995867446088,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ACLEONARD","A.C. Leonard","TE",2,NA,1,"MIN",597,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,2,-115.93991311306,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ADAMTHIELEN","Adam Thielen","WR",9.21875,3.01764162353427,1,"MIN",471,NA,194,NA,NA,13.75,NA,NA,10.3125,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,8.85416666666667,9.21875,-133.562419011837,NA,5.76503920917571,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ADRIANPETERSON","Adrian Peterson","RB",246.350069953129,2.72645965586945,74,"MIN",20,2.9,4,228.935,252.8,225.825,255.625,246.775,243.7325,275.75,242.1,234.775,245.25,224.15,239.75,244.3,253.125,268.38725,NA,237.275,245.394799019608,246.350069953129,125.839547695144,1.1,14.1377448628128,62.9,56,59.45,62.9,3.2,60.8,2.3,57,2,2.3,1.2,59.45,64,7.86403565907245
"ADRIENROBINSON","Adrien Robinson","TE",52.0074209798979,10.2046522250964,1,"NYG",256,223.7,42,60.205,65.875,70.25,-1.8,NA,51.3375,60.5,50.7,41.95,10.7,41.95,28.95,91,NA,60.085,NA,20.3,52.7374862637363,52.0074209798979,-65.9324921331624,53.7,25.0835979125332,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,2.07944154167984
"AHMADBRADSHAW","Ahmad Bradshaw","RB",81.4811840021689,5.99793588962635,1,"IND",188,138.5,53,52.44,89.6,76.125,48.3009356534292,NA,72.0375,99.25,63.1509356534292,72.9509356534292,91.6759356534292,62.4759356534292,97.9259356534292,147.825,106.625,65.1456856534292,NA,94.475,82.0670989583333,81.4811840021689,-39.0293382558156,19.3,25.4059528465203,1,1,1,1,NA,1.2,146.9,3,182,127.1,16.8,1,1,1.94591014905531
"AJGREEN","A.J. Green","WR",228.632483623729,3.10933890833986,61,"CIN",27,14.3,4,262.985,226.75,227,230.106168816514,229.25,227.4,237.075,220.481168816514,224.481168816514,230.856168816514,222.306168816514,227.856168816514,194.125,252.375,241.852418816514,NA,211.7,230.593009049774,228.632483623729,85.851314611892,3.2,15.496998573746,51.3,47,49.15,51.3,12.4,40.5,16.5,38,14,13.2,2.3,49.15,49,7.20414929203594
"AJJENKINS","A.J. Jenkins","WR",41.4025386771699,5.56494033886208,1,"KC",288,NA,122,50.485,69,21.125,53.6,NA,44.8125,13.375,34.375,24.925,8.125,41.15,18.75,40.125,68.175,NA,NA,57.655,38.9989772727273,41.4025386771699,-101.378630334667,NA,19.6955702794624,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"AJMCCARRON","A.J. McCarron","QB",0,NA,1,"CIN",645,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.78,NA,NA,NA,3.556,0,-245.692910375086,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"ALANBONNER","Alan Bonner","WR",9.89375,NA,1,"HOU",460,NA,191,NA,NA,NA,NA,NA,19.7875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.89375,9.89375,-132.887419011837,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ALBERTWILSON","Albert Wilson","WR",7.5,3.88679401786074,1,"KC",503,NA,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,22.375,NA,NA,NA,NA,NA,NA,9.95833333333333,7.5,-135.281169011837,NA,10.5182133701499,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ALDRICKROBINSON","Aldrick Robinson","WR",27.6437022206037,4.78765664454903,1,"WAS",357,NA,156,18.87,NA,30.875,NA,NA,31.625,43.625,NA,NA,NA,20.625,1.875,NA,46.6,NA,NA,NA,21.5718253968254,27.6437022206037,-115.137466791233,NA,15.4448027550648,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ALEXGREEN","Alex Green","RB",0,NA,1,"NYJ",645,NA,196,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225,0,-120.510522257984,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ALEXSMITH","Alex Smith","QB",235.631547734353,9.1750638516714,2,"KC",24,144.7,17,256.5,245.16,218.86,201.529997629087,1.2,229.414,248.24,248.009997629087,220.369997629087,233.749997629087,225.909997629087,238.549997629087,248.24,259.74,211.546297629087,NA,257.58,235.337404166667,235.631547734353,-10.0613626407331,18.5,61.233286307437,1.3,1,1.15,1.3,124.4,1.2,147.1,6,151,NA,NA,1.15,1,9.17055950196434
"ALEXTANNEY","Alex Tanney","QB",0,NA,1,"TB",645,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-245.692910375086,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"ALFONSOSMITH","Alfonso Smith","RB",0.1625,3.4196192309206,1,"SF",642,NA,194,18.3,NA,NA,-3.9,NA,NA,NA,-3.9,-3.9,-3.9,4.225,-3.9,NA,NA,-3.9,NA,NA,3.68125,0.1625,-120.348022257984,NA,7.96335286417007,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ALFREDBLUE","Alfred Blue","RB",38.9982801576488,5.37536647982817,1,"HOU",299,192.8,83,NA,35.65,50.975,21.85,NA,36.8925,44.375,31.175,49.375,60.25,37.325,41.875,32.2,NA,-0.75,NA,34.3,39.436875,38.9982801576488,-81.5122421003357,22,14.9599800375655,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"ALFREDMORRIS","Alfred Morris","RB",185.702473120621,6.76635101434527,39,"WAS",55,22.3,15,228.665,208.05,181.95,181.849944588271,0.4,189.34,171.15,176.849944588271,170.924944588271,174.524944588271,166.349944588271,175.399944588271,237.55,191.4,182.160944588271,NA,174.975,187.1504375,185.702473120621,65.1919508626365,6.5,51.050780388281,33.2,36,34.6,36,27.3,29.7,26.5,31,24,23.8,3.9,34.6,22,9.71589211323947
"ALLENHURNS","Allen Hurns","WR",58.7628479456871,7.72885212171483,1,"JAC",231,NA,95,NA,NA,75.625,-0.45,NA,47.95,37.5,-0.45,-0.45,46.55,-0.45,44.3,NA,NA,-0.45,NA,78.65,54.9208333333333,58.7628479456871,-84.0183210661495,NA,31.5294553841036,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,1.38629436111989
"ALLENREISNER","Allen Reisner","TE",16.63625,3.58370341440666,1,"MIN",416,NA,74,26.235,NA,NA,-0.255,NA,7.0375,NA,-0.255,-0.255,-0.255,-0.255,-0.255,NA,NA,-0.255,NA,NA,16.63625,16.63625,-101.30366311306,NA,8.86068767709996,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ALLENROBINSON","Allen Robinson","WR",60.4310565204802,5.92780111424568,1,"JAC",228,178.3,93,NA,101.5,41.125,55.375,NA,60.8375,40.25,34.875,79,78.75,74.375,46.5,63.625,71.625,-3,NA,40.5,60.9973901098901,60.4310565204802,-82.3501124913565,18.6,25.5816827154962,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"ALSHONJEFFERY","Alshon Jeffery","WR",215.342006843965,3.1267924567893,42,"CHI",34,23.7,9,217.97,215.525,200.4,219.364765050668,218.025,216.0625,213.175,201.689765050668,206.089765050668,210.989765050668,199.289765050668,210.614765050668,166.375,217.75,203.904965050668,NA,203.385,210.54560214178,215.342006843965,72.5608378321281,5.2,12.9941009502666,38.5,36,37.25,38.5,22.5,27.7,27.9,30,26,24.6,3.6,37.25,39,8.15593633797239
"ALVESTERALEXANDER","Alvester Alexander","RB",7.51034283438737,2.47088431944749,1,NA,502,NA,145,NA,9.25,NA,NA,NA,6.9425,3.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81958333333333,7.51034283438737,-113.000179423597,NA,2.77496208682809,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ANDREBROWN","Andre Brown","RB",44.2124895241231,3.71583609464818,1,"HOU",279,169,77,62.57,NA,NA,35.675,NA,35.675,NA,NA,NA,NA,NA,NA,NA,50.125,NA,NA,NA,28.5136111111111,44.2124895241231,-76.2980327338613,10,12.9716520247037,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
"ANDRECALDWELL","Andre Caldwell","WR",40.3559387284753,3.12253740211227,1,"DEN",293,179.5,124,14.065,69.95,35.075,36.7,1.2,50.0875,64.6,30.2,46.7,21.7,44.2,32.575,33.575,36.825,1.2,NA,44.55,40.0736363636364,40.3559387284753,-102.425230283361,0.5,19.2779811890135,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ANDREELLINGTON","Andre Ellington","RB",190.082633981281,3.92647134106462,42,"ARI",51,26.3,13,147.26,209.2,178.05,175.324928014155,NA,191.035,220.75,198.974928014155,170.899928014155,179.624928014155,176.299928014155,192.499928014155,197.35,203.875,193.960678014155,NA,199.725,188.836880208333,190.082633981281,69.5721117232968,7.9,18.1039590542979,35.4,38,36.7,38,24.2,16,46.6,21,30,27,3.4,36.7,27,6.9177056098353
"ANDREHOLMES","Andre Holmes","WR",85.9375009791894,6.63601985849188,1,"OAK",181,167.9,75,NA,77.625,100,69.875,NA,83.6375,58.025,81.875,35.275,86.125,73.325,85.25,111.25,120.5,NA,NA,103.025,81.5987662337662,85.9375009791894,-56.8436680326472,26.6,22.5526375916376,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0.693147180559945
"ANDREJOHNSON","Andre Johnson","WR",191.09482362664,6.84491072166824,25,"HOU",49,37,12,180.075,198.4,188.775,210.4607954289,0.4,193.3125,210.9,169.7107954289,179.8357954289,178.8357954289,176.3357954289,199.2107954289,199.375,214.75,202.9789454289,NA,178.4,193.378958125,191.09482362664,48.3136546148029,8,49.8896798786159,19.2,24,21.6,24,39.8,21.5,34.8,27,37,44.2,5.3,21.6,25,10.1230246082562
"ANDREROBERTS","Andre Roberts","WR",80.4110799240684,7.23103853919859,1,"WAS",190,194.8,78,20.71,87.675,76.175,94.0048379681605,1.8,82.7,66.85,70.9298379681605,70.8048379681605,88.4298379681605,61.1298379681605,73.1798379681605,85.675,95.675,0.179837968160521,NA,101.3,78.470367965368,80.4110799240684,-62.3700890877682,24.5,31.8891357842576,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,3.3322045101752
"ANDREWHAWKINS","Andrew Hawkins","WR",104.284085231852,5.41816878894132,1,"CLE",154,154,63,NA,102.625,98.625,101.125,NA,101.9,96.2,96,103.175,120.25,102.5,86.75,109.5,123.5,70.2725,NA,107.34,96.2745520833333,104.284085231852,-38.4970837799847,23.8,13.0037138780524,1,1,1,1,NA,1.2,151.1,1,238,NA,NA,1,1,0
"ANDREWILLIAMS","Andre Williams","RB",100.479655498805,6.89005434734599,4,"NYG",158,121.9,44,NA,151.775,114.575,61.3748040945911,NA,105.795,110.125,63.5748040945911,96.4998040945911,88.4998040945911,72.2748040945911,96.7498040945911,133.975,128,69.8746040945911,NA,76.3,96.2356457142857,100.479655498805,-20.0308667591795,24.7,27.8902439673125,1.8,6,3.9,6,123.6,1.6,137.6,5,136,111.5,11.6,3.9,1,4.70953020131233
"ANDREWLUCK","Andrew Luck","QB",289.697417538729,4.23704921763651,14,"IND",4,55.7,4,354.51,304.58,291.32,272.136811959473,296.9,290.658,290,286.896811959473,288.996811959473,294.596811959473,286.296811959473,290.796811959473,282.88,306,276.100561959473,NA,270.88,292.144882352941,289.697417538729,44.0045071636435,9.6,19.2111761025763,5.6,16,10.8,16,55.8,17,34.5,24,39,48.4,8.9,10.8,17,8.89233653963801
"ANDREWQUARLESS","Andrew Quarless","TE",57.6744961437253,6.067931157239,1,"GB",235,NA,37,87.265,75.375,NA,58.8848336371445,NA,46.1125,68.625,27.8848336371445,38.7598336371445,33.0098336371445,65.7598336371445,52.7598336371445,82,92.625,60.9955336371445,NA,21.075,59.6685447619048,57.6744961437253,-60.2654169693349,NA,22.4462995839236,1,0,0,0,NA,0,170,0,NA,NA,NA,0,1,1.94591014905531
"ANDREWSZCZERBA","Andrew Szczerba","TE",4.0375,NA,1,"ATL",564,NA,107,NA,NA,NA,NA,NA,4.0375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0375,4.0375,-113.90241311306,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"ANDYDALTON","Andy Dalton","QB",228.820615590307,4.78924762018176,3,"CIN",26,121.1,18,242.28,245.26,236.22,222.179941578027,NA,233.2,227.16,221.599941578027,225.199941578027,232.799941578027,220.819941578027,222.999941578027,245.86,251.2,229.081241578027,NA,224.4,232.187716666667,228.820615590307,-16.8722947847792,20.9,10.0308966793895,1.2,3,2.1,3,123.2,2.6,118.6,6,127,115.8,12.7,2.1,1,0
"ANDYTANNER","Andy Tanner","WR",3.5625,NA,1,"NO",569,NA,224,NA,NA,NA,NA,NA,7.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5625,3.5625,-139.218669011837,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ANQUANBOLDIN","Anquan Boldin","WR",131.02918534699,4.35722401669716,4,"SF",113,115.3,41,135.445,124.625,120.25,144.024942959888,NA,126.9625,121.175,119.874942959888,125.224942959888,135.499942959888,125.524942959888,130.874942959888,146.375,147.45,131.733942959888,NA,127.105,133.33740625,131.02918534699,-11.7519836648468,18,9.2116452437223,1.3,6,3.65,6,114.4,3.2,97.5,5,113,120.7,13.3,3.65,1,0
"ANTHONYALLEN","Anthony Allen","RB",0,NA,1,"BUF",645,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-120.510522257984,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"ANTHONYARMSTRONG","Anthony Armstrong","WR",6.43125,NA,1,"CLE",525,NA,214,NA,NA,NA,NA,NA,12.8625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.43125,6.43125,-136.349919011837,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ANTHONYDIXON","Anthony Dixon","RB",19.9154865877251,4.15674718039453,1,"BUF",397,NA,110,-0.03,28.125,33.1,NA,NA,30.6125,5.925,NA,22.15,15,13.6,1.75,NA,NA,NA,NA,10.02,15.98325,19.9154865877251,-100.595035670259,NA,11.9945187973739,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ANTHONYFASANO","Anthony Fasano","TE",50.0743837852724,5.35811939637357,1,"KC",265,NA,44,74.99,65,52.75,NA,NA,47.025,71.5,58.5,24.5,37.625,25.375,10,55.5,53.75,54.74375,NA,54.275,48.8815178571429,50.0743837852724,-67.8655293277878,NA,18.5645189630284,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1,0
"ANTHONYMCCOY","Anthony McCoy","TE",26.2307508673957,4.6327648961143,1,"SEA",364,NA,64,40.24,NA,NA,-0.21,NA,17.1875,NA,-0.21,-0.21,-0.21,21.415,-0.21,NA,NA,-0.21,NA,NA,13.0354166666667,26.2307508673957,-91.7091622456645,NA,14.5977390396405,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ANTHONYSHERMAN","Anthony Sherman","RB",21.931018349456,3.19282443983844,1,"KC",384,NA,105,32.565,22.775,19.825,NA,NA,21.3,NA,NA,14.675,10.5,11.3,NA,16.15,NA,NA,NA,18.89,18.5511111111111,21.931018349456,-98.5795039085285,NA,6.72306963207862,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ANTONESMITH","Antone Smith","RB",15.501471744937,3.47535957096725,1,"ATL",421,NA,122,NA,4.525,15.1,NA,NA,7.51,15.175,NA,22.45,29.75,9.075,5.75,14.975,NA,NA,NA,NA,12.131,15.501471744937,-105.009050513047,NA,8.26818265669333,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ANTONIOANDREWS","Antonio Andrews","RB",0,NA,1,"TEN",645,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-120.510522257984,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ANTONIOBROWN","Antonio Brown","WR",216.267549207878,2.75890515232927,46,"PIT",33,23.7,8,198.48,223.875,205.375,226.075120980345,221.375,221.35,216.55,221.650120980345,209.350120980345,213.250120980345,203.850120980345,221.375120980345,201.875,225.525,230.988070980345,NA,205.83,216.601519864253,216.267549207878,73.4863801960412,4.4,10.0478543692882,37.2,36,36.6,37.2,25.8,25.9,29.7,31,25,22,3.2,36.6,41,6.87729607149743
"ANTONIOGATES","Antonio Gates","TE",107.661002480977,4.01837293767931,2,"SD",145,153.3,14,92.105,114.125,126,97.0284504392936,NA,112.3875,104.125,102.778450439294,95.9034504392936,115.028450439294,96.7784504392936,108.153450439294,90,113.25,121.160950439294,NA,98.525,106.698583333333,107.661002480977,-10.2789106320829,14,10.8930552813162,1.1,1,1.05,1.1,125.9,1.8,122.7,3,138,127.1,21,1.05,1,3.91202300542815
"ARIANFOSTER","Arian Foster","RB",203.296608937059,7.60914098201843,45,"HOU",41,22.1,10,194.19,208.6,184.325,191.774806825617,2,196.7375,187.25,202.524806825617,213.574806825617,204.999806825617,200.649806825617,193.499806825617,215.85,218.225,254.459056825617,NA,201.65,203.089026041667,203.296608937059,82.7860866790748,11.7,53.2649210581409,42.3,36,39.15,42.3,20.6,43,13.5,43,17,21.1,4.5,39.15,35,10.0457680597929
"ARMANTIEDWARDS","Armanti Edwards","WR",-0.27,NA,1,"CHI",815,NA,289,-0.27,NA,NA,-0.27,NA,NA,NA,-0.27,-0.27,-0.27,-0.27,-0.27,NA,NA,-0.27,NA,NA,-0.27,-0.27,-143.051169011837,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ARMONBINNS","Armon Binns","WR",7.21875,NA,1,"MIA",510,NA,208,NA,NA,NA,NA,NA,14.4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21875,7.21875,-135.562419011837,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ARMONDSMITH","Armond Smith","RB",0,NA,1,NA,645,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-120.510522257984,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"ARRELIOUSBENN","Arrelious Benn","WR",26.5808019140147,6.42070045492606,1,"PHI",363,NA,160,-0.03,49,NA,NA,NA,37.05,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,17.9025,26.5808019140147,-116.200367097822,NA,24.3755054648446,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"ARTHURLYNCH","Arthur Lynch","TE",8.87728755590647,3.11957668232498,1,"MIA",478,NA,88,NA,NA,NA,NA,NA,16.875,NA,NA,6.25,NA,5.625,NA,NA,NA,NA,NA,NA,7.1875,8.87728755590647,-109.062625557154,NA,6.3224962106223,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,0
"ASAWATSON","Asa Watson","TE",0,NA,1,"NE",645,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-117.93991311306,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"AUSTINCOLLIE","Austin Collie","WR",54.375,NA,1,NA,245,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.375,NA,NA,NA,54.375,54.375,-88.4061690118366,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"AUSTINDAVIS","Austin Davis","QB",24.3500042255785,4.05361422059342,1,"STL",370,NA,44,NA,NA,35.82,NA,NA,29.53,20.5,NA,3,27.2,18,NA,NA,NA,NA,NA,NA,19.15,24.3500042255785,-221.342906149507,NA,11.4305107789051,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"AUSTINPETTIS","Austin Pettis","WR",50.8178311572494,7.67568740199987,1,"STL",262,NA,109,106.49,65.25,43.625,NA,NA,34.6375,61.75,9.875,7.625,NA,25.5,21,NA,84,55.3125,NA,NA,42.2689285714286,50.8178311572494,-91.9633378545873,NA,31.2387110063925,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0.693147180559945
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE",71.6498703139283,8.21529153445194,1,"TB",205,195.8,27,NA,87.125,81.625,65.625,NA,70.875,8.25,28.125,67.375,83.75,73,NA,NA,80.125,NA,NA,54.55,65.1903409090909,71.6498703139283,-46.2900427991319,37.8,24.7406548013588,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,3.95124371858143
"BEARPASCOE","Bear Pascoe","TE",8.66249361352334,3.05568821854208,1,"NYG",483,NA,91,17.225,NA,NA,NA,NA,14.4,9.575,NA,NA,NA,5.125,3.125,NA,NA,NA,NA,NA,8.23833333333333,8.66249361352334,-109.277419499537,NA,5.9731063944986,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"BENHARTSOCK","Ben Hartsock","TE",2.735,2.33261273945427,1,NA,582,NA,116,5.59,NA,NA,-0.12,NA,NA,NA,-0.12,-0.12,-0.12,-0.12,-0.12,NA,NA,-0.12,NA,NA,2.735,2.735,-115.20491311306,NA,2.01878986028759,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"BENJAMINWATSON","Ben Watson","TE",33.1557330456532,4.81542085250431,1,"NO",327,NA,57,27.715,NA,NA,-1.1432877546606,NA,36.525,43.5,45.2317122453394,25.4817122453394,19.2317122453394,25.6067122453394,25.4817122453394,58.75,NA,46.1092122453394,NA,26.55,34.7405909090909,33.1557330456532,-84.784180067407,NA,15.596638171632,1,0,0,0,NA,0,170,1,NA,NA,NA,0,1,0
"BENJARVUSGREENELLIS","BenJarvus Green-Ellis","RB",42.1999460208496,5.86992546185889,1,"CIN",286,168,79,79.915,54.975,38.85,35.7500993966377,NA,40.3125,45,22.0750993966377,33.5250993966377,4.50009939663772,55.0250993966377,48.2500993966377,27.325,32.25,69.9243493966377,NA,32.5625,41.5942833333333,42.1999460208496,-78.3105762371349,23.2,18.7529380809678,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,0
"BENMALENA","Ben Malena","RB",0,NA,1,"DAL",645,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-120.510522257984,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"BENNYCUNNINGHAM","Benny Cunningham","RB",53.9360829578589,8.15857604449278,1,"STL",248,172.8,71,1.2,87.725,85.775,44.05,1.2,70.78,59.325,46.6,55.6,33.575,21,40.45,14,84.35,46.1321,NA,62.525,54.3438842857143,53.9360829578589,-66.5744393001256,34.9,28.0263332704076,1,1,1,1,NA,0,170,2,NA,NA,NA,1,1,0
"BENOBOMANU","Ben Obomanu","WR",0,NA,1,NA,645,NA,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-142.781169011837,NA,NA,1,1,1,1,NA,0,170,1,NA,NA,NA,1,1,NA
"BENROETHLISBERGER","Ben Roethlisberger","QB",239.482259155477,9.37969710410365,6,"PIT",22,110,16,205.96,266.84,259.74,220.759920931353,2,250.062,247.84,236.679920931353,227.119920931353,237.199920931353,223.699920931353,238.999920931353,269.56,253.96,234.753920931353,NA,220.68,240.788833333333,239.482259155477,-6.21065121960882,19.6,61.9898734662576,1.3,7,4.15,7,117.3,2,122.9,6,121,122.7,14.2,4.15,1,9.16471519394991
"BENTATE","Ben Tate","RB",153.480708268824,4.99237341068128,8,"CLE",88,53.2,26,97.285,167.025,149.25,175.974994045428,NA,157.5025,186.875,140.124994045428,139.124994045428,144.499994045428,152.749994045428,135.374994045428,158.725,169.725,142.457994045428,NA,139.475,150.065864583333,153.480708268824,32.9701860108396,14.3,21.1421093876677,2.5,12,7.25,12,102.7,19.5,42.2,23,66,59.7,7.7,7.25,1,7.99328232810159
"BERNARDPIERCE","Bernard Pierce","RB",106.801766181624,6.02165679630393,5,"BAL",146,94,41,56.24,147.425,112.8,78.065,NA,114.1825,118.25,89.94,105.115,110.715,103.365,99.34,135.325,137.25,78.86655,NA,118.425,109.621842291667,106.801766181624,-13.7087560763604,20.3,24.3185022551305,2.2,7,4.6,7,121.5,1.9,126.3,7,120,86.9,9.9,4.6,1,4.11087386417331
"BERNARDSCOTT","Bernard Scott","RB",0,NA,1,NA,645,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-120.510522257984,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,NA
"BILALPOWELL","Bilal Powell","RB",48.2620387915633,5.11207745843654,1,"NYJ",268,174,74,14.535,65.4,43.625,45.575,NA,54.4875,37.625,63.325,36.5,14.125,37.525,26,11.875,46.9,96.45495,NA,57.675,44.463855625,48.2620387915633,-72.2484834664212,14.2,22.5860613693474,1,1,1,1,NA,0,170,0,NA,NA,NA,1,1,0
