"name","name_ffc","pos","team_ffc","mean","sd","freq","mad","median"
"MIKEWALLACE","MikeWallace","WR","MIA",73.7572139303483,9.3914833949475,1,4.4478,77
"MATTRYAN","MattRyan","QB","ATL",75.710447761194,11.9487926467759,1,11.8608,78
"MARQUESCOLSTON","MarquesColston","WR","NO",75.8378109452736,12.1806032200733,1,13.3434,76
"JORDANREED","JordanReed","TE","WAS",77.0029850746269,11.1877757280797,1,8.8956,75
"SAMMYWATKINS","SammyWatkins","WR","BUF",78.8597014925373,12.2007289439359,1,10.3782,78
"MAURICEJONESDREW","MauriceJones-Drew","RB","OAK",79.7154228855721,8.0522825291687,1,8.8956,80
"GREGOLSEN","GregOlsen","TE","CAR",79.7681592039801,12.7244385240183,1,4.4478,75
"PIERRETHOMAS","PierreThomas","RB","NO",81.5333333333333,7.0723448084053,1,7.413,83
"SEATTLE","Seattle","DEF","SEA",82.3303482587065,12.71062878232,1,7.413,83
"CAMNEWTON","CamNewton","QB","CAR",84.473631840796,14.1516597383621,1,14.826,86
"COLINKAEPERNICK","ColinKaepernick","QB","SF",84.5970149253731,12.8981526459437,1,16.3086,84
"GOLDENTATE","GoldenTate","WR","DET",85.1283582089552,8.76272221337011,1,5.9304,86
"TERRANCEWILLIAMS","TerranceWilliams","WR","DAL",85.2497512437811,10.0375942954897,1,11.8608,87
"DARRENSPROLES","DarrenSproles","RB","PHI",85.8318407960199,10.8020297033326,1,14.826,87
"LAMARMILLER","LamarMiller","RB","MIA",86.2905472636816,13.0608886737165,1,7.413,85
"REGGIEWAYNE","ReggieWayne","WR","IND",87.2945273631841,8.14098992950907,1,7.413,89
"DENNISPITTA","DennisPitta","TE","BAL",87.4089552238806,14.7586465777779,1,17.7912,85
"KNOWSHONMORENO","KnowshonMoreno","RB","MIA",89.592039800995,10.0755481061751,1,8.8956,89
"SCOTTCHANDLER","ScottChandler","TE","BUF",91,0,0.0417910447761194,0,91
"TONYROMO","TonyRomo","QB","DAL",92.4417910447761,9.31123238791688,1,8.8956,94
"TERRANCEWEST","TerranceWest","RB","CLE",92.6427860696517,12.7104107734912,1,8.8956,89
"ERICDECKER","EricDecker","WR","NYJ",92.7980099502488,10.9627218762566,1,10.3782,95
"KENDALLWRIGHT","KendallWright","WR","TEN",93.6726368159204,10.9697745509034,1,13.3434,95
"RILEYCOOPER","RileyCooper","WR","PHI",95.9273631840796,11.2012421725274,1,8.8956,95
"BRANDINCOOKS","BrandinCooks","WR","NO",97.0208955223881,10.2726070387482,1,8.8956,97
"KYLERUDOLPH","KyleRudolph","TE","MIN",98.5800995024876,18.2083121530853,1,16.3086,98
"DARRENMCFADDEN","DarrenMcFadden","RB","OAK",99.2278606965174,8.58869937027752,1,8.8956,100
"FREDJACKSON","FredJackson","RB","BUF",99.3373134328358,11.4848180899842,1,10.3782,95
"BERNARDPIERCE","BernardPierce","RB","BAL",99.9502487562189,14.7276575479745,1,11.8608,97
"SANFRANCISCO","SanFrancisco","DEF","SF",99.9900497512438,7.40248023590341,1,7.413,102
"MIKEEVANS","MikeEvans","WR","TB",100.092537313433,9.21340581127726,1,10.3782,101
"HAKEEMNICKS","HakeemNicks","WR","IND",102.986069651741,15.0737167688072,1,8.8956,104
"JOSHGORDON","JoshGordon","WR","CLE",103.055721393035,19.5133236635994,1,17.7912,105
"CAROLINA","Carolina","DEF","CAR",105.428855721393,9.57597857773266,1,4.4478,106
"PHILIPRIVERS","PhilipRivers","QB","SD",106.796019900498,9.65681973581169,1,13.3434,106
"JAYCUTLER","JayCutler","QB","CHI",107.779104477612,12.1533593962973,1,11.8608,108
"DANNYWOODHEAD","DannyWoodhead","RB","SD",108.811940298507,13.6533439680679,1,11.8608,111
"ANDREBROWN","AndreBrown","RB","HOU",110.5,9.55705757006781,0.0835820895522388,14.0847,110.5
"DENVER","Denver","DEF","DEN",110.76815920398,9.26109655800546,1,10.3782,112
"HEATHMILLER","HeathMiller","TE","PIT",111.333333333333,31.4762132411127,0.125373134328358,1.4826,133
"JEREMYHILL","JeremyHill","RB","CIN",114.16199376947,11.8947536860382,0.958208955223881,8.8956,114
"TAVONAUSTIN","TavonAustin","WR","STL",114.464676616915,13.7492482960008,1,11.8608,116
"KELVINBENJAMIN","KelvinBenjamin","WR","CAR",115.436815920398,11.0975050950027,1,13.3434,117
"ERICEBRON","EricEbron","TE","DET",115.630071599045,13.9537263170476,0.833830845771144,14.826,113.5
"CECILSHORTS","CecilShorts","WR","JAC",115.962189054726,13.6200784519009,1,10.3782,116
"RUSSELLWILSON","RussellWilson","QB","SEA",117.158208955224,14.4289661624819,1,8.8956,116
"ZACHERTZ","ZachErtz","TE","PHI",117.18505942275,14.3343712163538,0.586069651741294,7.413,118
"STLOUIS","St.Louis","DEF","STL",117.199004975124,9.22538714272968,1,7.413,115
"ANTONIOGATES","AntonioGates","TE","SD",117.24,17.3174348096679,0.124378109452736,1.4826,129
"CHRISTINEMICHAEL","ChristineMichael","RB","SEA",117.720374220374,17.1990180933966,0.957213930348259,22.239,121
"SHONNGREENE","ShonnGreene","RB","TEN",118,NA,0.00099502487562189,NA,118
"ANQUANBOLDIN","AnquanBoldin","WR","SF",118.534201954397,11.4716651229868,0.916417910447761,11.8608,118
"DANNYAMENDOLA","DannyAmendola","WR","NE",119.692491060787,16.7346503847799,0.834825870646766,11.8608,115
"KHIRYROBINSON","KhiryRobinson","RB","NO",120.632103688933,13.6679778688426,0.998009950248756,10.3782,118
"DWAYNEBOWE","DwayneBowe","WR","KC",121.179104477612,12.9303898343768,1,8.8956,119
"DEANGELOWILLIAMS","DeAngeloWilliams","RB","CAR",121.729353233831,13.8963287335368,1,8.8956,121
"NEWENGLAND","NewEngland","DEF","NE",122.265671641791,9.53135242008281,1,10.3782,123
"RUEBENRANDLE","RuebenRandle","WR","NYG",122.783930510315,10.1249799877179,0.916417910447761,5.9304,119
"JARRETTBOYKIN","JarrettBoykin","WR","GB",123.854291417166,13.8819568702293,0.498507462686567,4.4478,125
"CARLOSHYDE","CarlosHyde","RB","SF",124.14364640884,18.4463316276383,0.540298507462687,20.7564,127
"KENNYSTILLS","KennyStills","WR","NO",125.418867924528,12.9929993251128,0.791044776119403,17.7912,126
"BENROETHLISBERGER","BenRoethlisberger","QB","PIT",125.991313789359,9.79917534852866,0.916417910447761,7.413,122
"ELIMANNING","EliManning","QB","NYG",126.325581395349,7.27516623697698,0.0855721393034826,10.3782,133
"NEWORLEANS","NewOrleans","DEF","NO",126.51968503937,18.1282251180792,0.12636815920398,19.2738,132
"MATTPRATER","MattPrater","K","DEN",127.575124378109,12.8057654046549,1,16.3086,127
"LADARIUSGREEN","LadariusGreen","TE","SD",127.857142857143,14.3215153544512,0.292537313432836,10.3782,123
"MALCOMFLOYD","MalcomFloyd","WR","SD",128,0,0.0417910447761194,0,128
"MARKINGRAM","MarkIngram","RB","NO",129,0,0.00199004975124378,0,129
"MILESAUSTIN","MilesAustin","WR","CLE",129,0,0.0417910447761194,0,129
"DEANDREHOPKINS","DeAndreHopkins","WR","HOU",130.381165919283,20.4039227578439,0.665671641791045,14.826,140
"STEPHENGOSTKOWSKI","StephenGostkowski","K","NE",130.587064676617,11.5902672385993,1,4.4478,137
"ARIZONA","Arizona","DEF","ARI",130.735527809308,8.2077691839368,0.876616915422886,8.8956,133
"MARTELLUSBENNETT","MartellusBennett","TE","CHI",130.881656804734,13.4750309009285,0.336318407960199,16.3086,132
"ANDYDALTON","AndyDalton","QB","CIN",130.966887417219,11.8283575650319,0.751243781094527,19.2738,128
"DAVIDWILSON","DavidWilson","RB","NYG",130.976470588235,11.2822596991582,0.169154228855721,14.826,130
"DAVIDBUEHLER","DavidBuehler","K","DAL",131,0,0.0417910447761194,0,131
"PITTSBURGH","Pittsburgh","DEF","PIT",131,0,0.0417910447761194,0,131
"HOUSTON","Houston","DEF","HOU",132.112437810945,6.33197590424627,1,7.413,133
"KANSASCITY","KansasCity","DEF","KC",132.722710163112,9.384695585833,0.793034825870647,4.4478,132
"JORDANMATTHEWS","JordanMatthews","WR","PHI",132.93108974359,13.5536527838984,0.62089552238806,11.8608,141
"DONALDBROWN","DonaldBrown","RB","SD",133.08064516129,11.9297379155979,0.123383084577114,16.3086,131
"ROBERTWOODS","RobertWoods","WR","BUF",133.107843137255,12.0441771903282,0.202985074626866,17.7912,130
"TREMASON","TreMason","RB","STL",133.526865671642,11.6556866813935,0.666666666666667,11.8608,129
"LEGARRETTEBLOUNT","LeGarretteBlount","RB","PIT",133.840136054422,13.3101498838424,0.585074626865672,20.7564,129
"DEVONTAFREEMAN","DevontaFreeman","RB","ATL",134.673306772908,15.0391171450601,0.749253731343284,16.3086,136
