"name","player","pos","team","points","vor","simulation","sdPick","sdPts","risk","avgCost","inflatedCost","bidUpTo","bidUpToSim"
"ANTHONYFASANO","Anthony Fasano","TE","KC",58.7673256599654,-61.8286628245505,0,16,29.9085785840228,5.15654811028417,1,1,1,1
"ANTHONYSHERMAN","Anthony Sherman","RB","KC",21.165,-102.949475214065,0,NA,1.50354026661521,1.97209814240439,1,1,1,1
"ANTONESMITH","Antone Smith","RB","ATL",37.2970113512542,-86.8174638628111,0,NA,38.7422707345177,6.58803754271796,1,1,1,1
"ANTONIOANDREWS","Antonio Andrews","RB","TEN",0,-124.114475214065,NA,NA,NA,NA,1,1,1,1
"ANTONIOBROWN","Antonio Brown","WR","PIT",229.916947275244,82.7878196168561,3.2188758248682,3.4913,30.8644848153451,4.56874793920094,36.75,46,39,26
"ANTONIOGATES","Antonio Gates","TE","SD",119.550471841672,-1.04551664284348,2.30258509299405,10.86195,37.5204000067519,5.57140189292679,1.1,2,1,1
"ARIANFOSTER","Arian Foster","RB","HOU",210.668804048075,86.5543288340096,2.484906649788,7.9413,45.3050143242077,5.13558893797284,37.5,47,39,28
"ARIZONACARDINALS","Arizona Cardinals","DST","ARZ",0,NA,NA,22.2,NA,2.86139749063349,0.55,1,1,1
"ARTHURLYNCH","Arthur Lynch","TE","MIA",0,-120.595988484516,0,NA,13.0625498404153,3.66730597608698,1,1,1,1
"ASANTECLEVELAND","Asante Cleveland","TE","SF",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"ASAWATSON","Asa Watson","TE","DAL",0,-120.595988484516,NA,NA,NA,NA,1,1,1,1
"ATLANTAFALCONS","Atlanta Falcons","DST","ATL",0,NA,NA,7.4,NA,1.41866437021708,1,1,1,1
"AUSTINDAVIS","Austin Davis","QB","STL",18.921,-122.826601193478,0,NA,25.0800985909811,6.34042430147765,1,1,1,1
"AUSTINJOHNSON","Austin Johnson","RB","NO",10.075,-114.039475214065,NA,NA,NA,NA,1,1,1,1
"AUSTINPETTIS","Austin Pettis","WR","STL",40.3125,-106.816627658388,0,100,22.2529258375912,8.38201013285264,1,1,1,1
"AUSTINSEFERIANJENKINS","Austin Seferian-Jenkins","TE","TB",81.6314237381754,-38.9645647463405,0,38.2,14.4397653345429,5.05605621606161,1,1,1,1
"AUSTINSIGNOR","Austin Signor","K","FA",0,NA,NA,NA,NA,NA,1,1,1,1
"BALTIMORERAVENS","Baltimore Ravens","DST","BAL",0,NA,NA,37.8,NA,4.38211618512645,0.5,1,1,1
